Genus	Kingdom	Phylum	Class	Order	Family
1-68	Bacteria	unclassified	unclassified	unclassified	unclassified
Acidisphaera	Bacteria	unclassified	unclassified	unclassified	unclassified
Acinetobacter	Bacteria	unclassified	unclassified	unclassified	unclassified
Actinobacillus	Bacteria	unclassified	unclassified	unclassified	unclassified
Actinomyces	Bacteria	unclassified	unclassified	unclassified	unclassified
Albidovulum	Bacteria	unclassified	unclassified	unclassified	unclassified
Alloiococcus	Bacteria	unclassified	unclassified	unclassified	unclassified
Anaerosinus	Bacteria	unclassified	unclassified	unclassified	unclassified
Atopobium	Bacteria	unclassified	unclassified	unclassified	unclassified
Atopostipes	Bacteria	unclassified	unclassified	unclassified	unclassified
Bacillus	Bacteria	unclassified	unclassified	unclassified	unclassified
Bacteroides	Bacteria	unclassified	unclassified	unclassified	unclassified
Bergeyella	Bacteria	unclassified	unclassified	unclassified	unclassified
Bordetella	Bacteria	unclassified	unclassified	unclassified	unclassified
Brevundimonas	Bacteria	unclassified	unclassified	unclassified	unclassified
Bulleidia	Bacteria	unclassified	unclassified	unclassified	unclassified
Campylobacter	Bacteria	unclassified	unclassified	unclassified	unclassified
Capnocytophaga	Bacteria	unclassified	unclassified	unclassified	unclassified
Catenibacterium	Bacteria	unclassified	unclassified	unclassified	unclassified
Catonella	Bacteria	unclassified	unclassified	unclassified	unclassified
Clostridium	Bacteria	unclassified	unclassified	unclassified	unclassified
Collinsella	Bacteria	unclassified	unclassified	unclassified	unclassified
Coprococcus	Bacteria	unclassified	unclassified	unclassified	unclassified
Dietzia	Bacteria	unclassified	unclassified	unclassified	unclassified
Faecalibacterium	Bacteria	unclassified	unclassified	unclassified	unclassified
Fibrobacter	Bacteria	unclassified	unclassified	unclassified	unclassified
Filifactor	Bacteria	unclassified	unclassified	unclassified	unclassified
Helcobacillus	Bacteria	unclassified	unclassified	unclassified	unclassified
Helicobacter	Bacteria	unclassified	unclassified	unclassified	unclassified
Lachnoanaerobaculum	Bacteria	unclassified	unclassified	unclassified	unclassified
Lactobacillus	Bacteria	unclassified	unclassified	unclassified	unclassified
Leifsonia	Bacteria	unclassified	unclassified	unclassified	unclassified
Leptotrichia	Bacteria	unclassified	unclassified	unclassified	unclassified
Marmoricola	Bacteria	unclassified	unclassified	unclassified	unclassified
Massilia	Bacteria	unclassified	unclassified	unclassified	unclassified
Methylobacterium	Bacteria	unclassified	unclassified	unclassified	unclassified
Micrococcus	Bacteria	unclassified	unclassified	unclassified	unclassified
Mitsuokella	Bacteria	unclassified	unclassified	unclassified	unclassified
Moryella	Bacteria	unclassified	unclassified	unclassified	unclassified
Neisseria	Bacteria	unclassified	unclassified	unclassified	unclassified
Nitrobacter	Bacteria	unclassified	unclassified	unclassified	unclassified
Novosphingobium	Bacteria	unclassified	unclassified	unclassified	unclassified
Odoribacter	Bacteria	unclassified	unclassified	unclassified	unclassified
Oribacterium	Bacteria	unclassified	unclassified	unclassified	unclassified
Ornithinimicrobium	Bacteria	unclassified	unclassified	unclassified	unclassified
Paraprevotella	Bacteria	unclassified	unclassified	unclassified	unclassified
Parvimonas	Bacteria	unclassified	unclassified	unclassified	unclassified
Pediococcus	Bacteria	unclassified	unclassified	unclassified	unclassified
Peptococcus	Bacteria	unclassified	unclassified	unclassified	unclassified
Peptostreptococcus	Bacteria	unclassified	unclassified	unclassified	unclassified
Porphyromonas	Bacteria	unclassified	unclassified	unclassified	unclassified
Prevotella	Bacteria	unclassified	unclassified	unclassified	unclassified
Raphanus	Bacteria	unclassified	unclassified	unclassified	unclassified
Rickettsia	Bacteria	unclassified	unclassified	unclassified	unclassified
Roseburia	Bacteria	unclassified	unclassified	unclassified	unclassified
Rothia	Bacteria	unclassified	unclassified	unclassified	unclassified
Ruminococcus	Bacteria	unclassified	unclassified	unclassified	unclassified
Selenomonas	Bacteria	unclassified	unclassified	unclassified	unclassified
Serpens	Bacteria	unclassified	unclassified	unclassified	unclassified
Slackia	Bacteria	unclassified	unclassified	unclassified	unclassified
Sphingomonas	Bacteria	unclassified	unclassified	unclassified	unclassified
Streptobacillus	Bacteria	unclassified	unclassified	unclassified	unclassified
Streptococcus	Bacteria	unclassified	unclassified	unclassified	unclassified
TG5	Bacteria	unclassified	unclassified	unclassified	unclassified
Treponema	Bacteria	unclassified	unclassified	unclassified	unclassified
Vestibaculum	Bacteria	unclassified	unclassified	unclassified	unclassified
[Prevotella]	Bacteria	unclassified	unclassified	unclassified	unclassified
