taxon,TCGA-B7-5816-01A,TCGA-B7-5818-01A,TCGA-BR-4183-01A,TCGA-BR-4183-11A,TCGA-BR-4184-01A,TCGA-BR-4184-11A,TCGA-BR-4187-01A,TCGA-BR-4187-11A,TCGA-BR-4188-01A,TCGA-BR-4188-11A,TCGA-BR-4191-01A,TCGA-BR-4191-11A,TCGA-BR-4201-01A,TCGA-BR-4201-11A,TCGA-BR-4253-01A,TCGA-BR-4253-11A,TCGA-BR-4255-01A,TCGA-BR-4255-11A,TCGA-BR-4256-01A,TCGA-BR-4256-11A,TCGA-BR-4257-01A,TCGA-BR-4257-11A,TCGA-BR-4267-01A,TCGA-BR-4267-11A,TCGA-BR-4279-01A,TCGA-BR-4279-11A,TCGA-BR-4280-01A,TCGA-BR-4280-11A,TCGA-BR-4292-01A,TCGA-BR-4292-11A,TCGA-BR-4294-01A,TCGA-BR-4294-11A,TCGA-BR-4357-01A,TCGA-BR-4357-11A,TCGA-BR-4363-01A,TCGA-BR-4363-11A,TCGA-BR-4366-01A,TCGA-BR-4366-11A,TCGA-BR-4367-01A,TCGA-BR-4367-11A,TCGA-BR-4368-01A,TCGA-BR-4368-11A,TCGA-BR-4369-01A,TCGA-BR-4369-11A,TCGA-BR-4370-01A,TCGA-BR-4370-11A,TCGA-BR-6452-01A,TCGA-BR-6453-01A,TCGA-BR-6453-11A,TCGA-BR-6454-01A,TCGA-BR-6454-11A,TCGA-BR-6455-01A,TCGA-BR-6456-01A,TCGA-BR-6457-01A,TCGA-BR-6458-01A,TCGA-BR-6564-01A,TCGA-BR-6565-01A,TCGA-BR-6566-01A,TCGA-BR-6705-01A,TCGA-BR-6706-01A,TCGA-BR-6707-01A,TCGA-BR-6710-01A,TCGA-BR-6801-01A,TCGA-BR-6802-01A,TCGA-BR-6803-01A,TCGA-BR-6852-01A,TCGA-BR-7722-01A,TCGA-BR-8373-01A,TCGA-BR-8381-01A,TCGA-BR-8486-01A,TCGA-BR-8682-01A,TCGA-BR-8690-01A,TCGA-BR-A4J4-01A,TCGA-CD-5798-01A,TCGA-CD-5799-01A,TCGA-CD-5800-01A,TCGA-CD-5801-01A,TCGA-CD-5802-01A,TCGA-CD-5803-01A,TCGA-CD-5813-01A,TCGA-CD-8529-01A,TCGA-CG-4300-01A,TCGA-CG-4301-01A,TCGA-CG-4304-01A,TCGA-CG-4305-01A,TCGA-CG-4306-01A,TCGA-CG-4436-01A,TCGA-CG-4437-01A,TCGA-CG-4440-01A,TCGA-CG-4441-01A,TCGA-CG-4442-01A,TCGA-CG-4443-01A,TCGA-CG-4444-01A,TCGA-CG-4449-01A,TCGA-CG-4455-01A,TCGA-CG-4460-01A,TCGA-CG-4462-01A,TCGA-CG-4465-01A,TCGA-CG-4466-01A,TCGA-CG-4469-01A,TCGA-CG-4472-01A,TCGA-CG-4474-01A,TCGA-CG-4475-01A,TCGA-CG-4476-01A,TCGA-CG-4477-01A,TCGA-CG-5717-01A,TCGA-CG-5718-01A,TCGA-CG-5719-01A,TCGA-CG-5720-01A,TCGA-CG-5720-11A,TCGA-CG-5721-01A,TCGA-CG-5721-11A,TCGA-CG-5722-01A,TCGA-CG-5722-11A,TCGA-CG-5723-01A,TCGA-CG-5723-11A,TCGA-CG-5724-01A,TCGA-CG-5724-11A,TCGA-CG-5725-01A,TCGA-CG-5725-11A,TCGA-CG-5726-01A,TCGA-CG-5726-11A,TCGA-CG-5727-01A,TCGA-CG-5727-11A,TCGA-CG-5728-01A,TCGA-CG-5728-11A,TCGA-CG-5730-01A,TCGA-CG-5730-11A,TCGA-CG-5732-01A,TCGA-CG-5732-11A,TCGA-CG-5733-01A,TCGA-CG-5733-11A,TCGA-CG-5734-01A,TCGA-CG-5734-11A,TCGA-D7-5577-01A,TCGA-D7-5578-01A,TCGA-D7-5579-01A,TCGA-D7-6518-01A,TCGA-D7-6519-01A,TCGA-D7-6520-01A,TCGA-D7-6521-01A,TCGA-D7-6522-01A,TCGA-D7-6524-01A,TCGA-D7-6525-01A,TCGA-D7-6526-01A,TCGA-D7-6527-01A,TCGA-D7-6528-01A,TCGA-D7-6815-01A,TCGA-D7-6817-01A,TCGA-D7-6818-01A,TCGA-D7-6820-01A,TCGA-D7-6822-01A,TCGA-D7-8570-01A,TCGA-D7-A4YX-01A,TCGA-EQ-5647-01A,TCGA-F1-6177-01A,TCGA-F1-6874-01A,TCGA-F1-6875-01A,TCGA-F1-6875-11A,TCGA-FP-7998-01A,TCGA-HF-7136-01A,TCGA-HU-8245-01A,TCGA-HU-8608-01A,TCGA-HU-A4G6-01A,TCGA-HU-A4H0-01A,TCGA-HU-A4H0-11A,TCGA-IN-7806-01A
Gammaproteobacteria,0.0004847127951207892,0.01561998425567011,0.020629002111601617,0.024395510663872747,0.0037219515827285735,0.4428708067052583,0.013101375240183248,0.0008238037879488405,0.022215376551399275,0.028358463258065476,0.0002216300587508838,0.003956837457094268,0.0005549286475714679,0.0021453430930843827,5.001279281141798e-05,0.0009061301548665916,0.060826027617082376,0.2751210851642186,0.4731816116825826,0.027483281793371683,0.0633295281180359,0.012238563854449058,0.0004751775562471592,0.008847747553309655,0.13132141242481482,0.15052504021271548,0.8130908022573795,0.15892034069849045,0.002888397669883437,0.1732636295743092,0.20889434903544346,0.0014739510012814485,0.06013818882929535,0.0002044916967817298,0.0019544751362831412,0.06308110427692748,0.0,0.0,0.19409681438745074,0.16323753436563446,0.0,0.00013184343381504108,0.016338834826033048,0.09013977823953467,0.0,0.0,0.007659327037008953,0.06503906985934932,0.05059025960111792,0.13333333333333333,0.0,0.0,0.10174577314000828,0.3010238907849829,0.005002954961702525,0.01959576451942249,0.03521116980083038,0.0,0.14786984695987865,0.049984122604977935,0.19681057954103465,0.0006954487027500245,0.2604333254535877,0.002004546270434991,0.001106889252817389,0.0,0.0,0.4070678280264674,0.08161902835733775,0.07151238364990413,0.01268074689621014,9.29006840793068e-05,0.011646080140888129,0.0,0.0001478921219456084,0.08535680203583926,1.0,0.03596259020068847,0.0,0.0037163856229255787,0.0005698474618044872,0.565403484007402,0.0,0.0,0.3421389874577259,0.0,0.6352955406813697,0.0,0.16129032258064516,0.02766051490018569,0.0002353267276515271,0.0019009519688571648,0.0,0.01767991821447605,0.18224491566409104,0.003707492761722298,0.03546565486341734,0.042659255960755586,0.007878736352879242,0.06892320541619905,0.13375796178343946,0.026865292012339,0.16041861076584216,0.0,0.0,0.20579212889016452,0.003793265487513564,0.056196702748126666,0.0343644465543843,0.0003653154864541017,0.014763406175085628,0.08312720031117614,0.06979546923305327,0.005276250534755123,1.7782471639160222e-06,0.000363524002283367,0.00814979354944001,0.003152624254350268,0.0642488432218768,0.21356065116684336,0.015563707974018138,0.0,0.08520199994821652,0.07312614259597806,0.0011946425722360635,0.009685875384597809,0.027163977205948056,0.35147018931073554,0.3678278778864484,0.39847429411626417,0.2706817807755587,0.06619020172910663,0.004273776829167557,0.3571428571428571,0.007324215356947791,0.5549859010510126,0.020260988770111243,0.05988587792914385,0.27009402487109496,0.0,0.011048502353249322,0.06338705661156382,0.7083506275799857,0.011534413301962294,0.006715115732910885,0.04194331827215924,0.003591945972963831,0.0779805478695445,0.0336749939609532,0.02684235668664076,0.02244311133113515,0.5575554849237326,0.05970149253731344,0.1551689152593114,0.4344202190495689,0.0003864395058074169,0.016803403320207768,0.1020703057224441,0.04252145667113933,0.1004281593148931,0.0,0.0107842093230941,0.11081919670944533,0.002494743219644321,0.11289456106772774,0.21711289493509772,0.08139834625227342
Actinobacteria,0.0012666137519559075,0.0003355481447536427,0.26755500936913273,0.16686106861003872,0.008729309266570723,0.08650913026132677,0.2747080084077033,0.02432068699043846,0.22494002523264214,0.18492097775441185,0.010377491450211685,0.10031200560645273,0.00191349028824553,0.0035920415673917445,0.0012874362717563358,0.029510255125226675,0.17049286694049995,0.03769517796025961,0.0036967861346470865,0.0,0.0,0.0006229125888199473,0.0033672125549508236,0.3274050788104921,0.009239831865371988,0.0004887824657133104,0.008646377880735525,0.032251695288330516,0.010492718301869508,0.11202389843166544,0.01949914647630186,0.0,0.055938283580872834,0.00026178521587246563,0.010438959981389152,0.12963095408382205,0.0,0.007771405024918439,0.015947891710438773,0.034116275409544615,0.002154311416511913,0.0022331033591158327,0.0,0.06825457860054161,0.0,0.05772603455352812,0.06559783145178935,0.020739131725825238,0.01961426854824406,0.0,0.0004343449551356497,0.0058547043078529225,0.002428704970160525,0.0,0.0,0.27978704579006064,0.040157919892197885,0.0,0.012787811939886942,0.06055815280618121,0.0,0.0003878675817240144,0.0018556524802407078,0.001453275882124831,0.0,0.00026543625360485253,0.02567514374841653,0.14976111341255358,0.01673144164769463,0.0008199241491423032,0.01213791683412592,0.0008392197832639672,0.002346967038354047,0.0,0.002746668226274201,0.08906796734174531,0.0,0.040729672813304606,0.0,0.002735115390339331,0.0033234169679177425,0.019600230692638856,0.07331828442437924,0.014792021130925969,0.16020430351285456,0.0,0.0005213836348280735,0.0,0.0,0.01593728650411295,0.00041796365476529866,0.005664644295563036,0.0,0.06171752739828997,0.1320132292467691,0.009370019968407035,0.0,0.11131165578695497,0.005395780081159843,0.016552215202560134,0.0,0.007632997189374444,0.02684536193750403,0.0,0.005276391978086511,0.002734254006448509,0.0017222977881218367,0.07696504941591259,0.0,0.0,0.0005540673251364964,0.0,0.0,0.0,1.6710245553418542e-05,0.0,0.0020872330161794254,0.0005370276970175197,0.0,0.0,0.0,0.0,0.0052894292206982566,0.0,0.000935487305243055,0.02763390471584007,0.02405763431378368,0.026838665204290027,0.03991919599708689,0.010973002027878648,0.0718237635232501,0.0037348703170028814,0.0,0.0,0.005242303667249918,0.0,0.02232113293281153,0.023744510865975208,0.0,0.0,0.01641030285672505,0.04653997942135872,0.015257792363782285,0.0,0.001906731078147248,0.041422399809476484,0.006660067354158529,0.00911450982994143,0.03527473692381215,0.0017507322464127867,0.0016161079666603705,0.021576633445572733,0.0,0.05382538339057647,0.0026629024099502803,0.0015544680215664904,0.015441396097099519,0.001890050935589272,0.0924520410154669,0.18798039284502532,0.00583687533744645,0.006244946568966949,0.0021970966084023658,0.0,0.17887176931263188,0.016744310667265897,0.014328052425059837
Alphaproteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betaproteobacteria,0.0,0.0008454407004415572,0.0,0.0,0.0007398541041778845,0.0,0.0,0.0,0.0,0.0,5.031832225935538e-05,0.0,0.0,0.0,2.5827119159537382e-05,0.0,0.0,0.0,0.0,0.00285068882037776,0.0,0.0,4.481961481297485e-05,0.0,0.001841065883249733,0.0002129555322683966,0.00025271922842707147,0.0040670954457214074,6.447316227418387e-05,0.0,0.017625072824143183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067817216468169,0.01844682558895025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035282561523699456,0.007902114929430815,0.0,0.0,0.0,0.0,0.1638225255972696,0.0,0.009502716842319124,0.0,0.0,0.047945677650627315,0.0,0.0,0.0,0.07635850332120063,0.0,0.0,0.0,0.0,0.06312706740544298,0.07712845058682144,0.0002361567882878043,0.007158296869962374,1.8990059734416648e-05,0.0009787036185964686,0.0,0.0,0.17442476937758455,0.0,0.0,0.0,0.0,0.0003009462971543117,0.0,0.0,0.0,0.0,0.0,0.0001265879680207906,0.0,0.0,0.0,4.297807719458371e-05,0.0,0.0,0.08816385882952056,0.0,0.0,0.017121350623718716,0.0,0.0009924211203451011,0.01342013062619167,0.0,0.012637677842929816,0.00541333987104867,0.0,0.0,0.053909737987867065,0.0002460425411602624,0.0,0.0,0.0,0.0,0.0056494213803711954,0.0,0.0043572639551281035,0.0,0.0,0.0015664646776159415,0.0003927436691171475,0.02679456440429685,0.05049302217510638,0.0,0.0,0.03636147065734708,0.032906764168190134,0.0,0.0010019871087514974,0.0,0.01004705710702981,0.00180731956655462,0.045971168563629615,0.0,0.0,0.0,0.0,0.01236499886731774,0.059600102537810826,0.012794264094359091,0.0956662885111476,0.0,0.0,0.0,0.0,0.0064373685585139276,0.0,0.0013954338059609939,0.039877785318092406,0.00027615719215574094,0.005479885588884185,0.04559172851856408,0.00035496048514025623,0.0012018070536874794,0.061139771426904514,0.0,0.012849695546640031,0.14637760642398964,1.7727693007641556e-05,0.008080909414899917,0.08102231313258558,0.16871797763881669,0.08759945931561665,0.0,0.00022899746251448373,0.007824515476032613,0.0,0.0,0.05622002888583697,0.10060713736328024
Deltaproteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epsilonproteobacteria,0.000615212393807155,0.0006891042024923657,0.0,0.0,0.0,0.0007267754487328633,0.1862106512339028,0.9416286669651988,0.0038070705783647954,0.0,0.011642070771164541,0.16127231594986075,0.3166460437963217,0.6425818189984251,0.0016257638502330835,0.04939703815672735,0.0037740436618407328,0.011807260186036393,0.0031176313230193353,0.005085012490403571,0.03881978286081526,0.7242526806135927,0.0334802522652922,0.1571848117056943,0.4887690272304781,0.7528828831195511,0.0002926411183627798,0.004200221304490098,0.009284135367482477,0.0,0.4230017477794363,0.9959441072648746,0.2669302393750239,0.9805477844237908,3.968176791847591e-05,0.0,0.0,0.03458021512028405,0.0028275439316075637,0.003843088664364635,0.005503676180989391,0.9728398666545344,0.004149545352643314,0.020674261064113457,0.0,0.0,0.22940459248969186,0.03275638881805134,0.04668101226830426,0.13333333333333333,0.981838998312866,0.05787016520894545,0.0018692965720767114,0.0,0.0,0.0,0.0,0.14285714285714285,0.010978215910657658,0.010061738965937116,0.14974718008556984,0.9886772764365259,0.003734531409124671,0.0,0.9807038779962066,0.00225043780230201,0.03312606557835663,0.05631071052851274,0.021704823218826164,0.020574865093852937,0.8056941656209292,0.00041100759229114903,0.00028287425263231266,0.0,0.003267660609422925,0.10391262856536952,0.0,0.002045265793404084,0.0058407913330193115,0.17183559287018613,0.00955639819584676,0.0,0.0,0.04540063959868935,0.0,0.1204909632789717,0.0005090452331048814,0.19047619047619047,0.021505376344086027,0.0024983690877587073,0.019677332587787456,0.0,0.5,0.019447910035923652,0.0,0.0021970327476872878,0.14553148030160906,0.14506570848018308,0.0,0.0004891523214720069,0.0,0.030784125048337805,0.0030251016926448452,0.0,0.003692500427618697,0.002278684256997634,0.0022143828704423614,0.1088811115744954,0.8900229815608041,0.998582575912558,0.005000960002009205,0.0056494213803711954,0.2986743052765794,0.9537179344984392,0.02351550484045916,0.002846060138665799,0.0445236514233987,0.4303116120438125,0.0,0.0,0.006225483189607255,0.0,0.0009520972597256859,0.038391224862888484,0.017730012778424117,0.26902331434152443,0.0,0.0086174117156586,0.0013996182641598444,0.0,0.0043279742725631344,0.8042420749279541,0.37906542310877467,0.0,0.09891999093854192,0.08741348372212254,0.00561985022646236,0.0045235582779443295,0.0,0.0,0.0,0.4844915099097102,0.01870847210862066,0.4134836420638222,0.0008516732149057708,0.11408575315758215,0.0008099841887661222,0.045427684107356016,0.4130610603781906,0.011662987368894134,0.0008226655427027392,0.0,0.08266360505166474,0.0,0.024698842924633348,2.6520272403893923e-05,0.0010540316628130327,0.0038496599023291264,0.0,0.0,0.0007375544900794867,0.0010132261166838406,0.016264446031519438,0.9822160447628212,0.0,0.07754655026006506,0.0
Mollicutes,0.0004101415958714368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006440295975336809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006379264477616108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0352160863807799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.525284842213632e-05,9.4511441213703e-05,0.0,3.825206859247225e-05,0.0,0.0,0.000222879676734931,0.0,0.0,0.0,0.0,0.0,0.029245873789013794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5294953399858895e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003358853732692749,0.0,0.0,0.0,2.5939731700306484e-07,0.0,0.0,0.0,0.002470420831601837,0.003311017847547959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005524251176624661,0.0,0.0,0.0,0.00017033464298115415,0.00024119221194873769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007026877752086885,0.0012832199674430425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coriobacteriia,0.002352282682203829,7.720757975599604e-05,0.0,0.0,0.0,0.0,0.0,5.6369760661210975e-05,0.0,0.003299893906393073,0.0006525491897213245,0.0025441188449936442,0.0007682075179947398,0.0006732256059552076,0.0006714108280027915,0.0034118574198548205,0.00600577320818767,0.0038118140470425037,0.0,0.001695004163467857,0.0,0.002173461453001931,0.0020315050659166006,0.004678119396002807,0.0,0.0001640333153959271,0.0,0.0007222245272097978,0.001964208236870395,0.0,0.0,2.9623299307228942e-05,0.0,0.00026098790129800353,0.00702400452408766,0.0,0.0,0.0,0.0009425146438691877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009920599750104932,0.000951641891239053,0.0,0.0,0.0025856229547705518,0.0,0.0,0.0,0.0,0.0,0.0,0.0006224219015207787,0.0,0.0,0.000600116747280536,0.0,0.0006050781749246034,0.0012368742084311662,0.0003002128132670565,0.0,0.0001848317739030819,0.0,0.0,0.0018317386869165007,0.0,0.0,0.008181063173616334,0.0,0.0,0.0028901211292506317,0.0015047331577043301,0.0,0.0,0.0,0.00010801520688388321,0.0,0.0,0.0,0.0,0.002368317569009034,0.0005402705595699311,0.0,0.006482636678641218,0.0,0.001292372204521934,0.0,0.00460526058667248,0.0,0.0017663833830933574,0.0,0.003535828459898115,0.0060502033852896904,0.0,0.004042311978740745,0.0008972319261928181,0.0007467860120260164,0.0,0.0,0.0,5.9712955247871106e-05,0.0,0.0,0.0,0.000830240234206147,0.00032776754304238013,0.0044236417779258685,0.0009302337202928932,0.0,0.0,0.0,0.0,0.00019835359577618464,0.0,0.0011061505298482067,0.015551248902153338,0.0,0.0030304048057986834,0.000810440722813145,0.0,0.0056675853569279145,0.0,0.0,0.0,0.0,0.0,0.0008653613370440227,0.0005321833268169799,0.0,0.0,0.0,0.0,0.00047654498052807483,0.0,0.0,0.0008271749994578308,0.000637655647425278,0.01406366627322658,0.00547100742222769,0.001738581968033908,0.0008226655427027392,0.0006685544805975778,0.0,0.0,0.0,4.560046838678593e-06,0.00035134388760434425,0.0,0.0,0.0,0.0,0.003713004455771549,0.0,0.0,0.0,0.0,0.0
Bacilli,0.13343291161640874,0.3617609393114357,0.0419346774271412,0.005221067919471199,0.16035068621159962,0.048802685250345326,0.005469247742069713,0.0007578601155562812,0.09414945969987858,0.02043805258153129,0.10465392652989904,0.16958987960351246,0.008752244410217309,0.04552964072405681,0.055530459563605375,0.1705573584174528,0.060997722242195365,0.20787874170761145,0.04932220003274669,0.059393248567228614,0.04962462242374218,0.13325238791565136,0.0234071979240863,0.012085141773007249,0.32395268169187313,0.04800580087623324,0.1118230965653663,0.19474018618117364,0.19888133360363727,0.0,0.24579183190131645,0.00196577710825365,0.2925976684029017,0.004454518968024714,0.1700187275405338,0.16896724359891288,0.0,0.02787284580815999,0.2833611224892421,0.5132616137981639,0.9465927041480242,0.013443592466234746,0.06450656866381879,0.2884966184279973,0.2406793799501792,0.7390201126907721,0.4879301414100652,0.05582354886232925,0.04135370462848957,0.2,0.0005773825335565223,0.026327745490663097,0.0523748701898003,0.0,0.0,0.4511645719922209,0.11328811153310644,0.0,0.02195643182131532,0.05433339041606042,0.0,0.0012042764502166365,0.2053640273092424,0.00888230026598763,0.0013528646423323644,0.0008401634461927505,0.23865014986557997,0.10763599819857768,0.11880833861404586,0.11466395427235215,0.033222699426098894,0.0031558198180801768,0.17648905413993146,0.8095238095238095,0.033261764112349435,0.0816456367299332,0.0,0.40876503201559,0.7605275553462082,0.5551409746551752,0.07277599464342344,0.3194457297857341,0.7460045146726862,0.9041354081571286,0.4976567090294196,0.6010145873198716,0.27789579580510954,0.3809523809523809,0.6021505376344086,0.3690525641591396,0.07198555829337351,0.11851644941805695,0.0,0.3659014001604192,0.0,0.015497770960156818,0.14281659471258845,0.2113001916237961,0.07769169539596825,0.2528732313794573,0.4872611464968153,0.4948594350509039,0.2300589837256405,0.0,0.056803114471699626,0.15013965234988974,0.09396532760370056,0.5276245980240779,0.042138256206639836,0.0,0.0949763809213939,0.12993669174853748,0.2671475730529405,0.004491943022832064,0.001286627412722355,0.00348370441595526,0.03019062388486068,0.00955694613684956,0.014822524989611025,0.018762434469438437,0.3973509933774835,0.7435897435897436,0.3569792225386444,0.21060329067641684,0.036929398721377966,0.109916296588241,0.19610393130274836,0.05249600212897367,0.3962256401644871,0.33240691115239873,0.3604099359916789,0.07354466858789625,0.014047718621089885,0.2755102040816327,0.04239428183080368,0.02384004101512433,0.8423108072041964,0.4287129747941691,0.2340764331210191,0.2442936458975941,0.7449039480291129,0.06907815457359275,0.045234227182004295,0.4556258417704319,0.8693883141066022,0.06394083702171395,0.4034540084899698,0.1947630455845213,0.15418293644459855,0.07872993436465893,0.155399613958135,0.12529817088307313,0.32376578645235354,0.181882977593332,0.17913356043947934,0.8639393636485968,0.7058530259805491,0.03895591713244314,0.04866946948745615,0.2907000158298489,0.010104496514088969,0.1364121622492352,0.1579978727729481,0.012509355287073668,0.6610180916449977,0.3497454209364421,0.2037534604024487
Flavobacteriia,0.0,2.2874073161218882e-05,0.0,0.0,2.7197129063236875e-05,0.0,0.0,5.6369760661210975e-05,0.004880859715852302,0.004007014029191589,0.002817239854294543,0.004163103564535053,0.0001175827833665418,0.0,0.5284189611962175,0.02678499290918075,0.0035955699131647928,0.0,0.011084911370735416,0.0,0.0051759710481087025,0.00036039942638868387,2.0168826665838675e-05,0.0009356238792005613,0.0,2.7338885899321178e-05,5.852822367255596e-05,0.0015225273816855194,0.000345121045114749,0.0,0.0,0.0,0.005320868558970576,0.0,0.0,0.0,0.0,0.0,0.007068859829018909,0.001921544332182317,0.0016934388249198126,0.0,0.3878228925739712,0.0,0.0,0.0,0.0,0.0026205111054441073,0.0021462534376231845,0.0,0.0004330369001673916,0.0,0.005156050404849176,0.07645051194539249,0.009338849261844714,0.006646143510501772,0.028322027883276608,0.14285714285714285,0.010978215910657658,0.005030869482968558,0.6534422403733956,0.00031653622347390666,0.0004001283652633576,0.00030478481304859514,0.0,0.001050204307740938,0.0,0.005586644140396931,0.0076334480628429124,5.063897004996304e-05,0.0,0.00014460516453760518,0.0006286094502940282,0.0,0.0,0.007422330611812109,0.0,0.010502716236399348,0.0058407913330193115,0.0,8.393713444627931e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024983690877587073,0.0002459479518984829,0.0,0.0,0.0,0.0,0.0,0.017121350623718716,0.0,0.20548545957337966,0.004615045815627194,0.0,0.0014428957505008824,0.00201673446176323,0.0,0.26397755403980977,0.004177587804495661,0.00040261506735315663,0.003512293921757916,0.0,0.0,0.011639218874395415,0.0,0.0,0.003137230047692235,0.0008855576852589131,0.00024398649534748248,0.0003664162441531243,9.82601792139143e-05,0.11734498950108728,0.0,0.009338224784410884,0.0,0.0006884395570324192,0.0,0.00028443870767525317,0.0005316666291334475,0.0013218480392188836,0.012564665958966338,0.0002527088532510829,0.0,0.0,0.0,0.0,0.0,0.0,0.007946680338374777,0.0019770832115524077,0.009761362599774608,0.0,0.0,0.0,0.0,0.0006931563353135635,0.0,0.0005840044902211,0.006269582095369289,0.00015514003180013607,0.0,0.0,0.0,0.0,0.00043556190190687454,0.0,0.016975744575377656,0.004610243813302979,0.0,0.001581047494219549,0.03968716470247002,0.02301212619774009,0.0,0.0,0.00043112795737557607,0.008857547713747733,0.0,0.0,0.00786186223834761,0.01713268508027968
