taxon,TCGA-B7-5816-01A,TCGA-B7-5818-01A,TCGA-BR-4183-01A,TCGA-BR-4183-11A,TCGA-BR-4184-01A,TCGA-BR-4184-11A,TCGA-BR-4187-01A,TCGA-BR-4187-11A,TCGA-BR-4188-01A,TCGA-BR-4188-11A,TCGA-BR-4191-01A,TCGA-BR-4191-11A,TCGA-BR-4201-01A,TCGA-BR-4201-11A,TCGA-BR-4253-01A,TCGA-BR-4253-11A,TCGA-BR-4255-01A,TCGA-BR-4255-11A,TCGA-BR-4256-01A,TCGA-BR-4256-11A,TCGA-BR-4257-01A,TCGA-BR-4257-11A,TCGA-BR-4267-01A,TCGA-BR-4267-11A,TCGA-BR-4279-01A,TCGA-BR-4279-11A,TCGA-BR-4280-01A,TCGA-BR-4280-11A,TCGA-BR-4292-01A,TCGA-BR-4292-11A,TCGA-BR-4294-01A,TCGA-BR-4294-11A,TCGA-BR-4357-01A,TCGA-BR-4357-11A,TCGA-BR-4363-01A,TCGA-BR-4363-11A,TCGA-BR-4366-01A,TCGA-BR-4366-11A,TCGA-BR-4367-01A,TCGA-BR-4367-11A,TCGA-BR-4368-01A,TCGA-BR-4368-11A,TCGA-BR-4369-01A,TCGA-BR-4369-11A,TCGA-BR-4370-01A,TCGA-BR-4370-11A,TCGA-BR-6452-01A,TCGA-BR-6453-01A,TCGA-BR-6453-11A,TCGA-BR-6454-01A,TCGA-BR-6454-11A,TCGA-BR-6455-01A,TCGA-BR-6456-01A,TCGA-BR-6457-01A,TCGA-BR-6458-01A,TCGA-BR-6564-01A,TCGA-BR-6565-01A,TCGA-BR-6566-01A,TCGA-BR-6705-01A,TCGA-BR-6706-01A,TCGA-BR-6707-01A,TCGA-BR-6710-01A,TCGA-BR-6801-01A,TCGA-BR-6802-01A,TCGA-BR-6803-01A,TCGA-BR-6852-01A,TCGA-BR-7722-01A,TCGA-BR-8373-01A,TCGA-BR-8381-01A,TCGA-BR-8486-01A,TCGA-BR-8682-01A,TCGA-BR-8690-01A,TCGA-BR-A4J4-01A,TCGA-CD-5798-01A,TCGA-CD-5799-01A,TCGA-CD-5800-01A,TCGA-CD-5801-01A,TCGA-CD-5802-01A,TCGA-CD-5803-01A,TCGA-CD-5813-01A,TCGA-CD-8529-01A,TCGA-CG-4300-01A,TCGA-CG-4301-01A,TCGA-CG-4304-01A,TCGA-CG-4305-01A,TCGA-CG-4306-01A,TCGA-CG-4436-01A,TCGA-CG-4437-01A,TCGA-CG-4440-01A,TCGA-CG-4441-01A,TCGA-CG-4442-01A,TCGA-CG-4443-01A,TCGA-CG-4444-01A,TCGA-CG-4449-01A,TCGA-CG-4455-01A,TCGA-CG-4460-01A,TCGA-CG-4462-01A,TCGA-CG-4465-01A,TCGA-CG-4466-01A,TCGA-CG-4469-01A,TCGA-CG-4472-01A,TCGA-CG-4474-01A,TCGA-CG-4475-01A,TCGA-CG-4476-01A,TCGA-CG-4477-01A,TCGA-CG-5717-01A,TCGA-CG-5718-01A,TCGA-CG-5719-01A,TCGA-CG-5720-01A,TCGA-CG-5720-11A,TCGA-CG-5721-01A,TCGA-CG-5721-11A,TCGA-CG-5722-01A,TCGA-CG-5722-11A,TCGA-CG-5723-01A,TCGA-CG-5723-11A,TCGA-CG-5724-01A,TCGA-CG-5724-11A,TCGA-CG-5725-01A,TCGA-CG-5725-11A,TCGA-CG-5726-01A,TCGA-CG-5726-11A,TCGA-CG-5727-01A,TCGA-CG-5727-11A,TCGA-CG-5728-01A,TCGA-CG-5728-11A,TCGA-CG-5730-01A,TCGA-CG-5730-11A,TCGA-CG-5732-01A,TCGA-CG-5732-11A,TCGA-CG-5733-01A,TCGA-CG-5733-11A,TCGA-CG-5734-01A,TCGA-CG-5734-11A,TCGA-D7-5577-01A,TCGA-D7-5578-01A,TCGA-D7-5579-01A,TCGA-D7-6518-01A,TCGA-D7-6519-01A,TCGA-D7-6520-01A,TCGA-D7-6521-01A,TCGA-D7-6522-01A,TCGA-D7-6524-01A,TCGA-D7-6525-01A,TCGA-D7-6526-01A,TCGA-D7-6527-01A,TCGA-D7-6528-01A,TCGA-D7-6815-01A,TCGA-D7-6817-01A,TCGA-D7-6818-01A,TCGA-D7-6820-01A,TCGA-D7-6822-01A,TCGA-D7-8570-01A,TCGA-D7-A4YX-01A,TCGA-EQ-5647-01A,TCGA-F1-6177-01A,TCGA-F1-6874-01A,TCGA-F1-6875-01A,TCGA-F1-6875-11A,TCGA-FP-7998-01A,TCGA-HF-7136-01A,TCGA-HU-8245-01A,TCGA-HU-8608-01A,TCGA-HU-A4G6-01A,TCGA-HU-A4H0-01A,TCGA-HU-A4H0-11A,TCGA-IN-7806-01A
Simonsiella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treponema,0.0005293270245592248,6.331094807385655e-05,0.0,0.0,0.0,0.0016375216853620085,0.0,0.0,0.0,0.0,0.00019399173864391488,0.0,0.01771807998201148,0.026017728284022282,0.0032109429607662713,0.004833742886916144,0.0005708629698685634,0.0002580064515817431,0.0,0.0,0.01812881593434091,0.00135202244480213,0.005231294996006082,0.0018511329657345805,0.0002541213991815757,0.00019406862025968664,0.00013657829038920334,0.0013364369287191386,0.0002705970520602388,0.0,0.0,0.0,0.0,0.0017404846172716937,2.661623572922547e-05,0.0,0.0,0.002299730555292213,0.0028809068704113983,0.0,0.0008797908025864141,0.0,0.0,0.0,0.0,0.0,0.0,0.00840558969726371,0.011653718091009988,0.0,0.0,0.0,0.034220756224347296,0.0,0.033816425120772944,0.0,0.0,0.0,0.003260225251926497,0.0,0.0,0.0,6.731952173860554e-05,0.0013799828323756466,0.0,0.006698973617646007,0.0,0.0006192430985146735,0.003979064254351516,0.001088982719439698,0.0038238468599813774,0.01469812690686424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00440563995755872,0.0,0.0,0.0066244449297517645,0.0,0.00013494965665145916,0.0,0.0,0.0,0.0,0.014970489359268056,0.0,0.0,0.003339490391319772,0.0,0.02207578759109216,0.0,0.0,0.0,0.0005014525693546959,0.0,0.002141175316963459,0.0,0.0,0.008130254664484061,0.00014415151840269902,0.00025102394486951093,0.0,0.001188118811881188,0.0,0.03139367787810515,0.02116331096196867,0.0,0.0,0.10538790078128872,0.04431567193801,0.010825269770808313,0.00627607054936469,0.030319531267016617,0.003463403371045948,0.01892195970133988,0.0,0.00031893752771662803,0.0,0.08591875553287119,0.0006777959314293356,0.007376609442060086,0.001031241451475314,0.0,0.0,0.0,0.0,0.0070721622481243794,0.0,0.018450184501845025,0.0,8.042374904171324e-05,0.0,0.0,0.0,0.0,0.005368326871458396,0.0002982901153391235,0.00420363111202806,0.0,0.009809470973537106,0.0,0.0,0.0,0.057902945058986376,0.0001212033208963274,0.005492312345765717,0.0,0.014532238874613825,0.0,8.458532379533642e-06,0.0008810655827812693,0.0019419647458517933,0.0,0.0,0.0,0.002690675876394401,0.0,0.0,0.0,0.0,0.0
Campylobacter,0.00031759621473553487,0.0007093018039008312,0.0,0.0,0.0,0.0,0.0,0.0,0.003943589250085289,0.0,0.013167189260455722,0.005298613504769522,0.31781820452346954,0.00456715019350366,0.0014349438044273365,0.0003222495257944096,0.0,0.002643989716593476,0.005202478053914415,0.005834154449484422,0.01035932339105195,0.0009013482965347533,0.034598663294154015,0.0024681772876461072,0.0013976676954986665,5.544817721705333e-05,0.0,0.0,0.00703552335356621,0.0,0.0,0.0,0.007303591485782894,4.2974928821523294e-05,3.99243535938382e-05,0.0,0.0,0.004599461110584425,0.0028809068704113983,0.004035321905552536,0.0017595816051728282,0.0004393649531765149,0.004430433671295901,0.004152236283785664,0.0,0.0,0.0013736585527351587,0.010334741431061938,0.005549389567147614,0.0,0.0004367765887748417,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714288,0.011410788381742741,0.010911074740861974,0.0,0.0,0.0011444318695562944,0.0,0.0,0.0,0.0,0.004953944788117388,0.004010960464297264,0.002174130992684185,0.0,0.0004246557973615312,0.000294465668392385,0.0,0.003315398975824793,0.0,0.0,0.002340890389580909,0.0,0.0,0.009642532737298329,0.0,0.0,0.0,0.0,0.00013494965665145916,0.0,0.0,0.0,0.002700577605111855,0.01979981508781517,0.0,0.3333333333333333,0.02003694234791863,0.0,0.002247235862566268,0.0,0.005363829241805495,0.0,0.0005014525693546959,0.0,0.019554422522369854,0.003049798858503856,0.0,0.0039021207791146146,0.002562693660492428,0.002259215503825598,0.0073487846240814034,0.0,0.0,0.008259617868224423,0.00769574944071588,0.0,0.0,0.024325599872215418,0.0029323753807806037,0.04537039753591232,0.007772166338723811,0.0,0.0,0.0,0.0,0.001148175099779861,0.0390625,0.01797096750122409,0.0002711183725717342,0.0,0.008846527765390652,0.0008684568873686987,0.0,0.0,0.0,0.004714774832082921,0.0,0.0,0.014598540145985403,0.004439479171652996,0.0044208239275654905,0.0,0.0,0.0,0.0,0.01932222912076453,0.0,0.0008566185398356308,0.009613620329429948,0.0008202574487618978,0.0,0.0,0.008393270935155824,0.0009090249067224556,0.0,0.0,0.0,0.019675759695948442,2.7490230233484332e-05,0.0010572786993375233,0.0036225111605312312,0.0,0.0,0.0007549363559959466,0.0010464882847493306,0.0008135306440784134,0.0,0.0,0.071499770077386,0.0
Helicobacter,0.00031759621473553487,0.0,0.0,0.0,0.0,0.0008187608426810043,0.2239756603243289,0.9592546822298134,0.0,0.0,0.00015761828764818082,0.16789981543238422,0.0010064524291179444,0.6408509160408311,0.00032410271360965465,0.05091542507551671,0.004165547744477807,0.010478918240971054,0.0,0.0,0.02848813932539286,0.7234822326852287,5.218501251003623e-05,0.20485871487462687,0.4961668871960229,0.7630473864986429,0.0002471945463021772,0.004846786900916538,0.0028324834280591235,0.0,0.4459041005911607,0.9960330046716872,0.2674940381667985,0.9810101876733232,0.0,0.0,0.0,0.03219622777409098,0.0,0.0,0.003959058611638863,0.9745612835464026,0.0,0.016608945135142657,0.0,0.0,0.2332972344760683,0.024114396672477854,0.042730299667036634,0.15384615384615385,0.9890077891825,0.059350406539414736,0.001654970207189665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16224188790560473,0.988719990973266,0.002625461347805616,0.0,0.9793510324483774,0.002283741006015684,0.037815126050420166,0.06238874217535336,0.018302440953589457,0.018681421863064117,0.8565416966358285,0.0,0.0,0.0,0.0,0.1193181818181818,0.0,0.0,0.005801119153960675,0.17334017570869026,0.0,0.0,0.0,0.04637111450826235,0.0,0.15026644268139974,0.0005174515027120451,0.2857142857142857,0.026315789473684213,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.14275815729679675,0.1635967918750676,0.0,0.0,0.0,0.011748929643669576,0.0,0.0,0.0,0.0,0.0,0.10655737704918034,0.8950495049504951,0.9986838641747828,0.0,0.0,0.3401360544217687,0.9605877920120574,0.0,0.0,0.00034388514364703035,0.4278919623714176,0.0,0.0,0.007568783880535951,0.0,0.0,0.0,0.00039280803281364137,0.2739651154837374,0.0,0.0,0.0005942073439891098,0.0,0.004385569673485325,0.8055034396497811,0.3800108514658834,0.0,0.10332103321033212,0.14598540145985406,0.0012132347780667266,0.0,0.0,0.0,0.0,0.5073068893528184,0.0,0.4077522178667218,0.0,0.10759126056675172,0.0,0.047142261159783067,0.4217870935263596,0.003824781691969742,0.0,0.0,0.08695652173913045,0.0,0.018181818181818174,0.0,0.0,0.0,0.0,0.0,0.0,2.1446429682799504e-05,0.015999436000208797,0.984882728140224,0.0,0.0,0.0
Paracoccus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comamonas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomonas,0.0,0.0,0.037013603290098084,0.022864967323301618,0.0002487625802163858,0.008708638053970683,0.017315830832405194,0.0007623040422202439,0.020375211125440662,0.021077547339945896,0.0001212448366524468,0.004470705144649284,0.00022770416948369781,0.00014498889503186224,2.5384268478518405e-05,0.0,0.007345480898150989,0.0,0.0,0.0,0.0,0.0,5.218501251003623e-05,0.007404531862938322,0.0,4.990335949534799e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054540691830354026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000279432704637145,4.374893950030577e-05,1.1936259930251116e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.00014616973783293188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5348399978976683e-06,0.0,0.0,0.0,0.014781292563431563,0.0006609517242841964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.834620175868558e-07,0.00028678384878349307,7.767633587709984e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017761943038387174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.631125665980807e-05,0.0,0.023613963039014373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023965446565152617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030385214203204267,0.0,0.0039091585051128155,0.0
Xanthomonas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrobacterium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradyrhizobium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
