taxon,TCGA-B7-5816-01A,TCGA-B7-5818-01A,TCGA-BR-4183-01A,TCGA-BR-4183-11A,TCGA-BR-4184-01A,TCGA-BR-4184-11A,TCGA-BR-4187-01A,TCGA-BR-4187-11A,TCGA-BR-4188-01A,TCGA-BR-4188-11A,TCGA-BR-4191-01A,TCGA-BR-4191-11A,TCGA-BR-4201-01A,TCGA-BR-4201-11A,TCGA-BR-4253-01A,TCGA-BR-4253-11A,TCGA-BR-4255-01A,TCGA-BR-4255-11A,TCGA-BR-4256-01A,TCGA-BR-4256-11A,TCGA-BR-4257-01A,TCGA-BR-4257-11A,TCGA-BR-4267-01A,TCGA-BR-4267-11A,TCGA-BR-4279-01A,TCGA-BR-4279-11A,TCGA-BR-4280-01A,TCGA-BR-4280-11A,TCGA-BR-4292-01A,TCGA-BR-4292-11A,TCGA-BR-4294-01A,TCGA-BR-4294-11A,TCGA-BR-4357-01A,TCGA-BR-4357-11A,TCGA-BR-4363-01A,TCGA-BR-4363-11A,TCGA-BR-4366-01A,TCGA-BR-4366-11A,TCGA-BR-4367-01A,TCGA-BR-4367-11A,TCGA-BR-4368-01A,TCGA-BR-4368-11A,TCGA-BR-4369-01A,TCGA-BR-4369-11A,TCGA-BR-4370-01A,TCGA-BR-4370-11A,TCGA-BR-6452-01A,TCGA-BR-6453-01A,TCGA-BR-6453-11A,TCGA-BR-6454-01A,TCGA-BR-6454-11A,TCGA-BR-6455-01A,TCGA-BR-6456-01A,TCGA-BR-6457-01A,TCGA-BR-6458-01A,TCGA-BR-6564-01A,TCGA-BR-6565-01A,TCGA-BR-6566-01A,TCGA-BR-6705-01A,TCGA-BR-6706-01A,TCGA-BR-6707-01A,TCGA-BR-6710-01A,TCGA-BR-6801-01A,TCGA-BR-6802-01A,TCGA-BR-6803-01A,TCGA-BR-6852-01A,TCGA-BR-7722-01A,TCGA-BR-8373-01A,TCGA-BR-8381-01A,TCGA-BR-8486-01A,TCGA-BR-8682-01A,TCGA-BR-8690-01A,TCGA-BR-A4J4-01A,TCGA-CD-5798-01A,TCGA-CD-5799-01A,TCGA-CD-5800-01A,TCGA-CD-5801-01A,TCGA-CD-5802-01A,TCGA-CD-5803-01A,TCGA-CD-5813-01A,TCGA-CD-8529-01A,TCGA-CG-4300-01A,TCGA-CG-4301-01A,TCGA-CG-4304-01A,TCGA-CG-4305-01A,TCGA-CG-4306-01A,TCGA-CG-4436-01A,TCGA-CG-4437-01A,TCGA-CG-4440-01A,TCGA-CG-4441-01A,TCGA-CG-4442-01A,TCGA-CG-4443-01A,TCGA-CG-4444-01A,TCGA-CG-4449-01A,TCGA-CG-4455-01A,TCGA-CG-4460-01A,TCGA-CG-4462-01A,TCGA-CG-4465-01A,TCGA-CG-4466-01A,TCGA-CG-4469-01A,TCGA-CG-4472-01A,TCGA-CG-4474-01A,TCGA-CG-4475-01A,TCGA-CG-4476-01A,TCGA-CG-4477-01A,TCGA-CG-5717-01A,TCGA-CG-5718-01A,TCGA-CG-5719-01A,TCGA-CG-5720-01A,TCGA-CG-5720-11A,TCGA-CG-5721-01A,TCGA-CG-5721-11A,TCGA-CG-5722-01A,TCGA-CG-5722-11A,TCGA-CG-5723-01A,TCGA-CG-5723-11A,TCGA-CG-5724-01A,TCGA-CG-5724-11A,TCGA-CG-5725-01A,TCGA-CG-5725-11A,TCGA-CG-5726-01A,TCGA-CG-5726-11A,TCGA-CG-5727-01A,TCGA-CG-5727-11A,TCGA-CG-5728-01A,TCGA-CG-5728-11A,TCGA-CG-5730-01A,TCGA-CG-5730-11A,TCGA-CG-5732-01A,TCGA-CG-5732-11A,TCGA-CG-5733-01A,TCGA-CG-5733-11A,TCGA-CG-5734-01A,TCGA-CG-5734-11A,TCGA-D7-5577-01A,TCGA-D7-5578-01A,TCGA-D7-5579-01A,TCGA-D7-6518-01A,TCGA-D7-6519-01A,TCGA-D7-6520-01A,TCGA-D7-6521-01A,TCGA-D7-6522-01A,TCGA-D7-6524-01A,TCGA-D7-6525-01A,TCGA-D7-6526-01A,TCGA-D7-6527-01A,TCGA-D7-6528-01A,TCGA-D7-6815-01A,TCGA-D7-6817-01A,TCGA-D7-6818-01A,TCGA-D7-6820-01A,TCGA-D7-6822-01A,TCGA-D7-8570-01A,TCGA-D7-A4YX-01A,TCGA-EQ-5647-01A,TCGA-F1-6177-01A,TCGA-F1-6874-01A,TCGA-F1-6875-01A,TCGA-F1-6875-11A,TCGA-FP-7998-01A,TCGA-HF-7136-01A,TCGA-HU-8245-01A,TCGA-HU-8608-01A,TCGA-HU-A4G6-01A,TCGA-HU-A4H0-01A,TCGA-HU-A4H0-11A,TCGA-IN-7806-01A
Spirochaetales,0.00051297214848347,6.146578239718206e-05,0.0,0.0,0.0,0.0016472967869928716,0.0,0.0,0.0,0.0,0.00016895508790540042,0.0,0.017590949938231112,0.025870233699314297,0.0029638395876264373,0.004733619905966656,0.0005652997498121008,0.0002534675450668153,0.0,0.0,0.017875900242161208,0.0013502044729406994,0.0050767136258853705,0.0018443001524087296,0.0002499394695253672,0.0001914872793222507,0.00012900542676095835,0.0011338705986344993,0.00025478157757244645,0.0,0.0,0.0,0.0,0.0017383470251661572,2.647520147737204e-05,0.0,0.0,0.002198591856434345,0.002792314021779199,0.0,0.0008448750000621551,0.0,0.0,0.0,0.0,0.0,0.0,0.007986969317767515,0.011168887830794855,0.0,0.0,0.0,0.03208156700659465,0.0,0.032696877816930266,0.0,0.0,0.0,0.003078514585553416,0.0,0.0,0.0,6.669722383605494e-05,0.0013729314222295868,0.0,0.006603420599164467,0.0,0.0005735748375504898,0.003858990906190693,0.0010766816912179831,0.003625709227414692,0.014268557136574012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004362452078774192,0.0,0.0,0.006559235763657928,0.0,0.00010808104567095307,0.0,0.0,0.0,0.0,0.014870972245899715,0.0,0.0,0.003184026279526189,0.0,0.02155213781660855,0.0,0.0,0.0,0.0004895880738756628,0.0,0.0020921310368027693,0.0,0.0,0.007700072928307047,0.0001281215034168583,0.00024624004088943447,0.0,0.0011829652996845426,0.0,0.01946931795760538,0.01580997439361194,0.0,0.0,0.10182433652687584,0.042965783872300566,0.010554178351924707,0.006198267075142385,0.028746926331358686,0.003413684683335828,0.015269124113845475,0.0,0.00027579271253761747,0.0,0.0830422580943281,0.0006684814227799705,0.006808035714285714,0.0009531419002482252,0.0,0.0,0.0,0.0,0.006969798028847781,0.0,0.0179206441612367,0.0,8.01315126872668e-05,0.0,0.0,0.0,0.0,0.005259423133113495,0.0002920726780444384,0.0042439363152344456,0.0,0.009489928811722156,0.0,0.0,0.0,0.0553183326443436,0.00011513477713168889,0.0047869085598273185,0.0,0.01402025147435184,0.0,8.134770151566119e-06,0.0008800169470347363,0.0018759916704975206,0.0,0.0,0.0,0.002569340268101911,0.0,0.0,0.0,0.0,0.0
Rhizobiales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacillales,0.000666863793028511,0.0005763606833144633,0.0,0.0,2.9987726252838347e-05,0.0034726797131201088,0.0,0.0,0.004727087062264203,0.0,0.0015401763274039714,0.010789670592281015,0.0009320557813118463,0.002757612056981133,0.002322026939356559,0.009736062670790678,0.0,0.007703013055982698,0.00944345408217516,0.003406556238653772,0.01361973351783711,0.013152580042292935,0.016595399760599337,0.002011963802627705,0.0015746186580098134,0.0007462532828444284,0.003664781304937272,0.03161865600379673,0.0013605250852648464,0.0,0.032657529665067735,5.6886889556756005e-05,0.02061738053328118,0.0,0.002894941777002789,0.0,0.0,0.0,0.041245348704878726,0.03281173067835497,0.0008448750000621551,0.000389335678896838,0.0,0.04944715949200745,0.0,0.0,0.005325084990809777,0.0014402731556629946,0.00518555506429761,0.0,0.0,0.0,0.007636352571802438,0.0,0.0,0.055467107833292784,0.0,0.0,0.0,0.0,0.0,0.00025321109605660563,0.0007336694621966044,0.0,0.0,0.0004502332226703045,0.0,0.009824406845881695,0.009803844606039709,0.0035932222521615226,0.017043932265624617,0.002413816004338127,0.0050241536570384175,0.0,0.0,0.0,0.0,0.0,0.0,0.004882405934273138,0.0006734488629325511,0.0,0.0,0.0,0.0,0.001026769933874054,0.0020732801310658416,0.0,0.0,0.05862358300505709,7.326566413569507e-05,0.012447670431595741,0.0,0.07960065698815473,0.0,0.006968954743094982,0.0,0.04274418006396223,0.0021156177751602877,0.022221858686467588,0.0,0.003187228853681404,0.019593302319112188,0.0,0.0045551494677282,0.0092247482460138,0.0007387201226683035,0.0,0.0,0.0,0.0023227914441252308,0.0,0.012178978024887478,0.002356990534625314,0.000164947632777396,0.0006847990488130606,0.0003708241729839258,0.00011556247945926191,0.0035933657914198358,0.0,0.01832294893661457,0.0,0.041089477822570365,0.03998025666337612,0.0005694856584012543,0.0012834843317375436,0.013616071428571429,0.02247428251930464,0.02266357615780724,0.0,0.00864974903359432,0.004238488650143361,0.0,0.0,0.0,0.0,0.004495803834101822,0.008361566667552806,0.05220522052205221,0.0,0.0,0.0,0.00040890174926221367,0.008487872630468891,0.0005095913723219236,0.012770136486870356,0.0024799899555883907,0.01935927461807868,0.016378759514967055,0.0012180183334534374,0.017065532521519218,0.004279899337049401,0.07558644656820156,0.05608100589740736,0.0,0.0008903724383796006,0.0007040135576277892,0.003438002763931604,0.06393743286462744,0.0,0.0,0.0127504590754767,0.009034741323753249,0.0,0.3010752688172044,0.03588852465049516,0.0
Actinomycetales,0.000410377718786776,0.00011437084342838776,0.0,0.004130918334922147,0.0,0.003294593573985744,0.0,5.741776806803839e-05,0.04979854912121386,0.00998694255783288,0.00038956705234944515,0.0021765080783731467,7.837105668688197e-05,0.00041190557863721655,0.0006930745963838253,0.003277121473361532,0.042658820511899516,0.018810968265108318,0.0025182544219133764,0.0,0.0,0.0,0.00016205753368767815,0.0012295334349391534,0.007783202779079416,0.000355619233027037,0.00024038762954262476,0.008504029489758745,0.009213467718093421,0.0,0.012058164799409623,0.0,0.030477866875285226,7.153691461589123e-05,0.010110840366420223,0.0,0.0,0.0,0.02223788824552083,0.015440814436872926,0.004224375000310775,0.0007008042220143084,0.0,0.008241193248667908,0.0,0.0,0.03370114127659588,0.01954708869036591,0.018295701970444903,0.0,0.0005775083301777232,0.0033288688503886666,0.0,0.0,0.0,0.12374897419174725,0.05601317957166392,0.0,0.0046177718783301245,0.002631578947368421,0.0,0.00025321109605660563,0.0014506646184341949,0.0006101917432131497,0.0,0.0,0.03208317861121425,0.06631540707309103,0.011773155557649302,0.0002970577380341809,0.005371421077651396,0.00033117437406424377,0.0012154601634608345,0.0,0.00173862448747584,0.0567199654278306,0.0,0.029789142517734436,0.0,0.002343554848451107,0.0013581218735806448,0.01027214170247715,0.06924460431654676,0.0,0.08833922261484098,0.0,0.00038192002414370765,0.0,0.0,0.013307293370604704,2.758615295493816e-05,0.002645865508935094,0.0,0.041392341633840465,0.0,0.0005162188698588874,0.0,0.04825955813673155,0.0016436961589139116,0.014659929683786356,0.0,0.0012033845154613974,0.011973684750568559,0.0,0.0026245206761208954,0.0012812150341685832,0.0009843205790359473,0.027945945749637737,0.0,0.0,0.0003236676602469584,0.0,0.0,0.0,5.114988926502746e-06,0.0,0.0007535407235924455,0.00016000441435252117,0.0,0.0,0.0,0.0,0.0015720184614644195,0.0,0.00018982855280041808,0.012092286926125252,0.013002200894673957,0.014513067554556615,0.01578995207310386,0.0071428571428571435,0.03748224581224205,0.0012466143088656946,0.0,0.0,0.0,0.0,0.015179495485342503,0.02394834827643941,0.0,0.0,0.011108061563332236,0.034186250365237716,0.007040119831583142,0.0,0.0004050598087687084,0.02679014301788861,0.002876979599168969,0.006832685159321888,0.010919173009978037,0.0013920209525182141,0.0016118868798436444,0.011251216226170722,0.0,0.02804050294870368,0.0,0.0005884455082672211,0.008809195285188743,0.0008553990359910253,0.05114994629170196,0.11927351585795608,0.004570799521343379,0.0030099172541602336,0.0023546140515573136,0.0,0.10752688172043012,0.012494523396839052,0.0
Mycoplasmatales,0.000410377718786776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023169688798343438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006674926582613224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036842105263157884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5177505548515563e-05,9.477831788890696e-05,0.0,3.827251021025459e-05,0.0,0.0,0.00022482929095376993,0.0,0.0,0.0,0.0,0.0,0.029220197886129024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.494828487428944e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034270693437913236,0.0,0.0,0.0,2.0221945788017492e-07,0.0,0.0,0.0,0.0023955771942798906,0.003413684683335828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005554030781666119,0.0,0.0,0.0,0.00016986379077397454,0.00023913121371456767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007040135576277892,0.001190533175508042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thermotogales,0.0,0.0,0.5677634905103625,0.7642198919605973,0.009843145188947964,0.42747351622465024,0.5982935278990745,0.032010405697931406,0.4677014954863923,0.5759136875016961,0.008574470711199069,0.16878820147783755,0.005544752260596899,0.01290294225081081,0.00031509399346215067,0.03345091400216437,0.2726393691554702,0.013274838294983566,0.0,0.0,0.005107400069188917,0.0,0.0027954924561124483,0.561896779767193,0.0001249697347626836,0.0,0.0,0.0009951473811230817,0.0,0.0,0.0,0.0,0.0,2.1461074384767375e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035965452356494522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.258875277425778e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7278163475971766,0.049944175658847366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033085957633768553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046734171581172814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Verrucomicrobiales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomonadales,0.0,0.0,0.04377171044158101,0.02716873212583412,0.0003242380012463643,0.008401213613663645,0.018491223710615318,0.0008070386289563173,0.02491993100208744,0.025711064882931463,0.00011263672527026692,0.004733905070461594,0.0002873605411852338,0.00014416695252302583,2.035873764793764e-05,0.0,0.00803140151096064,0.0,0.0,0.0,0.0,0.0,6.414777375137259e-05,0.007025905342509446,0.0,8.597388051203093e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004030611039951972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002586491853366537,3.112855231452833e-05,1.3388370259267647e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0001451707689692885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.401697166097359e-06,0.0,0.0,0.0,0.01883582680116917,0.0009033830222530529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.561751661520521e-07,0.0002121079156130652,7.343900358160215e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015560426135639028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.306223006850541e-05,0.0,0.017101710171017106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015578057193724262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026254851439939998,0.0,0.003308826354103623,0.0
Burkholderiales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coriobacteriales,0.001692808089995451,7.718322742300902e-05,0.0,0.0,0.0,0.0,0.0,5.741776806803839e-05,0.0,0.00332898085261096,0.0006504770884357915,0.002693428746986769,0.0,0.00028833390504605166,0.000160858795461158,0.0012149624425314414,0.005652997498121008,0.0017700800949950516,0.0,0.0,0.0,0.001050159034509433,0.0002315107624109688,0.0061476671746957656,0.0,0.00016413195370478632,0.0,0.0007559137324229996,0.0018799890641028089,0.0,0.0,1.185143532432417e-05,0.0,0.0001888574545859529,0.007029497854099236,0.0,0.0,0.0,0.0009307713405930664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074899549133744985,0.0007703338120677897,0.0,0.0,0.0035965452356494522,0.0,0.0,0.0,0.0,0.0,0.0,0.0006225074224698461,0.0,0.0,0.0,0.0,0.0006691706438089046,0.0007528074159006152,0.00020712529958161132,0.0,7.596949395118204e-05,0.0,0.0,0.0018385486167886266,0.0,0.0,0.008826412597847241,0.0,0.0,0.0,0.0015613655387765268,0.0,0.0,0.0,0.00010808104567095307,0.0,0.0,0.0,0.0,0.000827917013010363,0.0005412756413878179,0.0,0.006368052559052379,0.0,0.0011184742180275894,0.0,0.004902558286906064,0.0,0.0019233817187972468,0.0,0.003134931245886284,0.005986842375284279,0.0,0.002798009776176534,0.0008968505239180082,0.0002014691243640828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6200412680010542e-05,0.0,0.0042760888109100986,0.0008646884989927963,0.0,0.0,0.0,0.0,0.0002068445344032131,0.0,0.0,0.0029413182602318704,0.0,0.0006399402373614459,0.000852689003957104,0.0,0.00648731177519574,0.0,0.0,0.0,0.0,0.0,0.0008598333843529827,0.0005107557964416492,0.0,0.0,0.0,0.0,0.0002726011661748092,0.0,0.0,0.0008044381567026096,0.0005165655832331022,0.005124513869491415,0.005459586504989018,0.0015225229168167964,0.00017270216569753336,0.0,0.0,0.0,0.0,4.545900967051656e-06,0.00035200677881389454,0.0,0.0,0.0,0.0,0.0021456917662109514,0.0,0.0,0.0,0.0,0.0
