taxon,TCGA-B7-5816-01A,TCGA-B7-5818-01A,TCGA-BR-4183-01A,TCGA-BR-4183-11A,TCGA-BR-4184-01A,TCGA-BR-4184-11A,TCGA-BR-4187-01A,TCGA-BR-4187-11A,TCGA-BR-4188-01A,TCGA-BR-4188-11A,TCGA-BR-4191-01A,TCGA-BR-4191-11A,TCGA-BR-4201-01A,TCGA-BR-4201-11A,TCGA-BR-4253-01A,TCGA-BR-4253-11A,TCGA-BR-4255-01A,TCGA-BR-4255-11A,TCGA-BR-4256-01A,TCGA-BR-4256-11A,TCGA-BR-4257-01A,TCGA-BR-4257-11A,TCGA-BR-4267-01A,TCGA-BR-4267-11A,TCGA-BR-4279-01A,TCGA-BR-4279-11A,TCGA-BR-4280-01A,TCGA-BR-4280-11A,TCGA-BR-4292-01A,TCGA-BR-4292-11A,TCGA-BR-4294-01A,TCGA-BR-4294-11A,TCGA-BR-4357-01A,TCGA-BR-4357-11A,TCGA-BR-4363-01A,TCGA-BR-4363-11A,TCGA-BR-4366-01A,TCGA-BR-4366-11A,TCGA-BR-4367-01A,TCGA-BR-4367-11A,TCGA-BR-4368-01A,TCGA-BR-4368-11A,TCGA-BR-4369-01A,TCGA-BR-4369-11A,TCGA-BR-4370-01A,TCGA-BR-4370-11A,TCGA-BR-6452-01A,TCGA-BR-6453-01A,TCGA-BR-6453-11A,TCGA-BR-6454-01A,TCGA-BR-6454-11A,TCGA-BR-6455-01A,TCGA-BR-6456-01A,TCGA-BR-6457-01A,TCGA-BR-6458-01A,TCGA-BR-6564-01A,TCGA-BR-6565-01A,TCGA-BR-6566-01A,TCGA-BR-6705-01A,TCGA-BR-6706-01A,TCGA-BR-6707-01A,TCGA-BR-6710-01A,TCGA-BR-6801-01A,TCGA-BR-6802-01A,TCGA-BR-6803-01A,TCGA-BR-6852-01A,TCGA-BR-7722-01A,TCGA-BR-8373-01A,TCGA-BR-8381-01A,TCGA-BR-8486-01A,TCGA-BR-8682-01A,TCGA-BR-8690-01A,TCGA-BR-A4J4-01A,TCGA-CD-5798-01A,TCGA-CD-5799-01A,TCGA-CD-5800-01A,TCGA-CD-5801-01A,TCGA-CD-5802-01A,TCGA-CD-5803-01A,TCGA-CD-5813-01A,TCGA-CD-8529-01A,TCGA-CG-4300-01A,TCGA-CG-4301-01A,TCGA-CG-4304-01A,TCGA-CG-4305-01A,TCGA-CG-4306-01A,TCGA-CG-4436-01A,TCGA-CG-4437-01A,TCGA-CG-4440-01A,TCGA-CG-4441-01A,TCGA-CG-4442-01A,TCGA-CG-4443-01A,TCGA-CG-4444-01A,TCGA-CG-4449-01A,TCGA-CG-4455-01A,TCGA-CG-4460-01A,TCGA-CG-4462-01A,TCGA-CG-4465-01A,TCGA-CG-4466-01A,TCGA-CG-4469-01A,TCGA-CG-4472-01A,TCGA-CG-4474-01A,TCGA-CG-4475-01A,TCGA-CG-4476-01A,TCGA-CG-4477-01A,TCGA-CG-5717-01A,TCGA-CG-5718-01A,TCGA-CG-5719-01A,TCGA-CG-5720-01A,TCGA-CG-5720-11A,TCGA-CG-5721-01A,TCGA-CG-5721-11A,TCGA-CG-5722-01A,TCGA-CG-5722-11A,TCGA-CG-5723-01A,TCGA-CG-5723-11A,TCGA-CG-5724-01A,TCGA-CG-5724-11A,TCGA-CG-5725-01A,TCGA-CG-5725-11A,TCGA-CG-5726-01A,TCGA-CG-5726-11A,TCGA-CG-5727-01A,TCGA-CG-5727-11A,TCGA-CG-5728-01A,TCGA-CG-5728-11A,TCGA-CG-5730-01A,TCGA-CG-5730-11A,TCGA-CG-5732-01A,TCGA-CG-5732-11A,TCGA-CG-5733-01A,TCGA-CG-5733-11A,TCGA-CG-5734-01A,TCGA-CG-5734-11A,TCGA-D7-5577-01A,TCGA-D7-5578-01A,TCGA-D7-5579-01A,TCGA-D7-6518-01A,TCGA-D7-6519-01A,TCGA-D7-6520-01A,TCGA-D7-6521-01A,TCGA-D7-6522-01A,TCGA-D7-6524-01A,TCGA-D7-6525-01A,TCGA-D7-6526-01A,TCGA-D7-6527-01A,TCGA-D7-6528-01A,TCGA-D7-6815-01A,TCGA-D7-6817-01A,TCGA-D7-6818-01A,TCGA-D7-6820-01A,TCGA-D7-6822-01A,TCGA-D7-8570-01A,TCGA-D7-A4YX-01A,TCGA-EQ-5647-01A,TCGA-F1-6177-01A,TCGA-F1-6874-01A,TCGA-F1-6875-01A,TCGA-F1-6875-11A,TCGA-FP-7998-01A,TCGA-HF-7136-01A,TCGA-HU-8245-01A,TCGA-HU-8608-01A,TCGA-HU-A4G6-01A,TCGA-HU-A4H0-01A,TCGA-HU-A4H0-11A,TCGA-IN-7806-01A
Bacteroidetes,0.7139908179618556,0.4635379036740204,0.14034743434403055,0.02911865329686633,0.0002981343909799809,0.021336512125116638,0.012850876794264457,0.0006737832954896472,0.1125066367706976,0.12869985250581342,0.3075897403177403,0.29864713349575833,0.06667857520801956,0.1828365308535072,0.6342891647090056,0.6454458904748926,0.3693180199574809,0.33372716832907284,0.090509882127065,0.27413071959183233,0.504970777851419,0.09081927218327436,0.3803802036364505,0.037097257460126,0.01685647219778473,0.004712662203211281,0.004550113394793567,0.18795690985878025,0.32220035646477024,0.15057113187954313,0.06288150585135227,0.00042635222721833086,0.1039524545444288,0.007599014495858514,0.5125531376647422,0.5085997538174923,0.0,0.6991132321981264,0.2620340466296226,0.19725876920068955,0.031045917109752207,0.010570587105349671,0.45351199032328704,0.17613947991914236,0.012379255369033108,0.005445684786190391,0.09683954301542956,0.579323755868549,0.6324851543023798,0.0,0.005929601689260032,0.7816789111919712,0.5154262411705316,0.2132450331125828,0.7345763139904992,0.057599501126203836,0.4866682228709081,0.09090909090909093,0.4737896183134999,0.416944278052762,0.6019251858169856,0.007177049066497884,0.009114559937553692,0.06960965511492671,0.01562881708622587,0.6483900966457379,0.08192805108360014,0.10115798095188816,0.5188053747429617,0.6580321209261099,0.025314761781419563,0.8763274294380727,0.02634442454035498,0.19941348973607034,0.8377603724983426,0.33381416156837435,0.0,0.32151935048324043,0.21121663737205149,0.2300474186932112,0.6437139239475799,0.039725644784017,0.01572145490074166,0.015259516671379763,0.0,0.0008966151058888091,0.06510808295192927,0.1801801801801802,0.22775524294467936,0.12981627640308693,0.4506665825184911,0.8184141839582493,0.0,0.2463936527523983,0.0036235937481566218,0.2690904777046652,0.33860776783273905,0.28520016780349183,0.2641477798307865,0.3695506493144591,0.2354048964218456,0.2512279900075693,0.0955750497886798,0.631578947368421,0.5414455050530469,0.3975567481260101,0.7030465608272833,0.13158038186915172,0.022097701594933527,0.0010505640503031255,0.7027285939901887,0.5971096694423056,0.2284618274934931,0.0214238523218064,0.6518289161319059,0.7742628607940949,0.7757605321341463,0.4866226954170289,0.4400363763126422,0.4022258442475304,0.3508093430115273,0.20512820512820512,0.3109619628288728,0.4534324689542039,0.6620766977283365,0.5126726154280665,0.4142893907898568,0.3445363702279172,0.11141531315091698,0.12771459098384186,0.14443258379375815,0.03488895223264843,0.5305623335569609,0.11741682974559688,0.7355471529416797,0.1667656576210785,0.06439019928603087,0.2303517173580304,0.3232775674349988,0.5928439235040099,0.14316129302034036,0.2319271808977657,0.006124277775324096,0.0,0.054946821584694015,0.5436780441445778,0.3589536816069248,0.4062366838029935,0.16963647234634194,0.5193733081884826,0.6264249276214117,0.11404591163768125,0.16860376204312585,0.4303959866614924,0.02876898081004627,0.0013701734503696625,0.1872357034155602,0.22831868697458266,0.07785578370796728,0.12511030956746927,0.18341912376325456,0.639418933973295,0.25106245343377703,0.0,0.0,0.1442868412309055,0.4391212171883295
Proteobacteria,0.0014251243683021547,0.017432310234021756,0.043551521726435234,0.032116161724484935,0.007132046090838267,0.4824879319728749,0.22680639002359956,0.9425549549722844,0.03852737314766593,0.03169779206313731,0.012184778320362716,0.1724733056247945,0.3171397011840244,0.6427495894635811,0.001971496282199409,0.07069892525850822,0.05507729740546585,0.2883533186966073,0.5723933935420906,0.06206192263878666,0.16991961463853975,0.7372811811040871,0.034947493384107964,0.18519240463665315,0.6250419238108079,0.9024376252591806,0.8089774870125649,0.16964126458623288,0.013138094329584309,0.16060920733817932,0.6666194629747563,0.9973945116588384,0.3479320563922951,0.9803525417916928,0.0020735769733458372,0.07395455603978841,0.0,0.031170677686584363,0.2705538713937052,0.19503789984763206,0.01708920529525334,0.9724782239969686,0.016815586531922316,0.1426616877422028,0.0,0.0,0.2587943171757591,0.1541052575328107,0.12653274965177094,0.3582089552238806,0.9819632587800544,0.08055887215876273,0.11535856723962527,0.5125827814569537,0.0063135986205875546,0.02605956989307838,0.038570441905852855,0.18181818181818185,0.21274567884124612,0.07670755867371068,0.3980748141830144,0.9892906520137348,0.34747256335794324,0.0019114623997508766,0.9818049697378876,0.0029441415833736323,0.06880757030537786,0.5175292848729789,0.19862426847102949,0.10218630482053613,0.9227915230425348,0.001164549258479194,0.0127298589799648,0.0,0.006688031548326539,0.3523697602751817,1.0,0.029183217437031176,0.009305348359747723,0.1960208606580888,0.017890467292542876,0.6766119801140354,0.0,0.09252085897594467,0.3595302317441034,0.119041213088109,0.6351635275261742,0.16216216216216214,0.19159402778976434,0.04481611905824751,0.020163869588573517,0.002143295852359137,0.5581395348837209,0.1029319366471516,0.27692396084298804,0.006455247654794696,0.244721068570025,0.2134904676088519,0.021945050863020225,0.08428771915740653,0.16195856873822975,0.07136186674302934,0.2120438176605241,0.0,0.004273452761200117,0.2828354722987075,0.006789899689799504,0.1909445541543039,0.9285507648430482,0.9989494359496968,0.03103809322389183,0.10327765474098836,0.442149972985006,0.9695524943241884,0.02331628484741711,0.004235081164043958,0.05516421628361588,0.4338284610499941,0.10745969473873958,0.2703183636062209,0.03013314806698323,0.0,0.17826012723306606,0.15500464947479878,0.02033804395246041,0.2901851823151167,0.02530533135483499,0.3617669311925127,0.3702280727858432,0.4355617796818551,0.3271028896403854,0.8718253021216044,0.38785639696256186,0.3835616438356164,0.18800350040636649,0.7469016493415942,0.04832028194466406,0.19073284239086727,0.31807888422092256,0.0,0.011549779504573329,0.5767403425715331,0.7321161072579665,0.4423448474995448,0.009679925282467777,0.22905703436155,0.004514602505079812,0.17934608482418787,0.5322445517273156,0.040023279682535766,0.026064932765472,0.6625430312254977,0.21945251567517968,0.11511116908979264,0.6064728416944889,0.0004121711812015041,0.02778853671078988,0.2041034176501285,0.18993933246725375,0.15203854909448536,0.0012718538674609211,0.012286906259905922,0.14842157379994814,0.9873008937362142,0.09445152300603156,0.3949047424386182,0.20388073733786785
Firmicutes,0.2681582019430321,0.4903429092891754,0.07044465816495744,0.023926166170502063,0.9690349413312584,0.060595443718175226,0.01211009943519658,0.0010830442601574327,0.1685657924538457,0.08333660459733057,0.5574409093258865,0.22135201535205876,0.20557963776183225,0.10058802932438032,0.2415286398069346,0.2057276871279257,0.12145649313533595,0.2828661950468955,0.23102347920023444,0.32168171616561153,0.16698996611028907,0.1547678035251092,0.17985888040144662,0.028814755325501238,0.3442050512902315,0.06776811116545396,0.17549557770236532,0.4239602157481037,0.5815372552671846,0.30114226375908626,0.24580952287346805,0.002131472279569149,0.4854524679481431,0.009087726043139828,0.4106080873881764,0.2920256828237799,0.0,0.24210958040896435,0.41723193276870935,0.5437944448235223,0.9486178956839088,0.01472445959729864,0.2443205807873419,0.5774346298706725,0.9850484318270122,0.9264832553864296,0.5404352834677456,0.17502840232400144,0.14107009574855298,0.4029850746268657,0.009804796823099309,0.0978384117541612,0.18394158481252249,0.1827814569536424,0.17728584926609858,0.6027347667647514,0.13414572809903236,0.5454545454545454,0.23879617012792936,0.3810310104053602,0.0,0.002169406707077616,0.6306898856737839,0.9185071112485332,0.00256621317588647,0.3268411783360425,0.7527731496096335,0.13193837973524253,0.17426415711214735,0.18615774922515027,0.03674467537358223,0.08470952661876448,0.9568064485374898,0.8005865102639297,0.14948093228488726,0.21413332391851472,0.0,0.5319601063519359,0.7794780142682008,0.5712690386185449,0.21008192760417366,0.26539611760073106,0.7694186614557891,0.8721950124679699,0.4845006331524817,0.8796764834338096,0.2992070189254073,0.5675675675675675,0.5806507292655563,0.7463959294959935,0.3369000349395255,0.1567336846121426,0.0,0.4847952259467718,0.00326123437334096,0.18250776218109965,0.3166279594648359,0.34537853559866993,0.5463875784674838,0.3009229350341908,0.6026365348399247,0.5927912304967687,0.4291283505592613,0.3684210526315789,0.2978115543752394,0.20530118411405607,0.2319144165113632,0.5961704801904153,0.04677346837594263,0.0,0.2313982978552244,0.22251303772881545,0.3267004133156951,0.006738442439679279,0.08135384599686367,0.0665843624168675,0.1172410074340886,0.05339896209368465,0.0969933233653832,0.16093614659143615,0.5886994866152003,0.7948717948717948,0.5020404757810197,0.36947471902083856,0.09913579600977923,0.15451267863036267,0.5031323181734226,0.19652076394069734,0.4746282652666344,0.4257153032794727,0.4401265548265548,0.08085567359524908,0.058630017196967026,0.264187866927593,0.05550150426611844,0.08003964935351293,0.8527064461638089,0.4691377506233716,0.3145996038105953,0.4071560764959901,0.8235967990080559,0.14291945382135046,0.09996409821457937,0.4702688452147058,0.9247440975151424,0.14000007392306504,0.6010459519245589,0.2943284069783512,0.2483322177829657,0.2336256615121691,0.2452188934568546,0.19219898983182845,0.42957638782688495,0.35321618139961386,0.3036416006818171,0.9053481088125176,0.7566874783485642,0.5239017388085611,0.6083720432080838,0.5598332267362455,0.6818712967227101,0.27780091008093505,0.18823392999718103,0.012699106263785743,0.7334307864102948,0.4000812936250041,0.3078215992923453
Fusobacteria,0.011757276038492777,0.028113890949980787,0.00534656892739164,0.01588290179829073,0.0,0.0033764850837726657,0.0007729850703316965,0.0,0.009965799419182728,0.003272030148452884,0.1029389802866088,0.04679011962045816,0.3853116118075856,0.030406654699491963,0.11704466569245528,0.008787783730177063,0.010413399114505922,0.04122460520443357,0.10309171316107628,0.3399289390870239,0.1368796895699348,0.012417380543352785,0.39100958046657597,0.00316683905147417,0.004338062697959306,0.02417929390991179,0.0022503469711426835,0.18137969533901105,0.07045523288135196,0.30114226375908626,0.005716500531941117,0.0,0.0093049665460203,0.0003644517960976689,0.05721601541026019,0.0,0.0,0.019201137454935964,0.03063246720752328,0.030293844827991717,0.000412546281677556,0.0,0.2853518423574487,0.0385305112323124,0.0025723128039549315,0.01089136957238078,0.04062996836250714,0.06359683126716749,0.06988832013570725,0.2388059701492537,0.0018695945624719128,0.02863563270853499,0.1487356247689088,0.0913907284768212,0.05000370107505344,0.014964626379549678,0.2963684690560017,0.18181818181818185,0.058923730291307236,0.03189691412863053,0.0,0.0009762330181849274,0.010408423307256123,0.007151341913495816,0.0,0.01405710775045696,0.07480387272850446,0.015667589527847182,0.08726276939117264,0.05112940401337136,0.006193751300429914,0.02243023885366749,0.001810134878565617,0.0,0.0,0.011075861581992141,0.0,0.06596051798549968,0.0,0.0,0.08922170202238629,0.002238064494874197,0.14149309410667493,0.0,0.0,0.00010581172057072904,0.0,0.0900900900900901,0.0,0.06341328410962913,0.17462190760077692,0.01590440009978374,0.4418604651162791,0.08495969374050608,0.0163061718667048,0.4606206730735815,0.10004320413240016,0.039795372251650016,0.1624386848252516,0.2265042958033036,0.0,0.06820041385710889,0.23058316207758414,0.0,0.13977850142973822,0.109849497852614,0.055396676941567684,0.006800019734839882,0.0014731801063289018,0.0,0.015214822114635675,0.061679710470312475,0.0026877862058058014,0.002285210914326016,0.14180679666011406,0.11200917602671297,0.032614717109500084,0.01822618525643521,0.32398777548948543,0.16011504380270436,0.015179011153144538,0.0,0.002875873516743655,0.02208816255015883,0.13314045975161232,0.0,0.024618688868629127,0.06510447694030431,0.0025612927618977447,0.0,0.017225904489163817,0.008569216337843473,0.016065876598457155,0.2348336594911937,0.0,0.006293043683814283,0.01124693783176998,0.08619080379996258,0.044043944533483335,0.0,0.0,0.0,0.14562692014931358,0.08322505455785642,0.008555207111340973,0.03697600100733485,0.028075891038888183,0.09620501532325937,0.01007827441340623,0.14877260222303326,0.10009825644667013,0.0057023564013946775,0.1823673344548096,0.02994059037645165,0.05720086618286845,0.09136227098030003,0.010440073046834874,0.03858795675027265,0.04682986990140912,0.0,0.12764867707357974,0.05771163363221893,0.4101286814103252,0.0,0.0,0.04429058101075263,0.033068106561736185
Verrucomicrobia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloroflexi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermotogae,0.0,0.0,0.4785179190015519,0.7345842081709463,0.012440456037901256,0.3504791516956027,0.4819561913518128,0.03130284893628986,0.4497066987906206,0.5660612156823489,0.008555317309112522,0.15708111586868095,0.005487469802651992,0.012836771677379859,0.0003115361459230596,0.03212086466892306,0.2654890234768922,0.011910211745081672,0.0,0.0,0.0047199892955149935,0.0,0.00276817196517724,0.4134986990067702,0.00012394464851312302,0.0,0.0,0.0009669441945265602,0.0,0.0,0.0,0.0,0.0,2.1438340946921697e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002494104396591613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2313844934283798e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833985934532162,0.049772185365934266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002830407575734174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042772271966359495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actinobacteria,0.0037524283086947494,0.000511973315983157,0.2617918978356333,0.1643719088389098,0.011094422149022173,0.08037388137094892,0.2655034573247949,0.02438536853577878,0.22072769941798748,0.18693250500291692,0.011121696759321537,0.10365631003824936,0.002393785203327493,0.004204559573859547,0.0019241236292259461,0.03267344336189565,0.17774989076200925,0.04168021688429331,0.0029815319695337627,0.00219670251674564,0.0,0.0033839290145316983,0.0060123545945267075,0.3308728277831293,0.009186656057676977,0.0007116473381609228,0.008600002383260485,0.03502018207662052,0.012415616685375832,0.08653513326410524,0.018973007768482143,4.766383437426348e-05,0.05335805456911272,0.0008383219155635813,0.017522851427305884,0.1254200073189394,0.0,0.006576692493776021,0.016783850372693386,0.03361504130016441,0.002009343066053037,0.0022267293003831626,0.0,0.06523369123566987,0.0,0.0571796902549991,0.06269711293129186,0.020173916515512032,0.01907103297614229,0.0,0.0004327481451144506,0.01128817218656989,0.005127408947892699,0.0,0.0,0.29614743143982525,0.044247138068205065,0.0,0.012643553463316942,0.059069715831780764,0.0,0.0003866591945047856,0.002249925454402456,0.001451023424964344,0.0,0.0011875529075792805,0.021687356272884144,0.2332761424671133,0.01723176884721296,0.001312795472007164,0.006908502871144417,0.0011318745418067266,0.002309133063624859,0.0,0.005846377298372268,0.08860689265593713,0.0,0.051376807742292925,0.0,0.0026626820301550672,0.005007283978697878,0.01602819300634225,0.07336678953679443,0.013920805216153643,0.1559691351034149,0.00017406493105102957,0.0005213705964892454,0.0,0.0,0.015558390933042891,0.002799564603368634,0.006804435477465158,0.0,0.07765181038469122,0.11648644571559345,0.01007573423669202,0.0,0.11613545673733637,0.0050809060134580615,0.018247995014121453,0.0,0.014288612678921238,0.03266961991395066,0.0,0.008990734894851244,0.004332884375644914,0.002607426550148293,0.07450456405128912,0.0,0.0,0.0006365608148269829,0.0,0.0,0.0,0.0009921865667373178,0.00048408544011008866,0.008736281560075476,0.0017435449642627633,0.0,0.0,0.0,0.0,0.005614509794715034,0.0,0.0032024536262352872,0.0419725686911122,0.022995489104186976,0.031052150195650313,0.041167056034707696,0.01100832605483034,0.0711120672501378,0.0038608557126547523,0.0,0.0,0.004796610985642281,0.0,0.02325704603978317,0.023586885827768158,0.0,0.0,0.01622939491757001,0.04360900745485173,0.015885470937914332,0.0,0.0019038694978779234,0.0409766914260542,0.007409872924548455,0.023883809071208045,0.03970848372997053,0.003197639430717634,0.002083067960132425,0.02118761180387503,0.0,0.05422716368610556,0.003915710630779293,0.0014993921349285187,0.016273640084302054,0.001853588969179764,0.07700297071528603,0.16301791460179998,0.00578904857299477,0.010247381815912641,0.002153361358768488,0.0,0.17211769058367374,0.016436541694719496,0.016108339619721218
Spirochaetes,0.000508972988679341,6.101253681826645e-05,0.0,0.0,0.0,0.0013505940335090665,0.0,0.0,0.0,0.0,0.0001685776809677344,0.0,0.017409219032558654,0.02573756254839376,0.0029303737342560397,0.0045454053776777924,0.0004958761483098059,0.00023828409361576982,0.0,0.0,0.016519962534302476,0.0013304336296449408,0.005023315551715053,0.001357216736346073,0.00024788929702624604,0.0001906601240815317,0.00012647253587310065,0.0010747881967249264,0.00025344437173314304,0.0,0.0,0.0,0.0,0.0017365056167006575,2.633113616947094e-05,0.0,0.0,0.0018286797576129489,0.0027638316277464607,0.0,0.0008250925633551119,0.0,0.0,0.0,0.0,0.0,0.0,0.0077718364919593394,0.01095264718544666,0.0,0.0,0.0,0.031410573060519364,0.0,0.031820537047761284,0.0,0.0,0.0,0.003101248962700381,0.0,0.0,0.0,6.464226906066448e-05,0.001369405898328986,0.0,0.00657992277680964,0.0,0.0004306224449300773,0.003774719900673018,0.0010860247707519342,0.002046785630889196,0.01419830576267331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004427668733320668,0.0,0.0,0.006103806668551906,0.0,0.00010581172057072904,0.0,0.0,0.0,0.0,0.014848040749264326,0.0,0.0,0.003267680528481003,0.0,0.02147791978323262,0.0,0.0,0.0,0.0004864056765185657,0.0,0.0020849469329450613,0.0,0.0,0.007700251485924134,0.00012421323296747577,0.00024501947983805565,0.0,0.0011048850797466762,0.0,0.01865525454552096,0.015419927617578119,0.0,0.0,0.1007017133559206,0.04242443415817043,0.01048324547857377,0.006180151218594356,0.029097997009614962,0.0032023008760540873,0.015179011153144538,0.0,0.0002470508455828175,0.0,0.08210654893157612,0.0006569549353419713,0.006828374133335198,0.0010193075029181038,0.0,0.0,0.0,0.0,0.0068853756850530655,0.0,0.016151231400193197,0.0,7.908873394305535e-05,0.0,0.0,0.0,0.0,0.004804015254499174,0.0002831256649021596,0.004161252727892821,0.0,0.009080153921480072,0.0,0.0,0.0,0.05500750896306182,0.00010992174945909432,0.00432209909972271,0.0,0.01283168158990785,0.0,7.8834406825653e-06,0.0008747602188604812,0.0019782629965349164,0.0,0.0,0.0,0.002534234237732479,0.0,0.0,0.0,0.0,0.0
Synergistetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
