"Package","Version"
"abind","1.4-8"
"ade4","1.7-23"
"annotate","1.80.0"
"AnnotationDbi","1.64.1"
"ape","5.8-1"
"aplot","0.2.9"
"arrangements","1.1.10"
"ashr","2.2-63"
"askpass","1.2.1"
"assertthat","0.2.1"
"babelgene","22.9"
"backports","1.5.1"
"base","4.3.3"
"base64","2.0.2"
"base64enc","0.1-6"
"bayesm","3.1-6"
"beachmat","2.18.0"
"beanplot","1.3.1"
"BH","1.90.0-1"
"biglm","0.9-3"
"Biobase","2.62.0"
"BiocFileCache","2.8.0"
"BiocGenerics","0.48.1"
"BiocIO","1.12.0"
"BiocManager","1.30.27"
"BiocNeighbors","1.20.2"
"BiocParallel","1.36.0"
"BiocSingular","1.18.0"
"BiocVersion","3.18.1"
"biomaRt","2.58.2"
"biomformat","1.30.0"
"Biostrings","2.70.1"
"bit","4.6.0"
"bit64","4.8.2"
"bitops","1.0-9"
"blob","1.3.0"
"boot","1.3-32"
"brew","1.0-10"
"brio","1.1.5"
"broom","1.0.9"
"bslib","0.11.0"
"cachem","1.1.0"
"callr","3.7.6"
"car","3.1-3"
"carData","3.0-5"
"caret","6.0-94"
"caTools","1.18.3"
"cellranger","1.1.0"
"checkmate","2.3.4"
"chemometrics","1.4.4"
"class","7.3-23"
"cli","3.6.6"
"clipr","0.8.0"
"clock","0.7.3"
"cluster","2.1.8.1"
"clusterProfiler","4.10.0"
"cmprsk","2.2-12"
"coda","0.19-4.1"
"codetools","0.2-20"
"colorspace","2.1-2"
"ComICS","1.0.4"
"commonmark","2.0.0"
"compiler","4.3.3"
"compositions","2.0-6"
"CompQuadForm","1.4.4"
"conflicted","1.2.0"
"conquer","1.3.3"
"ConsensusTME","0.0.1.9000"
"corpcor","1.6.10"
"corrplot","0.95"
"cowplot","1.2.0"
"cplm","0.7-12.1"
"cpp11","0.5.5"
"crayon","1.5.3"
"credentials","2.0.3"
"crosstalk","1.2.2"
"crul","1.6.0"
"curl","7.1.0"
"data.table","1.17.8"
"data.tree","1.2.0"
"datasets","4.3.3"
"DBI","1.3.0"
"dbplyr","2.5.2"
"dcurves","0.5.1"
"DelayedArray","0.28.0"
"DelayedMatrixStats","1.24.0"
"deldir","2.0-4"
"DEoptimR","1.1-4"
"Deriv","4.2.0"
"desc","1.4.3"
"DESeq2","1.42.1"
"devtools","2.4.5"
"diagram","1.6.5"
"diffobj","0.3.6"
"digest","0.6.39"
"doBy","4.7.0"
"doParallel","1.0.17"
"doRNG","1.8.6.3"
"DOSE","3.28.1"
"dotCall64","1.2"
"downlit","0.4.4"
"downloader","0.4.1"
"dplyr","1.2.1"
"dqrng","0.4.1"
"dtplyr","1.3.3"
"dynamicTreeCut","1.63-1"
"e1071","1.7-17"
"edgeR","4.0.16"
"ellipse","0.5.0"
"ellipsis","0.3.3"
"enrichplot","1.22.0"
"enrichR","3.4"
"EPIC","1.1.7"
"etrunct","0.1"
"evaluate","1.0.5"
"exactRankTests","0.8-36"
"fansi","1.0.6"
"farver","2.1.2"
"fastcluster","1.3.0"
"fastDummies","1.7.6"
"fastmap","1.2.0"
"fastmatch","1.1-6"
"fgsea","1.28.0"
"filelock","1.0.3"
"fit.models","0.64"
"fitdistrplus","1.2-6"
"FNN","1.1.4.1"
"fontawesome","0.5.3"
"forcats","1.0.0"
"foreach","1.5.2"
"forecast","9.0.2"
"foreign","0.8-90"
"formatR","1.14"
"Formula","1.2-5"
"fracdiff","1.5-4"
"fs","2.1.0"
"futile.logger","1.4.9"
"futile.options","1.0.1"
"future","1.70.0"
"future.apply","1.20.2"
"gargle","1.6.1"
"gbRd","0.4.12"
"genefilter","1.84.0"
"GeneOverlap","1.38.0"
"generics","0.1.4"
"GenomeInfoDb","1.38.1"
"GenomeInfoDbData","1.2.11"
"GenomicAlignments","1.38.2"
"GenomicRanges","1.54.1"
"GEOquery","2.70.0"
"gert","2.1.5"
"getopt","1.20.4"
"ggforce","0.5.0"
"ggfun","0.2.0"
"ggiraph","0.8.12"
"ggnewscale","0.5.2"
"ggplot2","4.0.3"
"ggplotify","0.1.3"
"ggpubr","0.6.1"
"ggraph","2.2.2"
"ggrepel","0.9.8"
"ggridges","0.5.7"
"ggsci","3.2.0"
"ggsignif","0.6.4"
"ggtext","0.1.2"
"ggtree","3.10.0"
"gh","1.5.0"
"gitcreds","0.1.2"
"glmmTMB","1.1.9"
"glmnet","5.0"
"globals","0.19.1"
"glue","1.8.1"
"gmp","0.7-5.1"
"GO.db","3.18.0"
"goftest","1.2-3"
"googledrive","2.1.2"
"googlesheets4","1.1.2"
"GOSemSim","2.28.0"
"gower","1.0.1"
"GPArotation","2026.4-1"
"gplots","3.3.0"
"graph","1.80.0"
"graphics","4.3.3"
"graphlayouts","1.2.3"
"grDevices","4.3.3"
"grid","4.3.3"
"gridExtra","2.3"
"gridGraphics","0.5-1"
"gridtext","0.1.6"
"GSEABase","1.64.0"
"gson","0.1.0"
"GSVA","1.50.0"
"gtable","0.3.6"
"gtools","3.9.5"
"hardhat","1.4.2"
"harmony","2.0.3"
"hash","3.0.1"
"haven","2.5.5"
"HDF5Array","1.30.0"
"HDO.db","0.99.1"
"hdWGCNA","0.4.11"
"here","1.0.2"
"hexbin","1.28.5"
"hgu133plus2.db","3.13.0"
"highr","0.12"
"Hmisc","5.2-5"
"hms","1.1.4"
"htmlTable","2.5.0"
"htmltools","0.5.9"
"htmlwidgets","1.6.4"
"httpcode","0.3.0"
"httpuv","1.6.16"
"httr","1.4.8"
"httr2","1.2.1"
"hugene10sttranscriptcluster.db","8.8.0"
"hwriter","1.3.2.1"
"ica","1.0-3"
"ids","1.0.1"
