feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ESM1	status	Tumor	2.23273644642333	0.107493504198254	855	423	8.34300218299037e-78	2.08575054574759e-74
MIR4435.2HG	status	Tumor	2.24113331438612	0.107776587653522	855	430	6.04354899066106e-78	2.08575054574759e-74
SERTM1	status	Tumor	-2.22904209610606	0.108822015120452	855	444	4.37644965523096e-76	7.29408275871826e-73
MTHFD1L	status	Tumor	2.21854389834332	0.10843413297162	855	438	6.04787929917023e-76	7.55984912396279e-73
KIF14	status	Tumor	2.16040771920878	0.109205974528555	855	438	6.26240291102059e-72	6.26240291102059e-69
CLEC3B	status	Tumor	-2.07255093453778	0.109426342644838	855	419	5.30887877573516e-67	4.42406564644597e-64
CLSPN	status	Tumor	2.06641546702569	0.10928772218069	855	430	8.15012961175818e-67	5.82152115125585e-64
MAL	status	Tumor	-2.06981905046118	0.110153157280957	855	410	3.90886301771714e-66	2.44303938607321e-63
INHBA	status	Tumor	2.0405494893428	0.109512481364384	855	439	3.1615616189769e-65	1.75642312165383e-62
CST1	status	Tumor	2.05351003282309	0.110422196211979	855	379	5.10454182105305e-65	2.55227091052652e-62
CENPF	status	Tumor	2.03040729532417	0.110740071959836	855	437	1.62699908835144e-63	7.39545040159746e-61
ECT2	status	Tumor	2.02412163942408	0.110460523543028	855	430	1.86838886223622e-63	7.7849535926509e-61
KIF18B	status	Tumor	2.02119621516728	0.110621747645013	855	445	3.76083782340719e-63	1.44647608592584e-60
NFE2L3	status	Tumor	2.00726017316369	0.110515447267655	855	429	1.56473239578435e-62	5.58832998494411e-60
ACAN	status	Tumor	1.99572142608314	0.109927252896167	855	404	1.73292838711757e-62	5.77642795705858e-60
DPT	status	Tumor	-2.00836047433609	0.111044744599228	855	417	4.27419603003906e-62	1.33568625938721e-59
HOXC9	status	Tumor	2.00040695043834	0.111055530729513	855	396	1.11630143121368e-61	3.28323950356965e-59
ASPM	status	Tumor	1.99290799276991	0.110966131582609	855	434	2.23281835435569e-61	6.2022732065436e-59
TPX2	status	Tumor	1.98343113969105	0.111118254834668	855	452	9.35310861486329e-61	2.46134437233244e-58
