"drug","library","arm","drug_regulation","Term","Overlap","P.value","Adjusted.P.value","Combined.Score","Genes"
"electrocorundum","DSigDB","UP","assoc","Electrocorundum CTD 00005364","5/61",9.41551399215039e-05,0.072876078299244,112.993594511375,"IBSP;COL11A1;MMP3;COL10A1;MMP8"
"bromocriptine","DSigDB","UP","assoc","BROMOCRIPTINE MESYLATE BOSS","3/34",0.00208660457957588,0.618259395913797,80.5313834376077,"NPSR1;IGFBP1;HTR2C"
"3,7,12-trihydroxycholan-24-oic","DSigDB","UP","assoc","3,7,12-Trihydroxycholan-24-oic acid CTD 00007320","2/12",0.00351036654922718,0.618259395913797,151.5356361741,"FGF19;SLCO1B3"
"ilomastat","DSigDB","UP","assoc","Ilomastat TTD 00008545","2/12",0.00351036654922718,0.618259395913797,151.5356361741,"MMP3;MMP8"
"cgs-27023a","DSigDB","UP","assoc","CGS-27023A TTD 00002801","2/13",0.00412826972233185,0.618259395913797,133.801062483385,"MMP3;MMP8"
"chembl475540","DSigDB","UP","assoc","CHEMBL475540 TTD 00006054","2/14",0.00479270849545579,0.618259395913797,119.310816145676,"MMP3;MMP8"
"doxycycline","DSigDB","UP","assoc","doxycycline CTD 00005875","2/19",0.00878790264945169,0.785849644101707,74.6398590755337,"MMP3;MMP8"
"cabergoline","DSigDB","UP","assoc","cabergoline BOSS","2/22",0.0116983856038825,0.785849644101707,59.6012681300571,"IGFBP1;HTR2C"
"pravastatin","DSigDB","UP","assoc","pravastatin CTD 00007142","2/23",0.0127500520169001,0.785849644101707,55.6618139928948,"MMP3;SLCO1B3"
"ritonavir","DSigDB","UP","assoc","ritonavir","2/24",0.0138413762787296,0.785849644101707,52.1287972084015,"NPSR1;SLCO1B3"
"rifampicin","DSigDB","UP","assoc","Rifampicin CTD 00006701","4/133",0.0179760565725435,0.785849644101707,16.8319147429578,"IGFBP1;LEFTY1;FGF19;SLCO1B3"
