"drug","n_arms","both_arms","n_signatures","min_adj_p","arms","libraries","max_combined","rank"
"formaldehyde",1,FALSE,6,1.42273199052869e-09,"DOWN","Drug_Perturbations_from_GEO_up",250.675841191557,1
"kiss1r alarin",1,FALSE,1,2.96029615559528e-06,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",207.131619182283,2
"phorbol",1,FALSE,2,5.78376318723627e-06,"DOWN","Drug_Perturbations_from_GEO_up",126.95590074521,3
"ku-c104250",1,FALSE,1,4.55345305032432e-05,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",136.258834574575,4
"lacitol",1,FALSE,1,4.55345305032432e-05,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",135.284489314345,5
"trichloroethylene",1,FALSE,1,4.55345305032432e-05,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",135.284489314345,6
"melengestrol",1,FALSE,1,4.55345305032432e-05,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",134.320307623654,7
"retinoic",1,FALSE,1,7.45447203206134e-05,"DOWN","Drug_Perturbations_from_GEO_up",82.1142969282648,8
"sa-89210",1,FALSE,1,0.000197411284212691,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",107.507842815501,9
"ub-165",1,FALSE,1,0.000197411284212691,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",107.507842815501,10
"mrs-1754",1,FALSE,1,0.000197411284212691,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",106.734648371959,11
"quercetin",1,FALSE,2,0.000199581178251067,"DOWN","Drug_Perturbations_from_GEO_up",81.3553105371796,12
"hesperidin",1,FALSE,1,0.000710191336909889,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",87.5471814677875,13
"sa-417716",1,FALSE,1,0.000710191336909889,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",84.9919462035775,14
"st-014366",1,FALSE,1,0.000710191336909889,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",84.9919462035775,15
"urethane",1,FALSE,1,0.000710191336909889,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",84.9919462035775,16
"yl-51",1,FALSE,1,0.000710191336909889,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",84.9919462035775,17
"atorvastatin",1,FALSE,1,0.000710191336909889,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",83.7543173192051,18
"ku-c103655",1,FALSE,1,0.000710191336909889,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",83.7543173192051,19
"ku-c103871",1,FALSE,1,0.000710191336909889,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",83.7543173192051,20
"imiquimod",1,FALSE,1,0.000728081885623277,"DOWN","Drug_Perturbations_from_GEO_up",61.5416228555711,21
"lubiprostone",1,FALSE,1,0.000967710620443161,"DOWN","Drug_Perturbations_from_GEO_up",61.8597519124869,22
"dexamethasone",1,FALSE,1,0.00144345408756348,"DOWN","Drug_Perturbations_from_GEO_up",54.0286310913791,23
"amoxicillin",1,FALSE,1,0.0020230086360137,"DOWN","Drug_Perturbations_from_GEO_up",54.9903610557042,24
"pd-168077",1,FALSE,1,0.00237524425026598,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",66.6352890391153,25
"dextrorphan",1,FALSE,1,0.00237524425026598,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",66.1346786896842,26
"lixivaptan",1,FALSE,1,0.00237524425026598,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",66.1346786896842,27
"adaprev",1,FALSE,1,0.00237524425026598,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",65.639389415929,28
"diarylsulfonesulfonamide",1,FALSE,1,0.00237524425026598,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",65.639389415929,29
"mecillinam",1,FALSE,1,0.00237524425026598,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",65.639389415929,30
"acexamic-acid",1,FALSE,1,0.00237524425026598,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",65.1493448193553,31
"fluspirilene",1,FALSE,1,0.00237524425026598,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",65.1493448193553,32
"fluvoxamine",1,FALSE,1,0.00237524425026598,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",65.1493448193553,33
"isovaleric-acid",1,FALSE,1,0.00237524425026598,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",65.1493448193553,34
"biglen",1,FALSE,1,0.00237524425026598,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",64.6644698995212,35
"luliconazole",1,FALSE,1,0.00237524425026598,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",64.6644698995212,36
"sa-1919248",1,FALSE,1,0.00237524425026598,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",64.6644698995212,37
"tcdd-dioxin",1,FALSE,1,0.00237524425026598,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",64.6644698995212,38
"xamoterol",1,FALSE,1,0.00237524425026598,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",64.6644698995212,39
"dfci-lw9",1,FALSE,1,0.00237524425026598,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",64.1846910205141,40
"gyki-52466",1,FALSE,1,0.00237524425026598,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",63.7099358844895,41
"rhc-80267",1,FALSE,1,0.00237524425026598,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",63.7099358844895,42
"chlorambucil",1,FALSE,1,0.00780007010199832,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",50.0317967001132,43
"vinpocetine",1,FALSE,1,0.00780007010199832,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",50.0317967001132,44
"aminolevulinic-acid",1,FALSE,1,0.00780007010199832,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",49.6473512358609,45
"ku-c103672",1,FALSE,1,0.00780007010199832,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",49.6473512358609,46
"ve-822",1,FALSE,1,0.00780007010199832,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",49.2670331398748,47
"amonafide",1,FALSE,1,0.00780007010199832,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",48.8907828581995,48
"ethyl-methanesulfonate",1,FALSE,1,0.00780007010199832,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",48.8907828581995,49
"i-212148",1,FALSE,1,0.00780007010199832,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",48.8907828581995,50
"indometacin",1,FALSE,1,0.00780007010199832,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",48.8907828581995,51
"doxylamine",1,FALSE,1,0.00780007010199832,"DOWN","LINCS_L1000_Chem_Pert_Consensus_Sigs",48.5185419308579,52
