"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"nicotinic acid CTD 00006387","4/55",0.000770201685211643,0.404823516090311,0,0,10.6360461993016,76.2483064644053,"APOA1;GCG;CYP3A4;APOB"
"lansoprazole","3/25",0.000842546408649779,0.404823516090311,0,0,18.3933209647495,130.207823918626,"ATP4B;ATP4A;CYP3A4"
"omeprazole","3/28",0.00118049309447091,0.404823516090311,0,0,16.1836734693878,109.107462847725,"ATP4B;ATP4A;CYP3A4"
"gemfibrozil CTD 00007055","3/33",0.00191293136534442,0.404823516090311,0,0,13.4829931972789,84.3916517140774,"APOA1;CYP3A4;APOB"
"TAXIFOLIN CTD 00000115","3/36",0.0024626139816787,0.404823516090311,0,0,12.2554112554113,73.6125186411521,"MTTP;APOA1;APOB"
"sulfamonomethoxine HL60 UP","8/328",0.00338046688699838,0.404823516090311,0,0,3.43838028169014,19.5634947985185,"TFAP2B;SERPINB13;MEP1B;ALPI;CWH43;ALDOB;APOB;SPRR2B"
"FERRIC CITRATE CTD 00001186","2/12",0.00351036654922718,0.404823516090311,0,0,26.8108108108108,151.5356361741,"ALDOB;CYP3A4"
"ammonia CTD 00005384","2/12",0.00351036654922718,0.404823516090311,0,0,26.8108108108108,151.5356361741,"AQP4;RHCG"
"topiramate CTD 00002232","2/12",0.00351036654922718,0.404823516090311,0,0,26.8108108108108,151.5356361741,"AQP4;CYP3A4"
"nitrendipine CTD 00006401","2/12",0.00351036654922718,0.404823516090311,0,0,26.8108108108108,151.5356361741,"GAST;CYP3A4"
"glycerol CTD 00006038","2/13",0.00412826972233185,0.404823516090311,0,0,24.3722358722359,133.801062483385,"AQP10;APOA1"
"Calcipotriol hydrate CTD 00002337","2/14",0.00479270849545579,0.404823516090311,0,0,22.3400900900901,119.310816145676,"FLG;IVL"
"metoclopramide CTD 00006325","2/14",0.00479270849545579,0.404823516090311,0,0,22.3400900900901,119.310816145676,"GCG;GIP"
"Rifaximin CTD 00001936","2/15",0.00550295956466604,0.404823516090311,0,0,20.6205821205821,107.277943962323,"FABP2;APOA4"
"ERIODICTYOL TTD 00007879","2/15",0.00550295956466604,0.404823516090311,0,0,20.6205821205821,107.277943962323,"ALPI;CYP3A4"
