"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Electrocorundum CTD 00005364","5/61",9.41551399215039e-05,0.072876078299244,0,0,12.1884236453202,112.993594511375,"IBSP;COL11A1;MMP3;COL10A1;MMP8"
"BROMOCRIPTINE MESYLATE BOSS","3/34",0.00208660457957588,0.618259395913797,0,0,13.0473996050033,80.5313834376077,"NPSR1;IGFBP1;HTR2C"
"3,7,12-Trihydroxycholan-24-oic acid CTD 00007320","2/12",0.00351036654922718,0.618259395913797,0,0,26.8108108108108,151.5356361741,"FGF19;SLCO1B3"
"Ilomastat TTD 00008545","2/12",0.00351036654922718,0.618259395913797,0,0,26.8108108108108,151.5356361741,"MMP3;MMP8"
"CGS-27023A TTD 00002801","2/13",0.00412826972233185,0.618259395913797,0,0,24.3722358722359,133.801062483385,"MMP3;MMP8"
"CHEMBL475540 TTD 00006054","2/14",0.00479270849545579,0.618259395913797,0,0,22.3400900900901,119.310816145676,"MMP3;MMP8"
"doxycycline CTD 00005875","2/19",0.00878790264945169,0.785849644101707,0,0,15.7655007949126,74.6398590755337,"MMP3;MMP8"
"cabergoline BOSS","2/22",0.0116983856038825,0.785849644101707,0,0,13.3986486486486,59.6012681300571,"IGFBP1;HTR2C"
"pravastatin CTD 00007142","2/23",0.0127500520169001,0.785849644101707,0,0,12.7599742599743,55.6618139928948,"MMP3;SLCO1B3"
"ritonavir","2/24",0.0138413762787296,0.785849644101707,0,0,12.1793611793612,52.1287972084015,"NPSR1;SLCO1B3"
"Rifampicin CTD 00006701","4/133",0.0179760565725435,0.785849644101707,0,0,4.18838271211639,16.8319147429578,"IGFBP1;LEFTY1;FGF19;SLCO1B3"
"Idocyklin BOSS","3/85",0.026121583823491,0.785849644101707,0,0,4.9198606271777,17.9328592197149,"IGFBP1;MMP3;MMP8"
