"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"formaldehyde 712 rat GSE7002 sample 3545","19/318",3.31639158631397e-12,1.42273199052869e-09,0,0,9.48374990426102,250.675841191557,"KPRP;SPRR3;SERPINB12;KRT4;KRT1;SPINK5;CRCT1;KRT13;KRT78;A2ML1;NCCRP1;CNFN;SBSN;SLURP1;ENDOU;ACER1;SCEL;RBP2;TGM3"
"formaldehyde 712 rat GSE7002 sample 3540","14/238",3.3298114064395e-09,7.14244546681273e-07,0,0,9.01930147058824,176.05992298801,"SPRR3;S100G;KRT1;SPINK5;DEFA5;CRCT1;KRT13;KRT78;A2ML1;CNFN;SBSN;SLURP1;ENDOU;IVL"
"formaldehyde 712 rat GSE7002 sample 3550","15/302",8.90862537094732e-09,1.27393342804547e-06,0,0,7.57375145180023,140.388919195479,"SPRR3;S100G;KRT4;KRT1;SPINK5;DEFA5;CRCT1;KRT78;A2ML1;NCCRP1;CNFN;SBSN;SLURP1;SCEL;MAL"
"formaldehyde 712 rat GSE7002 sample 3539","13/224",1.45890152458739e-08,1.56467188511998e-06,0,0,8.83201300723008,159.355983944632,"SPRR3;KRT1;SPINK5;DEFA5;KRT78;CWH43;CNFN;SLURP1;GYS2;SCEL;MAL;LGALS7;CLCA4"
"phorbol ester 12-O-tetradecanoylphorbol-13-acetate (TPA) 27924 mouse GSE40849 sample 3257","13/255",6.74098273570661e-08,5.78376318723627e-06,0,0,7.68848404415757,126.95590074521,"TMPRSS11B;SERPINB12;SPINK7;KLK13;CWH43;CNFN;ENDOU;LCE3A;EPGN;RBP2;FETUB;SPRR2B;TGM3"
"Retinoic acid 444795 human GSE54464 sample 3141","13/324",1.0425835009876e-06,7.45447203206134e-05,0,0,5.96162602389279,82.1142969282648,"KPRP;SPINK7;GKN1;CRCT1;SBSN;LCE3E;SLURP1;LCE3D;SCEL;RNASE7;GAST;KRTAP3-2;TGM3"
"quercetin DB04216 mouse GSE4262 sample 3431","11/252",3.25656934209201e-06,0.000199581178251067,0,0,6.43896832741276,81.3553105371796,"S100G;RBP2;MTTP;DEFA5;APOA1;APOC3;APOA4;ALDOB;RHCG;APOB;LCT"
"imiquimod DB00724 mouse GSE27628 sample 3073","11/293",1.35772845803875e-05,0.000728081885623277,0,0,5.49130057656003,61.5416228555711,"FLG;ENDOU;SPRR3;SERPINB12;LCE3A;EPGN;RBP2;FETUB;TMPRSS11E;OTOP2;TGM3"
"lubiprostone DB01046 mouse GSE18327 sample 2778","10/253",2.18075960507756e-05,0.000967710620443161,0,0,5.76337448559671,61.8597519124869,"FABP2;MEP1B;MTTP;DEFA5;APOA1;GUCA2B;ALPI;ENPP3;ZG16;ALDOB"
"quercetin DB04216 mouse GSE4262 sample 3432","10/254",2.25573571198872e-05,0.000967710620443161,0,0,5.73946135831382,61.4090757387672,"RBP2;TREH;DEFA5;APOC3;AQP4;APOA4;ENPP3;LCT;MS4A10;GIP"
