"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"KISS1R ALARIN Up","15/242",4.30964646323377e-10,2.96029615559528e-06,0,0,9.60499265785609,207.131619182283,"FLG;SERPINB3;SPRR3;CSTA;KRT1;SPINK5;CRCT1;KRT13;CWH43;SCEL;MAL;RHCG;SPRR2B;CLCA4;IVL"
"VGX-1027 Down","14/248",5.64749745468046e-09,1.93963300081e-05,0,0,8.62946204122675,163.891203195094,"FLG;SPRR3;KRT1;SPINK5;CRCT1;KRT13;KLK13;CRNN;SCEL;MAL;RHCG;SPRR2B;TGM3;IVL"
"KU-C104250 Up","13/245",4.21738943420085e-08,4.55345305032432e-05,0,0,8.02397432670526,136.258834574575,"SPRR3;CSTA;KRT1;SPINK5;CRCT1;KRT13;KLK13;TMPRSS11E;CRNN;SCEL;RHCG;SPRR2B;IVL"
"Sodium-Propionate Down","13/245",4.21738943420085e-08,4.55345305032432e-05,0,0,8.02397432670526,136.258834574575,"FLG;SPRR3;KRT1;MTTP;KLK13;APOA1;APOC3;GBA3;CYP3A4;SLURP1;ALDOB;APOB;IVL"
"Trichloroethylene Up","13/246",4.42429015308476e-08,4.55345305032432e-05,0,0,7.98912941323893,135.284489314345,"SERPINB3;SPRR3;CSTA;SPINK5;CRCT1;KRT13;KLK13;TMPRSS11E;CRNN;SCEL;RHCG;SPRR2B;IVL"
"Lacitol Up","13/246",4.42429015308476e-08,4.55345305032432e-05,0,0,7.98912941323893,135.284489314345,"SERPINB3;SPRR3;CSTA;SPINK5;KRT13;AQP4;ADH7;CRNN;SCEL;MAL;RHCG;SPRR2B;CLCA4"
"Melengestrol Up","13/247",4.64029281587862e-08,4.55345305032432e-05,0,0,7.95458231954582,134.320307623654,"SERPINB3;SPRR3;KRT1;SPINK5;CRCT1;KRT13;TMPRSS11E;CRNN;SCEL;RHCG;SPRR2B;TGM3;IVL"
"Etretinate Down","13/250",5.34650731518687e-08,4.59064484350233e-05,0,0,7.85269025840032,131.487308615851,"FLG;SERPINB3;SPRR3;CSTA;KRT1;CRCT1;KRT13;KLK13;SLURP1;CRNN;SCEL;RHCG;SPRR2B"
"TL-32711 Down","12/243",3.09904628937235e-07,0.000197411284212691,0,0,7.38528138528139,110.683221244917,"SERPINB3;SCEL;CSTA;KRT1;SPINK5;CRCT1;CWH43;RHCG;TMPRSS11E;SPRR2B;IVL;SLURP1"
"ST-019365 Down","12/245",3.38362736906852e-07,0.000197411284212691,0,0,7.32114200410524,109.07877334888,"CRNN;SPRR3;DEFA5;KRT13;APOC3;ALDOB;RHCG;APOB;TMPRSS11E;CYP3A4;SPRR2B;SLURP1"
