"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Alpha-Methylserotonin Down","10/243",1.54113638889858e-05,0.0469325374111511,0,0,6.01379521765788,66.6352890391153,"LEFTY1;CST1;MAGEA12;COL11A1;MAGEA1;PRAME;MAGEA6;MAGEA10;MAGEA3;MAGEA4"
"SA-1459714 Down","10/248",1.83712959594798e-05,0.0469325374111511,0,0,5.8859543817527,64.1846910205141,"MAGEA12;MUC16;COL11A1;MAGEA1;MAGEC2;MAGEA6;MAGEA10;MAGEA3;MAGEA4;SSX1"
"WAY-405 Down","10/248",1.83712959594798e-05,0.0469325374111511,0,0,5.8859543817527,64.1846910205141,"CST1;MAGEA12;MUC16;MAGEA1;PRAME;MAGEA6;MAGEA3;MAGEA4;SSX1;CST4"
"Cetraxate Up","9/244",9.63763969215809e-05,0.0538487588159648,0,0,5.32775011317338,49.2670331398748,"MAGEA12;MAGEA1;PRAME;MAGEA6;MAGEA3;HOXC10;HOXA11;MAGEA4;SSX1"
"Drotaverine Down","9/244",9.63763969215809e-05,0.0538487588159648,0,0,5.32775011317338,49.2670331398748,"CST1;MAGEA12;MMP3;MAGEA1;PRAME;MAGEA6;MAGEA3;MAGEA4;SSX1"
"Gefitinib Down","9/245",9.94209493466938e-05,0.0538487588159648,0,0,5.30490443562928,48.8907828581995,"IGFBP1;MAGEA12;MAGEA1;PRAME;MAGEC2;MAGEA6;MAGEA3;MAGEA4;SSX1"
"Mephenytoin Down","9/245",9.94209493466938e-05,0.0538487588159648,0,0,5.30490443562928,48.8907828581995,"IGFBP1;MAGEA12;EPYC;COL11A1;MAGEA1;PRAME;MAGEA6;MAGEA3;SSX1"
"JAS07-002 Down","9/245",9.94209493466938e-05,0.0538487588159648,0,0,5.30490443562928,48.8907828581995,"CST1;MAGEA12;MMP3;MAGEA1;APOA2;MAGEA6;MAGEA3;SSX1;CST4"
"Cefpodoxime Up","9/246",0.000102545808420262,0.0538487588159648,0,0,5.28225154861298,48.5185419308579,"MAGEA12;MUC16;MAGEA1;C4BPA;PRAME;CTAG2;MAGEA6;MAGEA3;HOXC10"
"Procyclidine Up","9/246",0.000102545808420262,0.0538487588159648,0,0,5.28225154861298,48.5185419308579,"CST1;MAGEA12;SLCO1B3;COL10A1;PRAME;MAGEA6;MAGEA3;SSX1;CST4"
"Methylatropine Up","9/247",0.000105752651224585,0.0538487588159648,0,0,5.25978902199178,48.1502529637702,"IGFBP1;MAGEA12;MUC16;COL11A1;SLCO1B3;MAGEA1;MAGEA6;MAGEA3;SSX1"
"Diflorasone Down","9/247",0.000105752651224585,0.0538487588159648,0,0,5.25978902199178,48.1502529637702,"CST1;MAGEA12;SLCO1B3;APOA2;C4BPA;MAGEA6;MAGEA3;MAGEA4;CST4"
"SAL-1 Down","9/247",0.000105752651224585,0.0538487588159648,0,0,5.25978902199178,48.1502529637702,"CST1;MAGEA12;MUC16;EPYC;COL11A1;APOA2;COL10A1;MAGEA6;MAGEA3"
"Procarbazine Up","9/248",0.000109043179656261,0.0538487588159648,0,0,5.23751446630464,47.7858596099108,"MAGEA12;COL11A1;SLCO1B3;PRAME;MAGEA6;MAGEA3;HOXC10;MAGEA4;SSX1"
"AT-406 Up","9/248",0.000109043179656261,0.0538487588159648,0,0,5.23751446630464,47.7858596099108,"LEFTY1;MAGEA12;SLCO1B3;MAGEA1;COL10A1;MMP8;MAGEA6;MAGEA3;MAGEA4"
"Clobetasol Down","9/249",0.000112419120701388,0.0538487588159648,0,0,5.21542553191489,47.4253065414477,"CST1;MAGEA12;MAGEA1;APOA2;PRAME;MAGEA6;MAGEA3;HOXC10;MAGEA4"
"Mps1-IN-1 Up","8/240",0.000466201410761965,0.0923888180139748,0,0,4.7639630888781,36.5438501830933,"MAGEA12;COL11A1;MAGEA1;COL10A1;PRAME;MAGEA6;MAGEA3;MAGEA4"
"Torasemide Up","8/241",0.000479196940441754,0.0923888180139748,0,0,4.74327510125128,36.2547436718744,"MAGEA12;MAGEA1;COL10A1;PRAME;MAGEA6;MAGEA3;HOXC10;MAGEA4"
"CFM-2 Up","8/242",0.000492485040157545,0.0923888180139748,0,0,4.72276393403154,35.9687896031975,"IGFBP1;MAGEA12;MMP8;MAGEA6;MAGEA10;MAGEA3;MAGEA4;SSX1"
