"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 MCF10A 3H-QL-X-138-10","5/41",1.33787402442892e-05,0.0475467237309574,0,0,18.9789272030651,212.97855390433,"MAGEA12;MAGEA6;HOXC10;MAGEA3;MAGEA4"
"LJP005 A549 24H-roscovitine-10","5/46",2.3744900167704e-05,0.0475467237309574,0,0,16.6602186711522,177.40038716182,"MAGEA12;MAGEA1;MAGEA6;HOXC10;MAGEA3"
"LJP005 HS578T 3H-GDC-0980-0.04","4/23",2.40868860595293e-05,0.0475467237309574,0,0,28.5955299206921,304.080376035224,"MAGEA12;MAGEA1;MAGEA6;MAGEA3"
"LJP008 A549 24H-belinostat-0.37","5/50",3.58282421257749e-05,0.0475467237309574,0,0,15.176245210728,155.355793747105,"MAGEA12;SLCO1B3;PRAME;MAGEA6;MAGEA3"
"LJP005 HS578T 3H-dasatinib-10","5/51",3.94840755115076e-05,0.0475467237309574,0,0,14.8455772113943,150.528409451069,"MAGEA12;MMP3;COL10A1;MAGEA6;MAGEA3"
"LJP008 A375 24H-belinostat-0.12","5/55",5.70811373071208e-05,0.0572809212876958,0,0,13.6551724137931,133.425192722133,"MAGEA12;PRAME;MAGEA6;HOXC10;MAGEA3"
"LJP007 HA1E 24H-AST1306-1.11","4/31",8.16894749852062e-05,0.0654474982473023,0,0,20.1146626078133,189.33097937798,"MAGEA12;PRAME;MAGEA6;MAGEA3"
"LJP005 HA1E 24H-BYL719-10","5/60",8.69589745853543e-05,0.0654474982473023,0,0,12.41065830721,116.040574889287,"IGFBP1;MAGEA12;APOA2;PRAME;SSX1"
"LJP005 BT20 24H-BYL719-1.11","5/62",0.000101800299739176,0.0681044005255091,0,0,11.9739866908651,110.070842834078,"MAGEA12;MAGEA6;HOXC10;MAGEA3;SSX1"
"LJP008 MCF7 24H-pracinostat-0.04","4/34",0.000118316402650067,0.0712383060356054,0,0,18.1004566210046,163.667010233747,"MAGEA12;MAGEA1;MAGEA6;MAGEA3"
"LJP006 MCF7 3H-torin-1-0.04","3/15",0.000176096263457259,0.0903792149118236,0,0,33.7380952380952,291.648281459995,"MAGEA12;MAGEA6;MAGEA3"
"LJP007 MCF7 24H-A66-10","4/38",0.000183987391546284,0.0903792149118236,0,0,15.9677679290894,137.333076684941,"MAGEA12;MAGEA6;HOXC10;MAGEA3"
"LJP006 MDAMB231 3H-geldanamycin-0.37","4/39",0.000203825678848822,0.0903792149118236,0,0,15.5107632093933,131.814272790738,"CST1;MAGEA6;MAGEA3;CST4"
"LJP006 BT20 24H-alvocidib-0.04","5/73",0.000221183235279329,0.0903792149118236,0,0,10.0314401622718,84.4298075363199,"MAGEA12;COL10A1;MAGEA6;HOXC10;MAGEA3"
