"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP005 HA1E 24H-WZ-3105-0.04","5/48",2.93060599291894e-05,0.11279902466745,0,0,15.8837209302326,165.78977190201,"SPRR3;CSTA;KRT13;RHCG;SPRR2B"
"LJP006 MCF10A 3H-PF-562271-0.37","5/48",2.93060599291894e-05,0.11279902466745,0,0,15.8837209302326,165.78977190201,"SERPINB3;CRNN;SPRR3;CSTA;KRT4"
"LJP005 A375 24H-CP466722-10","6/92",6.75220991697028e-05,0.173261706469457,0,0,9.57558139534884,91.9548407195944,"SERPINB3;FLG;CSTA;SERPINB13;SPINK5;SPRR2B"
"LJP006 HS578T 3H-AZD-7762-3.33","4/34",0.000118316402650067,0.226988262784375,0,0,18.1004566210046,163.667010233747,"FLG;SERPINB13;KRT1;SPINK5"
"LJP006 HME1 3H-withaferin-a-0.37","5/67",0.000147433270189904,0.226988262784375,0,0,11.0055617352614,97.0925501691698,"CRNN;SPINK5;MAL;RHCG;APOB"
"LJP005 MCF10A 24H-radicicol-0.12","6/111",0.000190811055010052,0.244810583577896,0,0,7.83531746031746,67.1034362528188,"SERPINB3;SPRR3;CSTA;SERPINB13;SPINK5;KRT13"
"LJP005 HS578T 3H-WH-4-025-10","4/41",0.000248055393917252,0.272790060339286,0,0,14.6708626434654,121.795425360058,"SERPINB3;SERPINB13;KRT13;RHCG"
"LJP009 MCF7 24H-saracatinib-3.33","6/131",0.000465958189129246,0.429160109856593,0,0,6.575,50.439551328764,"CSTA;KRT1;MAL;SPRR2B;IVL;SLURP1"
"LJP006 MDAMB231 3H-selumetinib-0.04","3/22",0.000573509146761413,0.429160109856593,0,0,21.3007518796992,158.983202956436,"SPRR3;SERPINB13;SPRR2B"
"LJP009 HA1E 24H-ALW-II-38-3-0.12","3/23",0.000655922987480534,0.429160109856593,0,0,20.234693877551,148.309524532127,"SCEL;SPINK5;MAL"
"LJP006 SKBR3 3H-canertinib-0.04","3/23",0.000655922987480534,0.429160109856593,0,0,20.234693877551,148.309524532127,"SPRR3;CSTA;SERPINB13"
"LJP005 BT20 24H-PD-0325901-1.11","4/53",0.000668994715286972,0.429160109856593,0,0,11.0712887894884,80.9281804868414,"SERPINB3;CSTA;KRT4;KRT13"
"LJP007 MCF7 24H-idelalisib-3.33","4/61",0.00113825580788955,0.674022554548753,0,0,9.51357846671473,64.4854910753506,"SERPINB3;SERPINB13;KRT4;KRT13"
"LJP005 HEPG2 24H-AS-601245-0.37","4/67",0.0016148092067142,0.737548993138331,0,0,8.60491411176343,55.3170213773821,"SERPINB3;TFAP2B;CSTA;KRT13"
"LJP005 MCF10A 24H-PD-184352-0.12","5/119",0.00204240486293316,0.737548993138331,0,0,5.9697519661222,36.9744188175703,"SPRR3;SERPINB13;KRT4;SPINK5;KRT13"
"LJP005 HCC515 24H-ruxolitinib-10","3/34",0.00208660457957588,0.737548993138331,0,0,13.0473996050033,80.5313834376077,"SERPINB3;CSTA;KRT13"
"LJP005 HS578T 3H-PD-0325901-3.33","3/39",0.00310082560129067,0.737548993138331,0,0,11.2324263038549,64.8794702037207,"SERPINB3;KRT13;CLCA4"
"LJP006 MCF7 3H-BMS-345541-3.33","4/82",0.00337941670638745,0.737548993138331,0,0,6.94485423252546,39.5165828020416,"SERPINB3;CSTA;SERPINB13;KRT13"
"LJP007 HA1E 24H-SB-525334-0.37","3/45",0.00465955684205505,0.737548993138331,0,0,9.62487852283771,51.6743840454347,"SPRR3;SCEL;MAL"
"LJP007 PC3 24H-WZ-4002-0.37","3/45",0.00465955684205505,0.737548993138331,0,0,9.62487852283771,51.6743840454347,"SPRR3;TFAP2B;SPRR2B"
"CPC006 A375 6H-BRD-K92301463-10.0","2/14",0.00479270849545579,0.737548993138331,0,0,22.3400900900901,119.310816145676,"ALDOB;APOB"
"CPC006 MCF7 6H-nsc 95397-10.0","3/46",0.00495755472070985,0.737548993138331,0,0,9.40056953013764,49.8873434076961,"ENDOU;APOA1;ALDOB"
"LJP009 MCF7 24H-CH5424802-3.33","3/47",0.00526680291008585,0.737548993138331,0,0,9.18645640074211,48.1951979674071,"KRT13;MAL;RHCG"
"CPC006 PC3 6H-16beta-bromoandrosterone-11.1","2/15",0.00550295956466604,0.737548993138331,0,0,20.6205821205821,107.277943962323,"ENDOU;ALDOB"
"LJP006 BT20 3H-celastrol-10","2/15",0.00550295956466604,0.737548993138331,0,0,20.6205821205821,107.277943962323,"CSTA;SPINK5"
"CPC011 VCAP 24H-telmisartan-10.0","2/15",0.00550295956466604,0.737548993138331,0,0,20.6205821205821,107.277943962323,"KRT4;ALDOB"
"LJP005 HS578T 24H-radicicol-0.37","3/49",0.00591950388424426,0.737548993138331,0,0,8.78615794143744,45.0686203291311,"SPRR3;KRT4;KRT13"
"LJP005 HCC515 24H-NVP-AEW541-10","4/97",0.0061414279746917,0.737548993138331,0,0,5.82029754013846,29.6410176111918,"SPRR3;KRT4;KRT13;RHCG"
"LJP006 MCF10A 24H-lapatinib-10","5/164",0.00795804745449954,0.737548993138331,0,0,4.27044025157233,20.6414787360506,"SERPINB3;CSTA;SERPINB13;KRT4;KRT13"
"CPC003 HA1E 24H-flavokawain b-10.0","3/55",0.00815861876380668,0.737548993138331,0,0,7.77001569858713,37.3635221467896,"APOA1;ALDOB;APOB"
"LJP005 MCF7 24H-vemurafenib-10","2/19",0.00878790264945169,0.737548993138331,0,0,15.7655007949126,74.6398590755337,"TFAP2B;ALDOB"
"LJP006 A549 24H-XMD-1150-10","4/108",0.00891866588855033,0.737548993138331,0,0,5.20179135932561,24.5504208351574,"TFAP2B;KRT13;MAL;TMPRSS11E"
"LJP009 MCF7 24H-GSK-429286A-0.04","3/57",0.00900108338473731,0.737548993138331,0,0,7.48148148148148,35.2408476750867,"SERPINB3;CSTA;KRT13"
"CPC014 VCAP 6H-bl-077-10.0","3/58",0.00944069184178005,0.737548993138331,0,0,7.34508348794063,34.2481118482439,"CRCT1;KLK13;APOA1"
