"drug","library","arm","drug_regulation","Term","Overlap","P.value","Adjusted.P.value","Combined.Score","Genes"
"lucanthone","DSigDB","UP","assoc","LUCANTHONE CTD 00006227","60/213",1.09361910126677e-80,1.91602066541938e-77,15801.9989233194,"ARHGAP11A;TOP2A;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;BRCA2;FOXM1;CLDN1;KIF15;EXO1;NUF2;NEK2;MYBL2;CEP55;DLGAP5;CKAP2L;KIF23;ASPM;DEPDC1B;MELK;DEPDC1;KIF2C;KIF20A;PRR11;DTL;BLM;CDCA2;NCAPG;TTK;HMMR;IQGAP3;CENPA;NCAPH;RAD51AP1;CST1;ORC6;ECT2;BUB1;FANCI;C5ORF34;SPAG5;GDF15;XRCC2;ATAD2;SHCBP1;NDC80;TPX2;ANLN;CENPE;CENPF;CENPI;KIF4A;UBE2T;CENPK;CDK1;CENPL;EZH2"
"dasatinib","DSigDB","UP","assoc","Dasatinib CTD 00004330","71/502",2.00218002579171e-73,1.75390970259354e-70,6778.31846080658,"ARHGAP11A;TOP2A;ZWILCH;HJURP;BUB1B;MCM10;MKI67;BRCA2;FOXM1;MTBP;EXO1;KNTC1;MYBL2;SOX4;DLGAP5;GEN1;HELLS;RFC3;CKAP2L;BGN;KIF23;ASPM;DEPDC1B;MELK;FANCD2;TIMELESS;DEPDC1;KIF2C;PRR11;DTL;PRIM2;CDCA2;UHRF1;CDCA5;COL11A1;NCAPG;TTK;HMMR;SKA3;IQGAP3;CENPA;NCAPH;ACAN;ORC6;CLSPN;ECT2;BUB1;E2F7;FANCI;GINS1;POLQ;STIL;ATAD5;XRCC2;ATAD2;CDC7;SHCBP1;NDC80;TPX2;ANLN;CENPE;CENPF;CENPI;KIF4A;UBE2T;CENPK;CDK1;CENPL;TRIP13;CENPO;EZH2"
"testosterone","DSigDB","UP","assoc","testosterone CTD 00006844","88/1247",1.12490041606511e-66,6.56941842982022e-64,3475.86768782939,"ARHGAP11A;TOP2A;ZWILCH;DSCC1;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;BRCA2;FOXM1;KIF15;MTBP;EME1;EXO1;NUF2;NEK2;KNTC1;MYBL2;SOX9;GTSE1;CEP55;DLGAP5;GEN1;TEAD4;HELLS;RFC3;CKAP2L;KIF23;ASPM;DEPDC1B;MELK;DBF4;FANCD2;DEPDC1;KIF2C;KIF20A;PRR11;DTL;BLM;CDCA2;UHRF1;TROAP;CDCA5;NCAPG;TTK;HMMR;WDR62;SKA3;PKMYT1;IQGAP3;CENPA;NCAPH;RAD51AP1;BRIP1;ORC6;CLSPN;ECT2;BUB1;E2F7;FANCI;GINS1;POLQ;STIL;C5ORF34;ATAD5;SPAG5;UBE2C;XRCC2;INHBA;FANCB;SHCBP1;NDC80;TPX2;ANLN;CENPE;KIF18A;CENPF;CENPI;KIF4A;UBE2T;CENPK;CDK1;CENPL;TRIP13;CENPO;EZH2"
"enterolactone","DSigDB","UP","assoc","Enterolactone CTD 00001393","74/971",1.131109884853e-56,4.95426129565613e-54,2650.28281684992,"TOP2A;ZWILCH;DSCC1;HJURP;KIF14;BUB1B;MCM10;SNX10;KIF11;MKI67;BRCA2;FOXM1;CLDN1;EME1;EXO1;SALL4;CHEK1;ENC1;MYBL2;SOX9;GTSE1;SOX4;CEP55;DLGAP5;HELLS;RFC3;PGM2L1;ASPM;MELK;DBF4;FANCD2;DKC1;TIMELESS;DEPDC1;KIF2C;KIF20A;PRIM2;BLM;CDCA2;UHRF1;CDCA5;NCAPG;TTK;HMMR;SKA3;PKMYT1;IQGAP3;CENPA;RAD54B;RAD51AP1;ORC6;ECT2;E2F7;FANCI;GINS1;STIL;C5ORF34;SPAG5;GDF15;ATAD2;CDC7;SHCBP1;NDC80;TPX2;ANLN;KIF18A;CENPF;CENPI;UBE2T;CDK1;CENPL;TRIP13;CENPO;EZH2"
"calcitriol","DSigDB","UP","assoc","calcitriol CTD 00005558","92/1958",1.36044299763069e-54,4.76699226369794e-52,1896.12725523151,"ARHGAP11A;TOP2A;ZWILCH;DSCC1;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;BRCA2;FOXM1;CLDN1;KIF15;MTBP;EME1;EXO1;NUF2;NEK2;KNTC1;MYBL2;SOX9;GTSE1;SOX4;CEP55;DLGAP5;GEN1;TEAD4;HELLS;RFC3;CKAP2L;KIF23;ASPM;DEPDC1B;MELK;DBF4;FANCD2;DEPDC1;KIF2C;KIF20A;PRR11;DTL;BLM;CDCA2;UHRF1;TROAP;CDCA5;NCAPG;TTK;HMMR;WDR62;SKA3;PKMYT1;IQGAP3;CENPA;NCAPH;RAD51AP1;BRIP1;ORC6;CLSPN;ECT2;BUB1;E2F7;FANCI;GINS1;POLQ;STIL;C5ORF34;ATAD5;SPAG5;UBE2C;GDF15;XRCC2;INHBA;FANCB;SHCBP1;NDC80;COL1A1;TPX2;ANLN;CENPE;KIF18A;CENPF;CENPI;KIF4A;UBE2T;CENPK;CDK1;CENPL;TRIP13;CENPO;EZH2"
"resveratrol","DSigDB","UP","assoc","resveratrol CTD 00002483","84/1601",1.76735381019633e-52,5.16067312577329e-50,1832.87062967411,"TOP2A;ZWILCH;DSCC1;HJURP;KIF14;BUB1B;MCM10;SNX10;KIF11;MKI67;BRCA2;FOXM1;CLDN1;EXO1;SALL4;CHEK1;ENC1;NEK2;KNTC1;MYBL2;SOX9;GTSE1;SOX4;CEP55;DLGAP5;HELLS;RFC3;CKAP2L;KIF23;PGM2L1;ASPM;MELK;DBF4;FANCD2;DKC1;TIMELESS;DEPDC1;KIF2C;KIF20A;RNFT2;PRIM2;BLM;CDCA2;UHRF1;TROAP;CDCA5;NCAPG;TTK;HMMR;SKA3;CENPA;LRP8;NCAPH;RAD54B;RAD51AP1;ORC6;E2F3;ECT2;BUB1;E2F7;FANCI;GINS1;STIL;ATAD5;SPAG5;GDF15;XRCC2;ATAD2;LIF;CDC7;SHCBP1;NDC80;COL1A1;TPX2;ANLN;CENPE;KIF18A;CENPF;UBE2T;CDK1;CENPL;TRIP13;CENPO;EZH2"
"coumestrol","DSigDB","UP","assoc","COUMESTROL CTD 00005717","85/1812",2.62901262968541e-49,6.58004303886976e-47,1535.03532659217,"TOP2A;ZWILCH;DSCC1;HJURP;KIF14;BUB1B;MCM10;SNX10;KIF11;MKI67;BRCA2;FOXM1;CLDN1;KIF15;EME1;EXO1;SALL4;CHEK1;ENC1;NEK2;KNTC1;MYBL2;SOX9;GTSE1;SOX4;CEP55;DLGAP5;HELLS;RFC3;CKAP2L;PGM2L1;ASPM;DEPDC1B;MELK;DBF4;FANCD2;DKC1;TIMELESS;DEPDC1;KIF2C;KIF20A;PRIM2;BLM;CDCA2;UHRF1;TROAP;CDCA5;NCAPG;TTK;HMMR;SKA3;PKMYT1;IQGAP3;CENPA;LRP8;NCAPH;RAD54B;RAD51AP1;ORC6;ECT2;BUB1;E2F7;FANCI;GINS1;POLQ;STIL;C5ORF34;SPAG5;GDF15;ATAD2;CDC7;SHCBP1;NDC80;TPX2;ANLN;CENPE;KIF18A;CENPF;CENPI;UBE2T;CDK1;CENPL;TRIP13;CENPO;EZH2"
"troglitazone","DSigDB","UP","assoc","troglitazone CTD 00002415","56/651",2.12957147505342e-44,4.66376153036698e-42,1938.66421825471,"TOP2A;KIF14;BUB1B;KIF11;MKI67;FOXM1;CLDN1;KIF15;EME1;EXO1;CHEK1;NUF2;NEK2;KNTC1;MYBL2;SOX9;GTSE1;DLGAP5;RFC3;KIF23;ASPM;MELK;FANCD2;TIMELESS;KIF2C;KIF20A;BLM;UHRF1;CDCA5;NCAPG;TTK;PKMYT1;IQGAP3;CENPA;RAD51AP1;ORC6;BUB1;POLQ;STIL;SPAG5;UBE2C;GDF15;XRCC2;LIF;CDC7;FANCB;NDC80;COL1A1;TPX2;ANLN;CENPE;CENPF;KIF4A;CDK1;TRIP13;EZH2"
"etoposide","DSigDB","UP","assoc","etoposide MCF7 DOWN","26/48",1.37245816684295e-43,2.67171856478761e-41,18650.9555906462,"ARHGAP11A;TROAP;KIF14;BUB1B;NCAPG;KIF11;HMMR;MKI67;CENPA;KIF15;BUB1;GTSE1;CEP55;DLGAP5;UBE2C;KIF23;NDC80;ASPM;CENPE;TPX2;CENPF;KIF18A;KIF4A;DEPDC1;KIF2C;KIF20A"
"ciclopirox","DSigDB","UP","assoc","ciclopirox MCF7 DOWN","25/67",1.18827167583293e-36,2.0818519760593e-34,7802.51867241141,"TOP2A;ARHGAP11A;TROAP;KIF14;HJURP;BUB1B;NCAPG;TTK;HMMR;MKI67;CENPA;GTSE1;BUB1;DLGAP5;UBE2C;KIF23;NDC80;ASPM;CENPE;TPX2;CENPF;KIF18A;DEPDC1;KIF2C;KIF20A"
