"drug","n_arms","both_arms","n_signatures","min_adj_p","arms","libraries","max_combined","rank"
"resveratrol",2,TRUE,5,3.11682289712529e-99,"DOWN+UP","Drug_Perturbations_from_GEO_down; Drug_Perturbations_from_GEO_up; LINCS_L1000_Chem_Pert_down",19339.7726126698,1
"pd173074",2,TRUE,2,3.80970174449035e-98,"DOWN+UP","Drug_Perturbations_from_GEO_down; Drug_Perturbations_from_GEO_up",16086.0940882048,2
"calcitriol",2,TRUE,3,8.45810490486493e-85,"DOWN+UP","Drug_Perturbations_from_GEO_down; LINCS_L1000_Chem_Pert_Consensus_Sigs",12403.77654763,3
"palbociclib",2,TRUE,79,1.98269468047178e-72,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",18443.9874224928,4
"dovitinib",2,TRUE,31,2.34623108241516e-72,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",13811.522710714,5
"nvp-bez235",2,TRUE,80,1.16700545762856e-68,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",14346.0035522628,6
"vemurafenib",2,TRUE,31,1.46085468193297e-68,"DOWN+UP","Drug_Perturbations_from_GEO_down; Drug_Perturbations_from_GEO_up; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",7734.02623080399,7
"mitoxantrone",2,TRUE,177,1.89800489524981e-66,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",13402.3835963136,8
"nvp-tae684",2,TRUE,64,9.36155048110606e-66,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",15310.2703132826,9
"pi-103",2,TRUE,63,1.19657483708923e-65,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",13677.0915924489,10
"gdc-0941",2,TRUE,63,1.65892495526361e-64,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",11641.4666725206,11
"torin-2",2,TRUE,78,1.40321466865064e-63,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",10701.1943480231,12
"jw-7-24-1",2,TRUE,41,1.4923542862542e-63,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",11555.0222543999,13
"foretinib",2,TRUE,27,2.03075744769828e-62,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",11364.391089457,14
"pd-173074",2,TRUE,10,1.51071949811432e-60,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",11253.1903623881,15
"gdc-0980",2,TRUE,64,1.94782556245394e-59,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",9622.38416518688,16
"torin-1",2,TRUE,68,2.48293599645868e-59,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",10218.9733864749,17
"zstk-474",2,TRUE,49,2.48293599645868e-59,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",10218.9733864749,18
"trametinib",2,TRUE,81,9.35497137312819e-59,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",9489.87583128244,19
"wye-125132",2,TRUE,83,2.27929252465839e-58,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",10149.2319069218,20
"gsk-2126458",2,TRUE,127,3.29208935011932e-58,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",8187.85109920055,21
