"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"NICKEL SULFATE CTD 00001417","18/576",3.34684370675918e-07,0.000399705975277547,0,0,4.71456500488759,70.2945316116505,"GSN;HPGD;CITED2;GPX3;AKR1C1;NCOA4;MT1X;PTGR1;KLF4;S100B;GFRA2;MAF;DAB1;SLC7A8;SRSF5;IGFBP6;GPM6B;NFE2L2"
"Decitabine CTD 00000750","34/1800",3.65696226237463e-07,0.000399705975277547,0,0,3.00140586558363,44.4852254778814,"CFD;HSPB8;MT1M;FHL1;FAM107A;HBB;MT1X;ADRB2;CCNDBP1;PTGS1;ALAD;GNG7;MKNK2;IGFBP6;GPM6B;GSTM2;GSN;SCARA5;PMM1;GPX3;TSC22D3;EPHX1;CIDEA;PTGR1;KAT2B;ALDH6A1;PINK1;MAF;PPP1R3C;ID4;MAL;YPEL5;SIDT2;GSTM5"
"VALPROIC ACID CTD 00006977","91/8312",1.7331463215531e-06,0.00126288595297169,0,0,2.18176064192776,28.9423031403119,"VIT;KIAA1191;ANKRD35;HPSE2;CAB39L;HSPB8;MT1M;ROGDI;FHL1;LRRC4;HBB;MT1X;SAT2;CWH43;ZBTB22;TMEM100;ALAD;GHR;UBL3;PEBP4;SOSTDC1;HADH;SH3GL2;CBR1;GPX3;MAMDC2;NCOA4;CIRBP;PTGR1;HPCAL4;GFRA2;C1QL1;SCNN1G;TOM1L2;KAT2B;BTD;MAF;PPP1R3C;SLC7A8;SCNN1B;SRSF5;SLC25A4;JDP2;SIDT2;CFD;CHODL;STX12;RAB5B;HPGD;CCDC69;ETFDH;ABHD6;ADRB2;PTN;NDRG2;RMND5B;CYB5R1;RAP1A;INPP5A;PGRMC2;MICALL1;GCNT4;NCAM1;RXRG;GPM6B;CBX7;CA11;CADM3;GSN;PMM1;AKR1C1;EPHX1;AKR1C2;ESRRG;KLF4;S100B;ELL2;PINK1;DHRS7;DAB1;TEF;ASB8;C4ORF3;ID4;PLP1;CALM1;FBXL5;YPEL5;RNF185;PLCD1;NFE2L2"
"CHEBI:18224 CTD 00001728","6/54",3.08991522413179e-06,0.00168863866998802,0,0,17.1892361111111,218.086145323741,"GPX3;AKR1C1;AKR1C2;MT1X;PTGR1;NFE2L2"
"Bexarotene CTD 00003225","7/91",5.54435069178395e-06,0.00208467045753599,0,0,11.518648018648,139.407098936973,"MAF;TSC22D3;AKR1C1;ADRB2;IGFBP6;RXRG;GPM6B"
"cinnamyl alcohol CTD 00001006","5/36",6.93641993509636e-06,0.00208467045753599,0,0,22.0456062291435,261.873688917016,"GPX3;AKR1C1;AKR1C2;MT1X;PTGR1"
"troglitazone PC3 UP","6/62",7.00091295008843e-06,0.00208467045753599,0,0,14.7276785714286,174.80973891389,"HPGD;CITED2;AKR1C1;AKR1C2;ABHD6;KLF4"
"Medroxyprogesterone acetate CTD 00006623","13/389",7.71829955197376e-06,0.00208467045753599,0,0,4.91462183568877,57.8545177976052,"GSN;GPX3;TSC22D3;AKR1C1;EPHX1;FAM107A;AKR1C2;KLF4;LYVE1;PGRMC2;SLC7A8;CALM1;NFE2L2"
"estradiol CTD 00005920","56/4336",8.58281524145649e-06,0.00208467045753599,0,0,2.16723006561941,25.2823610639204,"CSRNP1;ANKRD35;CITED2;CAB39L;HSPB8;MT1M;FHL1;FAM107A;HBB;MT1X;SAT2;ZBTB22;ALAD;GHR;SOSTDC1;SLC25A42;HADH;NKX6-2;GPX3;TSC22D3;NCOA4;CIRBP;PTGR1;KAT2B;MYL6;MAF;PPP1R3C;SLC7A8;MAL;SRSF5;JDP2;HPGD;CCNDBP1;PTGS1;CLEC3B;RAP1A;INPP5A;PGRMC2;MICALL1;MKNK2;IGFBP6;CA11;GSN;ADHFE1;P2RY14;AKR1C1;EPHX1;AKR1C2;ESRRG;KLF4;DAB1;ID4;CALM1;YPEL5;RNF185;NFE2L2"
"progesterone CTD 00006624","32/1915",1.16702785652328e-05,0.00255112289435989,0,0,2.58757662223102,29.390899123978,"ANKRD35;CITED2;HSPB8;MT1M;ROGDI;FAM107A;HBB;MT1X;CWH43;PTN;NDRG2;PTGS1;ALAD;CLEC3B;MKNK2;IGFBP6;HADH;GPX3;TSC22D3;P2RY14;AKR1C1;MAMDC2;NCOA4;AKR1C2;ESRRG;PTGR1;KLF4;MAF;SLC7A8;ID4;JDP2;NFE2L2"
"1-chloro-2,4-dinitrobenzene CTD 00005848","10/242",1.48715040129271e-05,0.0029553734338417,0,0,6.04002463054187,67.1412982919882,"GSTM2;GPX3;AKR1C1;AKR1C2;MT1X;ADRB2;IGFBP6;PTGR1;S100B;NFE2L2"
