"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"resveratrol DB02709 human GSE25412 sample 3500","80/350",4.53686011226389e-102,3.11682289712529e-99,0,0,82.8783068783069,19339.7726126698,"ARHGAP11A;TOP2A;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;BRCA2;FOXM1;KIF15;MTBP;EME1;EXO1;CHEK1;NUF2;NEK2;KNTC1;MYBL2;GTSE1;CEP55;DLGAP5;GEN1;HELLS;RFC3;CKAP2L;KIF23;ASPM;DEPDC1B;MELK;FANCD2;TIMELESS;DEPDC1;KIF2C;PRR11;DTL;BLM;CDCA2;TROAP;CDCA5;NCAPG;TTK;HMMR;WDR62;SKA3;PKMYT1;IQGAP3;CENPA;NCAPH;RAD51AP1;BRIP1;ORC6;ECT2;BUB1;FANCI;GINS1;POLQ;STIL;C5ORF34;ATAD5;SPAG5;UBE2C;XRCC2;ATAD2;CDC7;SHCBP1;NDC80;TPX2;ANLN;CENPE;KIF18A;CENPF;CENPI;KIF4A;UBE2T;CENPK;CDK1;CENPL;TRIP13;CENPO"
"PD173074 1401 human GSE52452 sample 2578","84/439",1.10908347728977e-100,3.80970174449035e-98,0,0,69.8924455825864,16086.0940882048,"ARHGAP11A;TOP2A;DSCC1;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;BRCA2;FOXM1;KIF15;MTBP;EME1;EXO1;CHEK1;NUF2;NEK2;KNTC1;MYBL2;GTSE1;CEP55;DLGAP5;HELLS;RFC3;CKAP2L;KIF23;PUS7;ASPM;DEPDC1B;MELK;FANCD2;TIMELESS;DEPDC1;KIF2C;PRR11;DTL;BLM;CDCA2;TROAP;CDCA5;TTK;HMMR;SKA3;PKMYT1;IQGAP3;CENPA;NCAPH;RAD54B;RAD51AP1;BRIP1;ORC6;CLSPN;ECT2;BUB1;E2F7;FANCI;GINS1;POLQ;STIL;C5ORF34;ATAD5;SPAG5;UBE2C;XRCC2;ATAD2;CDC7;FANCB;SHCBP1;NDC80;TPX2;ANLN;CENPE;KIF18A;CENPF;CENPI;KIF4A;UBE2T;CENPK;CDK1;CENPL;TRIP13;CENPO;EZH2"
"resveratrol DB02709 human GSE25412 sample 3501","82/406",4.62283799612016e-100,1.05862990111152e-97,0,0,72.673021060276,16622.3184607578,"ARHGAP11A;TOP2A;DSCC1;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;BRCA2;FOXM1;KIF15;MTBP;EME1;EXO1;CHEK1;NUF2;NEK2;KNTC1;MYBL2;GTSE1;CEP55;DLGAP5;GEN1;HELLS;RFC3;CKAP2L;KIF23;ASPM;DEPDC1B;MELK;FANCD2;DEPDC1;KIF2C;PRR11;DTL;BLM;CDCA2;TROAP;CDCA5;NCAPG;TTK;HMMR;SKA3;PKMYT1;IQGAP3;CENPA;NCAPH;RAD54B;RAD51AP1;BRIP1;ORC6;CLSPN;ECT2;BUB1;FANCI;GINS1;POLQ;STIL;C5ORF34;ATAD5;SPAG5;UBE2C;XRCC2;ATAD2;CDC7;FANCB;SHCBP1;NDC80;TPX2;ANLN;CENPE;KIF18A;CENPF;CENPI;KIF4A;UBE2T;CENPK;CDK1;CENPL;TRIP13;CENPO"
"calcitriol 5280453 human GSE52819 sample 3126","73/370",4.92466078885877e-87,8.45810490486493e-85,0,0,62.4150159604705,12403.77654763,"ARHGAP11A;TOP2A;DSCC1;HJURP;BUB1B;MCM10;KIF11;MKI67;BRCA2;FOXM1;KIF15;MTBP;EME1;EXO1;CHEK1;NUF2;KNTC1;MYBL2;GTSE1;CEP55;DLGAP5;GEN1;HELLS;RFC3;CKAP2L;KIF23;DEPDC1B;MELK;FANCD2;TIMELESS;DEPDC1;KIF2C;PRR11;DTL;PRIM2;BLM;CDCA2;CDCA5;TTK;PKMYT1;NCAPH;RAD54B;RAD51AP1;BRIP1;ORC6;CLSPN;BUB1;E2F7;FANCI;GINS1;POLQ;STIL;C5ORF34;ATAD5;SPAG5;XRCC2;ATAD2;CDC7;FANCB;SHCBP1;NDC80;TPX2;ANLN;CENPE;CENPF;CENPI;KIF4A;UBE2T;CENPK;CDK1;TRIP13;CENPO;EZH2"
"vemurafenib DB08881 human GSE37441 sample 2564","63/358",1.06321301450726e-70,1.46085468193297e-68,0,0,48.0017533606078,7734.02623080399,"TOP2A;DSCC1;HJURP;KIF14;BUB1B;MCM10;KIF11;FOXM1;KIF15;EXO1;CHEK1;NUF2;NEK2;KNTC1;GTSE1;CEP55;DLGAP5;RFC3;CKAP2L;KIF23;ASPM;DEPDC1B;MELK;DKC1;TIMELESS;DEPDC1;KIF2C;KIF20A;PRR11;DTL;BLM;UHRF1;TROAP;CDCA5;NCAPG;TTK;HMMR;WDR62;SKA3;PKMYT1;CENPA;LRP8;RAD51AP1;ECT2;BUB1;FANCI;POLQ;STIL;SPAG5;UBE2C;GDF15;ATAD2;FANCB;NDC80;TPX2;ANLN;CENPE;CENPF;KIF4A;UBE2T;CENPK;CDK1;TRIP13"
"vemurafenib DB08881 human GSE37441 sample 2561","61/335",2.99416603324598e-69,3.42832010806665e-67,0,0,48.9680964487821,7726.26978143505,"TOP2A;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;FOXM1;KIF15;NUF2;NEK2;GTSE1;CEP55;DLGAP5;RFC3;CKAP2L;KIF23;ASPM;DEPDC1B;MELK;DKC1;DEPDC1;KIF2C;KIF20A;PRR11;DTL;BLM;CDCA2;UHRF1;TROAP;CDCA5;NCAPG;TTK;HMMR;WDR62;SKA3;PKMYT1;CENPA;RAD51AP1;ECT2;BUB1;E2F7;FANCI;POLQ;STIL;SPAG5;UBE2C;ATAD2;LIF;FANCB;NDC80;TPX2;ANLN;CENPE;CENPF;KIF4A;UBE2T;CENPK;CDK1;TRIP13;EZH2"
"PLX4032 DB05238 human GSE50649 sample 2557","50/355",3.60413337204056e-50,3.53719946655981e-48,0,0,32.0409836065574,3647.77541348541,"ARHGAP11A;DSCC1;HJURP;KIF14;BUB1B;MCM10;KIF11;BRCA2;KIF15;MTBP;EXO1;NUF2;MYBL2;DLGAP5;HELLS;RFC3;KIF23;FANCD2;DEPDC1;KIF2C;DTL;BLM;CDCA2;CDCA5;TTK;HMMR;LRP8;NCAPH;RAD51AP1;ORC6;CLSPN;BUB1;CTHRC1;POLQ;STIL;ATAD5;SPAG5;XRCC2;OSBPL3;ATAD2;LIF;CDC7;INHBA;SHCBP1;NDC80;CENPE;KIF18A;CENPK;CDK1;TRIP13"
"vemurafenib 42611257 human GSE42872 sample 2495","45/269",1.80865211131747e-48,1.55318000059388e-46,0,0,37.5497448979592,4127.89987834371,"ARHGAP11A;BLM;DSCC1;CDCA5;HJURP;MCM10;TTK;MKI67;PKMYT1;BRCA2;CLDN1;LRP8;NCAPH;KIF15;RAD51AP1;BRIP1;ORC6;EME1;EXO1;NUF2;MYBL2;CLSPN;BUB1;E2F7;FANCI;GINS1;HELLS;POLQ;STIL;RFC3;ATAD5;CKAP2L;XRCC2;ATAD2;KIF23;FANCB;SHCBP1;MELK;DKC1;CENPI;UBE2T;CENPK;CDK1;TRIP13;DTL"
"lysophosphatidic acid 3988 human GSE26309 sample 3225","41/296",1.63007217296075e-40,1.24428842536004e-38,0,0,28.9042993344127,2648.06100804407,"TOP2A;BLM;TROAP;HJURP;KIF14;BUB1B;NCAPG;MCM10;TTK;HMMR;KIF11;MKI67;BRCA2;CENPA;NCAPH;KIF15;RAD51AP1;NEK2;GTSE1;DLGAP5;GINS1;HELLS;STIL;RFC3;SPAG5;CDC7;NDC80;TPX2;ASPM;CENPE;KIF18A;CENPF;DBF4;CENPI;KIF4A;CDK1;DEPDC1;KIF2C;KIF20A;DTL;EZH2"
"Y15 23627197 human GSE43452 sample 2553","38/235",3.73616826579299e-40,2.56674759859978e-38,0,0,33.8476250906454,3072.86825905217,"TOP2A;UHRF1;DSCC1;HJURP;KIF14;BUB1B;MCM10;HMMR;KIF11;MKI67;PKMYT1;FOXM1;CENPA;KIF15;RAD51AP1;CHEK1;ECT2;GTSE1;BUB1;DLGAP5;POLQ;CKAP2L;ATAD2;PGM2L1;TPX2;ANLN;ASPM;CENPE;DEPDC1B;CENPF;MELK;KIF4A;CENPK;TIMELESS;CDK1;KIF20A;TRIP13;PRR11"
"phorbol 12-myristate 13-acetate (PMA) 27924 human GSE45417 sample 3246","37/251",1.59818303022885e-37,9.98137947061106e-36,0,0,30.0443304937557,2545.55941192675,"ARHGAP11A;BLM;UHRF1;CDCA5;BUB1B;NCAPG;MCM10;TTK;KIF11;MKI67;BRCA2;FOXM1;HOXA13;CENPA;NCAPH;KIF15;RAD51AP1;BRIP1;EXO1;KNTC1;MYBL2;FANCI;GINS1;HELLS;CDC7;KIF23;NDC80;TPX2;CENPE;DEPDC1B;KIF18A;KIF4A;CENPK;KIF20A;TRIP13;DTL;EZH2"
"R1881 13766 human GSE22606 sample 3049","36/276",1.61571465521124e-34,9.24996640108432e-33,0,0,25.8026315789474,2007.65414563396,"TOP2A;CDCA2;UHRF1;CDCA5;KIF14;BUB1B;NCAPG;TTK;HMMR;KIF11;FOXM1;CENPA;KIF15;RAD51AP1;NUF2;NEK2;MYBL2;HOXC9;CEP55;DLGAP5;GINS1;SPAG5;UBE2C;CKAP2L;NDC80;TPX2;ANLN;CENPE;DEPDC1B;MELK;KIF4A;CDK1;DEPDC1;KIF2C;KIF20A;DTL"
"NICKEL CHLORIDE 24385 rat GSE31503 sample 3278","38/342",9.01231960188129e-34,4.76266428191727e-32,0,0,21.8147321428571,1659.86771318037,"ARHGAP11A;TOP2A;CDCA2;UHRF1;DSCC1;HJURP;BUB1B;MCM10;TTK;HMMR;MKI67;SKA3;FOXM1;IQGAP3;NCAPH;KIF15;RAD51AP1;NUF2;ECT2;BUB1;DLGAP5;RFC3;SPAG5;UBE2C;GDF15;KIF23;FANCB;NDC80;ASPM;KIF18A;FANCD2;CENPI;UBE2T;CENPK;TIMELESS;CDK1;DEPDC1;KIF2C"
"lysophosphatidic acid 3988 human GSE26309 sample 3224","36/292",1.28724625623777e-33,6.31670127168108e-32,0,0,24.1702302631579,1830.47928256617,"TROAP;HJURP;KIF14;BUB1B;NCAPG;MCM10;TTK;HMMR;KIF11;MKI67;BRCA2;CENPA;NCAPH;KIF15;NEK2;GTSE1;DLGAP5;GINS1;STIL;SPAG5;CDC7;SHCBP1;NDC80;TPX2;ASPM;CENPE;KIF18A;CENPF;DBF4;CENPI;KIF4A;DEPDC1;KIF2C;KIF20A;DTL;EZH2"
"etanercept DB00005 human GSE11903 sample 2607","31/262",2.25963904934406e-28,1.03491468459958e-26,0,0,22.1248135617884,1408.40318441081,"TOP2A;ZWILCH;KIF14;BUB1B;NCAPG;TTK;HMMR;KIF11;MKI67;CENPA;LRP8;NEK2;SOX9;ECT2;CEP55;DLGAP5;FANCI;GINS1;STIL;RFC3;UBE2C;KIF23;NDC80;ASPM;CENPE;KIF18A;MELK;DBF4;KIF4A;CDK1;KIF20A"
"HYPOCHLOROUS ACID 24341 mouse GSE15457 sample 3384","32/313",3.03650049844849e-27,1.30379740152132e-25,0,0,18.8855781410218,1153.13624960384,"TOP2A;CDCA5;BUB1B;TTK;HMMR;KIF11;MKI67;FOXM1;CENPA;NCAPH;RAD51AP1;NUF2;MYBL2;ECT2;GTSE1;CEP55;SPAG5;UBE2C;CKAP2L;KIF23;SHCBP1;NDC80;ANLN;DEPDC1B;CENPF;MELK;CENPI;UBE2T;CDK1;KIF2C;KIF20A;PRR11"
"lysophosphatidic acid 3988 human GSE26309 sample 3223","29/246",1.64152769010952e-26,6.63370307708964e-25,0,0,21.6840080740374,1287.41393048692,"TROAP;HJURP;BUB1B;MCM10;TTK;HMMR;KIF11;MKI67;FOXM1;CENPA;NCAPH;KIF15;NEK2;GTSE1;DLGAP5;GINS1;SPAG5;CDC7;NDC80;TPX2;ASPM;CENPE;KIF18A;DBF4;KIF4A;DEPDC1;KIF2C;KIF20A;DTL"
"4-Hydroxynonenal 5283344 human GSE2397 sample 3083","31/337",5.457995322569e-25,2.08313488144717e-23,0,0,16.638216070742,929.536297689487,"TOP2A;UHRF1;HJURP;KIF14;BUB1B;KIF11;MKI67;FOXM1;CENPA;RAD51AP1;NUDCD1;NUF2;NEK2;ECT2;CEP55;DLGAP5;GINS1;UBE2C;ATAD2;SHCBP1;NDC80;TPX2;DEPDC1B;MELK;DBF4;KIF4A;UBE2T;CENPK;CDK1;KIF2C;DTL"
"Cadmium dichloride 24947 rat GSE31503 sample 3283","28/268",3.89483573586852e-24,1.40829060554825e-22,0,0,18.7527322404372,1010.81710041347,"ARHGAP11A;TOP2A;PRIM2;CDCA2;UHRF1;HJURP;MKI67;SKA3;IQGAP3;RAD51AP1;ORC6;ECT2;BUB1;GINS1;UBE2C;KIF23;NDC80;ASPM;DEPDC1B;KIF18A;FANCD2;KIF4A;UBE2T;CENPK;TIMELESS;DEPDC1;KIF2C;TRIP13"
"anastrozole DB01217 human GSE33658 sample 3087","33/433",5.72193468624942e-24,1.96548456472667e-22,0,0,13.7147435897436,733.982016482097,"TOP2A;UHRF1;COL11A1;BUB1B;TTK;HMMR;KIF11;CENPA;KIF15;ORC6;NUF2;COL10A1;WNT2;CEP55;DLGAP5;GINS1;SPAG5;UBE2C;SHCBP1;TPX2;ANLN;ASPM;CENPF;MELK;KIF4A;UBE2T;CENPK;CDK1;KIF2C;KIF20A;TRIP13;DTL;EZH2"
"Monuron 8800 rat GSE51163 sample 2468","28/299",8.11048887446223e-23,2.65328850321693e-21,0,0,16.5813320428286,843.430993377825,"ARHGAP11A;TOP2A;UHRF1;DSCC1;HJURP;TTK;HMMR;MKI67;IQGAP3;NCAPH;KIF15;ORC6;NUF2;ECT2;BUB1;DLGAP5;SPAG5;UBE2C;GDF15;KIF23;ASPM;KIF18A;CENPF;UBE2T;CENPK;CDK1;DEPDC1;KIF20A"
"cisplatin DB00515 human GSE47856 sample 3143","27/273",1.18647637381806e-22,3.70504213096821e-21,0,0,17.4931588340274,883.157590516473,"ARHGAP11A;BLM;DSCC1;MCM10;KIF11;MKI67;LRP8;NCAPH;KIF15;RAD51AP1;ORC6;EXO1;CHEK1;KNTC1;CLSPN;GINS1;HELLS;C5ORF34;ATAD5;CKAP2L;XRCC2;CDC7;NDC80;DEPDC1B;CENPK;DTL;EZH2"
"MEK inhibitor (MEKi -AZD6244) 10127622 human GSE55624 sample 3251","28/326",8.68063323296074e-22,2.59286740480175e-20,0,0,15.0582022224667,730.259225535911,"UHRF1;CDCA5;HJURP;BUB1B;KIF11;NCAPH;RAD51AP1;CHEK1;SOX9;E2F7;FANCI;GINS1;STIL;RFC3;UBE2C;OSBPL3;RCC2;CDC7;NDC80;ANLN;MELK;DBF4;UBE2T;CDK1;KIF20A;TRIP13;DTL;EZH2"
"Y15 23627197 human GSE43452 sample 2554","24/210",1.04081628004777e-21,2.97933660163673e-20,0,0,20.1372247823861,972.915550045759,"TOP2A;RNFT2;POLQ;CKAP2L;UHRF1;ATAD2;KIF14;NCAPG;KIF11;RAD51AP1;TPX2;ASPM;CENPE;CENPF;MELK;KIF4A;ENC1;TIMELESS;KIF20A;GTSE1;PRR11;BUB1;CEP55;DLGAP5"
"cisplatin DB00515 human GSE47856 sample 3145","26/267",1.16301087782791e-21,3.19595389227109e-20,0,0,17.0604336768839,822.368771473821,"ARHGAP11A;TROAP;HJURP;KIF14;BUB1B;KIF11;MKI67;FOXM1;CENPA;KIF15;NUF2;MYBL2;BUB1;CEP55;DLGAP5;CKAP2L;KIF23;NDC80;ASPM;CENPE;DEPDC1B;CENPF;DEPDC1;KIF2C;PRR11;EZH2"
"cetuximab DB00002 human GSE61495 sample 3133","25/279",5.77545408036155e-20,1.52605267431092e-18,0,0,15.4299212598425,683.515963171274,"UHRF1;DSCC1;CDCA5;KIF14;NCAPG;MCM10;LRP8;RAD51AP1;KNTC1;ECT2;E2F7;POLQ;STIL;RFC3;CKAP2L;ATAD2;CDC7;PUS7;ANLN;DKC1;UBE2T;CENPK;CDK1;TRIP13;DTL"
"cisplatin DB00515 human GSE47856 sample 3144","21/177",1.92930568832265e-19,4.90901114028763e-18,0,0,20.5512820512821,885.594953728349,"FANCI;BLM;C5ORF34;CDCA5;KIF11;MKI67;FOXM1;LRP8;NCAPH;NDC80;KIF15;RAD51AP1;ASPM;DEPDC1B;DBF4;FANCD2;EXO1;TIMELESS;CLSPN;TRIP13;BUB1"
"R1881 13766 human GSE22606 sample 3048","23/264",3.7392401969679e-18,9.17449291184623e-17,0,0,14.7354200019603,591.297765227954,"TOP2A;GINS1;SPAG5;UBE2C;UHRF1;CDCA5;BUB1B;NCAPG;HMMR;PUS7;FOXM1;PLA2G7;NDC80;TPX2;ANLN;MELK;KIF4A;CDK1;KIF20A;TRIP13;DTL;CEP55;DLGAP5"
"SB 216763 176158 human GSE19736 sample 3266","21/270",1.18855417014891e-15,2.8156438444562e-14,0,0,12.8147006631176,440.39050032141,"GINS1;HELLS;BLM;RFC3;BUB1B;MCM10;PUS7;LRP8;SHCBP1;RAD51AP1;MTBP;BRIP1;ORC6;EXO1;UBE2T;NUF2;CENPK;MYBL2;CLSPN;TRIP13;DTL"
"NSC319726 5351307 human GSE35972 sample 2479","21/291",5.3321504855713e-15,1.22106246119583e-13,0,0,11.8053402239449,387.982763460931,"TOP2A;RNFT2;UBE2C;UHRF1;KIF14;BUB1B;KIF23;HMMR;KIF11;MKI67;CENPA;NDC80;ASPM;CENPE;KIF18A;CENPF;NEK2;KIF20A;HOXC9;GTSE1;DLGAP5"
"etanercept DB00005 human GSE47751 sample 2594","20/285",4.22112159794407e-14,9.35455012189541e-13,0,0,11.3701015965167,350.154676938226,"STIL;ATAD5;OSBPL3;BUB1B;NCAPG;TTK;MKI67;FOXM1;LRP8;SHCBP1;KIF15;ANLN;CENPE;DBF4;KIF4A;NUF2;CENPK;CDK1;CEP55;DLGAP5"
"VX 39793 human GSE33606 sample 3376","21/367",5.06714845107305e-13,1.08785343308975e-11,0,0,9.17650221804006,259.794375801028,"SDS;OSBPL3;NCAPG;HMMR;INHBA;PLA2G7;NDC80;KIF15;TPX2;ANLN;CENPE;DEPDC1B;MELK;ENC1;CENPK;DEPDC1;KIF20A;TRIP13;SOX4;CEP55;DLGAP5"
"Adriamycin DB00997 mouse GSE44355 sample 2486","19/295",8.81325098373632e-13,1.83475861388693e-11,0,0,10.2861489102777,285.516233669046,"STIL;RFC3;CKAP2L;NCAPG;TTK;HMMR;KIF11;MKI67;BRCA2;CENPA;NCAPH;NDC80;CENPE;EME1;KNTC1;BUB1;CEP55;DLGAP5;EZH2"
"PLX4032 DB05238 human GSE54711 sample 2556","19/311",2.24226656569129e-12,4.53069744302917e-11,0,0,9.71457701558088,260.579285920664,"BLM;RFC3;DSCC1;XRCC2;LIF;MCM10;SNX10;PKMYT1;PLA2G7;LRP8;ORC6;EXO1;UBE2T;CHEK1;MYBL2;CLSPN;TRIP13;DTL;CTHRC1"
"doxorubicin 31703 human GSE13477 sample 2641","18/280",3.76725806012041e-12,7.39458939229348e-11,0,0,10.1950034698126,268.176239481598,"TOP2A;GINS1;ZWILCH;UBE2C;UHRF1;ATAD2;HMMR;TPX2;BRIP1;MELK;DBF4;UBE2T;CDK1;MYBL2;KIF20A;TRIP13;PRR11;MEST"
"PLX4032 DB05238 human GSE50649 sample 2558","19/323",4.35983211588993e-12,8.32001295448996e-11,0,0,9.32538167938931,243.938813235849,"BLM;STIL;DSCC1;CDCA5;XRCC2;LIF;MCM10;INHBA;LRP8;RAD51AP1;CST1;HOXB9;DKC1;EXO1;CENPK;CDK1;CLSPN;DTL;CTHRC1"
"methotrexate DB00563 human GSE23687 sample 2541","17/245",4.58758613349774e-12,8.51803155057554e-11,0,0,11.0003297717979,287.192947969656,"UBE2C;UHRF1;NCAPG;TTK;HMMR;KIF11;PLA2G7;NDC80;TPX2;DEPDC1B;MELK;NUF2;CDK1;KIF20A;DTL;CEP55;DLGAP5"
"etanercept DB00005 human GSE11903 sample 2606","16/220",9.92213211781421e-12,1.79381704340483e-10,0,0,11.4989757096869,291.340961115879,"TOP2A;KIF14;BUB1B;NCAPG;KIF11;LRP8;NDC80;ASPM;MELK;DBF4;CDK1;NEK2;KIF20A;ECT2;DLGAP5;EZH2"
"azacitidine DB00928 human GSE29077 sample 2545","18/310",2.0567821844157e-11,3.62310092485534e-10,0,0,9.13356164383562,224.752230314731,"TOP2A;UBE2C;HJURP;BUB1B;TTK;HMMR;CENPA;NDC80;RAD51AP1;TPX2;ASPM;DBF4;CDK1;TRIP13;ECT2;PRR11;CEP55;DLGAP5"
"methotrexate DB00563 human GSE11440 sample 2543","19/364",3.46808977580014e-11,5.95644418993674e-10,0,0,8.19991149463436,197.493491398158,"FANCI;GINS1;ZWILCH;UBE2C;UHRF1;DSCC1;RCC2;ATAD2;BUB1B;FAM91A1;TPX2;ANLN;MELK;DKC1;UBE2T;ENC1;CDK1;MEST;EZH2"
"cisplatin DB00515 human GSE47856 sample 3147","15/203",3.62918945971306e-11,6.08110526542164e-10,0,0,11.6205673758865,279.351777516347,"ARHGAP11A;KIF14;KIF23;HMMR;CENPA;NDC80;KIF15;ASPM;CENPE;CENPF;DKC1;DEPDC1;CENPL;BUB1;DLGAP5"
