"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"testosterone 6013 human GSE5106 sample 3206","14/271",1.74278939987342e-08,1.50402725209076e-05,0,0,7.84796292057679,140.205378597245,"GSTM2;BTG2;HSPB8;FHL1;NCOA4;CIRBP;HBB;PPP1CB;HADHB;CKMT2;RAP1A;PPP1R3C;MKNK2;SLC25A4"
"Coenzyme Q10 5281915 mouse GSE15129 sample 3452","12/228",1.55894126748501e-07,6.72683156919784e-05,0,0,7.90418679549114,123.890925208883,"MYL6;PINK1;UBL3;TSC22D3;FAM107A;CIRBP;ID4;MAL;SRSF5;CALM1;S100B;SLC25A4"
"rosiglitazone DB00412 rat GSE7193 sample 2811","13/289",2.86409625992175e-07,8.23905024104156e-05,0,0,6.72966254099228,101.388037886587,"GSTM2;TSC22D3;FHL1;NCOA4;CIDEA;HBB;NDRG2;ALDH6A1;PINK1;ID4;MAL;SOSTDC1;SLC25A4"
"methylprednisolone 6741 rat GSE490 sample 3666","13/307",5.69040485999468e-07,0.000122770484854385,0,0,6.311832762302,90.7598267980654,"RAB5B;BTG2;GPX3;PYGM;KLF4;LYVE1;PPP1CB;CKMT2;TOM1L2;ALDH6A1;TEF;IGFBP6;VAMP2"
"ubiquinol 9962735 mouse GSE15129 sample 3453","12/271",9.87062288654613e-07,0.000160624409138945,0,0,6.57747188181971,90.9567849381389,"ALAD;BTG2;LGI4;CIRBP;PLP1;AQP4;SRSF5;PTN;S100B;YPEL5;SLC25A4;GSTM5"
"acrylamide 6579 rat GSE29004 sample 3110","13/326",1.11673980861376e-06,0.000160624409138945,0,0,5.92292623772766,81.1742786278314,"GSN;NCOA4;FAM107A;HBB;AQP4;PTN;NDRG2;HADHB;UBL3;ID4;SRSF5;YPEL5;GSTM5"
"imatinib DB00619 human GSE1922 sample 2513","12/280",1.39026974396696e-06,0.000171400398434784,0,0,6.35366645035691,85.6856268810119,"ALAD;CYB5R1;KAT2B;GSTM2;BTG2;SLC7A8;HPGD;CITED2;NCOA4;HBB;YPEL5;PTGS1"
"imatinib DB00619 human GSE1922 sample 2516","11/235",1.65653327761811e-06,0.000178698527323054,0,0,6.93364594039054,92.2922601605042,"ALAD;CYB5R1;KAT2B;GSTM2;BTG2;SLC7A8;CITED2;NCOA4;HBB;YPEL5;ELL2"
"vemurafenib DB08881 human GSE37441 sample 2564","11/242",2.20308972325667e-06,0.000211251825685612,0,0,6.72113737581364,87.5471814677875,"CHODL;PCSK2;RAB5B;ALDH6A1;PINK1;UBL3;HPGD;ADHFE1;GNG7;PLP1;YPEL5"
"etanercept DB00005 human GSE47751 sample 2591","13/360",3.33868547491088e-06,0.000280426838726731,0,0,5.33328425082564,67.2523591999444,"GSTM2;PMM1;HPGD;ROGDI;CIDEA;HBB;PYGM;ADRB2;ADH7;ALDH6A1;MPZ;SOSTDC1;GSTM5"
"PD173074 1401 human GSE52452 sample 2578","9/161",3.57438612513794e-06,0.000280426838726731,0,0,8.27183650615901,103.743033438852,"CFD;SCNN1G;KAT2B;GSN;HPGD;SCNN1B;ADHFE1;YPEL5;ASPA"
"dexamethasone DB01234 mouse GSE7683 sample 3524","13/370",4.49843107842054e-06,0.00031147851956135,0,0,5.18123453761066,63.7902294506947,"GSN;GPX3;TSC22D3;EPHX1;FHL1;NDRG2;KLF4;S100B;GHR;MYL6;MKNK2;PLCD1;GSTM5"
"PBDE 47 CID 95170 rat GSE19868 sample 3392","12/315",4.69202868400643e-06,0.00031147851956135,0,0,5.60970010044483,68.8290316712192,"ALAD;GHR;HADHB;GSTM2;BTG2;UBL3;HSPB8;EPHX1;CIDEA;ACOX3;FBXO8;NFE2L2"
"methylprednisolone 6741 rat GSE490 sample 3670","11/270",6.29397498361983e-06,0.000375031024099376,0,0,5.98597261187189,71.6875155575713,"PPP1CB;HADHB;CKMT2;TOM1L2;RAB5B;GSTM2;GPX3;CIDEA;PYGM;IGFBP6;NDRG2"
"estradiol 5757 mouse GSE2195 sample 3619","11/271",6.51849983950248e-06,0.000375031024099376,0,0,5.96264526840066,71.1991499112992,"PPP1CB;ALAD;BTG2;UBL3;GSN;GPX3;CRY2;MKNK2;ADRB2;CALM1;KLF4"
