"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Menadione Up","17/249",5.94547359975956e-12,6.28139285814597e-08,0,0,10.8084651283381,279.381431941014,"BTG2;GPX3;HSPB8;AKR1C1;FHL1;HBB;AKR1C2;ADRB2;PTN;KLF4;S100B;CLEC3B;ID4;MAL;IGFBP6;DNASE1L3;GPM6B"
"Sparfloxacin Down","16/239",3.46295324812281e-11,1.27233521799831e-07,0,0,10.509069004752,253.124738607496,"CBX7;BTG2;CITED2;GPX3;TSC22D3;AKR1C1;EPHX1;FHL1;FAM107A;CIRBP;AKR1C2;MT1X;ALDH6A1;ID4;MAL;YPEL5"
"PP-242 Down","16/246",5.33556914374038e-11,1.27233521799831e-07,0,0,10.185593770279,240.930447179389,"GSTM2;HSPB8;AKR1C1;EPHX1;FHL1;AKR1C2;S100B;TMEM100;GHR;MAF;INPP5A;PPP1R3C;MICALL1;ID4;NCAM1;GPM6B"
"Methoxsalen Down","16/247",5.66894275968182e-11,1.27233521799831e-07,0,0,10.1409833947147,239.260616178737,"BTG2;HSPB8;AKR1C1;MT1M;FAM107A;AKR1C2;MT1X;ADRB2;S100B;TMEM100;MKNK2;MAL;NCAM1;SRSF5;YPEL5;GPM6B"
"SCH-772984 Up","16/248",6.02146340746953e-11,1.27233521799831e-07,0,0,10.0967575913536,237.608063646953,"CFD;HPGD;GPX3;HSPB8;FHL1;FAM107A;AQP4;PTN;NDRG2;MAF;PPP1R3C;PLP1;MAL;YPEL5;ASPA;GPM6B"
"Promethazine Down","15/240",3.83959425267702e-10,6.76088554658879e-07,0,0,9.69135802469136,210.113334843788,"CFD;BTG2;PMM1;HPGD;CITED2;TSC22D3;AKR1C1;MT1M;AKR1C2;ADRB2;PTN;MICALL1;YPEL5;ASPA;LHPP"
"Suvorexant Up","15/246",5.41183535108479e-10,7.56069774504148e-07,0,0,9.43674843674844,201.354379891086,"HPGD;MT1M;FAM107A;PTN;NDRG2;S100B;PPP1CB;UBL3;ID4;PLP1;MAL;SOSTDC1;NCAM1;IGFBP6;GPM6B"
"Imipramine Down","15/247",5.72509057835606e-10,7.56069774504148e-07,0,0,9.3955938697318,199.947563229885,"RNF11;BTG2;HSPB8;AKR1C1;MT1M;FHL1;HBB;AKR1C2;MT1X;ADRB2;PTN;ELL2;TMEM100;PLP1;GPM6B"
"Aminoguanidine Down","14/239",3.5144611976173e-09,2.51269851871746e-06,0,0,8.97875816993464,174.783914962595,"CBX7;HPGD;CITED2;TSC22D3;EPHX1;CIRBP;HBB;NDRG2;ALDH6A1;ID4;PLP1;MAL;YPEL5;DNASE1L3"
"AT-406 Down","14/242",4.12576259439161e-09,2.51269851871746e-06,0,0,8.85926212590299,171.037047162748,"PMM1;HPGD;GPX3;AKR1C1;EPHX1;AKR1C2;ADRB2;LYVE1;CYB5R1;ALDH6A1;CLEC3B;MAF;PPP1R3C;IGFBP6"
"Estramustine-Phosphate Down","14/242",4.12576259439161e-09,2.51269851871746e-06,0,0,8.85926212590299,171.037047162748,"EPHX1;FAM107A;MT1X;PTN;NDRG2;S100B;ALDH6A1;DHRS7;ID4;PLP1;MAL;YPEL5;DNASE1L3;GPM6B"
"CGP-13501 Down","14/243",4.35009367124911e-09,2.51269851871746e-06,0,0,8.82012586694066,169.814487128418,"TSC22D3;MT1M;ZFYVE21;HBB;AQP4;MT1X;ALDH6A1;MAF;MICALL1;MKNK2;PLP1;ASPA;GPM6B;SIDT2"
"SA-1456305 Down","14/243",4.35009367124911e-09,2.51269851871746e-06,0,0,8.82012586694066,169.814487128418,"CFD;GSN;GPX3;AKR1C1;FHL1;FAM107A;HBB;AKR1C2;MT1X;PYGM;PTN;LYVE1;MAF;IGFBP6"
"TC-1 Down","14/245",4.83238757652847e-09,2.51269851871746e-06,0,0,8.74286987522282,167.407818134437,"CBX7;BTG2;MYOC;CITED2;GPX3;TSC22D3;AKR1C1;EPHX1;FHL1;AKR1C2;NDRG2;PPP1CB;CLEC3B;YPEL5"
"Nicotinamide Down","14/245",4.83238757652847e-09,2.51269851871746e-06,0,0,8.74286987522282,167.407818134437,"GPX3;HSPB8;AKR1C1;EPHX1;FHL1;AKR1C2;ADRB2;CYB5R1;CLEC3B;INPP5A;PPP1R3C;IGFBP6;DNASE1L3;VAMP2"
