"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Palbociclib Down","60/246",2.0785141843713e-76,1.98269468047178e-72,0,0,70.4802867383513,12282.2340424589,"ARHGAP11A;TOP2A;DSCC1;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;FOXM1;KIF15;EXO1;CHEK1;NEK2;KNTC1;MYBL2;GTSE1;CEP55;DLGAP5;HELLS;RFC3;KIF23;ASPM;MELK;DBF4;TIMELESS;DEPDC1;KIF20A;DTL;PRIM2;BLM;TROAP;NCAPG;TTK;HMMR;PKMYT1;CENPA;NCAPH;RAD54B;RAD51AP1;BRIP1;ECT2;BUB1;FANCI;GINS1;STIL;SPAG5;UBE2C;ATAD2;CDC7;SHCBP1;NDC80;TPX2;CENPE;KIF18A;CENPF;KIF4A;CDK1;TRIP13;EZH2"
"R-547 Down","51/244",1.4759418405882e-60,7.03950460868543e-57,0,0,52.4680483592401,7228.30314237951,"TOP2A;ZWILCH;DSCC1;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;FOXM1;KIF15;EXO1;CHEK1;NEK2;GTSE1;CEP55;DLGAP5;RFC3;KIF23;ASPM;MELK;DBF4;DEPDC1;KIF20A;DTL;BLM;TROAP;NCAPG;TTK;HMMR;CENPA;NCAPH;RAD51AP1;BRIP1;ECT2;BUB1;FANCI;GINS1;STIL;SPAG5;UBE2C;ATAD2;SHCBP1;NDC80;TPX2;CENPE;KIF18A;CENPF;KIF4A;CDK1;EZH2"
"SAR405838 Down","51/248",3.65811365701963e-60,1.16315820581034e-56,0,0,51.3922473465621,7033.44830524166,"TOP2A;DSCC1;HJURP;KIF14;MCM10;KIF11;MKI67;FOXM1;KIF15;EXO1;NEK2;MYBL2;GTSE1;CEP55;DLGAP5;HELLS;RFC3;KIF23;ASPM;MELK;DBF4;TIMELESS;DEPDC1;KIF20A;DTL;TROAP;NCAPG;TTK;HMMR;CENPA;NCAPH;RAD51AP1;ORC6;ECT2;BUB1;FANCI;GINS1;SPAG5;UBE2C;ATAD2;CDC7;SHCBP1;NDC80;TPX2;CENPE;KIF18A;CENPF;KIF4A;CDK1;TRIP13;EZH2"
"AMG-232 Down","50/249",2.30837247599132e-58,5.50489126212029e-55,0,0,49.3743718592965,6552.64040055961,"TOP2A;ZWILCH;DSCC1;HJURP;KIF14;MCM10;KIF11;MKI67;FOXM1;KIF15;EXO1;CHEK1;NEK2;MYBL2;GTSE1;CEP55;DLGAP5;HELLS;RFC3;KIF23;ASPM;MELK;TIMELESS;DEPDC1;KIF20A;DTL;NCAPG;TTK;HMMR;NCAPH;RAD51AP1;ORC6;ECT2;BUB1;FANCI;GINS1;STIL;SPAG5;UBE2C;ATAD2;CDC7;SHCBP1;NDC80;TPX2;CENPE;KIF18A;CENPF;KIF4A;CDK1;EZH2"
"Pyrvinium Down","49/246",5.89573249829592e-57,1.12478784602489e-53,0,0,48.3991053927728,6266.38325382453,"TOP2A;ZWILCH;DSCC1;HJURP;KIF14;MCM10;SNX10;KIF11;MKI67;KIF15;EXO1;NEK2;GTSE1;CEP55;DLGAP5;HELLS;RFC3;KIF23;ASPM;MELK;DBF4;DEPDC1;KIF2C;KIF20A;DTL;PRIM2;TROAP;NCAPG;TTK;HMMR;NCAPH;RAD54B;BRIP1;ORC6;ECT2;BUB1;FANCI;STIL;SPAG5;ATAD2;CDC7;SHCBP1;NDC80;TPX2;CENPE;KIF18A;CENPF;CENPI;KIF4A"
"C646 Down","48/243",1.48555126762171e-55,2.36177892364058e-52,0,0,47.4328808446456,5988.23017255315,"TOP2A;BLM;ZWILCH;DSCC1;HJURP;KIF14;BUB1B;NCAPG;MCM10;HMMR;KIF11;MKI67;FOXM1;CLDN1;CENPA;NCAPH;KIF15;RAD51AP1;ORC6;EXO1;MYBL2;ECT2;GTSE1;BUB1;CEP55;DLGAP5;GINS1;HELLS;POLQ;STIL;RFC3;SPAG5;UBE2C;ATAD2;CDC7;KIF23;SHCBP1;NDC80;TPX2;ASPM;CENPE;CENPF;MELK;KIF4A;CDK1;TRIP13;DTL;EZH2"
"RG-7388 Down","48/246",2.81463703441997e-55,3.83554609590458e-52,0,0,46.7070707070707,5866.75122837165,"TOP2A;ZWILCH;DSCC1;HJURP;KIF14;BUB1B;NCAPG;MCM10;TTK;HMMR;KIF11;MKI67;FOXM1;NCAPH;KIF15;RAD51AP1;ORC6;EXO1;NEK2;MYBL2;ECT2;GTSE1;BUB1;CEP55;DLGAP5;GINS1;POLQ;RFC3;SPAG5;UBE2C;ATAD2;CDC7;KIF23;SHCBP1;NDC80;TPX2;ASPM;CENPE;CENPF;MELK;DBF4;KIF4A;TIMELESS;CDK1;KIF20A;TRIP13;DTL;EZH2"
"MEK-162 Down","46/249",1.05069706762582e-51,1.25282491601034e-48,0,0,42.8079765062524,5024.90241891944,"TOP2A;ZWILCH;DSCC1;HJURP;KIF14;MCM10;SNX10;HMMR;KIF11;MKI67;NCAPH;KIF15;ORC6;EXO1;ENC1;NEK2;KNTC1;MYBL2;SOX9;ECT2;BUB1;CEP55;DLGAP5;GINS1;HELLS;RFC3;SPAG5;ATAD2;LIF;CDC7;KIF23;PUS7;SHCBP1;NDC80;TPX2;ASPM;CENPE;CENPF;MELK;DBF4;DKC1;NFE2L3;KIF20A;TRIP13;DTL;EZH2"
"PHA-848125 Down","44/246",1.02236835904923e-48,1.08359686410784e-45,0,0,40.3751167569587,4461.52964214176,"TOP2A;ZWILCH;DSCC1;HJURP;KIF14;NCAPG;MCM10;SNX10;TTK;HMMR;KIF11;MKI67;FOXM1;NCAPH;KIF15;RAD54B;RAD51AP1;EXO1;CHEK1;NEK2;MYBL2;ECT2;BUB1;CEP55;DLGAP5;GINS1;RFC3;SPAG5;UBE2C;ATAD2;KIF23;NDC80;TPX2;ASPM;KIF18A;CENPF;DBF4;FAP;KIF4A;CDK1;DEPDC1;KIF20A;TRIP13;DTL"
"TAK-733 Down","43/248",5.90531248253542e-47,5.63307757709054e-44,0,0,38.510827444723,4099.3099440197,"TOP2A;PRIM2;DSCC1;HJURP;KIF14;NCAPG;MCM10;TTK;MKI67;NCAPH;KIF15;ORC6;EXO1;ENC1;NEK2;SOX9;ECT2;GTSE1;BUB1;CEP55;DLGAP5;FANCI;GINS1;HELLS;RFC3;UBE2C;ATAD2;LIF;CDC7;PUS7;SHCBP1;NDC80;TPX2;ASPM;CENPF;MELK;DBF4;DKC1;CDK1;DEPDC1;KIF20A;TRIP13;DTL"
"KPT-330 Down","42/243",9.04262811934565e-46,7.8416026936762e-43,0,0,38.0163073521282,3942.93599718799,"TOP2A;DSCC1;HJURP;KIF14;BUB1B;MCM10;TTK;HMMR;KIF11;MKI67;FOXM1;CENPA;NCAPH;KIF15;NEK2;MYBL2;ECT2;GTSE1;BUB1;CEP55;DLGAP5;TEAD4;GINS1;HELLS;RFC3;SPAG5;UBE2C;ATAD2;CDC7;KIF23;NDC80;TPX2;ASPM;CENPE;CENPF;MELK;DBF4;KIF4A;TIMELESS;KIF20A;TRIP13;DTL"
"RG7112 Down","41/246",5.78498786121976e-44,4.59858326734794e-41,0,0,36.045871559633,3588.67210451164,"TOP2A;DSCC1;HJURP;KIF14;NCAPG;TTK;HMMR;KIF11;MKI67;FOXM1;NCAPH;KIF15;RAD51AP1;EXO1;CHEK1;NEK2;GTSE1;BUB1;CEP55;DLGAP5;FANCI;TEAD4;RFC3;UBE2C;CDC7;KIF23;NDC80;TPX2;ASPM;CENPE;KIF18A;CENPF;MELK;DBF4;KIF4A;TIMELESS;CDK1;DEPDC1;KIF20A;TRIP13;DTL"
"YK-4279 Up","41/247",6.89915471918677e-44,5.06238745125559e-41,0,0,35.8690656453193,3564.75186368139,"ARHGAP11A;TOP2A;TROAP;HJURP;KIF14;BUB1B;NCAPG;MCM10;TTK;HMMR;KIF11;MKI67;FOXM1;CENPA;NCAPH;KIF15;NEK2;ECT2;GTSE1;BUB1;CEP55;DLGAP5;HELLS;STIL;SPAG5;ATAD2;KIF23;SHCBP1;NDC80;TPX2;ASPM;CENPE;KIF18A;CENPF;MELK;DBF4;KIF4A;DEPDC1;KIF2C;KIF20A;TRIP13"
"Ro-4987655 Down","40/249",3.43391420826817e-42,2.33972197376215e-39,0,0,34.1731187472814,3262.67417673757,"DSCC1;HJURP;KIF14;NCAPG;MCM10;TTK;MKI67;FOXM1;LRP8;NCAPH;KIF15;RAD51AP1;ORC6;EXO1;CHEK1;ENC1;NEK2;SOX9;ECT2;GTSE1;BUB1;CEP55;DLGAP5;FANCI;GINS1;HELLS;RFC3;LIF;CDC7;KIF23;PUS7;SHCBP1;NDC80;TPX2;ASPM;DBF4;DKC1;CDK1;TRIP13;DTL"
"Pyrvinium-Pamoate Down","39/243",4.2613962147838e-41,2.70996389952151e-38,0,0,33.8365129835718,3145.32016333275,"TOP2A;TROAP;HJURP;KIF14;BUB1B;NCAPG;MCM10;TTK;HMMR;KIF11;MKI67;FOXM1;CENPA;NCAPH;KIF15;NEK2;GTSE1;BUB1;CEP55;DLGAP5;GINS1;SPAG5;UBE2C;ATAD2;KIF23;SHCBP1;NDC80;TPX2;ASPM;CENPE;KIF18A;CENPF;KIF4A;CDK1;DEPDC1;KIF2C;KIF20A;TRIP13;EZH2"
