"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP005 A549 24H-dovitinib-10","58/215",1.40240949337427e-76,2.34623108241516e-72,0,0,79.0774023816117,13811.522710714,"ARHGAP11A;TOP2A;DSCC1;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;FOXM1;KIF15;EXO1;CHEK1;NEK2;KNTC1;MYBL2;GTSE1;CEP55;DLGAP5;RFC3;KIF23;ASPM;DBF4;TIMELESS;DEPDC1;KIF2C;KIF20A;DTL;BLM;TROAP;NCAPG;TTK;HMMR;CENPA;NCAPH;RAD54B;RAD51AP1;BRIP1;ORC6;ECT2;BUB1;FANCI;GINS1;POLQ;STIL;SPAG5;UBE2C;ATAD2;CDC7;SHCBP1;NDC80;TPX2;CENPE;KIF18A;CENPF;KIF4A;CDK1;TRIP13"
"LJP006 HCC515 24H-palbociclib-1.11","50/139",7.04197515338095e-73,5.89061221580317e-69,0,0,111.016853932584,18443.9874224928,"TOP2A;ZWILCH;DSCC1;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;FOXM1;KIF15;EXO1;NEK2;MYBL2;GTSE1;CEP55;DLGAP5;RFC3;KIF23;ASPM;MELK;DBF4;TIMELESS;DEPDC1;KIF2C;KIF20A;DTL;TROAP;NCAPG;TTK;HMMR;CENPA;NCAPH;RAD51AP1;ECT2;BUB1;FANCI;GINS1;STIL;SPAG5;ATAD2;SHCBP1;NDC80;TPX2;CENPE;CENPF;KIF4A;CDK1;TRIP13;EZH2"
"LJP005 A549 24H-NVP-BEZ235-3.33","53/177",2.09265772437877e-72,1.16700545762856e-68,0,0,86.9203525108081,14346.0035522628,"TOP2A;ZWILCH;DSCC1;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;FOXM1;KIF15;EXO1;NEK2;MYBL2;GTSE1;CEP55;DLGAP5;RFC3;KIF23;ASPM;MELK;TIMELESS;DEPDC1;KIF20A;DTL;BLM;TROAP;NCAPG;TTK;HMMR;CENPA;NCAPH;RAD54B;RAD51AP1;ORC6;ECT2;BUB1;FANCI;GINS1;POLQ;STIL;SPAG5;UBE2C;ATAD2;CDC7;SHCBP1;NDC80;TPX2;CENPF;KIF4A;CDK1;TRIP13;EZH2"
"LJP006 HME1 24H-palbociclib-3.33","53/183",1.63762642404568e-71,6.84937251857104e-68,0,0,82.883425852498,13509.1939235145,"TOP2A;DSCC1;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;FOXM1;KIF15;EXO1;NEK2;KNTC1;MYBL2;GTSE1;CEP55;DLGAP5;HELLS;RFC3;KIF23;ASPM;MELK;DBF4;TIMELESS;DEPDC1;KIF20A;DTL;TROAP;NCAPG;TTK;HMMR;CENPA;NCAPH;RAD54B;RAD51AP1;ECT2;BUB1;FANCI;GINS1;SPAG5;UBE2C;ATAD2;CDC7;SHCBP1;NDC80;TPX2;CENPE;KIF18A;CENPF;KIF4A;CDK1;TRIP13;EZH2"
"LJP005 A549 24H-NVP-BEZ235-0.04","52/172",3.14096853588204e-71,1.05096807210613e-67,0,0,87.2414965986395,14162.6982235771,"TOP2A;DSCC1;HJURP;KIF14;MCM10;KIF11;MKI67;FOXM1;KIF15;EXO1;NEK2;MYBL2;GTSE1;CEP55;DLGAP5;RFC3;KIF23;ASPM;MELK;DBF4;TIMELESS;DEPDC1;KIF20A;DTL;BLM;NCAPG;TTK;HMMR;CENPA;NCAPH;RAD54B;RAD51AP1;ORC6;ECT2;BUB1;FANCI;GINS1;POLQ;STIL;SPAG5;UBE2C;ATAD2;CDC7;SHCBP1;NDC80;TPX2;CENPE;CENPF;KIF4A;CDK1;TRIP13;EZH2"
"LJP005 A549 24H-NVP-BEZ235-0.37","54/207",4.10447151431512e-70,1.1444634739082e-66,0,0,72.4154411764706,11569.7338964876,"TOP2A;DSCC1;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;FOXM1;KIF15;EXO1;CHEK1;NEK2;KNTC1;MYBL2;GTSE1;CEP55;DLGAP5;RFC3;KIF23;ASPM;MELK;DBF4;TIMELESS;DEPDC1;KIF20A;DTL;PRIM2;BLM;NCAPG;TTK;HMMR;CENPA;NCAPH;RAD54B;RAD51AP1;ORC6;ECT2;BUB1;FANCI;GINS1;POLQ;STIL;SPAG5;UBE2C;ATAD2;CDC7;SHCBP1;NDC80;TPX2;CENPE;KIF4A;CDK1;TRIP13"
"LJP006 LNCAP 24H-mitoxantrone-0.37","53/195",7.94144307635905e-70,1.89800489524981e-66,0,0,75.8330187309424,12065.70527463,"TOP2A;ZWILCH;DSCC1;HJURP;MCM10;KIF11;MKI67;FOXM1;KIF15;EXO1;CHEK1;NEK2;MYBL2;GTSE1;CEP55;DLGAP5;HELLS;RFC3;KIF23;ASPM;MELK;DBF4;TIMELESS;DEPDC1;KIF20A;DTL;BLM;TROAP;NCAPG;TTK;HMMR;PKMYT1;CENPA;NCAPH;RAD51AP1;ORC6;ECT2;BUB1;FANCI;GINS1;SPAG5;UBE2C;ATAD2;CDC7;SHCBP1;NDC80;TPX2;CENPE;CENPF;KIF4A;CDK1;TRIP13;EZH2"
"LJP005 A549 24H-mitoxantrone-0.37","52/184",1.85157482330745e-69,3.53896483637658e-66,0,0,79.2622139764997,12544.2230519778,"TOP2A;DSCC1;HJURP;KIF14;MCM10;KIF11;MKI67;FOXM1;KIF15;EXO1;NEK2;MYBL2;GTSE1;CEP55;DLGAP5;HELLS;RFC3;KIF23;ASPM;MELK;DBF4;TIMELESS;DEPDC1;KIF20A;DTL;BLM;TROAP;NCAPG;TTK;HMMR;CENPA;NCAPH;RAD54B;RAD51AP1;ORC6;ECT2;BUB1;FANCI;GINS1;STIL;SPAG5;UBE2C;ATAD2;SHCBP1;NDC80;TPX2;CENPE;KIF18A;CENPF;KIF4A;CDK1;TRIP13"
"LJP006 A549 24H-mitoxantrone-0.37","51/171",1.90380654676565e-69,3.53896483637658e-66,0,0,84.6994949494949,13402.3835963136,"TOP2A;ZWILCH;DSCC1;HJURP;KIF14;MCM10;KIF11;MKI67;FOXM1;KIF15;EXO1;NEK2;KNTC1;MYBL2;GTSE1;CEP55;DLGAP5;HELLS;RFC3;KIF23;ASPM;MELK;DBF4;DEPDC1;DTL;NCAPG;TTK;HMMR;CENPA;NCAPH;RAD54B;RAD51AP1;ECT2;BUB1;FANCI;GINS1;STIL;SPAG5;UBE2C;ATAD2;CDC7;SHCBP1;NDC80;TPX2;CENPE;KIF18A;CENPF;KIF4A;CDK1;TRIP13;EZH2"
"LJP005 A549 24H-NVP-BEZ235-1.11","53/199",2.71914886993032e-69,4.54913605939343e-66,0,0,73.7404321423528,11641.9958171959,"TOP2A;DSCC1;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;FOXM1;KIF15;EXO1;NEK2;KNTC1;MYBL2;GTSE1;CEP55;DLGAP5;HELLS;RFC3;KIF23;ASPM;MELK;DBF4;TIMELESS;KIF20A;DTL;BLM;TROAP;NCAPG;TTK;HMMR;CENPA;NCAPH;RAD54B;RAD51AP1;ORC6;ECT2;BUB1;FANCI;GINS1;STIL;SPAG5;UBE2C;ATAD2;CDC7;SHCBP1;NDC80;TPX2;CENPE;CENPF;KIF4A;CDK1;TRIP13"
