"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 MCF10A 24H-selumetinib-10","17/181",3.25372263360712e-14,6.3711142888661e-10,0,0,15.3430221896204,476.498904456403,"CFD;RAB5B;GSN;CITED2;HSPB8;TSC22D3;AKR1C1;EPHX1;FHL1;HBB;AKR1C2;KLF4;PTGS1;CYB5R1;MAF;YPEL5;GPM6B"
"LJP006 MCF10A 24H-geldanamycin-3.33","16/175",2.92631730388752e-13,2.86501095637107e-09,0,0,14.7871960949967,426.756430821232,"CFD;RAB5B;GSN;CITED2;GPX3;HSPB8;TSC22D3;AKR1C1;EPHX1;HBB;AKR1C2;PTN;PTGS1;CLEC3B;PINK1;YPEL5"
"LJP006 MCF10A 24H-geldanamycin-0.37","16/191",1.13906843978756e-12,7.43469970649339e-09,0,0,13.4243070362473,369.179321825732,"CFD;CA11;RAB5B;GSN;GPX3;HSPB8;TSC22D3;AKR1C1;EPHX1;AKR1C2;PTN;CLEC3B;PINK1;MAF;YPEL5;SIDT2"
"LJP006 MCF10A 24H-AS-605240-0.37","14/135",1.68657225983099e-12,8.25619285493766e-09,0,0,16.7845162858532,455.000087118263,"CFD;RAB5B;GSN;HPGD;GPX3;HSPB8;TSC22D3;AKR1C1;EPHX1;FHL1;AKR1C2;KLF4;MAF;YPEL5"
"LJP006 HS578T 24H-NVP-TAE684-1.11","10/58",1.59481251115991e-11,6.24560475620444e-08,0,0,29.4672619047619,732.60563128091,"CLEC3B;GSN;GPX3;AKR1C1;FHL1;AKR1C2;PTN;YPEL5;GPM6B;SIDT2"
"LJP005 HT29 24H-XMD16-144-10","15/199",2.73209189787685e-11,8.27913884073064e-08,0,0,11.8756038647343,288.854688299401,"STX12;GSN;GPX3;HSPB8;TSC22D3;AKR1C1;AKR1C2;KLF4;CYB5R1;PINK1;MAF;CALM1;YPEL5;SLC25A4;SIDT2"
"LJP005 MCF10A 24H-neratinib-10","13/136",3.07807611194773e-11,8.27913884073064e-08,0,0,15.2187407275533,368.356398183056,"CFD;GSN;HPGD;HSPB8;TSC22D3;AKR1C1;EPHX1;HBB;AKR1C2;PTN;NDRG2;YPEL5;GPM6B"
"LJP005 MCF10A 24H-radicicol-1.11","15/202",3.38251931596165e-11,8.27913884073064e-08,0,0,11.6833036244801,281.682291677746,"CFD;GSN;HPGD;GPX3;HSPB8;TSC22D3;AKR1C1;EPHX1;AKR1C2;PTN;CLEC3B;PINK1;ID4;IGFBP6;YPEL5"
"LJP007 A375 24H-AZ-628-0.04","14/180",8.49441084106562e-11,1.84810065198784e-07,0,0,12.206591070163,283.058977518779,"BTG2;GSN;CITED2;GPX3;EPHX1;PTN;NDRG2;PTGS1;MAF;PPP1R3C;NCAM1;IGFBP6;YPEL5;GPM6B"
"LJP007 A375 24H-AZ-628-0.37","13/156",1.74282274226636e-10,3.41262121163175e-07,0,0,13.0769741207697,293.844118290853,"CFD;BTG2;GSN;MT1X;PTN;NDRG2;ALDH6A1;PPP1R3C;ID4;PLP1;NCAM1;YPEL5;GPM6B"
"LJP006 MCF10A 24H-canertinib-0.37","12/128",2.28508897847326e-10,4.0233845348439e-07,0,0,14.7931034482759,328.398700670951,"CFD;CYB5R1;GSN;HSPB8;TSC22D3;AKR1C1;EPHX1;AKR1C2;PTN;YPEL5;GPM6B;PTGS1"
"LJP005 MCF10A 24H-GDC-0980-10","14/195",2.46568686063668e-10,4.0233845348439e-07,0,0,11.1864640883978,247.482401655874,"CFD;RAB5B;GSN;HPGD;CITED2;GPX3;TSC22D3;MT1M;FHL1;AKR1C2;GHR;PINK1;MAF;YPEL5"
"LJP006 MCF10A 24H-afatinib-0.12","13/165",3.51098563100241e-10,5.19012626283699e-07,0,0,12.2970610833653,267.706455661221,"CFD;GSN;HSPB8;TSC22D3;AKR1C1;EPHX1;HBB;AKR1C2;PTN;CLEC3B;IGFBP6;YPEL5;GPM6B"
"LJP005 MDAMB231 24H-PD-0325901-1.11","12/135",4.25873201801723e-10,5.19012626283699e-07,0,0,13.9462707670555,300.917003289606,"BTG2;MAF;GSN;CITED2;HSPB8;AKR1C1;FHL1;MKNK2;HBB;AKR1C2;YPEL5;SIDT2"
"LJP006 MCF10A 24H-radicicol-1.11","14/204",4.47373216193581e-10,5.19012626283699e-07,0,0,10.6517027863777,229.305894450008,"CFD;GSN;GPX3;HSPB8;TSC22D3;AKR1C1;EPHX1;FHL1;HBB;AKR1C2;LYVE1;CLEC3B;ID4;YPEL5"
"LJP006 MCF10A 24H-PD-0325901-3.33","12/136",4.64108595426955e-10,5.19012626283699e-07,0,0,13.8330995792426,297.285795011123,"CFD;CYB5R1;RAB5B;MAF;GSN;GPX3;HSPB8;TSC22D3;FHL1;HBB;YPEL5;PTGS1"
"LJP006 MCF7 24H-linifanib-10","13/169",4.72793972680904e-10,5.19012626283699e-07,0,0,11.9793187347932,257.224261175967,"RNF11;GSN;GPX3;TSC22D3;MT1X;PTN;KLF4;LYVE1;MKNK2;ID4;PLP1;YPEL5;GPM6B"
"LJP005 MCF10A 24H-geldanamycin-0.37","14/205",4.7710675006928e-10,5.19012626283699e-07,0,0,10.595395749923,227.411954754539,"CFD;BTG2;GSN;HPGD;GPX3;HSPB8;TSC22D3;AKR1C1;HBB;AKR1C2;PTN;CLEC3B;MAF;YPEL5"
"LJP006 MCF10A 24H-geldanamycin-0.04","12/139",5.98157979547717e-10,5.73433911112904e-07,0,0,13.5042793563848,286.792625332637,"CFD;GHR;RAB5B;CLEC3B;PINK1;GSN;GPX3;TSC22D3;EPHX1;PTN;YPEL5;PTGS1"
"LJP006 MCF10A 24H-PD-0325901-0.37","12/139",5.98157979547717e-10,5.73433911112904e-07,0,0,13.5042793563848,286.792625332637,"CFD;GSN;HSPB8;TSC22D3;AKR1C1;FHL1;HBB;AKR1C2;PTN;KLF4;YPEL5;PTGS1"
"LJP006 MCF10A 24H-GSK-2126458-1.11","14/209",6.14989639618558e-10,5.73433911112904e-07,0,0,10.3759426847662,220.067681622606,"CFD;RAB5B;GSN;CITED2;GPX3;TSC22D3;AKR1C1;FHL1;CIRBP;AKR1C2;GHR;ALDH6A1;PINK1;YPEL5"
"LJP005 HT29 24H-dovitinib-3.33","12/140",6.50063778586461e-10,5.78586311295522e-07,0,0,13.398097826087,283.422700042073,"CFD;BTG2;MAF;CITED2;TSC22D3;MT1M;FHL1;MKNK2;HBB;MT1X;ADRB2;YPEL5"
"LJP006 MCF10A 24H-PD-0325901-0.04","12/144",9.00889433954442e-10,7.66970261141823e-07,0,0,12.9894598155468,270.539774396244,"CFD;BTG2;PINK1;MAF;GSN;HPGD;HSPB8;TSC22D3;AKR1C1;EPHX1;AKR1C2;YPEL5"
"LJP006 MCF10A 24H-selumetinib-1.11","13/180",1.03039249362509e-09,8.07044616706915e-07,0,0,11.1840115389659,231.434397272662,"BTG2;GSN;HSPB8;TSC22D3;AKR1C1;HBB;AKR1C2;ADRB2;KLF4;PTGS1;CYB5R1;MAF;YPEL5"
"LJP006 MCF10A 24H-AZD-7762-10","13/180",1.03039249362509e-09,8.07044616706915e-07,0,0,11.1840115389659,231.434397272662,"CFD;GSN;CITED2;GPX3;TSC22D3;FHL1;HBB;PTN;PTGS1;GHR;ALDH6A1;PINK1;YPEL5"
"LJP006 HT29 24H-AZD-7762-10","11/117",1.2812841240325e-09,9.64954785872321e-07,0,0,14.7403284919234,301.814166814206,"CLEC3B;PINK1;MAF;GSN;GPX3;HSPB8;EPHX1;MKNK2;FAM107A;GPM6B;SIDT2"
"LJP005 MCF10A 24H-geldanamycin-3.33","13/188",1.7566299604038e-09,1.27394708350618e-06,0,0,10.6684045881126,215.073635294067,"CFD;GSN;GPX3;HSPB8;TSC22D3;AKR1C1;EPHX1;AKR1C2;CYB5R1;CLEC3B;MAF;ID4;YPEL5"
"LJP006 MCF10A 24H-AZD-5438-3.33","12/155",2.10202751349569e-09,1.38726222513808e-06,0,0,11.9835816357555,239.436316819268,"CYB5R1;CLEC3B;GSN;HSPB8;TSC22D3;AKR1C1;EPHX1;FAM107A;DPT;AKR1C2;KLF4;GPM6B"
"LJP006 MCF10A 24H-dasatinib-10","11/123",2.19018961472691e-09,1.38726222513808e-06,0,0,13.9464285714286,278.081712415321,"CFD;MAF;GSN;GPX3;TSC22D3;EPHX1;FAM107A;HBB;PTN;GPM6B;PTGS1"
"LJP005 MCF10A 24H-buparlisib-3.33","10/94",2.19626826920384e-09,1.38726222513808e-06,0,0,16.8078231292517,335.089269320569,"CFD;BTG2;MAF;GSN;GPX3;HSPB8;TSC22D3;FHL1;PTN;YPEL5"
"LJP006 HME1 24H-PD-0325901-10","10/94",2.19626826920384e-09,1.38726222513808e-06,0,0,16.8078231292517,335.089269320569,"CYB5R1;BTG2;HSPB8;TSC22D3;FHL1;EPHX1;ID4;HBB;KLF4;YPEL5"
"LJP006 MCF10A 3H-GSK-2126458-3.33","11/124",2.38807999727225e-09,1.40467320369894e-06,0,0,13.8223085248615,274.411196913631,"CFD;MAF;CITED2;GPX3;HSPB8;TSC22D3;AKR1C1;MKNK2;AKR1C2;KLF4;YPEL5"
"LJP005 HT29 24H-PF-431396-10","13/193",2.42028283463366e-09,1.40467320369894e-06,0,0,10.3694241686942,205.722961290023,"CFD;RNF11;MT1M;EPHX1;FHL1;MT1X;PTN;KLF4;ALDH6A1;ID4;YPEL5;DNASE1L3;GPM6B"
"LJP006 HS578T 24H-PD-0325901-3.33","10/95",2.43904238423798e-09,1.40467320369894e-06,0,0,16.609243697479,329.388879515218,"GSN;PPP1R3C;HPGD;HSPB8;TSC22D3;FHL1;EPHX1;HBB;YPEL5;SLC25A4"
"LJP006 HEPG2 24H-PD-0325901-1.11","10/96",2.70533736180884e-09,1.45221009071125e-06,0,0,16.4152823920266,323.841334748067,"CFD;ALDH6A1;DHRS7;MAF;AKR1C1;AKR1C2;KLF4;YPEL5;GPM6B;SIDT2"
"LJP006 MDAMB231 24H-GSK-2126458-3.33","10/96",2.70533736180884e-09,1.45221009071125e-06,0,0,16.4152823920266,323.841334748067,"TMEM100;CFD;GSN;GPX3;TSC22D3;AKR1C1;FAM107A;HBB;AKR1C2;MT1X"
"LJP006 MCF10A 24H-GSK-2126458-3.33","13/195",2.74407708269834e-09,1.45221009071125e-06,0,0,10.2544316996872,202.154031354697,"CFD;GSN;CITED2;GPX3;TSC22D3;AKR1C1;FHL1;CIRBP;AKR1C2;GHR;PINK1;YPEL5;SIDT2"
"LJP006 MCF10A 24H-selumetinib-3.33","11/127",3.08137265595143e-09,1.58779889411013e-06,0,0,13.4627883899777,263.842255003344,"CFD;CYB5R1;GSN;TSC22D3;AKR1C1;EPHX1;FHL1;HBB;AKR1C2;KLF4;YPEL5"
"LJP006 MCF10A 24H-PD-0325901-10","10/99",3.66564612367626e-09,1.84043632686422e-06,0,0,15.8595505617978,308.060052967369,"CFD;PINK1;MAF;GSN;GPX3;TSC22D3;EPHX1;YPEL5;GPM6B;PTGS1"
"LJP005 A549 24H-PD-184352-10","11/130",3.94951900679059e-09,1.88623247980406e-06,0,0,13.1213953207182,253.894696109038,"CLEC3B;MAF;GSN;TSC22D3;AKR1C1;AKR1C2;ADRB2;IGFBP6;KLF4;YPEL5;SIDT2"
"LJP009 HEPG2 24H-PD-0325901-0.04","11/130",3.94951900679059e-09,1.88623247980406e-06,0,0,13.1213953207182,253.894696109038,"ALDH6A1;DHRS7;MAF;GPX3;AKR1C1;MT1M;AKR1C2;AQP4;NDRG2;KLF4;SIDT2"
"LJP005 A375 24H-PD-184352-0.12","12/165",4.29000775888802e-09,2.00006290301872e-06,0,0,11.1946575731742,215.687213292231,"KAT2B;ALDH6A1;BTG2;MAF;GSN;CITED2;EPHX1;ID4;PLP1;NCAM1;YPEL5;GPM6B"
"LJP005 HS578T 24H-trametinib-3.33","10/101",4.46320474461282e-09,2.03241888614567e-06,0,0,15.5094191522763,298.205786830314,"CFD;GSN;PPP1R3C;GPX3;HSPB8;TSC22D3;MT1M;EPHX1;YPEL5;SLC25A4"
"LJP005 A375 24H-SB590885-1.11","12/166",4.59480472830927e-09,2.04479253147781e-06,0,0,11.1214003387916,213.512420293693,"CFD;MAF;GSN;HPGD;GPX3;EPHX1;ID4;PLP1;PTN;YPEL5;GPM6B;PTGS1"
"LJP005 HS578T 24H-AZD-8330-0.12","10/102",4.91686846939494e-09,2.13949336664938e-06,0,0,15.3400621118012,293.464500181053,"BTG2;GSN;PPP1R3C;HSPB8;TSC22D3;FHL1;HBB;YPEL5;SLC25A4;SIDT2"
"LJP006 A375 24H-selumetinib-10","13/209",6.3546626365028e-09,2.62371052317871e-06,0,0,9.51519439892745,179.590511945855,"CFD;BTG2;GSN;CITED2;TSC22D3;EPHX1;MAF;PLP1;NCAM1;YPEL5;ASPA;GPM6B;SIDT2"
"LJP006 MCF10A 24H-afatinib-0.04","11/136",6.36794014351758e-09,2.62371052317871e-06,0,0,12.4877697841727,235.669063842073,"CFD;GSN;TSC22D3;AKR1C1;EPHX1;FHL1;AKR1C2;PTN;YPEL5;GPM6B;PTGS1"
"LJP006 MCF10A 24H-afatinib-3.33","12/171",6.43164828724673e-09,2.62371052317871e-06,0,0,10.7689362865737,203.124053023846,"CFD;GSN;HPGD;GPX3;HSPB8;TSC22D3;AKR1C1;EPHX1;AKR1C2;YPEL5;GPM6B;PTGS1"
"LJP006 MCF10A 24H-PI-103-10","12/172",6.86992977777856e-09,2.71090145667593e-06,0,0,10.7010869565217,201.138828446503,"CFD;GHR;ALDH6A1;PINK1;GSN;CITED2;GPX3;TSC22D3;AKR1C1;CIRBP;AKR1C2;YPEL5"
