"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"REACTOME_CELL_CYCLE_CHECKPOINTS",2.27522552466376e-32,3.71771850730058e-29,1.48156758833633,0.576637243950132,2.88164024444948,289,"63967;1063;1763;81930;2491;9156;55055;5983;55388;699;9735;1062;10403;83540;91687;1111;151648;701;8317;11004;151246;10926;23594;4085;983;51512;79172;54908;672;7514"
"REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT",7.5181200838217e-30,6.14230410848233e-27,1.41727590263607,-0.574171343157637,-2.91373589718135,260,"291;2110;64777;50;522;3029;51660;1346;10048;5166;79018;148811;137872;374291;25994;8802;4724;38;5164;4541;4713;23479;7316;2875;8801;4199;92259;4190;4731;6834"
"REACTOME_CD22_MEDIATED_BCR_REGULATION",3.89427681152467e-28,2.12108277001044e-25,1.38026491759359,-0.831816542209263,-3.38746283196581,60,"28881;28896;3507;28933;28817;28937;28883;28921;3538;28815;28919;28893;28903;28930;28776;28825;28454;28796;973;28395;28913;28816;28452;28299;3539;28793;28874;28823;28940;28778"
"REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA",5.36530886728789e-27,2.1917286722871e-24,1.34992572002205,-0.80475392204727,-3.32533673369267,68,"3512;28881;28896;3493;28933;28817;28937;28883;28921;3494;3538;28815;28919;28893;28903;28930;28776;3043;28825;28454;28796;28395;28913;3039;28816;28452;335;28299;3539;28793"
"REACTOME_M_PHASE",2.3054293714043e-26,7.53414318574924e-24,1.33449749081658,0.488431226095772,2.50751183943458,400,"9493;1063;81930;2491;55055;699;9735;1062;10403;55732;83540;91687;151648;701;11004;4751;151246;10381;4085;983;79172;113130;54892;54908;55706;7514;10733;10112;55920;11065"
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS",4.36098413988302e-26,1.18764134742814e-23,1.32671609800481,-0.753093211815293,-3.24892961396391,85,"801;28881;28896;3507;6786;28933;28817;28937;28883;28921;3538;10768;28815;28919;28893;28903;28930;28776;28825;28454;28796;973;28395;28913;28816;28452;28299;3539;28793;28874"
"REACTOME_MITOTIC_PROMETAPHASE",1.8303803250241e-25,4.27263064441339e-23,1.31101476274061,0.58835925131141,2.7950539156475,204,"1063;81930;2491;55055;699;9735;1062;10403;55732;83540;91687;151648;701;11004;4751;151246;10381;4085;983;79172;113130;54908;7514;10733;55920;9793;23397;220134;54821;57122"
"REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS",1.26402963433412e-24,2.58178052812745e-22,1.28710367230144,-0.780834237062946,-3.26596344343499,70,"28881;28896;28933;28817;28937;28883;28921;3538;28815;28919;28893;28903;28930;28776;28825;28454;28796;28395;28913;28816;28452;28299;3539;28793;28874;28823;28940;28778;28908;28914"
"REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION",9.87191786473476e-24,1.79230153233073e-21,1.26273988547916,-0.729243542999474,-3.145440064806,86,"28881;28896;28933;5595;3725;28817;28937;28883;28921;3538;28815;28919;28893;28903;28930;28776;28825;28454;28796;28395;28913;28816;28452;28299;3539;28793;28874;5602;28823;2353"
"REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION",1.60662442188234e-23,2.62522430535574e-21,1.25451347943706,-0.770455560387334,-3.22255297677656,70,"28881;28896;28933;28817;28937;28883;28921;3538;28815;28919;28893;28903;28930;28776;28825;28454;28796;28395;28913;28816;28452;28299;3539;28793;28874;28823;28940;28778;28908;28914"
