"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",9.21669255339471e-70,4.60834627669735e-68,2.18239045701018,-0.786660483809887,-3.88991620061502,200,"6790;10615;7153;9833;10733;9319;57405;2146;29089;5983;11004;983;4085;24137;55143;29980;701;1434;146909;10797;1062;7037;9837;9700;29127;23594;55635;4605;3161;9787"
"HALLMARK_MYC_TARGETS_V1",3.51660145666845e-47,8.79150364167114e-46,1.79157248947691,-0.708435948177807,-3.50310779380765,200,"3329;890;52;4085;26354;6627;8318;3838;6732;5984;11335;8894;3181;3608;10213;991;56910;1017;7203;3068;5688;3326;23435;2739;8662;6632;7514;6426;5709;6741"
"HALLMARK_G2M_CHECKPOINT",7.98492799007634e-46,1.33082133167939e-44,1.7624392879181,-0.703098443270633,-3.47671464550977,200,"6790;699;22974;4751;7153;11065;10733;10293;10024;2146;1058;9156;890;6713;1869;56992;11004;1063;983;10403;4085;24137;10721;990;1062;9493;3832;9700;7150;29127"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1.26427526255975e-41,1.58034407819969e-40,1.67817787124255,0.72125815872076,3.17371885481755,200,"9244;25890;4256;6586;6422;10516;2247;3487;2316;11010;9353;59;6876;1842;2669;1634;10979;4638;1809;10398;5806;800;11167;1292;7168;6444;7424;5376;30008;6387"
"HALLMARK_MYOGENESIS",1.72459902664775e-28,1.72459902664775e-27,1.38774608305349,0.652516878952389,2.87123978672339,200,"3479;5837;1410;4208;1346;2273;845;2247;1675;2934;6876;2775;26353;3490;11155;3679;22808;4638;8082;1292;6444;10278;1306;6442;1760;5740;4629;3908;7140;5348"
"HALLMARK_MTORC1_SIGNALING",4.71891338907659e-26,3.9324278242305e-25,1.32671609800481,-0.593692474053279,-2.93571880186266,200,"6790;699;908;27346;3417;3329;6713;1717;10797;7037;899;993;3157;8894;3099;3422;10213;10963;1718;57761;6241;6319;5347;10682;3145;5723;10197;6510;27101;2058"
"HALLMARK_UV_RESPONSE_DN",2.90031547620943e-17,2.07165391157817e-16,1.06720998682811,0.626831516920325,2.65526389680714,144,"10516;23345;2202;5737;493;4052;4131;10000;10395;3488;857;5376;3778;10659;5797;1902;2908;5577;3690;9863;5293;5159;8829;7049;29970;11030;1843;7436;7048;50937"
"HALLMARK_MYC_TARGETS_V2",4.20541582621954e-16,2.62838489138721e-15,1.03769615548758,-0.73423178278534,-2.89014522239877,58,"10733;27346;3177;3329;26354;11335;9238;3099;23160;10196;5347;64216;705;10199;6573;9221;3336;6652;10528;8886;4173;5036;7374;51491;7965;79711;9136;6832;92856;23223"
"HALLMARK_ALLOGRAFT_REJECTION",6.10837616183959e-16,3.3935423121331e-15,1.02766987054358,0.557001218510966,2.45094665200038,200,"6363;2316;5579;3603;9450;912;2113;2213;10333;322;7040;1991;7070;9607;5199;7076;3059;23166;4050;973;7454;940;6347;9655;7903;6356;27240;8477;3702;11184"
"HALLMARK_APICAL_JUNCTION",1.18964034590442e-15,5.94820172952212e-15,1.01754479730988,0.553766823465654,2.43671449335493,200,"57863;9379;9353;54413;4478;23114;257194;83700;7122;57555;10000;143903;10398;5175;55742;2318;3680;91624;9459;947;51466;2200;72;7450;5310;1272;8174;7070;8745;1009"
"HALLMARK_KRAS_SIGNALING_UP",3.1070177967566e-12,1.41228081670755e-11,0.898671232061694,0.515038584253552,2.26630041690367,200,"2995;8404;55273;10418;2791;4803;1363;2982;4674;3075;5175;951;9590;5178;25960;9892;2022;2113;220;8829;5649;64123;90865;5396;7102;9935;6324;9945;3587;10320"
"HALLMARK_INFLAMMATORY_RESPONSE",5.41761897972531e-12,2.25734124155221e-11,0.887074988399873,0.51159521011805,2.25114869725115,200,"6869;5739;10316;558;1902;3554;3690;187;2014;7432;3678;1236;6402;10203;623;6324;1880;5142;3587;7076;19;23166;962;969;6347;5027;7832;1240;8578;7096"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",3.59712417750775e-11,1.38350929904144e-10,0.851339057116899,-0.448654935533993,-2.21853027848459,200,"3417;54205;10128;10651;9131;9617;3313;2271;1537;29088;211;23203;528;10989;10440;5160;80273;3420;2230;6832;7416;4720;10939;10935;54704;533;4191;8802;509;481"
"HALLMARK_IL2_STAT5_SIGNALING",5.9690213031145e-11,2.13179332254089e-10,0.839088935621274,0.494433120282194,2.17766195361258,199,"126669;6403;596;5745;23208;2983;3563;974;8611;4135;80760;79026;152007;23258;23075;5179;388;10875;8829;6402;5621;3587;6095;84230;8728;399;23413;5583;4616;4050"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.46831447307994e-10,4.89438157693314e-10,0.826657301178302,0.48817027379931,2.15007811679495,199,"11080;3572;2669;687;10957;5806;25816;9242;3371;23258;388;5187;1880;604;9945;5142;1843;80176;19;4616;1958;1960;969;7185;6347;7832;7071;1959;8013;3491"
"HALLMARK_DNA_REPAIR",2.0815918007038e-10,6.50497437719937e-10,0.826657301178302,-0.477453683988312,-2.25116956158709,150,"8480;51497;5983;11130;9533;6431;5984;6809;2237;23204;5437;9328;5888;51251;5985;6749;7372;5111;1479;5557;11047;7298;3978;3251;3704;10134;30834;2071;4830;65109"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",3.26972084237789e-09,9.61682600699381e-09,0.774939030136436,-0.501509002243572,-2.25313512481164,113,"10797;1736;1163;7422;4800;55738;5832;9221;10528;3309;7534;3313;5393;9775;11260;30001;7184;1054;23404;29968;3376;9136;25804;58477;10605;54512;811;7494;10130;6897"
"HALLMARK_GLYCOLYSIS",9.57877636671034e-09,2.66077121297509e-08,0.747739663149885,-0.415607130159815,-2.05511391759508,200,"6790;3417;1058;983;55635;3161;7422;1468;3099;140838;1944;6662;55139;10112;2288;22976;4678;1999;10380;1491;3309;2673;3925;2542;30001;2582;8702;2805;839;9862"
"HALLMARK_COMPLEMENT",4.87609227091542e-08,1.28318217655669e-07,0.719512826338911,0.451301172013037,1.98583963522769,200,"6935;715;1465;23414;3075;2157;54331;716;59345;710;1519;948;3003;7077;2771;7076;64145;1284;1378;5294;7454;55619;10404;1380;88;2534;7980;718;4035;10019"
"HALLMARK_HYPOXIA",9.50996709062173e-08,2.37749177265543e-07,0.704975715167238,0.447354045911986,1.96847127914356,200,"8406;5837;284119;596;1634;7043;10957;857;9590;2908;2113;1837;5066;8839;1466;3423;6095;633;1843;7436;6383;3036;5507;5260;10370;3491;10570;112464;8609;9672"
"HALLMARK_MITOTIC_SPINDLE",1.66787047933612e-07,3.97112018889553e-07,0.690132458796796,-0.386427063065637,-1.90568444139091,199,"6790;699;22974;4751;7153;56992;11004;1063;983;10403;24137;54443;1062;163786;9493;3832;9700;29127;7272;9787;23607;1894;332;675;6780;55722;26271;23647;10128;5347"
"HALLMARK_COAGULATION",4.33753358155444e-07,9.85803086716918e-07,0.674962860011025,0.482045756583872,2.02883595370044,138,"1675;2;2934;715;1465;3075;2157;5175;716;2200;710;3690;11098;7450;7057;7078;23479;1519;7076;7044;7056;10404;1397;2534;7980;10411;718;4035;5627;8609"
