"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",2.96207511035845e-61,1.48103755517922e-59,2.0452397303766,0.763024585543098,3.64201009036764,200,"29028;3070;79075;146909;9319;10635;5983;7153;1062;24137;1111;253714;5558;701;11004;9837;4288;8914;23594;675;4085;983;10615;3149;9833;672;29089;7514;10733;1786"
"HALLMARK_G2M_CHECKPOINT",1.15880686979141e-48,2.89701717447852e-47,1.82023946954892,0.718557048001225,3.42976107049362,200,"3226;6491;9493;1871;1063;22974;9156;699;7153;1062;10403;24137;1736;1111;56992;5558;10024;8317;11004;4751;4288;10926;23594;9585;1869;675;4085;983;10721;3149"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",2.65473713296243e-30,4.42456188827072e-29,1.43181244608859,-0.621240023393394,-3.10179557652417,200,"3032;291;2110;4329;30;50;3030;1528;522;34;56898;51660;788;5166;374291;8802;4259;37;4724;36;38;54884;9927;4942;4713;23479;4190;51382;6834;4695"
"HALLMARK_ADIPOGENESIS",6.99053999060782e-26,8.73817498825978e-25,1.31888879607587,-0.594015518191875,-2.97092245795367,199,"26994;2878;6817;51635;50;3033;34;948;35;8802;8694;4259;26353;54884;4713;7316;4199;27250;6342;4189;2053;1580;284;4056;1376;57017;847;1149;80760;51"
"HALLMARK_MYC_TARGETS_V1",4.72614102790702e-21,4.72614102790702e-20,1.18665095279281,0.558918871054104,2.66778843911965,200,"4085;3329;790;7514;3838;5984;9188;11335;4173;10528;8318;6426;8886;1503;6059;9221;5111;1017;4171;4176;6632;3326;3181;22916;4175;890;10576;5683;11260;6741"
"HALLMARK_FATTY_ACID_METABOLISM",1.04151877828519e-20,8.6793231523766e-20,1.1778932614942,-0.599638577870062,-2.90253520723901,158,"873;3032;2110;30;50;3033;3248;2752;34;210;2169;2052;224;218;58476;948;35;8802;37;223;23417;54884;7389;364;8801;4199;23710;4128;4190;4056"
"HALLMARK_HEME_METABOLISM",5.94647685185467e-18,4.24748346561048e-17,1.0959292864312,-0.525369411077039,-2.61187557777316,197,"7832;8850;4329;9429;50865;22936;8031;51646;51092;4601;3029;210;4354;80344;759;831;360;51257;4259;118;3043;7389;4635;54855;645;2145;2995;847;8991;26020"
"HALLMARK_MYOGENESIS",2.53874003091632e-15,1.5867125193227e-14,1.00731795687447,-0.502037032408432,-2.5108992082339,199,"2934;1675;4616;2878;1158;1160;5507;10278;6450;1346;1026;4684;5837;948;1152;1410;9172;26353;6525;2273;1760;79629;5348;4635;6442;4842;6764;10014;4209;6445"
"HALLMARK_MYC_TARGETS_V2",2.14162721253764e-14,1.18979289585424e-13,0.97599468306432,0.704599641386308,2.74774144097554,58,"3329;10733;80324;11335;23160;27340;4173;23223;10528;5347;6949;8886;705;9221;10196;51154;3177;3336;23082;9238;9136;10514;64216;51388;26354;79711;6832;79050;5036;6723"
"HALLMARK_XENOBIOTIC_METABOLISM",5.54167464702817e-14,2.77083732351409e-13,0.965327754226083,-0.48024765865462,-2.39783337704837,200,"873;22949;57406;5372;2110;26007;65018;116842;2538;8310;51635;50;115817;1528;57447;29950;8529;2052;218;5166;2203;948;957;223;51128;54884;8309;384;2940;645"
