"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002377","immunoglobulin production","80/2227","192/17353",1.38014250030537e-23,7.77572284672046e-20,6.72492593043533e-20,"IGLV1-50/IGKV3D-15/IGKV2D-29/IGKV2D-30/IGKV1D-33/IGKV3-7/IGLV4-3/IGLV2-8/IGKV1D-37/IGKV1-17/IGKV1D-8/IGKV2D-28/MZB1/IGKV3D-11/IGKV1D-42/IGKV6-21/IGKV2-28/IGKV3D-7/IGLV2-33/IGLV3-16/IGLV2-14/IGKV2-30/IGLV7-46/IGKV1-9/IGKV1D-39/IGKV1D-12/IGKV1-39/IGKV1-37/IGKV2D-24/IGLV7-43/IGLV1-40/IGLV3-32/IGLV9-49/IGLV3-21/IGKV3-15/IGLV2-11/IGKV1-5/IGLV2-18/IGLV10-54/IGLV3-25/IGKV3D-20/IGKV1-6/IGLV5-45/IGLV1-44/IGLV4-69/IGKV1-12/IGLV6-57/IGLV3-10/IGKV2D-26/IGKV4-1/IGKV6D-21/IGKV2-24/IGLV1-47/IGKV1-27/IGLV2-23/IGKV3-20/IGKV1-16/IGLV3-27/IGKV1-13/IGLV1-36/IGLV1-51/IGLV3-19/IGLV8-61/IGKV6D-41/IGKV2-40/IGKV5-2/IGLV4-60/IGLV5-37/IGKV1D-17/IGKV1D-13/IGLV3-9/IGKV1-8/IGLV11-55/VPREB1/VPREB3/IGLV3-12/IGKV1D-43/IGLV5-48/IL6/IGLV3-22",80
"GO:0008015","blood circulation","136/2227","499/17353",1.74895621010749e-18,4.9268096438728e-15,4.26100962978293e-15,"SLC2A5/ACE/SLC6A4/KAT2B/GSN/KCNA5/EHD3/GNA11/PTGS1/KCNE2/ACE2/ADRB2/HRH2/CYP4F2/ADA/P2RY1/RGS2/SCNN1B/TPM1/CTNNBIP1/SPX/GHRL/GSTM2/BMP6/KLF2/GPER1/ATP1B2/HOPX/NPR1/DMPK/PDE2A/GPD1L/BDKRB1/HBB/FXYD1/SGK1/MYL4/HTR7/NOS1/P2RY2/DSP/CACNB2/DSC2/PLN/CXCR2/ANGPT1/SGCG/NPPC/ADRA1A/P2RX2/ATP1A2/KCNMB1/EDN3/ABAT/CTNNA3/DMD/PDE5A/CASQ2/CLDN5/TAC3/FERMT2/ATP2B4/CYSLTR1/NCALD/FLNA/CYP2J2/SH3GL2/RNLS/EDN2/SNTA1/MIR27B/KCNN2/AR/ACTA2/KCNIP2/CACNA1H/ANK2/BVES/ATP2B2/ACTC1/CXCL12/RYR2/ENPEP/SCNN1G/CELF2/POPDC2/TRPC1/CHRM2/ADRA1D/CYP4F12/ADRB3/GJC1/KCNMA1/KCNMB2/CMA1/TMEM38A/LEP/UTS2B/MYH7/CAV1/IRX3/TACR2/HSPB7/CORO2B/AKAP12/SCN2B/SOD3/KCNH2/ATP2B3/KL/CARTPT/AGTR1/PDE3A/AVPR1A/NPR3/ISL1/CPA3/SLIT2/SCN4B/NPY/SLC8A2/HTR1B/DES/XCL2/RGS4/CTSG/ABCC9/CNR1/TBX5/TACR1/AVPR1B/CHGA/CASR/ABCC8/ADIPOQ/FGA",136
"GO:0003012","muscle system process","121/2227","426/17353",4.35926676832426e-18,8.18670299091296e-15,7.08036697213088e-15,"GSN/CKMT2/MYL6/KCNA5/EHD3/MYOC/KCNE2/ACE2/NR4A3/ADRB2/ADA/TIAM1/P2RY1/RGS2/SCNN1B/TPM1/PI16/SPX/GHRL/GSTM2/CRYAB/MYOM2/KLHL41/GPER1/SMTN/DMPK/LMOD3/KLF15/GPD1L/MYL9/FXYD1/ARG2/MYL4/HTR7/SGCA/NOS1/DSP/SORBS2/TMOD1/SLMAP/CACNB2/DSC2/PLN/SCN7A/TPM2/MYOZ1/ADRA1A/P2RX2/ATP1A2/RYR3/EDN3/ABAT/CTNNA3/DMD/PDE5A/CASQ2/LTB4R/MEIS1/AKAP6/ATP2B4/LMOD1/NR4A1/FLNA/KIT/EDN2/SNTA1/KCNN2/APBB1/GNAO1/ACTA2/KCNIP2/CACNA1H/ANK2/MYOZ2/MYH11/CALD1/SYNM/FBXO32/RYR2/MLIP/MYLK/ALDOA/CHRM2/MYOCD/HAND2/GJC1/KCNMA1/KCNA1/CNN1/TMEM38A/PTGER3/LEP/PPP1R12B/MYH7/CAV1/JSRP1/SMPX/CHRNB4/TACR2/MIR145/SCN2B/TNNT3/PDE9A/KCNH2/SCN4B/MSTN/CASQ1/DES/DTNA/CAMK2B/GAMT/RGS4/ABCC9/KCNB2/STAC2/TACR1/CHGA/CHRNA3/ABCC8/GHSR/GATA5",121
"GO:0002440","production of molecular mediator of immune response","95/2227","309/17353",7.02105000946922e-17,9.8891489383374e-14,8.55274749837711e-14,"IGLV1-50/IGKV3D-15/SPINK5/IGKV2D-29/IGKV2D-30/IGKV1D-33/IGKV3-7/NLRX1/IGLV4-3/IGLV2-8/NR4A3/IGKV1D-37/IGKV1-17/IGKV1D-8/IGKV2D-28/MZB1/IGKV3D-11/CD36/IGKV1D-42/IGKV6-21/IGKV2-28/IGKV3D-7/HK1/IGLV2-33/IGLV3-16/IGLV2-14/IGKV2-30/IGLV7-46/EVPL/IGKV1-9/IGKV1D-39/IGKV1D-12/IGKV1-39/IGKV1-37/IGKV2D-24/IGLV7-43/IGLV1-40/IGLV3-32/IGLV9-49/IGLV3-21/IGKV3-15/IGLV2-11/ANGPT1/APOA1/IGKV1-5/IGLV2-18/IGLV10-54/IGLV3-25/RAET1G/IGKV3D-20/IGKV1-6/IGLV5-45/IGLV1-44/IGLV4-69/IGKV1-12/IGLV6-57/IGLV3-10/IGKV2D-26/IGKV4-1/IGKV6D-21/KIT/IGKV2-24/ELANE/ARG1/IGLV1-47/IGKV1-27/IGLV2-23/IGKV3-20/TLR3/IGKV1-16/IGLV3-27/IGKV1-13/IGLV1-36/IGLV1-51/IGLV3-19/IGLV8-61/PGC/NOD2/IGKV6D-41/IGKV2-40/IGKV5-2/IGLV4-60/IGLV5-37/IGKV1D-17/IGKV1D-13/IGLV3-9/IGKV1-8/IGLV11-55/VPREB1/VPREB3/IGLV3-12/IGKV1D-43/IGLV5-48/IL6/IGLV3-22",95
"GO:0006936","muscle contraction","100/2227","340/17353",2.94579091064026e-16,3.31931719810944e-13,2.87075076323237e-13,"GSN/CKMT2/MYL6/KCNA5/EHD3/KCNE2/ACE2/ADRB2/ADA/RGS2/SCNN1B/TPM1/SPX/GHRL/GSTM2/CRYAB/MYOM2/KLHL41/GPER1/SMTN/DMPK/LMOD3/GPD1L/MYL9/FXYD1/ARG2/MYL4/HTR7/SGCA/NOS1/DSP/TMOD1/SLMAP/CACNB2/DSC2/PLN/SCN7A/TPM2/ADRA1A/P2RX2/ATP1A2/RYR3/EDN3/ABAT/CTNNA3/DMD/PDE5A/CASQ2/LTB4R/ATP2B4/LMOD1/NR4A1/FLNA/KIT/EDN2/SNTA1/KCNN2/APBB1/GNAO1/ACTA2/KCNIP2/CACNA1H/ANK2/MYH11/CALD1/SYNM/RYR2/MYLK/ALDOA/CHRM2/MYOCD/GJC1/KCNMA1/KCNA1/CNN1/TMEM38A/PTGER3/PPP1R12B/MYH7/CAV1/JSRP1/SMPX/CHRNB4/TACR2/MIR145/SCN2B/TNNT3/KCNH2/SCN4B/CASQ1/DES/DTNA/GAMT/ABCC9/KCNB2/STAC2/TACR1/CHGA/CHRNA3/GHSR",100
"GO:0031424","keratinization","37/2227","70/17353",1.03290590151149e-15,9.69898641519292e-13,8.38828318964333e-13,"KRT1/PPL/TMEM79/KRT3/CNFN/EVPL/TGM1/KRT78/KAZN/LORICRIN/KRT2/CERS3/SFN/KRT4/TGM3/SPRR3/LCE3E/SPRR1A/KRT5/LCE3D/KRT6A/KRT6B/KRT73/IVL/SPRR1B/HRNR/LCE3A/SPRR2D/KRT16/KRT6C/LIPK/SPRR2F/SPRR2B/KRT79/KRT77/KRT72/SPRR2E",37
"GO:0006805","xenobiotic metabolic process","50/2227","122/17353",6.54834992610556e-15,5.27048621195411e-12,4.55824237713423e-12,"CBR1/ACAA1/CYP2D6/SULT1A1/CYP3A4/UGT1A7/CYP4F2/ADA/EPHX1/ALDH3A1/GSTM2/CES2/UGT1A1/AKR1C1/GSTA1/SULT1A2/GSTA3/RORA/NOS1/CYP2C18/GSTA2/FMO4/CYP2J2/FMO2/CBR3/CYP2C9/AADAC/SULT1B1/GSTA4/UGT2B7/BCHE/CYP1A1/UGT2B17/CYP4F12/CES3/CYP2C19/UGT2B11/S100A12/FMO5/NAT2/UGT1A10/UGT2B15/SULT2A1/SLC28A2/RORC/SULT1C3/GLYAT/GSTM1/GSTA5/UGT1A8",50
"GO:0071466","cellular response to xenobiotic stimulus","64/2227","189/17353",5.92258863818596e-14,4.17098304844246e-11,3.60732405344248e-11,"CBR1/NFE2L2/ACAA1/CYP2D6/SULT1A1/CYP3A4/UGT1A7/KCNE2/CYP4F2/ADA/EPHX1/ALDH3A1/FBP1/GSTM2/CES2/UGT1A1/AKR1C1/GSTA1/SULT1A2/GSTA3/RORA/NOS1/CYP2C18/CRHBP/GSTA2/FMO4/PRNP/ACER2/CYP2J2/FMO2/CBR3/CYP2C9/AADAC/SULT1B1/GPLD1/TLR3/GSTA4/UGT2B7/BCHE/CYP1A1/UGT2B17/CYP4F12/CES3/CYP2C19/PRKAA2/UGT2B11/S100A12/FMO5/KCNH2/NAT2/SOX10/UGT1A10/HTR1B/UGT2B15/SULT2A1/SLC28A2/RORC/SULT1C3/GLYAT/GSTM1/GSTA5/UGT1A8/ADIPOQ/DPEP1",64
"GO:0007586","digestion","51/2227","133/17353",8.40363164874862e-14,5.26067341211664e-11,4.54975566105934e-11,"ASAH2/ENPP7/SLC2A5/SLC46A1/APOA4/HRH2/FABP2/ABCG5/CD36/GHRL/SLC5A1/ABCG8/AKR1C1/MOGAT2/SGK1/TFF1/SI/SST/APOA1/NPPC/GKN1/FABP1/SLC9A4/CAPN9/PBLD/AKR1C2/TFF2/PGA4/SLC26A7/CCKBR/PRAP1/CHIA/PGC/PTGER3/LEP/NOD2/PGA3/HTR4/UCN3/NPC1L1/NEUROD1/PGA5/FGF10/CHRM1/VSIG1/PNLIPRP2/CCK/SOAT2/MUC6/GHSR/CLPS",51
"GO:0030216","keratinocyte differentiation","58/2227","164/17353",1.0636080503876e-13,5.99236775588376e-11,5.18257017394129e-11,"FLG/KRT1/PPL/TMEM79/ACER1/ANXA1/CSTA/ZFP36/CDKN1A/KRT3/AQP3/GRHL1/CNFN/EVPL/SCEL/TXNIP/TGM1/ALOX15B/KRT78/DSP/FOXN1/KAZN/LORICRIN/TP63/KRT2/CERS3/AKR1C3/PALLD/SFN/KRT4/TGM3/SPRR3/LCE3E/ZBED2/SLC39A2/SPRR1A/KRT5/LCE3D/KRT6A/POU3F1/KRT6B/KRT73/IVL/SPRR1B/HRNR/LCE3A/SPRR2D/KRT16/KRT6C/REG3A/LIPK/SPRR2F/SPRR2B/KRT79/KRT77/KRT72/KRT14/SPRR2E",58
