"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000280","nuclear division","133/1922","438/17353",9.10954704595213e-29,5.03940142582072e-25,4.63532109685606e-25,"KIF14/KIF23/MTBP/CENPF/KIF18B/ANLN/TPX2/KIF18A/CENPI/TRIP13/RAD51AP1/ZWILCH/EME1/BUB1/TOP2A/KNTC1/CENPE/NDC80/NUF2/KIF4A/ASPM/CHEK1/SGO1/BUB1B/LIF/RAD54B/KIF2C/NEK2/MAPK15/MKI67/FANCD2/CDCA2/KIF20B/BRCA2/MAD2L1/CDK1/SPAG5/CDCA5/KIF11/TESMIN/NCAPG2/SPDL1/NDC1/RAD54L/BRIP1/FANCA/DLGAP5/UBE2C/TTK/MASTL/RAD51/MYBL2/MSH5/AURKA/NCAPH/PRC1/DCAF13/PKMYT1/NCAPG/HOXA13/SMC2/CDC25B/HASPIN/NCAPD3/CCNE1/CCNB2/CENPK/GEN1/KNL1/CDCA8/PLK1/KNSTRN/FIGNL1/CHEK2/SPC25/FBXO5/ZWINT/KIFC1/CCNB1/FBXO43/MZT1/BORA/CDC25C/RCC1/CKS2/AURKB/KIF4B/PDGFRB/BIRC5/CDT1/P3H4/SPC24/CDC20/M1AP/UBE2S/PSRC1/MSX2/DDX4/PTTG3P/TEX19/MSH4/MEIOSIN/MND1/HORMAD1/KCTD19/SYCP2L/MSX1/MOV10L1/SYCE3/PRDM9/IGF2/HSF2BP/MEIOC/SYCP2/KASH5/BRDT/MAJIN/TRIM75/ANKLE1/TERB2/FGF8/STRA8/TERB1/DMRT1/PRDM7/TDRD12/SYCP1/ASZ1/NANOS2/RBM46/EGF/DMRTC2/DNMT3L",133
"GO:0007606","sensory perception of chemical stimulus","116/1922","357/17353",4.37420583643418e-28,1.20990533435769e-24,1.11289005333278e-24,"CST1/CST4/PKD2L1/CST2/OR2I1P/OR2B6/TAS2R38/CALHM3/FZD2/GFY/OBP2B/LEF1/TAS2R4/OBP2A/OR6A2/TAS2R5/OR1J4/CA6/OR2W6P/OR4K2/LCN1/OR2AT4/PIP/OR1Q1/OR4D9/GJB4/OR8A1/OR56A3/OR6J1/UGT2A1/OR52A1/OR10Q1/OR11H7/SLC6A3/OR9A4/OR5AS1/OR8D1/OR2M3/OR7C1/OR5AU1/PKD1L3/OR6C75/OR4E2/OR2D3/OR7D4/OR4D10/OR1F1/OR10A2/OR11G2/OR56A1/OR10H1/TAS2R60/OR6Y1/OR51L1/OR8D4/OR2AG1/OR1J1/BEST2/OR2B2/OR4E1/TAS2R10/OR56B4/OR8G1/OR2F1/OR10W1/OR14J1/OR52K1/OR8B12/OR10G3/OR8G3P/OR1I1/OR2AG2/OR6C4/OR5M11/OR1M1/OR5V1/DRD2/OR11A1/OR2M4/OR1N2/OR4Q3/OR10K1/OR2C3/OR7G2/OR13H1/OR51B5/OR1A1/OR52W1/OR10A5/OR4K13/OR8G5/OR51D1/OR52I2/OR1G1/OR2V2/OR11H4/OR52A5/OR2G6/OR12D3/OR2T10/OR5B12/OR4N2/OR2L2/OR1K1/OR7G3/OR52P1/OR52B2/OR2S2/OR2H1/OR7A5/OR3A3/OR52B6/OR5AP2/OR8B8/OR2A14/TAS2R1",116
"GO:0007608","sensory perception of smell","100/1922","288/17353",6.66456207949946e-27,1.2289452474597e-23,1.13040326639651e-23,"OR2I1P/OR2B6/FZD2/GFY/OBP2B/OBP2A/OR6A2/OR1J4/OR2W6P/OR4K2/OR2AT4/OR1Q1/OR4D9/GJB4/OR8A1/OR56A3/OR6J1/UGT2A1/OR52A1/OR10Q1/OR11H7/SLC6A3/OR9A4/OR5AS1/OR8D1/OR2M3/OR7C1/OR5AU1/OR6C75/OR4E2/OR2D3/OR7D4/OR4D10/OR1F1/OR10A2/OR11G2/OR56A1/OR10H1/OR6Y1/OR51L1/OR8D4/OR2AG1/OR1J1/BEST2/OR2B2/OR4E1/OR56B4/OR8G1/OR2F1/OR10W1/OR14J1/OR52K1/OR8B12/OR10G3/OR8G3P/OR1I1/OR2AG2/OR6C4/OR5M11/OR1M1/OR5V1/DRD2/OR11A1/OR2M4/OR1N2/OR4Q3/OR10K1/OR2C3/OR7G2/OR13H1/OR51B5/OR1A1/OR52W1/OR10A5/OR4K13/OR8G5/OR51D1/OR52I2/OR1G1/OR2V2/OR11H4/OR52A5/OR2G6/OR12D3/OR2T10/OR5B12/OR4N2/OR2L2/OR1K1/OR7G3/OR52P1/OR52B2/OR2S2/OR2H1/OR7A5/OR3A3/OR52B6/OR5AP2/OR8B8/OR2A14",100
"GO:0050906","detection of stimulus involved in sensory perception","117/1922","375/17353",1.47036714777007e-26,2.03351776536601e-23,1.87046178745277e-23,"CST1/COL11A1/CST4/LHFPL5/PKD2L1/CST2/OR2I1P/SEMA5B/OR2B6/TAS2R38/PRDM12/TAS2R4/PPEF1/OR6A2/TAS2R5/CACNA1F/OR1J4/CA6/OR2W6P/OR4K2/OR2AT4/PIP/OR1Q1/OR4D9/NTSR1/OR8A1/OR56A3/OR6J1/OR52A1/OR10Q1/OR11H7/STRC/OR9A4/OR5AS1/OR8D1/OR2M3/OR7C1/OR5AU1/PKD1L3/OR6C75/GJA10/EPHB1/OR4E2/OR2D3/OR7D4/OR4D10/OR1F1/OR10A2/OR11G2/OR56A1/OR10H1/OR6Y1/OR51L1/OR8D4/OR2AG1/OR1J1/TMC2/OR2B2/OR4E1/TAS2R10/OR56B4/OR8G1/OR2F1/OR10W1/OR14J1/OR52K1/OR8B12/OR10G3/OR8G3P/OR1I1/OR2AG2/OR6C4/OR5M11/OR1M1/OR5V1/OR11A1/OR2M4/OR1N2/OR4Q3/OR10K1/OR2C3/OR7G2/OR13H1/SCN1A/OR51B5/OR1A1/OR52W1/OR10A5/OR4K13/OR8G5/OR51D1/OR52I2/OR1G1/OR2V2/CHRNA9/OR11H4/OR52A5/OR2G6/OR12D3/OR2T10/OR5B12/OR4N2/OR2L2/OR1K1/OR7G3/OR52P1/OR52B2/OR2S2/OR2H1/OR7A5/OR3A3/OR52B6/OR5AP2/RHO/OR8B8/OR2A14/TAS2R1",117
"GO:0050907","detection of chemical stimulus involved in sensory perception","103/1922","308/17353",3.55517654985087e-26,3.50458470558908e-23,3.22357241443422e-23,"CST1/CST4/PKD2L1/CST2/OR2I1P/OR2B6/TAS2R38/TAS2R4/OR6A2/TAS2R5/OR1J4/CA6/OR2W6P/OR4K2/OR2AT4/PIP/OR1Q1/OR4D9/OR8A1/OR56A3/OR6J1/OR52A1/OR10Q1/OR11H7/OR9A4/OR5AS1/OR8D1/OR2M3/OR7C1/OR5AU1/PKD1L3/OR6C75/OR4E2/OR2D3/OR7D4/OR4D10/OR1F1/OR10A2/OR11G2/OR56A1/OR10H1/OR6Y1/OR51L1/OR8D4/OR2AG1/OR1J1/OR2B2/OR4E1/TAS2R10/OR56B4/OR8G1/OR2F1/OR10W1/OR14J1/OR52K1/OR8B12/OR10G3/OR8G3P/OR1I1/OR2AG2/OR6C4/OR5M11/OR1M1/OR5V1/OR11A1/OR2M4/OR1N2/OR4Q3/OR10K1/OR2C3/OR7G2/OR13H1/OR51B5/OR1A1/OR52W1/OR10A5/OR4K13/OR8G5/OR51D1/OR52I2/OR1G1/OR2V2/OR11H4/OR52A5/OR2G6/OR12D3/OR2T10/OR5B12/OR4N2/OR2L2/OR1K1/OR7G3/OR52P1/OR52B2/OR2S2/OR2H1/OR7A5/OR3A3/OR52B6/OR5AP2/OR8B8/OR2A14/TAS2R1",103
"GO:0051606","detection of stimulus","139/1922","496/17353",3.8010680104003e-26,3.50458470558908e-23,3.22357241443422e-23,"CST1/COL11A1/FAP/CST4/TREM2/TIMELESS/LHFPL5/PKD2L1/CST2/OR2I1P/SEMA5B/LBP/GNGT1/OR2B6/DRGX/TAS2R38/PRDM12/TAS2R4/TLR2/PPEF1/KCNMB3/PKD1L1/TCAP/OR6A2/TAS2R5/CACNA1F/OR1J4/CA6/OR2W6P/OR4K2/CSRP3/OR2AT4/PIP/OR1Q1/OR4D9/RP1/NTSR1/OR8A1/OR56A3/OR6J1/SAG/OR52A1/OR10Q1/OR11H7/ANO3/STRC/OR9A4/OR5AS1/OR8D1/OR2M3/OR7C1/OR5AU1/CABP4/PKD1L3/OR6C75/GJA10/EPHB1/OR4E2/OR2D3/OR7D4/OR4D10/OR1F1/OR10A2/OR11G2/PDC/OR56A1/OR10H1/OR6Y1/GRK7/OR51L1/OR8D4/OR2AG1/OR1J1/TMC2/OR2B2/OR4E1/TAS2R10/OR56B4/OR8G1/OR2F1/OR10W1/OR14J1/OR52K1/OR8B12/OR10G3/OR8G3P/OR1I1/OR2AG2/OR6C4/OR5M11/OR1M1/CLEC6A/OR5V1/NPFFR2/OR11A1/OR2M4/OR1N2/OR4Q3/OR10K1/GUCA1A/OR2C3/OR7G2/OR13H1/SCN1A/OR51B5/OR1A1/OR52W1/OR10A5/OR4K13/OR8G5/OR51D1/OR52I2/OR1G1/OR2V2/CHRNA9/OR11H4/OR52A5/OR2G6/OR12D3/OR2T10/OR5B12/OR4N2/RS1/OR2L2/OR1K1/OR7G3/OR52P1/OR52B2/OR2S2/OR2H1/OR7A5/OR3A3/OR52B6/OR5AP2/RHO/OPN5/OR8B8/OR2A14/TAS2R1",139
"GO:0051321","meiotic cell cycle","97/1922","285/17353",2.26134058424982e-25,1.78710515886714e-22,1.64380757658099e-22,"XRCC2/PIWIL1/KIF18A/EXO1/TRIP13/RAD51AP1/EME1/TOP2A/NDC80/NUF2/ASPM/SGO1/LIF/RAD54B/NEK2/MAPK15/SGO2/FANCD2/BRCA2/TESMIN/NDC1/RAD54L/BRIP1/FANCA/TTK/MASTL/RAD51/MSH5/AURKA/NCAPH/DCAF13/PKMYT1/SMC2/CDC25B/NCAPD3/CCNE1/CCNB2/PLK1/FIGNL1/FBXO5/FBXO43/CDC25A/CDC25C/CKS2/PRR19/P3H4/CDC20/M1AP/SPATA17/SMC1B/MSX2/DDX4/SLC26A8/PIWIL4/PTTG3P/TEX19/FAM9C/PIWIL3/MSH4/MEIOSIN/BOLL/MND1/HORMAD1/KCTD19/SYCP2L/MSX1/MOV10L1/SYCE3/PRDM9/ZFP42/HSF2BP/MEIOC/SYCP2/CCNB3/KASH5/EXD1/BRDT/FKBP6/MAJIN/TRIM75/ANKLE1/TERB2/STRA8/TERB1/FAM9B/DMRT1/PRDM7/TDRD12/SYCP1/ASZ1/NANOS2/RBM46/FAM9A/RAD21L1/HORMAD2/DMRTC2/DNMT3L",97
"GO:0009593","detection of chemical stimulus","108/1922","341/17353",3.45911387267071e-25,2.39197724295179e-22,2.20017848164345e-22,"CST1/CST4/TREM2/PKD2L1/CST2/OR2I1P/LBP/OR2B6/DRGX/TAS2R38/TAS2R4/TLR2/KCNMB3/OR6A2/TAS2R5/OR1J4/CA6/OR2W6P/OR4K2/OR2AT4/PIP/OR1Q1/OR4D9/OR8A1/OR56A3/OR6J1/OR52A1/OR10Q1/OR11H7/OR9A4/OR5AS1/OR8D1/OR2M3/OR7C1/OR5AU1/PKD1L3/OR6C75/OR4E2/OR2D3/OR7D4/OR4D10/OR1F1/OR10A2/OR11G2/OR56A1/OR10H1/OR6Y1/OR51L1/OR8D4/OR2AG1/OR1J1/OR2B2/OR4E1/TAS2R10/OR56B4/OR8G1/OR2F1/OR10W1/OR14J1/OR52K1/OR8B12/OR10G3/OR8G3P/OR1I1/OR2AG2/OR6C4/OR5M11/OR1M1/OR5V1/OR11A1/OR2M4/OR1N2/OR4Q3/OR10K1/OR2C3/OR7G2/OR13H1/OR51B5/OR1A1/OR52W1/OR10A5/OR4K13/OR8G5/OR51D1/OR52I2/OR1G1/OR2V2/OR11H4/OR52A5/OR2G6/OR12D3/OR2T10/OR5B12/OR4N2/OR2L2/OR1K1/OR7G3/OR52P1/OR52B2/OR2S2/OR2H1/OR7A5/OR3A3/OR52B6/OR5AP2/OR8B8/OR2A14/TAS2R1",108
"GO:0048285","organelle fission","134/1922","484/17353",1.09121289667672e-24,6.7073219382396e-22,6.16950075150326e-22,"KIF14/KIF23/MTBP/CENPF/KIF18B/ANLN/TPX2/KIF18A/CENPI/TRIP13/RAD51AP1/ZWILCH/EME1/BUB1/TOP2A/KNTC1/CENPE/NDC80/NUF2/KIF4A/ASPM/MTFR2/CHEK1/SGO1/BUB1B/LIF/RAD54B/KIF2C/NEK2/MAPK15/MKI67/FANCD2/CDCA2/KIF20B/BRCA2/MAD2L1/CDK1/SPAG5/CDCA5/KIF11/TESMIN/NCAPG2/SPDL1/NDC1/RAD54L/BRIP1/FANCA/DLGAP5/UBE2C/TTK/MASTL/RAD51/MYBL2/MSH5/AURKA/NCAPH/PRC1/DCAF13/PKMYT1/NCAPG/HOXA13/SMC2/CDC25B/HASPIN/NCAPD3/CCNE1/CCNB2/CENPK/GEN1/KNL1/CDCA8/PLK1/KNSTRN/FIGNL1/CHEK2/SPC25/FBXO5/ZWINT/KIFC1/CCNB1/FBXO43/MZT1/BORA/CDC25C/RCC1/CKS2/AURKB/KIF4B/PDGFRB/BIRC5/CDT1/P3H4/SPC24/CDC20/M1AP/UBE2S/PSRC1/MSX2/DDX4/PTTG3P/TEX19/MSH4/MEIOSIN/MND1/HORMAD1/KCTD19/SYCP2L/MSX1/MOV10L1/SYCE3/PRDM9/IGF2/HSF2BP/MEIOC/SYCP2/KASH5/BRDT/MAJIN/TRIM75/ANKLE1/TERB2/FGF8/STRA8/TERB1/DMRT1/PRDM7/TDRD12/SYCP1/ASZ1/NANOS2/RBM46/EGF/DMRTC2/DNMT3L",134
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","91/1922","264/17353",2.53204308957277e-24,1.40072623715165e-21,1.28841013631524e-21,"OR2I1P/OR2B6/OR6A2/OR1J4/OR2W6P/OR4K2/OR2AT4/OR1Q1/OR4D9/OR8A1/OR56A3/OR6J1/OR52A1/OR10Q1/OR11H7/OR9A4/OR5AS1/OR8D1/OR2M3/OR7C1/OR5AU1/OR6C75/OR4E2/OR2D3/OR7D4/OR4D10/OR1F1/OR10A2/OR11G2/OR56A1/OR10H1/OR6Y1/OR51L1/OR8D4/OR2AG1/OR1J1/OR2B2/OR4E1/OR56B4/OR8G1/OR2F1/OR10W1/OR14J1/OR52K1/OR8B12/OR10G3/OR8G3P/OR1I1/OR2AG2/OR6C4/OR5M11/OR1M1/OR5V1/OR11A1/OR2M4/OR1N2/OR4Q3/OR10K1/OR2C3/OR7G2/OR13H1/OR51B5/OR1A1/OR52W1/OR10A5/OR4K13/OR8G5/OR51D1/OR52I2/OR1G1/OR2V2/OR11H4/OR52A5/OR2G6/OR12D3/OR2T10/OR5B12/OR4N2/OR2L2/OR1K1/OR7G3/OR52P1/OR52B2/OR2S2/OR2H1/OR7A5/OR3A3/OR52B6/OR5AP2/OR8B8/OR2A14",91
