"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019814","immunoglobulin complex","138/2353","149/18305",1.04094447192259e-109,5.71478515085504e-107,4.85408843222852e-107,"IGLV1-50/JCHAIN/IGKV3D-15/IGKV2D-29/IGKV2D-30/IGKV1D-33/IGKV3-7/IGHM/IGHV3-35/IGHA1/IGLV4-3/IGLV2-8/IGKV1D-37/IGLL5/IGKV1-17/IGKV1D-8/IGKV2D-28/IGKV3D-11/IGKV1D-42/IGKV6-21/IGKV2-28/IGKV3D-7/IGHA2/IGLV2-33/IGLV3-16/IGLC2/IGKJ1/IGLV2-14/IGKV2-30/IGLV7-46/IGKV1-9/IGKV1D-39/IGKV1D-12/IGKV1-39/IGHV5-51/IGKV1-37/IGKV2D-24/IGHV3-16/IGLV7-43/IGHV4-28/IGLV1-40/IGLV3-32/IGLC6/IGHV2-70/IGKC/IGLV9-49/IGLV3-21/CD79A/IGHV4-34/IGKV3-15/IGLV2-11/IGHV3-7/IGHV3-38/IGHV3-66/IGKV1-5/IGLV2-18/IGLC3/IGLV10-54/IGLV3-25/IGKV3D-20/IGKV1-6/IGLV5-45/IGLC7/IGLV1-44/IGLV4-69/IGKV1-12/IGLV6-57/IGLV3-10/IGKV2D-26/IGKV4-1/IGKV6D-21/IGKV2-24/IGHV3-74/IGHV3-53/IGHV8-51-1/IGHV3-48/IGHV3-23/IGLV1-47/IGHV3-20/IGKV1-27/IGHV3-72/IGLV2-23/IGHV3-15/IGKV3-20/IGKV1-16/IGHV2-5/IGHV3-11/IGHV3-43/IGHV6-1/IGLV3-27/IGKV1-13/IGHV4-59/IGLV1-36/IGHV4-39/IGHV4-4/IGLV1-51/IGLV3-19/IGLV8-61/IGKV6D-41/IGHV3-30/IGHV7-81/IGKV2-40/IGHV3-49/IGHG3/TMIGD2/IGKV5-2/IGLV4-60/IGLL1/IGHV2-70D/IGHV3-64D/IGHV3-21/IGHV3-73/IGHJ1/IGHV4-61/IGLV5-37/CD79B/IGHV1-45/IGKV1D-17/IGKV1D-13/IGLV3-9/IGKV1-8/IGHG2/IGHV1-18/IGHV3-64/IGHV1-3/PIGR/IGLV11-55/IGHV1-24/IGHV3-33/IGHV1-58/IGLV3-12/IGHV1-69/IGHV3-13/IGKV1D-43/IGHV7-4-1/IGLV5-48/IGLV3-22/IGHV1-69D",138
"GO:0001533","cornified envelope","38/2353","59/18305",3.49886851161577e-20,9.60439406438529e-18,8.15788816129361e-18,"FLG/KRT1/PPL/ANXA1/CSTA/CYSRT1/CNFN/EVPL/SCEL/TGM1/DSC3/DSP/DSC2/KAZN/LORICRIN/PKP1/KRT2/DSG3/DSG1/FLG2/HSPB1/SPRR3/SERPINB2/SPRR1A/DSC1/RPTN/SERPINB12/IVL/SPRR1B/SPRR2A/HRNR/SPRR2D/KRT16/SPRR2F/SPRR2B/KRT77/KRT14/SPRR2E",38
"GO:0031674","I band","51/2353","145/18305",4.42672744075816e-12,8.10091121658743e-10,6.88084300440654e-10,"SYNPO2L/KAT2B/UNC45B/MYZAP/KCNA5/PDLIM2/FBP2/CRYAB/BAG3/KY/ITGB1BP2/MYL9/CSRP1/SORBS2/MYOZ1/PGM5/CFL2/RYR3/FBXL22/DMD/PDLIM3/CASQ2/PDLIM4/FERMT2/ATP2B4/ACTN2/FLNA/KCNN2/ASB2/LDB3/PALLD/ANK2/MYOZ2/NEXN/ACTC1/CSRP2/JPH2/FBXO32/RYR2/HSPB1/ALDOA/PDLIM7/PPP1R12B/MYH7/SYNC/FLNC/SYNPO2/CASQ1/DES/MYPN/KLHL40",51
"GO:0043292","contractile fiber","71/2353","244/18305",1.19146152909745e-11,1.61672123635403e-09,1.37322885189308e-09,"SYNPO2L/KAT2B/UNC45B/MYZAP/KCNA5/AHNAK/PDLIM2/FBP2/TPM1/CRYAB/MYOM2/BAG3/KLHL41/LMOD3/KY/ITGB1BP2/MYL9/ARHGEF25/MYL4/CSRP1/SORBS2/TMOD1/TPM2/MYOZ1/MYOM1/PGM5/CFL2/SVIL/RYR3/FBXL22/DMD/PDLIM3/CASQ2/PDLIM4/FERMT2/ATP2B4/ACTN2/LMOD1/FLNA/KCNN2/ASB2/LDB3/PALLD/ACTA2/ANK2/MYOZ2/NEXN/ACTC1/MYH11/CALD1/CSRP2/JPH2/SYNM/FBXO32/RYR2/HSPB1/ALDOA/PDLIM7/AHNAK2/PPP1R12B/MYH7/SMPX/TNNT3/SYNC/FLNC/SYNPO2/CASQ1/DES/ABCC9/MYPN/KLHL40",71
"GO:0030016","myofibril","69/2353","235/18305",1.47242371252644e-11,1.61672123635403e-09,1.37322885189308e-09,"SYNPO2L/KAT2B/UNC45B/MYZAP/KCNA5/AHNAK/PDLIM2/FBP2/TPM1/CRYAB/MYOM2/BAG3/KLHL41/LMOD3/KY/ITGB1BP2/MYL9/ARHGEF25/MYL4/CSRP1/SORBS2/TMOD1/TPM2/MYOZ1/MYOM1/PGM5/CFL2/SVIL/RYR3/FBXL22/DMD/PDLIM3/CASQ2/PDLIM4/FERMT2/ATP2B4/ACTN2/LMOD1/FLNA/KCNN2/ASB2/LDB3/PALLD/ANK2/MYOZ2/NEXN/ACTC1/CALD1/CSRP2/JPH2/SYNM/FBXO32/RYR2/HSPB1/ALDOA/PDLIM7/AHNAK2/PPP1R12B/MYH7/SMPX/TNNT3/SYNC/FLNC/SYNPO2/CASQ1/DES/ABCC9/MYPN/KLHL40",69
"GO:0030017","sarcomere","64/2353","215/18305",4.19287734435204e-11,3.83648277008211e-09,3.25867484832974e-09,"SYNPO2L/KAT2B/UNC45B/MYZAP/KCNA5/PDLIM2/FBP2/TPM1/CRYAB/MYOM2/BAG3/KLHL41/LMOD3/KY/ITGB1BP2/MYL9/ARHGEF25/MYL4/CSRP1/SORBS2/TMOD1/TPM2/MYOZ1/MYOM1/PGM5/CFL2/RYR3/FBXL22/DMD/PDLIM3/CASQ2/PDLIM4/FERMT2/ATP2B4/ACTN2/LMOD1/FLNA/KCNN2/ASB2/LDB3/PALLD/ANK2/MYOZ2/NEXN/ACTC1/CSRP2/JPH2/FBXO32/RYR2/HSPB1/ALDOA/PDLIM7/PPP1R12B/MYH7/SMPX/TNNT3/SYNC/FLNC/SYNPO2/CASQ1/DES/ABCC9/MYPN/KLHL40",64
"GO:0030018","Z disc","46/2353","131/18305",5.22969519712658e-11,4.10157523317499e-09,3.48384206364974e-09,"SYNPO2L/UNC45B/MYZAP/KCNA5/PDLIM2/FBP2/CRYAB/BAG3/KY/ITGB1BP2/MYL9/CSRP1/SORBS2/MYOZ1/PGM5/CFL2/RYR3/FBXL22/DMD/PDLIM3/CASQ2/PDLIM4/ATP2B4/ACTN2/FLNA/KCNN2/ASB2/LDB3/PALLD/ANK2/MYOZ2/NEXN/CSRP2/JPH2/FBXO32/RYR2/HSPB1/PDLIM7/PPP1R12B/MYH7/SYNC/FLNC/SYNPO2/CASQ1/DES/MYPN",46
"GO:0097060","synaptic membrane","96/2353","392/18305",1.77804060881304e-10,1.22018036779795e-08,1.03641051276865e-08,"SLC6A4/ABHD6/LRRC4/FXYD6/ARC/TIAM1/P2RY1/GRIA4/CRYAB/NDUFS7/GPM6A/GPER1/PDE2A/DGKB/SLC6A1/DLG2/CLTB/KCNB1/NRXN1/TMEM240/SLC5A7/ITGA8/DMD/SLC16A7/GSG1L/PDLIM4/ATP2B4/ACTN2/GRIK2/GRIA2/NRP2/LPAR1/SNTA1/BAIAP2/PRRT1/SLITRK3/GABRA5/KCNA3/RGS9/ANK2/NSG1/GRIK5/GRIK3/SORCS3/GRIK1/ATP2B2/ADGRB3/SLC6A11/MAGEE1/CHRM2/KCNA2/HTR3B/CNKSR2/KCNMA1/GRID2/LRFN5/PTPRS/KCNA1/CNTN2/NRXN3/KCNQ5/CHRM4/CHRNB4/CNTN1/LRRTM1/NLGN1/KCTD8/SHISA9/DCC/GRIA3/ATP2B3/RIMS3/FAIM2/SNAP91/GRIN2A/CDH8/HTR1B/GLRB/GRIA1/IL1RAPL1/IGSF9B/RIMS1/LRFN2/SLC1A7/LRRTM3/CHRM1/UNC13C/CNR1/TENM2/SHISA6/NTNG1/CHRNA3/GABRA1/CACNG7/CDH10/GHSR",96
"GO:0016324","apical plasma membrane","96/2353","401/18305",6.54389487343907e-10,3.99177587279783e-08,3.39057944904504e-08,"S100G/SLC2A5/ENPP3/SLC28A1/NAALADL1/AQP10/MGAM/SLC46A1/LCT/SLC2A7/ABCG2/SLC23A1/ANXA1/ACY3/KCNA5/MAL/KCNE2/ACE2/CEACAM20/SLC7A8/ADRB2/CYP4F2/RAB27A/P2RY1/SCNN1B/CPO/ABCG5/SLC5A11/CD36/PARD6G/SLC5A1/ECRG4/CDHR5/ABCG8/ATP1B2/CBLIF/SLC15A1/CYBRD1/ATP4B/FXYD1/UPK1A/PTH1R/SLC7A9/SI/KCNB1/SORBS2/DUOX1/MYO1A/SLC2A2/ATP4A/NHERF1/P2RX2/CDHR2/SLC6A19/CA14/CLCA4/FRMD1/SLC9A4/SLC13A2/GJB6/ATP12A/DSG1/ANK2/RHCG/FRMD6/SLC26A7/CSPG4/ATP2B2/KIAA1614/IL6R/ENPEP/SCNN1G/CYP4F12/KCNMA1/KCNA1/GPIHBP1/SLC26A3/MPDZ/NPC1L1/KL/PRKG2/CD300LG/SLC47A2/CNTFR/NHERF4/ADGRG2/PDZK1/SLC5A12/DPP4/ATP6V0A4/CASR/SLC9A3/UPK1B/SLC12A1/SLC14A2/DPEP1",96
"GO:0062023","collagen-containing extracellular matrix","99/2353","421/18305",9.94224930244406e-10,5.45829486704179e-08,4.63622783261339e-08,"FLG/CLEC3B/KRT1/ZG16/DPT/CSTB/ECM1/ANXA1/LAMB4/MYOC/VIT/APOA4/FGL2/ANGPTL6/ADAMTS1/NCAM1/COL4A6/THSD4/APOC3/IMPG2/EMILIN3/ABI3BP/S100A9/ANGPTL7/S100A8/NTN1/COL23A1/COL21A1/TGFB1I1/COL4A5/CHADL/LTBP4/ANGPT1/APOA1/MMRN1/ITIH5/SMOC2/TNXB/ANGPTL1/VWC2/ZP1/MXRA7/SFRP1/KAZALD1/ADAMTSL4/DCN/ELANE/MST1/MFAP4/ACTA2/SERPINB1/CSPG4/COL19A1/CDON/CTSF/TPSAB1/CXCL12/P3H2/SBSPON/ANG/SPARCL1/SRPX/CMA1/TIMP3/TPSB2/AMTN/MFAP5/SPON1/SERPINB12/ANGPTL5/SOD3/FBLN1/SSC5D/ANXA8/ANGPTL3/CLU/CPA3/ANGPTL4/ADAMTS15/HAPLN2/ADAMTS8/MMP28/FCN1/HRNR/PTPRZ1/COL6A5/GDF10/PRELP/FGF10/SLPI/CTSG/F13A1/HAPLN1/LMAN1L/APLP1/OGN/COL17A1/ADIPOQ/FGA",99
