"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000793","condensed chromosome","74/2085","280/18305",1.98421426276588e-12,1.14290741535315e-09,1.03388006323064e-09,"MTBP/CENPF/KIF18A/CENPI/ZWILCH/BUB1/TOP2A/KNTC1/CENPE/NDC80/FIRRM/NUF2/CENPL/CHEK1/SGO1/BUB1B/KIF2C/HJURP/NEK2/MKI67/SKA3/SGO2/FANCD2/BRCA2/MAD2L1/CENPO/SPAG5/NCAPG2/SPDL1/BRCA1/BLM/TTK/RAD51/AURKA/NCAPH/SKA1/ERCC6L/NUP107/NCAPG/SMC2/NCAPD3/CENPA/CENPK/KNL1/PLK1/KNSTRN/SPC25/CENPN/ZWINT/CCNB1/RCC1/AURKB/CENPU/BIRC5/CENPH/CDT1/P3H4/SPC24/CDC20/SMC1B/CENPW/FAM9C/MSH4/HORMAD1/SYCP2L/SYCE3/SYCP2/KASH5/FKBP6/FAM9B/SYCP1/FAM9A/HORMAD2/DNMT3L",74
"GO:0098687","chromosomal region","89/2085","395/18305",1.52878829305942e-10,4.40291028401114e-08,3.9828958161285e-08,"MTBP/HELLS/DSCC1/CENPF/DNA2/KIF18A/CENPI/RAD51AP1/ZWILCH/BUB1/TOP2A/KNTC1/CENPE/NDC80/FIRRM/NUF2/RECQL4/CENPL/CHEK1/SGO1/BUB1B/KIF2C/HJURP/NEK2/SKA3/SGO2/BRCA2/MAD2L1/CDK1/CENPO/SPAG5/CDCA5/SPDL1/BLM/DNMT1/RCC2/TTK/MSH2/RAD51/AURKA/ATR/SKA1/ERCC6L/NUP107/EZH2/NCAPG/NCAPD3/PRKDC/CENPA/MCM4/TERT/ORC1/CENPK/KNL1/FEN1/CDCA8/PLK1/KNSTRN/CHEK2/SPC25/CENPN/ZWINT/PCNA/MCM2/MCM7/CCNB1/PIF1/AURKB/CENPU/BIRC5/CENPH/CDT1/OIP5/SPC24/CDC20/POLD1/SMC1B/CENPW/ESCO2/SYCP2L/PKHD1/H3-4/H2BC11/KASH5/MAJIN/TERB2/TERB1/SYCP1/H2AC4",89
"GO:0000940","outer kinetochore","14/2085","20/18305",1.18140074412416e-09,2.26828942871838e-07,2.05190655558406e-07,"CENPF/BUB1/NDC80/NUF2/BUB1B/SKA3/SPDL1/SKA1/KNL1/PLK1/SPC25/ZWINT/CCNB1/SPC24",14
"GO:0000775","chromosome, centromeric region","63/2085","257/18305",2.3529019030262e-09,3.38817874035773e-07,3.06496432104729e-07,"MTBP/HELLS/DSCC1/CENPF/KIF18A/CENPI/ZWILCH/BUB1/TOP2A/KNTC1/CENPE/NDC80/FIRRM/NUF2/CENPL/SGO1/BUB1B/KIF2C/HJURP/NEK2/SKA3/SGO2/MAD2L1/CENPO/SPAG5/CDCA5/SPDL1/DNMT1/RCC2/TTK/AURKA/SKA1/ERCC6L/NUP107/EZH2/NCAPG/NCAPD3/CENPA/CENPK/KNL1/CDCA8/PLK1/KNSTRN/SPC25/CENPN/ZWINT/CCNB1/AURKB/CENPU/BIRC5/CENPH/CDT1/OIP5/SPC24/CDC20/SMC1B/CENPW/ESCO2/SYCP2L/PKHD1/H2BC11/SYCP1/H2AC4",63
"GO:0000779","condensed chromosome, centromeric region","48/2085","181/18305",1.31271399576346e-08,1.10535610504755e-06,9.99910950289725e-07,"MTBP/CENPF/KIF18A/CENPI/ZWILCH/BUB1/KNTC1/CENPE/NDC80/FIRRM/NUF2/CENPL/SGO1/BUB1B/KIF2C/HJURP/NEK2/SKA3/SGO2/MAD2L1/CENPO/SPAG5/SPDL1/TTK/AURKA/SKA1/ERCC6L/NUP107/NCAPG/NCAPD3/CENPA/CENPK/KNL1/PLK1/KNSTRN/SPC25/CENPN/ZWINT/CCNB1/AURKB/CENPU/BIRC5/CENPH/CDT1/SPC24/CDC20/CENPW/SYCP2L",48
"GO:0000795","synaptonemal complex","19/2085","40/18305",1.34331471099529e-08,1.10535610504755e-06,9.99910950289725e-07,"BRCA2/BRCA1/BLM/RAD51/PLK1/P3H4/SMC1B/FAM9C/MSH4/HORMAD1/SYCP2L/SYCE3/SYCP2/KASH5/FKBP6/FAM9B/SYCP1/FAM9A/HORMAD2",19
"GO:0099086","synaptonemal structure","19/2085","40/18305",1.34331471099529e-08,1.10535610504755e-06,9.99910950289725e-07,"BRCA2/BRCA1/BLM/RAD51/PLK1/P3H4/SMC1B/FAM9C/MSH4/HORMAD1/SYCP2L/SYCE3/SYCP2/KASH5/FKBP6/FAM9B/SYCP1/FAM9A/HORMAD2",19
"GO:0000794","condensed nuclear chromosome","28/2085","81/18305",3.32352490190719e-08,2.3623477833093e-06,2.13699223819098e-06,"CHEK1/NEK2/BRCA2/NCAPG2/BRCA1/BLM/RAD51/NCAPH/NCAPG/SMC2/NCAPD3/PLK1/RCC1/P3H4/SMC1B/FAM9C/MSH4/HORMAD1/SYCP2L/SYCE3/SYCP2/KASH5/FKBP6/FAM9B/SYCP1/FAM9A/HORMAD2/DNMT3L",28
"GO:0000228","nuclear chromosome","55/2085","227/18305",3.69116841142078e-08,2.3623477833093e-06,2.13699223819098e-06,"FIRRE/HMGA2/EME1/MCM10/TOP2A/CHEK1/MMS22L/PRIM2/GINS1/NEK2/WDHD1/TIMELESS/ORC6/BRCA2/NCAPG2/BRCA1/BLM/GINS4/RAD51/NCAPH/TONSL/NCAPG/SMC2/NCAPD3/MCM4/POLE2/ANP32E/ORC1/CDC45/PLK1/FIGNL1/PCNA/MCM2/MCM7/SINHCAF/RCC1/BIRC5/P3H4/POLD3/POLD1/SMC1B/FAM9C/MSH4/GINS2/HORMAD1/SYCP2L/SYCE3/SYCP2/KASH5/FKBP6/FAM9B/SYCP1/FAM9A/HORMAD2/DNMT3L",55
"GO:0000776","kinetochore","44/2085","170/18305",1.12227835406145e-07,6.46432331939395e-06,5.84766089747809e-06,"MTBP/CENPF/KIF18A/CENPI/ZWILCH/BUB1/KNTC1/CENPE/NDC80/FIRRM/NUF2/CENPL/SGO1/BUB1B/KIF2C/HJURP/NEK2/SKA3/SGO2/MAD2L1/CENPO/SPAG5/SPDL1/TTK/AURKA/SKA1/ERCC6L/NUP107/CENPK/KNL1/PLK1/KNSTRN/SPC25/CENPN/ZWINT/CCNB1/AURKB/CENPU/BIRC5/CENPH/CDT1/SPC24/CDC20/CENPW",44
