"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003823","antigen binding","87/2178","161/17506",3.64424592992328e-37,3.88476616129822e-34,3.13788754808131e-34,"JCHAIN/IGKV1D-33/IGHM/IGHV3-35/IGHA1/IGLV2-8/SLC7A8/IGLL5/IGKV1-17/IGKV2D-28/IGHA2/IGLC2/IGLV2-14/IGKV2-30/IGKV1D-39/IGKV1D-12/IGKV1-39/IGHV5-51/IGHV3-16/IGLV7-43/IGHV4-28/IGLV1-40/SLC7A9/IGLC6/IGHV2-70/IGKC/IGLV3-21/IGHV4-34/IGKV3-15/IGLV2-11/IGHV3-7/IGHV3-38/IGHV3-66/IGKV1-5/IGLC3/IGLV3-25/IGLC7/IGLV1-44/IGLV6-57/IGKV4-1/IGHV3-74/IGHV3-53/IGHV8-51-1/IGHV3-48/IGHV3-23/IGLV1-47/IGHV3-20/IGHV3-72/IGLV2-23/IGHV3-15/IGKV3-20/IGKV1-16/IGHV2-5/IGHV3-11/IGHV3-43/IGHV6-1/IGLV3-27/IGHV4-59/IGHV4-39/IGHV4-4/IGLV1-51/IGLV3-19/IGHV3-30/IGHV7-81/IGHV3-49/IGHG3/IGKV5-2/IGLL1/IGHV2-70D/IGHV3-64D/IGHV3-21/IGHV3-73/IGHV4-61/CD1A/IGHV1-45/IGHG2/IGHV1-18/IGHV3-64/IGHV1-3/FCN1/IGHV1-24/IGHV3-33/IGHV1-58/IGHV1-69/IGHV3-13/IGHV7-4-1/IGHV1-69D",87
"GO:0030280","structural constituent of skin epidermis","19/2178","36/17506",6.14081508716145e-09,3.27305444145705e-06,2.64378249542004e-06,"FLG/KRT1/KRT3/KRT78/LORICRIN/PKP1/KRT2/KRT4/SPRR1A/KRT5/KRT6A/KRT6B/KRT73/PNPLA1/KRT6C/KRT79/KRT77/KRT72/SPRR2E",19
"GO:0046873","metal ion transmembrane transporter activity","96/2178","438/17506",1.45055067775707e-08,5.15429007496345e-06,4.16333492773783e-06,"SLC28A1/SLC5A4/SLC6A4/SLC23A1/KCNA5/KCNE2/SLC10A6/SCNN1B/KCNJ13/SLC5A11/SLC5A1/KCNK7/GPM6A/ATP4B/SLC6A1/SLC9A9/KCNIP4/KCNB1/SLC5A5/CACNB2/CACNA2D3/SLC17A8/SLC5A7/SLC31A2/KCNJ15/KCNJ16/SCN7A/ATP4A/NIPAL4/SLC5A9/ATP1A2/RYR3/KCNMB1/KCNN3/ATP2B4/GRIK2/SLC9A4/SLC13A2/NCS1/KCNN2/TMEM37/ATP12A/KCNA3/ITPR1/KCNIP2/CACNA1H/GRIK5/GRIK3/GRIK1/ATP2B2/SLC30A10/TRPC4/NIPAL1/RYR2/SCNN1G/SLC6A11/MFSD2A/SLC39A2/TRPC1/KCNA2/KCNMA1/KCNA1/KCNK16/KCNMB2/SLC10A4/ASIC5/TMEM38A/KCNQ5/SLC17A7/SCN2B/KCNH2/ATP2B3/KCNQ4/TRPV3/GRIN2A/SCN4B/SLC8A2/HTR1B/SLC28A2/KCNK3/TMC1/SLC5A12/CALHM1/KCNIP3/LRRC52/SLC1A7/ABCC9/SLC6A13/KCNB2/SLC39A5/KCNA6/SLC6A15/CACNG7/SLC9A3/ABCC8/SLC12A1",96
"GO:0033293","monocarboxylic acid binding","29/2178","78/17506",2.08270602185106e-08,5.55041154823308e-06,4.48329875230045e-06,"RBP2/ACOX3/UGT1A7/FABP2/ACACB/CD36/GSTM2/ID3/UGT1A1/AKR1C1/GSTA1/FABP5/S100A9/ACOX2/RBP7/S100A8/PMP2/CRABP2/LRAT/FABP1/AKR1C3/AKR1C2/FABP12/FABP5P3/FABP4/NR1H4/CYP4F11/PTGDS/UGT1A8",29
"GO:0005504","fatty acid binding","21/2178","48/17506",6.91911068899266e-08,1.47515439889323e-05,1.19154369338863e-05,"RBP2/ACOX3/FABP2/CD36/GSTM2/ID3/GSTA1/FABP5/S100A9/ACOX2/RBP7/S100A8/PMP2/CRABP2/FABP1/FABP12/FABP5P3/FABP4/CYP4F11/PTGDS/UGT1A8",21
"GO:0001664","G protein-coupled receptor binding","65/2178","273/17506",1.36404438408013e-07,2.42345218904903e-05,1.95752334417113e-05,"ACE/GIP/GNA11/MYOC/P2RY1/PRKN/ZBTB16/GHRL/PNOC/P2RY2/S100A14/GNA15/NHERF1/PRNP/CNRIP1/EDN3/GPRASP2/SFRP1/REEP2/FLNA/MAGI2/EDN2/GNAO1/GCG/TFF2/PENK/REEP1/GNAI1/CCKBR/CXCL12/WNT9A/GNAZ/PACRG/ADRB3/UTS2B/TUB/CXCL14/CCL21/PPY/UCN3/AGTR1/MLN/AVPR1A/WNT9B/WNT4/HOMER2/NPY/CLIC6/PALM/GRIA1/MRAP2/CCL11/FCN1/XCL2/CCL28/GPR15LG/PYY/TAC1/RSPO1/CCL25/WNT3A/APLP1/DEFB1/RTP1/GHRH",65
"GO:0015267","channel activity","102/2178","497/17506",1.70153754885036e-07,2.49543468313836e-05,2.01566660492464e-05,"BEST4/AQP10/AQP11/SLC6A4/TMEM120A/KCNA5/OTOP3/ATP5PF/OTOP2/KCNE2/GJB2/AQP4/SCNN1B/KCNJ13/GRIA4/AQP3/KCNK7/CLIC3/GPM6A/FXYD1/AQP7/KCNIP4/KCNB1/CACNB2/CACNA2D3/SLC17A8/CLCNKA/KCNJ15/KCNJ16/SCN7A/P2RX2/RYR3/KCNMB1/KCNN3/CLCA4/GRIK2/GRIA2/NCS1/KCNN2/TMEM37/GJB6/GABRA5/KCNA3/ITPR1/KCNIP2/CACNA1H/RHCG/GRIK5/GRIK3/SLC26A7/GRIK1/TRPC4/RYR2/CLCA2/SCNN1G/TRPC1/CNGA1/KCNA2/HTR3B/GJC1/KCNMA1/GRID2/KCNA1/KCNK16/CLCA1/KCNMB2/ASIC5/CNGA3/TMEM38A/KCNQ5/CHRNB4/ANO5/SLC17A7/SCN2B/KCNH2/GRIA3/KCNQ4/TRPV3/GRIN2A/SCN4B/HTR1B/CLIC6/GLRB/TMEM63C/GRIA1/ANO7/KCNK3/TMC1/CALHM1/KCNIP3/LRRC52/SLC1A7/ABCC9/GJB5/KCNB2/CLDN17/KCNA6/CHRNA3/GABRA1/CACNG7/ABCC8/RHBG",102
"GO:0022803","passive transmembrane transporter activity","102/2178","498/17506",1.8839432605269e-07,2.49543468313836e-05,2.01566660492464e-05,"BEST4/AQP10/AQP11/SLC6A4/TMEM120A/KCNA5/OTOP3/ATP5PF/OTOP2/KCNE2/GJB2/AQP4/SCNN1B/KCNJ13/GRIA4/AQP3/KCNK7/CLIC3/GPM6A/FXYD1/AQP7/KCNIP4/KCNB1/CACNB2/CACNA2D3/SLC17A8/CLCNKA/KCNJ15/KCNJ16/SCN7A/P2RX2/RYR3/KCNMB1/KCNN3/CLCA4/GRIK2/GRIA2/NCS1/KCNN2/TMEM37/GJB6/GABRA5/KCNA3/ITPR1/KCNIP2/CACNA1H/RHCG/GRIK5/GRIK3/SLC26A7/GRIK1/TRPC4/RYR2/CLCA2/SCNN1G/TRPC1/CNGA1/KCNA2/HTR3B/GJC1/KCNMA1/GRID2/KCNA1/KCNK16/CLCA1/KCNMB2/ASIC5/CNGA3/TMEM38A/KCNQ5/CHRNB4/ANO5/SLC17A7/SCN2B/KCNH2/GRIA3/KCNQ4/TRPV3/GRIN2A/SCN4B/HTR1B/CLIC6/GLRB/TMEM63C/GRIA1/ANO7/KCNK3/TMC1/CALHM1/KCNIP3/LRRC52/SLC1A7/ABCC9/GJB5/KCNB2/CLDN17/KCNA6/CHRNA3/GABRA1/CACNG7/ABCC8/RHBG",102
"GO:0005216","monoatomic ion channel activity","92/2178","438/17506",2.31332088723013e-07,2.49543468313836e-05,2.01566660492464e-05,"BEST4/SLC6A4/TMEM120A/KCNA5/OTOP3/ATP5PF/OTOP2/KCNE2/SCNN1B/KCNJ13/GRIA4/KCNK7/CLIC3/GPM6A/FXYD1/KCNIP4/KCNB1/CACNB2/CACNA2D3/SLC17A8/CLCNKA/KCNJ15/KCNJ16/SCN7A/P2RX2/RYR3/KCNMB1/KCNN3/CLCA4/GRIK2/GRIA2/NCS1/KCNN2/TMEM37/GABRA5/KCNA3/ITPR1/KCNIP2/CACNA1H/GRIK5/GRIK3/SLC26A7/GRIK1/TRPC4/RYR2/CLCA2/SCNN1G/TRPC1/CNGA1/KCNA2/HTR3B/GJC1/KCNMA1/GRID2/KCNA1/KCNK16/CLCA1/KCNMB2/ASIC5/CNGA3/TMEM38A/KCNQ5/CHRNB4/ANO5/SLC17A7/SCN2B/KCNH2/GRIA3/KCNQ4/TRPV3/GRIN2A/SCN4B/HTR1B/CLIC6/GLRB/TMEM63C/GRIA1/ANO7/KCNK3/TMC1/CALHM1/KCNIP3/LRRC52/SLC1A7/ABCC9/KCNB2/CLDN17/KCNA6/CHRNA3/GABRA1/CACNG7/ABCC8",92
"GO:0048018","receptor ligand activity","97/2178","469/17506",2.34093309862886e-07,2.49543468313836e-05,2.01566660492464e-05,"GIP/ENDOU/OSGIN1/CMTM5/IL1RN/PTN/BTC/TSLP/SPX/GHRL/BMP6/SEMA6D/VEGFD/TNFSF12/ALKAL2/FNDC5/TAFA4/GAST/TFF1/EPGN/ENHO/PNOC/SST/APOA1/NPPC/NRG2/GKN1/EPHA7/EDN3/GDF7/C1QTNF4/SEMA4A/PDGFD/EDN2/FGF2/IL17B/GCG/VIP/PENK/NRG4/CXCL12/FAM3B/SECTM1/WNT9A/IL16/FAM3D/SLURP1/IL36A/LEP/UTS2B/IL36B/CXCL14/CCL21/IL36RN/PPY/UCN3/DAND5/KL/CARTPT/BMP5/ANGPTL3/MLN/WNT9B/WNT4/CTF1/IL12A/NPY/MSTN/FGF14/GUCA2A/CCL11/BMP3/GRP/XCL2/CCL28/DPP4/GDF10/C1QTNF9/GPR15LG/FGF10/PYY/CTSG/NRG3/TSHB/CCL25/WNT3A/REG3A/CCK/GREM2/SCG2/IL6/OGN/IL19/IL1F10/ADIPOQ/CHGB/GHRH",97
