"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004984","olfactory receptor activity","91/1924","262/17506",7.83900875846615e-25,8.02714496866934e-22,7.41817776195902e-22,"OR2I1P/OR2B6/OR6A2/OR1J4/OR2W6P/OR4K2/OR2AT4/OR1Q1/OR4D9/OR8A1/OR56A3/OR6J1/OR52A1/OR10Q1/OR11H7/OR9A4/OR5AS1/OR8D1/OR2M3/OR7C1/OR5AU1/OR6C75/OR4E2/OR2D3/OR7D4/OR4D10/OR1F1/OR10A2/OR11G2/OR56A1/OR10H1/OR6Y1/OR51L1/OR8D4/OR2AG1/OR1J1/OR2B2/OR4E1/OR56B4/OR8G1/OR2F1/OR10W1/OR14J1/OR52K1/OR8B12/OR10G3/OR8G3P/OR1I1/OR2AG2/OR6C4/OR5M11/OR1M1/OR5V1/OR11A1/OR2M4/OR1N2/OR4Q3/OR10K1/OR2C3/OR7G2/OR13H1/OR51B5/OR1A1/OR52W1/OR10A5/OR4K13/OR8G5/OR51D1/OR52I2/OR1G1/OR2V2/OR11H4/OR52A5/OR2G6/OR12D3/OR2T10/OR5B12/OR4N2/OR2L2/OR1K1/OR7G3/OR52P1/OR52B2/OR2S2/OR2H1/OR7A5/OR3A3/OR52B6/OR5AP2/OR8B8/OR2A14",91
"GO:0005125","cytokine activity","61/1924","219/17506",3.50007916236334e-12,1.79204053113003e-09,1.65609008787613e-09,"WNT2/INHBA/BMP8A/IL11/SPP1/LIF/GDF15/TNFSF11/CXCL8/CSF2/CXCL9/TNFRSF11B/CCL7/BMP1/LEFTY1/IL24/CXCL11/CXCL10/CXCL1/TIMP1/CXCL6/CMTM1/CKLF/IL23A/IL37/ALKAL1/TNFSF4/IFNL2/TAFA5/WNT8B/IFNL3/IL17C/TNFSF9/CCL18/OSM/IFNG/CCL3L1/CCL20/WNT11/INHA/CCL3/PF4V1/CXCL5/IL27/PPBP/CXCL3/INHBB/INHBC/IFNL1/EPO/TNFSF18/INHBE/CCL26/THPO/IFNK/IL4/WNT8A/CER1/CCL1/IFNL4/IFNB1",61
"GO:0048018","receptor ligand activity","100/1924","469/17506",3.92088546569224e-11,1.33832890562295e-08,1.23679860830082e-08,"WNT2/INHBA/BMP8A/IL11/SPP1/FGF19/LIF/GDF15/APLN/TNFSF11/AMH/CXCL8/CSF2/CXCL9/TNFRSF11B/CCL7/BMP1/LEFTY1/IL24/CXCL11/ERFE/CXCL10/SEMA5B/CXCL1/TIMP1/APELA/CXCL6/F2RL2/CMTM1/STC2/KNG1/CKLF/PGF/IL23A/IL37/ALKAL1/TNFSF4/IFNL2/TAFA5/CCN6/CD80/WNT8B/DKK1/HAMP/IFNL3/F2/UCN/IL17C/UCN2/TNFSF9/CCL18/OSM/IFNG/FGF20/CCL3L1/AGT/CCL20/UTS2/WNT11/MACC1/INHA/AMELX/FGF3/CCL3/PF4V1/CXCL5/IL27/IGF2/PPBP/CXCL3/INHBB/INHBC/ZP3/IFNL1/FGF17/THBS4/EPO/TNFSF18/RETN/INHBE/LHB/CCL26/INSL6/FGF8/THPO/CGB7/IFNK/FGF21/CGB3/EGF/CRIPTO3/GALP/IL4/WNT8A/NPPB/CSH2/CER1/CCL1/IFNL4/IFNB1",100
"GO:0030546","signaling receptor activator activity","100/1924","474/17506",7.39668944158602e-11,1.89355249704602e-08,1.74990100210153e-08,"WNT2/INHBA/BMP8A/IL11/SPP1/FGF19/LIF/GDF15/APLN/TNFSF11/AMH/CXCL8/CSF2/CXCL9/TNFRSF11B/CCL7/BMP1/LEFTY1/IL24/CXCL11/ERFE/CXCL10/SEMA5B/CXCL1/TIMP1/APELA/CXCL6/F2RL2/CMTM1/STC2/KNG1/CKLF/PGF/IL23A/IL37/ALKAL1/TNFSF4/IFNL2/TAFA5/CCN6/CD80/WNT8B/DKK1/HAMP/IFNL3/F2/UCN/IL17C/UCN2/TNFSF9/CCL18/OSM/IFNG/FGF20/CCL3L1/AGT/CCL20/UTS2/WNT11/MACC1/INHA/AMELX/FGF3/CCL3/PF4V1/CXCL5/IL27/IGF2/PPBP/CXCL3/INHBB/INHBC/ZP3/IFNL1/FGF17/THBS4/EPO/TNFSF18/RETN/INHBE/LHB/CCL26/INSL6/FGF8/THPO/CGB7/IFNK/FGF21/CGB3/EGF/CRIPTO3/GALP/IL4/WNT8A/NPPB/CSH2/CER1/CCL1/IFNL4/IFNB1",100
"GO:0005201","extracellular matrix structural constituent","43/1924","164/17506",3.72553059449834e-08,6.71121689183183e-06,6.20208057746383e-06,"COL10A1/COL11A1/ACAN/CTHRC1/COL1A1/BGN/COL5A2/AGRN/LAMC2/COMP/COL3A1/THBS2/MFAP2/MATN3/COL1A2/COL22A1/MXRA5/VCAN/SPARC/COL4A1/CHI3L1/COL12A1/COL5A1/COL8A1/ANOS1/COL27A1/IMPG1/COL9A1/COL5A3/AMELX/DSPP/COL6A3/ASPN/MEPE/COL7A1/ZP3/FGB/FBN3/COL9A3/VTN/MUC4/OTOL1/STATH",43
"GO:0030414","peptidase inhibitor activity","44/1924","170/17506",3.93235364755771e-08,6.71121689183183e-06,6.20208057746383e-06,"CST1/CST4/BIRC7/SERPINH1/SLCO1B3/CST2/TIMP1/SERPINE1/ITIH2/R3HDML/BIRC5/KNG1/ITIH6/ANOS1/GBP5/RARRES1/AHSG/SERPINA10/AGT/SERPINA6/CSTL1/MANSC4/LCN1/COL6A3/COL7A1/CST5/PI15/WFDC10B/C4A/WFDC10A/ITIH1/HRG/EPPIN/SERPINA3/WFDC8/SLCO1B3-SLCO1B7/WFDC13/SPINK14/SPINT4/SPINK6/SERPINA7/SPP2/CST8/WFDC11",44
"GO:0004866","endopeptidase inhibitor activity","42/1924","163/17506",9.10478179775974e-08,1.33189950870085e-05,1.23085696784752e-05,"CST1/CST4/BIRC7/SERPINH1/SLCO1B3/CST2/TIMP1/SERPINE1/ITIH2/BIRC5/KNG1/ITIH6/ANOS1/GBP5/RARRES1/AHSG/SERPINA10/AGT/SERPINA6/CSTL1/MANSC4/LCN1/COL6A3/COL7A1/CST5/WFDC10B/C4A/WFDC10A/ITIH1/HRG/EPPIN/SERPINA3/WFDC8/SLCO1B3-SLCO1B7/WFDC13/SPINK14/SPINT4/SPINK6/SERPINA7/SPP2/CST8/WFDC11",42
"GO:0017116","single-stranded DNA helicase activity","13/1924","23/17506",1.29614133630484e-07,1.6590609104702e-05,1.53319876491849e-05,"DSCC1/DNA2/RFC3/POLQ/RFC4/RAD51/MCM8/CHTF18/MCM4/MCM2/MCM7/PIF1/HELB",13
"GO:0003777","microtubule motor activity","23/1924","67/17506",3.3330440057251e-07,3.79226340206944e-05,3.50456907736475e-05,"KIF14/KIF23/KIF26B/KIF18B/KIF18A/CENPE/KIF4A/KIF15/KIF2C/KIF20B/KIF11/KIF20A/KIF24/DNAH2/KIFC1/KIF4B/DNAH14/DNAH17/DNAH5/DNAH3/DNAH12/DNAH6/DNAI2",23
"GO:0030020","extracellular matrix structural constituent conferring tensile strength","18/1924","45/17506",4.66946048702701e-07,4.78152753871566e-05,4.41878418719714e-05,"COL10A1/COL11A1/COL1A1/COL5A2/COL3A1/COL1A2/COL22A1/COL4A1/COL12A1/COL5A1/COL8A1/COL27A1/COL9A1/COL5A3/COL6A3/COL7A1/COL9A3/OTOL1",18
