"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
NA,NA,"hsa04382","Cornified envelope formation","76/1125","204/8346",4.54867520970256e-18,1.51016016962125e-15,1.25447674204428e-15,"FLG/KRT1/PPL/TMEM79/ELOVL4/CYP4F22/COL4A6/KRT15/KRT3/EVPL/S100A9/TGM1/KRT78/S100A8/DSP/COL4A5/EPHX2/S100A14/KAZN/PADI1/PPP2R3A/LORICRIN/PKP1/KRT2/CERS3/CLDN5/TGM5/DSG3/DSG1/FLG2/KRT4/TGM3/PPP2R2B/SPRR3/KRT13/LCE3E/SPRR1A/KRT32/SDR9C7/KRT5/LCE3D/CLDN15/S100A16/S100A12/KRT6A/DSC1/EPHX3/KRT20/S100A2/KRT6B/KRT73/IVL/SPRR1B/PPP2R2C/KRT33A/SPRR2A/HRNR/LCE3A/SPRR2D/KRT16/SPRR5/PNPLA1/CLDN8/KRT6C/KRT24/CLDN17/SPRR2F/SPRR2B/COL17A1/KRT79/KRT77/KRT27/KRT72/KRT14/KRT31/SPRR2E",76
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","38/1125","72/8346",1.87922558423468e-15,2.90960674548342e-13,2.41698467760512e-13,"CBR1/CYP2D6/DHDH/GSTM5/CYP3A4/UGT1A7/EPHX1/ALDH3A1/UGT1A4/GSTM2/MGST3/UGT1A1/AKR1C1/GSTA1/GSTA3/AKR7A3/GSTA2/CBR3/ADH7/CYP2C9/ADH1B/GSTA4/UGT2B7/CYP1A1/UGT2B17/ALDH3B2/ADH4/UGT2B11/ADH1C/HPGDS/UGT1A10/UGT2B15/SULT2A1/UGT2A3/GSTM1/ADH6/GSTA5/UGT1A8",38
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","36/1125","66/8346",2.62916272182236e-15,2.90960674548342e-13,2.41698467760512e-13,"CYP2D6/GSTM5/CYP3A4/UGT1A7/ALDH3A1/UGT1A4/GSTM2/MGST3/UGT1A1/GSTA1/GSTA3/MAOA/GSTA2/FMO4/FMO2/ADH7/CYP2C9/ADH1B/MAOB/GSTA4/UGT2B7/UGT2B17/ALDH3B2/CYP2C19/ADH4/UGT2B11/ADH1C/FMO5/HPGDS/UGT1A10/UGT2B15/UGT2A3/GSTM1/ADH6/GSTA5/UGT1A8",36
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","32/1125","64/8346",2.24367328634243e-12,1.86224882766421e-10,1.54695368689925e-10,"CBR1/SULT1A1/GSTM5/CYP3A4/UGT1A7/EPHX1/UGT1A4/GSTM2/MGST3/UGT1A1/GSTA1/SULT1A2/GSTA3/CYP2C18/GSTA2/AKR1C2/CYP2C9/GSTA4/UGT2B7/CYP1A1/UGT2B17/CYP2C19/UGT2B11/NAT2/HPGDS/UGT1A10/UGT2B15/SULT2A1/UGT2A3/GSTM1/GSTA5/UGT1A8",32
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","94/1125","359/8346",4.0335600465368e-11,2.67828387090043e-09,2.22482680461609e-09,"GIP/P2RY14/ADRB2/HRH2/P2RY1/GRIA4/ADCYAP1R1/SPX/GHRL/GHR/BDKRB1/PTH1R/HTR7/PNOC/P2RY2/SST/ADRA1A/P2RX2/EDN3/MLNR/LTB4R/TAC3/CYSLTR1/GRIK2/GRIA2/EDN2/LPAR1/GABRA5/GCG/VIP/LPAR3/GRIK5/GRIK3/GRPR/GRIK1/PENK/S1PR5/GALR1/NMBR/CCKBR/GLP2R/CHRM2/ADRA1D/LYNX1/GNRHR/SLURP1/ADRB3/SSTR1/GRID2/VIPR2/HTR1E/PTGER3/LEP/UTS2B/CHRM4/CHRNB4/TACR2/PPY/HTR4/UCN3/GRIA3/CCKAR/AGTR1/MLN/AVPR1A/NPY2R/GRIN2A/MC4R/PTGFR/SSTR3/NPY/HTR1B/GLRB/GRIA1/SLURP2/GRP/PYY/CTSG/TAC1/CHRM1/CNR1/LYPD6B/TSHB/TACR1/AVPR1B/CCK/LHCGR/CHRNA3/GABRA1/NPY5R/MC5R/GHSR/SCTR/GHRH",94
NA,NA,"hsa04082","Neuroactive ligand signaling","56/1125","199/8346",2.7859996699181e-08,1.54158648402135e-06,1.2805823044185e-06,"SLC6A4/GNG7/GNA11/P2RY14/ADRB2/HRH2/P2RY1/GRIA4/SLC6A1/HTR7/PNOC/P2RY2/SLC17A8/SLC5A7/ADRA1A/P2RX2/TAC3/GRIK2/GRIA2/GNG8/GABRA5/GNAO1/ADCY5/GRIK5/GRIK3/GRIK1/PENK/GNAI1/SLC6A11/CHRM2/ADRA1D/HTR3B/HTR1E/SLC18A3/CHRM4/PRKCB/CHRNB4/TACR2/SLC17A7/HTR4/GRIA3/GRIN2A/MC4R/HTR1B/GLRB/GRIA1/SLC1A7/P2RY12/SLC6A13/ADCY2/TAC1/CHRM1/CHAT/TACR1/CHRNA3/GABRA1",56
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","34/1125","99/8346",9.0393108857306e-08,3.82148418999576e-06,3.17447323328754e-06,"RAP1A/PLA2G2C/ATP1B2/CPA2/ATP1A2/ATP2B4/CLCA4/ITPR1/ADCY5/CPB1/ATP2B2/RYR2/CLCA2/CA2/TRPC1/BST1/KCNMA1/CLCA1/PLA2G5/PRKCB/SLC26A3/PLA2G12B/CELA2A/ATP2B3/CCKAR/CPA3/PLA2G10/ADCY2/PNLIPRP2/CELA3A/CCK/CELA3B/SCTR/CPA1",34
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","26/1125","65/8346",9.20839563854401e-08,3.82148418999576e-06,3.17447323328754e-06,"BCO1/CYP3A4/UGT1A7/RDH12/UGT1A4/DGAT1/UGT1A1/RETSAT/CYP2C18/RDH5/LRAT/ADH7/CYP2C9/ADH1B/UGT2B7/CYP1A1/UGT2B17/HSD17B6/ADH4/UGT2B11/ADH1C/UGT1A10/UGT2B15/UGT2A3/ADH6/UGT1A8",26
"Organismal Systems","Digestive system","hsa04976","Bile secretion","31/1125","87/8346",1.28584782820039e-07,4.74334976625031e-06,3.94025884197077e-06,"SLC51A/ABCG2/CYP3A4/UGT1A7/SLC51B/AQP4/EPHX1/ABCG5/UGT1A4/SLC5A1/ABCG8/UGT1A1/ATP1B2/ATP1A2/KCNN2/ADCY5/CA2/UGT2B7/NR0B2/UGT2B17/UGT2B11/UGT1A10/NR1H4/UGT2B15/SULT2A1/ADCY2/CYP7A1/UGT2A3/SLC9A3/UGT1A8/SCTR",31
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","59/1125","224/8346",1.5652558698409e-07,5.19664948787178e-06,4.31681092524543e-06,"GIP/ACOX3/RAP1A/MAPK3/JUN/ADRB2/CREB3L3/TIAM1/GRIA4/ADCYAP1R1/GHRL/ATP1B2/CAMK2A/NPR1/MYL9/FXYD1/PLN/SST/ATP1A2/EDN3/MAPK10/FOS/ATP2B4/GRIA2/EDN2/GCG/VIP/ADCY5/BVES/ATP2B2/GNAI1/RYR2/POPDC2/CNGA1/CHRM2/HCAR2/SSTR1/VIPR2/HTR1E/CNGA3/PTGER3/HTR4/GRIA3/ATP2B3/PDE3A/GRIN2A/GPR119/NPY/HTR1B/GRIA1/CAMK2B/HHIP/ADCY2/CHRM1/CALML3/TSHB/LHCGR/PDE4C/GHSR",59
