"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Sensory system","hsa04740","Olfactory transduction","92/894","295/8346",1.13684182782143e-22,3.83115695975821e-20,3.66182736119323e-20,"OR2B6/CALML4/OR6A2/OR1J4/OR4K2/OR2AT4/OR1Q1/OR4D9/OR8A1/OR56A3/OR6J1/PRKACG/OR52A1/OR10Q1/OR11H7/OR9A4/OR5AS1/OR8D1/OR2M3/OR7C1/OR5AU1/OR6C75/OR4E2/OR2D3/OR7D4/OR4D10/OR1F1/OR10A2/OR11G2/OR56A1/OR10H1/OR6Y1/CALML6/OR51L1/OR8D4/OR2AG1/OR1J1/OR2B2/OR4E1/OR56B4/OR8G1/OR2F1/OR10W1/OR14J1/OR52K1/OR8B12/OR10G3/OR8G3P/OR1I1/OR2AG2/OR6C4/OR5M11/OR1M1/OR5V1/OR11A1/OR2M4/OR1N2/OR4Q3/OR10K1/OR2C3/OR7G2/OR13H1/OR51B5/OR1A1/OR52W1/OR10A5/OR4K13/OR8G5/OR51D1/OR52I2/OR1G1/OR2V2/OR11H4/OR52A5/OR2G6/OR12D3/OR2T10/OR5B12/OR4N2/OR2L2/OR1K1/OR7G3/OR52P1/OR52B2/OR2S2/OR2H1/OR7A5/OR3A3/OR52B6/OR5AP2/OR8B8/OR2A14",92
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","49/894","158/8346",1.86601412139871e-12,3.14423379455683e-10,3.0052648481474e-10,"MTBP/E2F3/TRIP13/BUB1/NDC80/CHEK1/SGO1/BUB1B/CDC7/DBF4/ORC6/E2F1/MAD2L1/CDK1/CDCA5/RBL1/CDC6/TTK/ATR/PKMYT1/CDC25B/PRKDC/CCNE1/MCM4/CCNB2/TICRR/ORC1/KNL1/CDC45/PLK1/CHEK2/CDKN2A/DDX11/FBXO5/PCNA/MCM2/MCM7/CCNB1/CDC25A/CDC25C/SKP2/CCNA2/AURKB/CDT1/CDK6/CDC20/SMC1B/ESCO2/CCNB3",49
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","58/894","277/8346",3.02095057221243e-07,3.39353447611863e-05,3.24354693016493e-05,"INHBA/BMP8A/IL11/LIF/GDF15/TNFSF11/TNFRSF10B/AMH/CXCL8/CSF2/IL17RB/CXCL9/TNFRSF11B/CCL7/IL24/CXCL11/CXCL10/CCR8/CXCL1/CXCL6/IL13RA2/IL23A/IL37/TNFSF4/IFNL2/TNFRSF9/OSMR/IFNL3/IL17C/TNFRSF25/TNFSF9/CCL18/OSM/IFNG/CCL3L1/CCL20/INHA/CCL3/PF4V1/CXCL5/IL27/IL2RA/PPBP/CXCL3/INHBB/INHBC/IFNL1/EPO/TNFSF18/INHBE/CCL26/THPO/IFNK/EDAR/IL4/CSH2/CCL1/IFNB1",58
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","24/894","87/8346",8.81956086125587e-06,0.000743048002560807,0.000710206743037973,"C4BPA/PLAU/F2R/ITGAX/F2RL2/SERPINE1/KNG1/CFHR4/F5/F2/C2/CPB2/CFHR3/PROC/CR1L/C4BPB/FGB/CD55/C4A/PLG/VTN/F7/CFHR2/CFHR5",24
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","64/894","359/8346",2.31392193056192e-05,0.00155958338119873,0.00149065286474094,"GABRD/CHRNA1/APLN/GRIN2D/NPSR1/F2R/GRM8/HTR2C/APELA/F2RL2/MC1R/MC2R/OXTR/NPFFR1/KNG1/GRM2/P2RY6/CHRNA5/F2/UCN/UCN2/PTH2R/AGT/UTS2/HTR1F/CHRM5/DRD1/CHRNA6/KISS1R/FPR3/NTSR1/RXFP3/SSTR5/GABRR1/CALCR/GRIN2B/GRIN3B/GRM1/GABRA3/GABRP/CHRNB3/LHB/PLG/PAQR9/TRHR/CHRND/GHRHR/NMUR2/GRM4/PATE3/GRM5/PATE4/NPFFR2/DRD2/CHRNA9/GALP/MC3R/GABRB1/OPRK1/MCHR2/GABRA6/CSH2/GABRG3/PATE2",64
"Cellular Processes","Cell motility","hsa04814","Motor proteins","38/894","194/8346",0.000151913221594694,0.00853245927956862,0.00815534136982039,"KIF14/KIF23/KIF26B/KIF18B/KIF18A/CENPE/KIF4A/KIF15/KIF2C/KIF20B/TUBB3/KIF11/KIF20A/MYO1B/KIF24/TNNI3/DNAH2/KIFC1/MYO7A/KIF4B/TNNC1/DNAH14/DNAH17/DNAH5/DNAH3/MYH4/DNAH12/DNAH6/TNNT1/TNNI2/MYH6/MYH1/KIF26A/TUBA3E/TNNT2/DNAI2/MYO18B/MYH8",38
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","12/894","36/8346",0.00023089530050927,0.0111159594673748,0.0106246559332085,"DNA2/RFC3/PRIM2/RFC4/MCM4/POLE2/FEN1/PCNA/MCM2/MCM7/POLD3/POLD1",12
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","15/894","54/8346",0.000388128650157887,0.0159544943518987,0.0152493370972388,"FANCI/EME1/FANCB/FANCD2/BRCA2/BRCA1/UBE2T/BRIP1/FANCA/BLM/RAD51/ATR/RMI2/FANCG/CENPS-CORT",15
NA,NA,"hsa04820","Cytoskeleton in muscle cells","42/894","233/8346",0.00045992640891591,0.0159544943518987,0.0152493370972388,"COL11A1/COL1A1/BGN/NEB/COL5A2/AGRN/COMP/COL3A1/THBS2/FMNL2/COL1A2/TNNI3/XIRP1/VCAN/COL4A1/LMNB2/DIAPH3/ANKRD1/LMNB1/TNNC1/ITGA11/MYOM3/COL5A1/COL27A1/MYH4/COL9A1/COL5A3/TCAP/MYBPHL/COL6A3/CSRP3/TNNT1/TNNI2/FBN3/MYBPC1/THBS4/COL9A3/MYH6/MYH1/MYBPH/TNNT2/MYH8",42
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","22/894","97/8346",0.000473427132103818,0.0159544943518987,0.0152493370972388,"TNFRSF10B/CXCL8/CXCL9/CCL7/IL24/CXCL11/CXCL10/CCR8/CXCL1/CXCL6/IL37/CCL18/CCL3L1/CCL20/CCL3/PF4V1/CXCL5/IL2RA/PPBP/CXCL3/CCL26/CCL1",22
