"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003012","muscle system process","182/3766","356/12095",1.38775115706983e-15,7.92267135571164e-12,7.16225676117196e-12,"RANGRF/CACNA1C/LMNA/MYL5/ABCC9/MYL6B/RGS4/IGF1/HMOX1/DSC2/SGCD/RYR1/SCN11A/KCNN2/KCNJ5/ZDHHC21/PDLIM5/HTR2B/GATM/ADRA1B/PLCE1/LEP/SOD1/PRKD1/GJA1/CHRNB4/SLC8A1/SMAD4/CLIC2/JARID2/TBXA2R/PDE4D/CALD1/SLC9A1/PPARA/SCN1B/EMD/HCN4/FBXO32/CACNA2D1/SMAD7/UTRN/SMPX/P2RX6/MEF2A/KCNE4/SSPN/TPCN2/BDKRB2/KCNJ12/CHRNB2/IL6ST/GATA5/PRKG1/EDNRB/SLC6A8/CHRM3/ACE2/CASQ1/STAC2/SCN3B/CACNA1G/NR4A1/MYL4/HDAC4/HRC/GDNF/KCNA1/ATP2B4/PDE5A/HAND2/ANXA6/RHOA/EDN3/CAMK2D/MAP2K4/TMEM38A/IGFBP5/SETD3/TMOD2/EHD3/KCNH2/LMOD3/VEGFB/ATP8A2/BBS2/RCSD1/ADA/KCND3/FLNA/MYOZ1/TIAM1/KCNIP2/CACNA1H/CACNB2/CTNNA3/FGF13/DAPK3/BECN1/SRF/RYR2/CHRM2/CAMK2G/PPP1R12B/NMUR1/MEIS1/PDE9A/C12orf57/SLC8A3/EDN2/NR4A3/DTNA/KCNMA1/TACR2/ARG2/PTGER3/P2RY1/TNFRSF1A/PRKACA/ALDOA/ABAT/MYLK/CAV1/ABCC8/MYL3/TPM2/RYR3/P2RX1/AKAP6/SMTN/ANK2/TNNT3/ACTA2/SLMAP/GNAO1/APBB1/SCN2B/MYOM2/DMD/CAMK2B/SYNM/DES/DMPK/CHGA/TACR1/SCN4B/CAMTA2/MYOCD/CNN1/GAMT/TPM1/PLN/ADRA1A/SORBS2/NOS1/MYH11/MYL9/SCN7A/SNTA1/LMOD1/GHRL/TMOD1/KIT/CASQ2/HTR7/SGCA/KLF15/KCNE2/GPD1L/ATP1A2/RGS2/KCNA5/MYL6/GSTM2/CALM1/PI16/P2RX2/ADRB2/MYOC/GSN/CKMT2/SCNN1B",182
"GO:0044057","regulation of system process","212/3766","438/12095",1.18877095008694e-14,3.39334667702316e-11,3.0676547201454e-11,"RANGRF/CACNA1C/THRA/LMNA/SLC22A5/ISL1/ADM/CYP2J2/EIF2AK3/MYL5/PARD3/ABCC9/RGS4/LPIN1/RIMS2/LPCAT3/IGF1/DSC2/NKX3-1/KCNN2/KCNJ5/SLC4A3/ZDHHC21/TPPP/WNK1/TNR/PBX3/ADRA1B/PLCE1/LEP/SOD1/PRKD1/GJA1/PTEN/GAS6/CHRNB4/SLC8A1/SMAD4/CLIC2/JARID2/TMEM161B/FIG4/TBXA2R/PDE4D/EPAS1/POPDC2/NLGN3/GLP1R/CELF4/ADRA1D/SLC9A1/PPARA/SCN1B/HCN4/FBXO32/CACNA2D1/SMAD7/PTK2B/MECP2/MEF2A/KCNE4/SPTBN4/BDKRB2/KCNJ12/IL6ST/TFF2/GATA5/PRKG1/HBEGF/NLGN4X/EDNRB/SCT/CHRM3/ABL1/ACE2/CASQ1/THRB/SCN3B/EMP2/CACNA1G/TRPC1/CBLN1/NR4A1/SYNE1/MYL4/CASR/HDAC4/HRC/TSHZ3/KCNA1/DLG4/ATP2B4/PER2/PDE5A/AVPR2/HAND2/ANXA6/RHOA/EDN3/CAMK2D/NEUROD1/DLGAP2/TMEM38A/IGFBP5/SETD3/EHD3/TSPO/KCNH2/APOA1/WASF3/ADA/KCND3/FLNA/GRIK2/KCNIP2/CACNA1H/CACNB2/POMC/CTNNA3/FGF10/FGF13/RNF10/DAPK3/MGLL/INPP5K/BECN1/SRF/RYR2/ENPP7/CHRM2/CAMK2G/PPP1R12B/PDE9A/C12orf57/SLC8A3/EDN2/NR4A3/BAIAP2/TACR2/PTGER3/TNFRSF1A/PRKACA/ABAT/CELF2/CAV1/ABCC8/MYL3/ATP2B2/CARTPT/GRIN2A/CORO2B/P2RX1/AKAP6/AGTR1/PHOX2B/GALR1/ANK2/TNNT3/IRX3/BVES/APOA4/HSPB7/CYSLTR1/CRHBP/SCN2B/SGK1/DMD/HRH2/NLGN1/CAMK2B/BMP6/RELN/DES/RIMS1/NR1H2/DMPK/CHGA/TACR1/SCN4B/MYOCD/NPR1/CNN1/TPM1/ATP1B2/PLN/IGSF11/ADRA1A/ADIPOQ/NOS1/MYL9/SNTA1/RNLS/TMEM108/GHRL/KIT/SOX10/TMEM25/CASQ2/NRXN1/SGCA/JAM2/KCNE2/GPD1L/ATP1A2/RGS2/KCNA5/GSTM2/CALM1/TMEM100/PI16/CRY2/ADRB2",212
"GO:0006936","muscle contraction","147/3766","283/12095",1.52908177931254e-13,2.90984262603176e-10,2.63055718034013e-10,"RANGRF/CACNA1C/MYL5/ABCC9/MYL6B/DSC2/SGCD/RYR1/SCN11A/KCNN2/KCNJ5/ZDHHC21/HTR2B/ADRA1B/PLCE1/SOD1/PRKD1/GJA1/CHRNB4/SLC8A1/CLIC2/TBXA2R/PDE4D/CALD1/SLC9A1/SCN1B/EMD/HCN4/CACNA2D1/SMAD7/UTRN/SMPX/P2RX6/KCNE4/SSPN/TPCN2/BDKRB2/KCNJ12/CHRNB2/PRKG1/EDNRB/SLC6A8/CHRM3/ACE2/CASQ1/STAC2/SCN3B/CACNA1G/NR4A1/MYL4/HRC/GDNF/KCNA1/ATP2B4/PDE5A/ANXA6/RHOA/EDN3/CAMK2D/TMEM38A/SETD3/TMOD2/EHD3/KCNH2/LMOD3/VEGFB/ATP8A2/BBS2/RCSD1/ADA/KCND3/FLNA/KCNIP2/CACNA1H/CACNB2/CTNNA3/FGF13/DAPK3/SRF/RYR2/CHRM2/PPP1R12B/NMUR1/C12orf57/SLC8A3/EDN2/DTNA/KCNMA1/TACR2/ARG2/PTGER3/PRKACA/ALDOA/ABAT/MYLK/CAV1/MYL3/TPM2/RYR3/P2RX1/SMTN/ANK2/TNNT3/ACTA2/SLMAP/GNAO1/APBB1/SCN2B/MYOM2/DMD/SYNM/DES/DMPK/CHGA/TACR1/SCN4B/MYOCD/CNN1/GAMT/TPM1/PLN/ADRA1A/NOS1/MYH11/MYL9/SCN7A/SNTA1/LMOD1/GHRL/TMOD1/KIT/CASQ2/HTR7/SGCA/KCNE2/GPD1L/ATP1A2/RGS2/KCNA5/MYL6/GSTM2/CALM1/P2RX2/ADRB2/GSN/CKMT2/SCNN1B",147
"GO:0006631","fatty acid metabolic process","160/3766","317/12095",3.04991640962155e-13,4.35299319563235e-10,3.93519477799327e-10,"INSIG1/TECR/SCAP/CYP4F2/ACSF3/ABCD3/CYP2J2/GPX4/CYP2C9/LPIN1/DBI/SESN2/PLA2G4C/GSTM1/FABP2/PRKAB2/ABCD4/ECHS1/SLC27A3/CYP2E1/LIAS/ANXA1/CYP2C19/ANGPTL3/LEP/SLC27A4/ADIPOR1/PLA2G3/DEGS1/MID1IP1/PRKAG1/SCD5/ELOVL6/PPARA/CYP1B1/QKI/MAPK14/AKT1/ACSS2/PECR/ACSM1/PCK2/THNSL2/ETFB/AKT2/GSTM4/ADH4/AKR1C3/PDK3/ECHDC3/ETFA/ACSL6/ABCD2/ADIPOR2/PTGIS/ACOXL/PLA2G1B/PPARD/PER2/ACSL1/ADH5/CYP4F12/HACL1/CYP2U1/CYP2C18/ACOT8/ACSF2/ALOX12/ECH1/CES2/ACSM5/PLA2G5/MGLL/GSTA1/PDK1/HSD17B4/CYP1A1/GCDH/CNR1/APOC3/PHYH/AIG1/CRAT/CROT/SNCA/EDN2/NR4A3/PTGDS/ACOX1/NAAA/TNFRSF1A/CYP3A4/CPT2/CAV1/ACADS/MGST3/PRKAA2/ELOVL4/SIRT4/WDTC1/HSD17B8/AUH/RGN/PRKAG2/APOA4/FMO4/PCCA/SCP2/PM20D1/ACOT11/SLC27A6/ECHDC2/MCEE/NR1H2/PLIN5/HPGDS/ABHD5/CRYL1/ADIPOQ/ILVBL/MLYCD/GIP/ACADVL/ACADSB/ALKBH7/ACOX2/ALDH3A2/SIRT2/DCAF5/CYP4B1/ACAT1/TNXB/PRKAR2B/PDK2/HADHA/ACACB/CD36/ACADL/ACBD4/ACAA1/LTC4S/PDK4/BDH2/ACADM/EPHX1/GSTM2/ACOX3/HADH/ABHD6/HPGD/AKR1C1/AKR1C2/PTGR1/PLP1/PTGS1/ETFDH/CBR1/HADHB/KAT2B/ADH7",160
"GO:0019646","aerobic electron transport chain","50/3766","68/12095",7.21269600742161e-13,8.23545630127399e-10,7.44502074197645e-10,"NDUFS2/COX3/NDUFS5/UQCRB/NDUFB3/UQCRFS1/NDUFB5/COX7A2L/NDUFB2/NDUFB6/NDUFA8/NDUFA3/NDUFA10/NDUFA5/SDHB/COX7A2/SDHD/NDUFV1/SDHC/NDUFB1/NDUFS3/COX6B1/NDUFS1/NDUFA4/NDUFB8/COX7B/NDUFA6/NDUFA1/NDUFC1/UQCRQ/COX8A/COX5B/UQCRC1/UQCR10/SNCA/NDUFA2/NDUFAF1/COX4I1/NDUFB10/UQCR11/UQCRC2/NDUFV3/ISCU/COQ9/ND6/NDUFB7/NDUFS4/NDUFS7/COX7A1/PINK1",50
"GO:0042391","regulation of membrane potential","170/3766","346/12095",1.09839409065696e-12,1.0451219772601e-09,9.44811618682646e-10,"RANGRF/CHRFAM7A/CACNA1C/CRTC1/GABRG2/SLC26A3/NNT/ABCC9/ABCB5/RGS4/RIMS2/DSC2/SCN11A/KCNN2/GABRB2/KCNJ5/SLC4A3/STOX1/HTR3A/GPR88/PPP2R3C/PPA2/CHRNA4/KCNK17/GABRB3/NPR2/NTRK2/CACNB4/GRIK4/SOD1/GJA1/PTEN/KCNK12/CHRNB4/SLC8A1/TMEM161B/POPDC2/NLGN3/CELF4/GRID1/SLC9A1/KCNK7/SCN1B/SLC29A1/HCN4/MEF2C/AKT1/CACNA2D1/SMAD7/PTK2B/MECP2/MLLT11/P2RX6/USP53/KCNE4/HCN1/KCNK10/CHRNB2/KCNK2/UBB/GLRX/SLC1A7/HCN2/AKT2/NLGN4X/GRIK1/GNAQ/GLRB/ABL1/SCN3B/POPDC3/ARL6IP5/CACNA1G/CBLN1/SYNE1/ANK3/SLC24A4/KCNA1/DLG4/FZD9/CAMK2D/GABRA4/EHD3/TSPO/KCNH2/GRIA1/CHRM1/KCND3/FLNA/GRIK2/MPP2/KCNIP2/CACNA1H/NDUFS1/CACNB2/CTNNA3/FGF13/RYR2/WDR1/ACTN2/CNR1/MAPT/SLC8A3/SNCA/GRID2/BAIAP2/KCNMA1/GRIK5/GRIA2/ABAT/CHCHD10/CAV1/TUSC2/UCN3/GRIN2A/RIMS3/P2RX1/AKAP6/PHOX2B/ANK2/MUL1/SLMAP/PID1/BVES/RIMS4/GNA11/BCL2/BNIP3/SCN2B/KCNQ5/DMD/NLGN1/GRIA3/RELN/DCN/RIMS1/DMPK/TACR1/SCN4B/RNF122/GABRA5/NPAS4/ATP1B2/PLN/IGSF11/ADRA1A/KCNK3/KCNB1/BAD/SNTA1/TMEM108/GHRL/KCNA2/GRIA4/TMEM25/CASQ2/CD36/GRIK3/NRXN1/KCNE2/GPD1L/ATP1A2/SLC6A4/KCNA5/FHL1/CALM1/P2RX2/ADRB2/PINK1/MYOC",170
"GO:0015980","energy derivation by oxidation of organic compounds","127/3766","244/12095",5.8361537612428e-12,4.75980026041931e-09,4.3029566753945e-09,"PRDM16/NDUFS2/COX10/CISD1/NNT/PPP1R3D/IGF1/COX3/IDH3G/ATP7A/NDUFS5/SLC25A25/UQCRB/SUCLA2/PPP1CC/LEP/NDUFB3/UQCRFS1/OXA1L/GYS1/COQ10B/SLC25A18/NDUFB5/SIRT3/COX7A2L/IDH2/AKT1/IL6ST/MRAP2/ACSM1/ME3/NDUFB2/NFATC4/ETFB/CHCHD5/AKT2/NDUFB6/NDUFA8/NDUFA3/NDUFA10/NDUFA5/ETFA/SDHB/COX7A2/SDHD/NDUFV1/AK4/IMMP2L/PER2/NDUFB11/RHOA/SDHC/NDUFB1/SLC25A12/NDUFS3/GYG1/COX6B1/NDUFA11/NDUFS1/NDUFA4/NDUFB8/POMC/COX7B/NDUFA6/INPP5K/NDUFA1/NDUFC1/GHITM/UQCRQ/COX8A/COX5B/PHKB/LEPR/UQCRC1/UQCR10/BLOC1S1/SNCA/NDUFA2/NR4A3/KHK/NUPR1/DLST/GCK/LYRM7/NDUFAF1/CHCHD10/ACO1/STK40/COX4I1/OGDH/CBFA2T3/NDUFB10/UQCR11/KL/PRKAG2/PID1/UQCRC2/BNIP3/CAT/SUCLG1/PDHB/UGP2/MRPS36/GNMT/MDH1/SORBS1/NDUFV3/ISCU/COQ9/SUCLG2/ADRB3/ND6/SLC25A23/GABARAPL1/NDUFB7/ACADVL/NDUFS4/NDUFS7/COX7A1/PPP1R1A/ACO2/ACADM/PPP1R3C/PYGM/PPP1CB/ETFDH/PINK1",127
"GO:0032787","monocarboxylic acid metabolic process","224/3766","499/12095",3.19014776264553e-11,2.27656919711792e-08,2.05806506319093e-08,"INSIG1/TECR/CYP27C1/SCAP/CHST12/CYP4F2/ACSF3/ABCD3/CYP2J2/GPX4/DDIT4/FAH/FAHD1/CYP2C9/SLC4A1/LPIN1/DBI/IGF1/SESN2/PLA2G4C/GSTM1/FABP2/BPGM/PRKAB2/ABCD4/ECHS1/SLC27A3/CYP2E1/GATM/LIAS/CYP46A1/STAR/ANXA1/CYP2C19/ANGPTL3/LEP/SLC27A4/ADIPOR1/PLA2G3/PFKL/DEGS1/ADH1A/ALDH1A1/MID1IP1/PRKAG1/SCD5/ELOVL6/PPARA/CYP1B1/QKI/MAPK14/IDH2/AKT1/HAAO/ACSS2/CYP27A1/ARV1/PECR/UGT2B17/ACSM1/AKR1A1/ME3/DCXR/PC/PCK2/THNSL2/DSEL/ETFB/AKT2/SLC6A8/GSTM4/RBP1/ADH4/ALDOB/ZBTB7A/AKR1C3/SCPEP1/PDK3/ECHDC3/ETFA/PHGDH/ACSL6/ABCD2/DHRS9/ADH1C/GBA2/ADIPOR2/HDAC4/PTGIS/ACOXL/PLA2G1B/PPARD/PER2/CYP39A1/ACSL1/ADH5/CYP4F12/HACL1/CYP2U1/CYP2C18/ACOT8/ACSF2/ALOX12/ECH1/CES2/ACSM5/IDS/UST/PLA2G5/MGLL/GSTA1/PDK1/HSD17B4/CYP1A1/JMJD8/GCDH/CNR1/APOC3/PHYH/OSBPL6/AIG1/CRAT/SRR/PRKCE/CROT/SNCA/EDN2/NR4A3/PTGDS/ACOX1/NUPR1/NAAA/GCK/TNFRSF1A/CYP3A4/PRKACA/ALDOA/ABAT/CPT2/CAV1/ACADS/PGM1/MGST3/OGDH/CBFA2T3/PRKAA2/ELOVL4/SIRT4/WDTC1/HSD17B8/SULT2A1/AUH/RGN/GRHPR/PRKAG2/APOA4/OSBPL1A/FMO4/PCCA/PDHB/SCP2/PM20D1/ACOT11/ALDH1A2/SLC27A6/HK1/ECHDC2/MCEE/NR1H2/PLIN5/HPGDS/ABHD5/CRYL1/GAMT/ADIPOQ/ILVBL/ME1/MLYCD/GIP/LDHD/ACADVL/ACADSB/ALKBH7/ACOX2/ALDH3A2/SIRT2/DCAF5/CYP4B1/ACAT1/TNXB/PRKAR2B/PDK2/HADHA/KIT/ACACB/CD36/ACADL/ACBD4/ACAA1/LTC4S/ADH1B/PDK4/BDH2/ACADM/ALDOC/HAGH/EPHX1/GSTM2/BTD/ACOX3/HADH/ABHD6/HPGD/AKR1C1/AKR1C2/PTGR1/PLP1/PTGS1/ETFDH/ASPA/CBR1/HADHB/KAT2B/ADH7",224
"GO:0042773","ATP synthesis coupled electron transport","51/3766","75/12095",5.20503881433554e-11,2.97155665910416e-08,2.6863479270197e-08,"NDUFS2/COX3/NDUFS5/UQCRB/NDUFB3/UQCRFS1/NDUFB5/COX7A2L/NDUFB2/NDUFB6/NDUFA8/NDUFA3/NDUFA10/NDUFA5/SDHB/COX7A2/SDHD/NDUFV1/SDHC/NDUFB1/NDUFS3/COX6B1/NDUFS1/NDUFA4/NDUFB8/COX7B/NDUFA6/NDUFA1/NDUFC1/GHITM/UQCRQ/COX8A/COX5B/UQCRC1/UQCR10/SNCA/NDUFA2/NDUFAF1/COX4I1/NDUFB10/UQCR11/UQCRC2/NDUFV3/ISCU/COQ9/ND6/NDUFB7/NDUFS4/NDUFS7/COX7A1/PINK1",51
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","51/3766","75/12095",5.20503881433554e-11,2.97155665910416e-08,2.6863479270197e-08,"NDUFS2/COX3/NDUFS5/UQCRB/NDUFB3/UQCRFS1/NDUFB5/COX7A2L/NDUFB2/NDUFB6/NDUFA8/NDUFA3/NDUFA10/NDUFA5/SDHB/COX7A2/SDHD/NDUFV1/SDHC/NDUFB1/NDUFS3/COX6B1/NDUFS1/NDUFA4/NDUFB8/COX7B/NDUFA6/NDUFA1/NDUFC1/GHITM/UQCRQ/COX8A/COX5B/UQCRC1/UQCR10/SNCA/NDUFA2/NDUFAF1/COX4I1/NDUFB10/UQCR11/UQCRC2/NDUFV3/ISCU/COQ9/ND6/NDUFB7/NDUFS4/NDUFS7/COX7A1/PINK1",51
