"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051276","chromosome organization","262/3480","464/12095",4.9523564123643e-37,2.83968116684969e-33,2.59711996277884e-33,"KIF14/CENPF/KIF23/TPX2/BUB1/HJURP/EXO1/BUB1B/NUF2/NEK2/KIF18A/CDK1/BRCA2/TOP2A/ZWILCH/KIF4A/DLGAP5/TRIP13/KIF11/NDC80/POLQ/CENPE/MYBL2/DSCC1/KNTC1/CENPI/TTK/GINS1/RAD54B/UBE2C/FANCD2/CDCA5/BLM/BRIP1/CENPA/NCAPG/NCAPH/CENPK/RFC3/CENPO/SPAG5/EZH2/KIF2C/DKC1/GEN1/CDCA8/RECQL4/CDC45/RAD51/SPC25/PLK1/MAD2L1/CDC6/AURKB/ZWINT/EML4/HMGB3/ATR/GINS4/BIRC5/NUP107/MSH2/MAPK15/RAD54L/CCNB1/NCAPG2/RFC4/CDC20/PRC1/TACC3/PRKDC/MSH5/MCM4/MCM8/NAT10/CHTF18/SMC2/CDT1/CCT6A/CHEK2/DCLRE1B/HSP90AA1/SMC4/NCAPD3/DSN1/FEN1/OIP5/FBXO5/MCM3/HELB/NASP/RUVBL1/NUP155/NCAPD2/PCNA/CENPN/HNRNPA2B1/HSP90AB1/CDK2/PIF1/HMGA2/HNRNPU/PTTG1/ACTL6A/SPC24/TOP1MT/MLH3/HDAC8/MCM7/MCM2/RACGAP1/ANAPC1/DHX9/CENPP/MORC2/MCM6/NUP62/SMC6/CCT2/SEH1L/CENPH/FANCM/TERT/RAE1/ACTR5/RAD21/BUB3/G3BP1/BAZ1B/TPR/CCNE1/KIF22/ZRANB3/GNL3L/CCNE2/SMC3/PSRC1/GINS2/HUS1/DCP2/NBN/HMGA1/GNL3/ESPL1/TOP1/PARP1/ESCO1/CCT5/SMARCC1/INCENP/RFC5/SMC1A/XRCC3/SPICE1/ASCC3/CCT3/NEK6/SETDB1/DPF1/NUP133/SMARCD1/DCLRE1C/CDC27/NUP98/KPNB1/RTEL1/ZNF207/CEP192/PPHLN1/PSMC3IP/MAPKAPK5/EHMT2/SMARCA5/PIBF1/RRS1/DHX36/NAA10/SUPV3L1/GAR1/DFFB/KIF3B/KIF2A/MCM5/KIFC2/WRN/ZW10/RAN/SMG5/GINS3/CHD1L/PARN/PDS5A/MSH4/CHMP4C/SPDYA/TOP3A/HMGB2/SMARCA4/CEP97/PCID2/HORMAD1/ANAPC5/CCT4/INO80D/ITPA/RFC2/SLX4/CCT8/CTCF/RPA3/MAPRE1/TRIM28/MAD1L1/NAA50/ITGB3BP/ERN2/WRAP53/HAT1/WRNIP1/RB1/SMC1B/BCCIP/TNKS/POT1/AKAP8/EXOSC10/RUVBL2/TEX11/STAG2/TELO2/INO80/POGZ/NIPBL/SMARCE1/XRCC5/PDS5B/PINX1/CTNNB1/SRC/HNRNPA1/TUBG1/SMC5/RECQL/ANAPC4/CDC23/XRN1/HHEX/TCF7L2/ATRX/STAG3/LATS1/AURKC/ERCC2/SUGT1/NFRKB/HNRNPD/CDC16/USP7/MCM9/MAD2L2/ERCC3/ATF7IP",262
"GO:0007059","chromosome segregation","183/3480","322/12095",1.6031154340763e-26,4.59613194949674e-23,4.20353741714111e-23,"KIF14/ECT2/STIL/CENPF/ASPM/KIF23/TPX2/MKI67/BUB1/HJURP/BUB1B/NUF2/NEK2/KIF18A/CDK1/TOP2A/ZWILCH/KIF4A/DLGAP5/TRIP13/KIF11/NDC80/SKA3/CDCA2/CENPE/MYBL2/KNTC1/CENPI/TTK/CENPL/UBE2C/FANCD2/CDCA5/BRIP1/NCAPG/NCAPH/CENPK/CENPO/RCC2/SPAG5/KIF2C/GEN1/CDCA8/SKA1/SPC25/PLK1/MAD2L1/CCNB2/CDC6/AURKB/AURKA/ZWINT/EML4/BIRC5/MAPK15/DCAF13/CCNB1/NCAPG2/BRCA1/CDC20/PRC1/TACC3/MSH5/SMC2/CDT1/CHEK2/RCC1/SASS6/SMC4/NCAPD3/DSN1/OIP5/FBXO5/NCAPD2/CENPN/NUP43/HNRNPU/PTTG1/HAUS6/ACTL6A/SPC24/CENPM/MLH3/HAUS7/RACGAP1/SRPK1/ANAPC1/CENPP/NUP62/SMC6/SEH1L/CENPH/RAD21/BUB3/RAD18/CENPQ/BAZ1B/TPR/CCNE1/KIF22/CCNE2/SMC3/PSRC1/TUBB/CENPJ/NUP37/ESPL1/TOP1/SMARCC1/INCENP/SMC1A/XRCC3/SPICE1/HAUS8/HAUS2/TUBGCP3/NEK6/DPF1/SMARCD1/CDC27/KPNB1/ZNF207/CEP192/PSMC3IP/PUM1/TUBGCP4/EHMT2/SMARCA5/PIBF1/RRS1/CSNK2A1/KIF3B/KIF2A/PLSCR1/KIFC2/GOLGA8A/ZW10/RAN/SMARCAD1/HAUS5/ACTR2/TTL/MSH4/CHMP4C/SPDYA/TOP3A/SMARCA4/CEP97/PCID2/HORMAD1/ANAPC5/SAC3D1/NDE1/HAUS3/CTCF/CIAO1/MAPRE1/MAD1L1/ITGB3BP/RB1/BCCIP/TNKS/AKAP8/TUBB1/TEX11/STAG2/INO80/NIPBL/SMARCE1/PINX1/TUBG1/TLK2/SMC5/ANAPC4/CDC23/STAG3/LATS1/USP9X/AURKC/ERCC2/SKA2/CDC16/MAD2L2",183
"GO:0006261","DNA-templated DNA replication","98/3480","135/12095",4.04089430213427e-26,7.72349597614597e-23,7.06376681166068e-23,"EME1/BRCA2/MCM10/ATAD5/POLQ/DSCC1/E2F7/DBF4/GINS1/BLM/CDC7/PRIM2/RFC3/ORC6/TIMELESS/GEN1/RECQL4/CDC45/WDHD1/RAD51/CDC6/ATR/GINS4/ORC1/TOPBP1/RFWD3/RFC4/POLE2/BRCA1/POLG2/MCM4/MCM8/CHTF18/DBF4B/CDT1/DONSON/FEN1/FAM111A/FBXO5/LIG1/E2F8/MCM3/HELB/TRAIP/NOC3L/PCNA/CDK2/TIPIN/POLA1/MCM7/MCM2/MCM6/POLE/BARD1/FANCM/ORC2/THOC1/CCNE1/POLD3/ZRANB3/POLD1/CCNE2/GINS2/NBN/HMGA1/PARP1/RFC5/RBBP8/PRIM1/BAZ1A/POLA2/GMNN/RTEL1/RRM2B/TK1/ORC5/LIG3/MCM5/POLE3/WRN/METTL4/GINS3/ETAA1/RFC2/ORC3/POLB/WRNIP1/CHRAC1/POLRMT/INO80/ORC4/LRWD1/RECQL/RRM1/ATRX/NUCKS1/MCM9/SLFN11",98
"GO:0022613","ribonucleoprotein complex biogenesis","196/3480","358/12095",1.48697907233441e-25,2.13158450019138e-22,1.94950782588685e-22,"DKC1/XPO1/URB2/DDX21/GTPBP4/ATR/UTP20/PDCD11/HEATR1/DCAF13/WDR75/LSG1/NOP58/DDX31/PNO1/RRP12/PRKDC/BMS1/SRSF10/NAT10/DDX18/HSP90AA1/UTP6/ABCE1/SRSF1/DDX10/BRIX1/DHX37/RUVBL1/BYSL/NOL8/ESF1/HSP90AB1/UTP15/TGS1/SNRPD1/UTP18/NOLC1/XRN2/RPP25/NOL6/SART3/C1orf131/GNL2/CPSF6/SRPK1/LYAR/DHX9/UTP14A/NOL11/RRP15/ERI1/NOL10/SNRPA1/PAK1IP1/ADAR/SF3B3/WDR12/RRN3/WDR3/GNL3L/NUFIP1/WDR36/RRP1B/PRPF3/MAK16/DDX27/MRTO4/NVL/RPP40/DDX52/TFB2M/DROSHA/MYBBP1A/EXOSC2/FDXACB1/EIF3B/LTV1/RRP9/UTP23/NIP7/DENR/MRM1/CRNKL1/ISG20L2/MDN1/SUV39H1/DDX56/MPHOSPH10/NCBP1/WDR46/NOP2/GEMIN5/NLE1/SNRPF/SRFBP1/SDAD1/SF3B1/CUL4A/RIOK1/RPF2/AATF/DIS3/ZNHIT6/SNRPB/RRS1/GAR1/EXOSC9/NSUN5/SRSF6/SNRPB2/SHQ1/SNRNP200/EXOSC8/RAN/NOC2L/KRI1/NOP16/NOC4L/EBNA1BP2/SF3B4/USP36/DDX46/RRP1/EIF2S2/POLR2D/DDX20/NOP14/LUC7L3/PES1/SFSWAP/PA2G4/HTATSF1/SF3A3/GTPBP10/FTSJ3/NPM3/COIL/USP39/EXOSC5/EIF5B/EMG1/PELP1/PRPF39/EIF4A3/CELF1/GRWD1/CLNS1A/EIF2S3/GTF3A/PWP1/TSR1/LAS1L/SURF6/WBP11/EIF3A/HEATR3/EXOSC10/SNRPC/RUVBL2/RPUSD1/EIF3J/RBMX2/DDX54/XRCC5/DDX23/DDX51/NSUN4/FASTKD2/PRPF6/EXOSC3/ERAL1/PRPF19/ZCCHC4/WDR77/EIF1AX/GEMIN6/POP5/NUDT21/PPAN/MPHOSPH6/IMP4/RCL1/RPUSD4/ERI2/LUC7L/TFB1M/ERCC2/ISY1/TARBP2/NOL9/RRP36/FBL/WDR74/KRR1/EXOSC4",196
"GO:0006260","DNA replication","142/3480","231/12095",1.90904683168404e-25,2.18929490657526e-22,2.00228869798945e-22,"DTL/CDK1/EME1/BRCA2/MCM10/ATAD5/POLQ/DSCC1/E2F7/DBF4/GINS1/BLM/CDC7/PRIM2/RFC3/CHEK1/ORC6/TIMELESS/GEN1/RECQL4/CDC45/WDHD1/RAD51/CDC6/RRM2/GTPBP4/ATR/GINS4/ORC1/TOPBP1/RFWD3/RFC4/POLE2/FAM111B/BRCA1/POLG2/CCNA2/DNAJC2/MCM4/MCM8/CHTF18/DBF4B/CDT1/DONSON/FEN1/FAM111A/FBXO5/LIG1/E2F8/MCM3/HELB/NASP/TRAIP/NOC3L/RUVBL1/PCNA/CDK2/CHAF1B/PIF1/TIPIN/ACTL6A/POLA1/TOP1MT/MCM7/MCM2/DHX9/CHAF1A/MCM6/POLE/BARD1/FANCM/ORC2/SUPT16H/ACTR5/THOC1/CCNE1/POLD3/ZRANB3/POLD1/CCNE2/SMC3/GINS2/NBN/HMGA1/SET/UCN/TOP1/PARP1/ESCO1/RMI1/RFC5/RBBP8/PRIM1/BAZ1A/POLA2/GMNN/RTEL1/RRM2B/TK1/ORC5/EHMT2/SMARCA5/LIG3/TTF1/MCM5/SSRP1/POLE3/WRN/METTL4/GINS3/PDS5A/ETAA1/KIN/INO80D/RFC2/ORC3/SLX4/REPIN1/RPA3/POLB/POLH/WRNIP1/GRWD1/CHRAC1/RUVBL2/POLRMT/USP37/INO80/ANKRD17/ORC4/GLI1/LRWD1/RECQL/RRM1/RBBP4/CCDC88A/ATRX/NUCKS1/NFRKB/MCM9/SLFN11/RNASEH1",142
"GO:0034660","ncRNA metabolic process","234/3480","472/12095",2.07497421671151e-22,1.98298369310397e-19,1.81360027151873e-19,"SOX9/DKC1/PUS7/POLR1B/PNPT1/DDX21/GTPBP4/TARBP1/UTP20/PDCD11/HEATR1/POP1/DCAF13/PUS1/POU2F1/WDR75/NOP58/XPO5/RRP12/PRKDC/APLN/BMS1/NAT10/DDX18/UTP6/TRMT6/NCBP2/DDX10/BRIX1/MYB/DHX37/TCOF1/INTS8/DUS4L/NUP155/BYSL/DARS2/NOL8/ESF1/HNRNPA2B1/INTS7/UTP15/WDR4/TSN/ADAT2/UTP18/NOLC1/XRN2/RPP25/CDK5RAP1/NOL6/TYW1/NSUN2/PIWIL1/ADAT1/LYAR/UTP14A/NOL11/TDRD6/SSB/METTL1/RRP15/ERI1/NOL10/THADA/TERT/ADAR/WDR12/NCL/TRMU/WDR3/WDR36/RRP1B/MAK16/DDX27/MRTO4/NVL/SNAPC4/LILRB4/GNL3/RPP40/DDX52/PDGFB/TFB2M/DROSHA/AARSD1/MARS2/EARS2/EXOSC2/FDXACB1/TSEN2/RRP9/THUMPD2/INTS2/WT1/TRNT1/UTP23/SRRT/MRM1/NARS2/TDRKH/MOV10L1/SUV39H1/ZC3H8/DDX56/GATC/TRMT1/MPHOSPH10/NCBP1/WDR46/IARS2/NOP2/PIWIL4/GTF3C4/SRFBP1/RIOK1/RPF2/PUM1/DIS3/ZNHIT6/TRUB1/RRS1/RPAP2/GAR1/EXOSC9/NSUN5/GTF3C3/GTF3C2/TSEN54/SMAD6/SHQ1/EXOSC8/ALKBH8/KRI1/TAF1B/KLF5/TUT1/USPL1/YARS2/NOC4L/EBNA1BP2/METTL4/USP36/PARN/POU5F1/RRP1/POLR3D/OSGEPL1/TSEN15/FTSJ1/GTPBP3/NOP14/SMARCA4/PES1/RPP21/PA2G4/INTS4/TDRD5/FTSJ3/TRMT11/NPM3/ETS1/THUMPD3/EXOSC5/LARS2/EMG1/ERN2/PELP1/EIF4A3/INTS1/HIF1A/NCOR2/GTF3A/PWP1/REST/TSR1/LAS1L/CDKAL1/WBP11/EXOSC10/LAGE3/TRIT1/MOCS3/TGFB2/RPUSD1/NSUN6/ZCCHC8/DDX54/SAGE1/DDX51/NSUN4/TSNAX/PLD6/AARS2/INTS10/EXOSC3/POLR3E/FARSB/ZCCHC4/XRN1/DDX4/RC3H2/METTL3/POP5/FARSA/PPAN/GATA3/TRMT5/KHSRP/MPHOSPH6/GATA6/IMP4/METTL2B/QRSL1/KTI12/RCL1/RPUSD4/METTL2A/ERI2/ZCCHC7/TFB1M/ERCC2/TARBP2/PARS2/SPIN1/NOL9/RRP36/INTS9/FBL/WDR74/SREBF1/KRR1/EXOSC4/QTRT1",234
"GO:0034470","ncRNA processing","178/3480","332/12095",6.05578219110861e-22,4.96055072625954e-19,4.53682810166964e-19,"DKC1/PUS7/PNPT1/DDX21/GTPBP4/TARBP1/UTP20/PDCD11/HEATR1/POP1/DCAF13/PUS1/WDR75/NOP58/RRP12/PRKDC/BMS1/NAT10/DDX18/UTP6/TRMT6/NCBP2/DDX10/BRIX1/DHX37/INTS8/DUS4L/NUP155/BYSL/NOL8/ESF1/HNRNPA2B1/INTS7/UTP15/WDR4/TSN/ADAT2/UTP18/NOLC1/XRN2/RPP25/CDK5RAP1/NOL6/TYW1/NSUN2/PIWIL1/ADAT1/LYAR/UTP14A/NOL11/TDRD6/SSB/METTL1/RRP15/ERI1/NOL10/THADA/TERT/ADAR/WDR12/TRMU/WDR3/WDR36/RRP1B/MAK16/DDX27/MRTO4/NVL/RPP40/DDX52/TFB2M/DROSHA/EXOSC2/FDXACB1/TSEN2/RRP9/THUMPD2/INTS2/TRNT1/UTP23/SRRT/MRM1/TDRKH/MOV10L1/SUV39H1/DDX56/TRMT1/MPHOSPH10/NCBP1/WDR46/NOP2/PIWIL4/SRFBP1/RIOK1/RPF2/PUM1/DIS3/ZNHIT6/TRUB1/RRS1/GAR1/EXOSC9/NSUN5/TSEN54/SHQ1/EXOSC8/ALKBH8/KRI1/TUT1/NOC4L/EBNA1BP2/USP36/PARN/RRP1/OSGEPL1/TSEN15/FTSJ1/GTPBP3/NOP14/PES1/RPP21/PA2G4/INTS4/TDRD5/FTSJ3/TRMT11/NPM3/THUMPD3/EXOSC5/EMG1/PELP1/EIF4A3/INTS1/PWP1/TSR1/LAS1L/CDKAL1/WBP11/EXOSC10/LAGE3/TRIT1/MOCS3/RPUSD1/NSUN6/ZCCHC8/DDX54/SAGE1/DDX51/NSUN4/TSNAX/PLD6/INTS10/EXOSC3/ZCCHC4/DDX4/METTL3/POP5/PPAN/TRMT5/MPHOSPH6/IMP4/METTL2B/KTI12/RCL1/RPUSD4/METTL2A/ERI2/TFB1M/ERCC2/TARBP2/NOL9/RRP36/INTS9/FBL/WDR74/KRR1/EXOSC4/QTRT1",178
"GO:0006281","DNA repair","224/3480","451/12095",1.28741887098229e-21,9.22757475776555e-19,8.43936949372863e-19,"CLSPN/EXO1/DTL/CDK1/EME1/BRCA2/XRCC2/RAD51AP1/TRIP13/POLQ/FANCI/RAD54B/FOXM1/FANCD2/UHRF1/CDCA5/BLM/BRIP1/CDC7/RFC3/FANCB/CHEK1/TIMELESS/UBE2T/GEN1/RECQL4/CDC45/WDHD1/FANCA/RAD51/ATR/NEIL3/GINS4/MSH2/RAD54L/TOPBP1/RFWD3/RFC4/POLE2/BRCA1/PRKDC/MSH5/KAT2A/MCM4/MCM8/FIGNL1/CHEK2/DCLRE1B/TTF2/FEN1/FAM111A/PALB2/LIG1/MCM3/HELB/FANCF/TRAIP/RUVBL1/MC1R/DTX3L/PCNA/CDK2/CHAF1B/PIF1/HMGA2/PTTG1/ACTL6A/POLA1/MLH3/TAF4/TAF2/MCM7/MCM2/DHX9/CHAF1A/MCM6/POLE/FANCC/SMC6/VCPIP1/FANCL/BARD1/FANCM/SUPT16H/ACTR5/SF3B3/RAD21/RAD18/PSMD14/PRKCG/DCLRE1A/POLD3/KIF22/PSME4/ZRANB3/POLD1/FUS/PMS1/SMC3/GINS2/HUS1/NBN/CBX8/FANCG/TDP1/USP1/GTF2H3/PARP1/RMI1/SMARCC1/SFPQ/RFC5/SMC1A/RBBP8/TRRAP/XRCC3/ASCC3/PPP4R2/PAXIP1/MDC1/NONO/TAF5/DPF1/TDG/SMARCD1/DCLRE1C/RTEL1/PARP9/DEK/MSH6/CUL4A/RAD1/RRM2B/KDM1A/SMARCA5/TTC5/LIG3/USP45/MCM5/YEATS4/SSRP1/EP400/WRN/MEN1/PMS2/SMARCAD1/NUDT1/ACTR2/CHD1L/PDS5A/ETAA1/MSH4/KIN/CHD4/TOP3A/HMGB2/SMARCA4/TADA1/HMGN1/INO80D/FMR1/UBE2W/MORF4L2/UBR5/RFC2/MUTYH/SLX4/RPA3/TRIM28/TP53BP1/POLB/CEP164/WRAP53/CDC5L/POLH/NEIL2/TAF5L/WRNIP1/APTX/BCCIP/TAOK1/POT1/HSF2BP/SUPT7L/ATRIP/EYA3/TP73/MBTD1/RUVBL2/RNASEH2B/RNF168/INO80/POGZ/NIPBL/SMARCE1/XRCC5/PDS5B/ZBTB1/APEX2/UBQLN4/UNG/RAD9A/XRCC4/SMC5/RECQL/PRPF19/BRCC3/RNF138/RRM1/PARP2/CSNK1E/ALKBH2/USP10/ATRX/NUCKS1/MTA1/ERCC2/BRD8/NFRKB/USP7/MCM9/MAD2L2/KDM4D/ERCC3",224
"GO:0042254","ribosome biogenesis","139/3480","242/12095",5.47696481734264e-21,3.48943514029363e-18,3.19137294970772e-18,"DKC1/XPO1/URB2/DDX21/GTPBP4/UTP20/PDCD11/HEATR1/DCAF13/WDR75/LSG1/NOP58/DDX31/PNO1/RRP12/PRKDC/BMS1/NAT10/DDX18/UTP6/ABCE1/DDX10/BRIX1/DHX37/BYSL/NOL8/ESF1/UTP15/UTP18/NOLC1/XRN2/RPP25/NOL6/C1orf131/GNL2/LYAR/UTP14A/NOL11/RRP15/ERI1/NOL10/PAK1IP1/WDR12/RRN3/WDR3/GNL3L/WDR36/RRP1B/MAK16/DDX27/MRTO4/NVL/RPP40/DDX52/TFB2M/DROSHA/MYBBP1A/EXOSC2/FDXACB1/LTV1/RRP9/UTP23/NIP7/MRM1/ISG20L2/MDN1/SUV39H1/DDX56/MPHOSPH10/WDR46/NOP2/NLE1/SRFBP1/SDAD1/CUL4A/RIOK1/RPF2/AATF/DIS3/ZNHIT6/RRS1/GAR1/EXOSC9/NSUN5/SHQ1/EXOSC8/RAN/NOC2L/KRI1/NOP16/NOC4L/EBNA1BP2/USP36/RRP1/NOP14/PES1/PA2G4/GTPBP10/FTSJ3/NPM3/EXOSC5/EIF5B/EMG1/PELP1/EIF4A3/GRWD1/GTF3A/PWP1/TSR1/LAS1L/SURF6/WBP11/HEATR3/EXOSC10/RPUSD1/DDX54/XRCC5/DDX51/NSUN4/FASTKD2/EXOSC3/ERAL1/ZCCHC4/EIF1AX/POP5/PPAN/MPHOSPH6/IMP4/RCL1/RPUSD4/ERI2/TFB1M/ERCC2/NOL9/RRP36/FBL/WDR74/KRR1/EXOSC4",139
"GO:0006364","rRNA processing","106/3480","173/12095",3.71857669427773e-19,2.09102470986803e-16,1.91241259056093e-16,"DKC1/DDX21/GTPBP4/UTP20/PDCD11/HEATR1/DCAF13/WDR75/NOP58/RRP12/PRKDC/BMS1/NAT10/DDX18/UTP6/DDX10/BRIX1/DHX37/BYSL/NOL8/ESF1/UTP15/UTP18/NOLC1/XRN2/RPP25/NOL6/LYAR/UTP14A/NOL11/RRP15/ERI1/NOL10/WDR12/WDR3/WDR36/RRP1B/MAK16/DDX27/MRTO4/NVL/RPP40/DDX52/TFB2M/DROSHA/EXOSC2/FDXACB1/RRP9/UTP23/MRM1/SUV39H1/DDX56/MPHOSPH10/WDR46/NOP2/SRFBP1/RIOK1/RPF2/DIS3/ZNHIT6/RRS1/GAR1/EXOSC9/NSUN5/SHQ1/EXOSC8/KRI1/NOC4L/EBNA1BP2/USP36/RRP1/NOP14/PES1/PA2G4/FTSJ3/NPM3/EXOSC5/EMG1/PELP1/EIF4A3/PWP1/TSR1/LAS1L/WBP11/EXOSC10/RPUSD1/DDX54/DDX51/NSUN4/EXOSC3/ZCCHC4/POP5/PPAN/MPHOSPH6/IMP4/RCL1/RPUSD4/ERI2/TFB1M/ERCC2/NOL9/RRP36/FBL/WDR74/KRR1/EXOSC4",106
