"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","100/2089","176/6339",3.65333188983996e-11,1.28597282522366e-08,1.04985221676453e-08,"5970/5580/1836/4720/115019/23683/5337/9817/3162/4514/10000/2944/4725/7381/1571/6647/4709/5587/7386/5728/4711/1545/8517/9167/1432/207/10327/4708/9020/208/2948/4712/4702/4696/25/8644/4705/4698/6390/1347/6392/4723/369/54539/4258/6391/6416/5609/4707/4722/2947/1340/6655/126328/4719/4697/4714/1349/4700/4694/4717/2938/1543/27089/1351/1329/7384/29796/4695/1327/4259/7417/4792/2053/2353/4716/10975/5605/7385/847/5894/2941/5602/4731/3725/4541/4713/572/4724/374291/1346/5595/2052/2946/1645/1646/4780/291/873/2949",100
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","59/2089","93/6339",1.3133422489944e-09,2.31148235823014e-07,1.88706544197616e-07,"4720/1352/535/4514/4725/7381/9550/27068/4709/7386/4711/9167/8992/4708/4712/4702/4696/4705/4698/6390/1347/6392/155066/4723/54539/6391/4707/4722/1340/126328/4719/4697/4714/1349/4700/4694/4717/27089/1351/1329/7384/29796/4695/529/1327/4716/10975/7385/51382/4731/9114/4541/4713/4724/374291/1346/496/495/64077",59
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","93/2089","170/6339",2.71381861072689e-09,3.18421383658622e-07,2.59955256395944e-07,"2778/5593/63976/4720/1352/3991/4514/4725/91942/5565/7381/4709/7386/5571/4711/9167/1432/51241/25915/60/5592/4708/4712/2260/4702/6199/4696/7249/8110/4705/4698/23305/57104/6390/1347/6392/4723/10488/115/54539/9658/6391/2180/4707/64764/4722/1340/6655/126328/6595/5567/4719/4697/4714/1349/11343/4700/6196/6194/4694/4717/108/27089/1268/1351/1329/7384/29796/4695/51103/5566/152831/1376/1327/5563/4716/10975/51422/7385/111/6604/2641/788/4881/4731/5346/155/4541/4713/4724/27330/374291/1346",93
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","103/2089","201/6339",4.03795012052323e-08,3.55339610606044e-06,2.90094837606011e-06,"29986/7345/2861/2778/4720/7327/9451/9817/4514/4725/7381/5714/3800/6647/4709/7386/5715/7332/79861/4711/118424/9167/815/7314/4708/7277/4712/3798/6571/4702/4696/5694/347733/4705/4698/7311/6390/1347/6392/4723/54539/7846/6391/817/4707/89953/51806/4722/1340/27429/126328/5567/4719/2774/4697/4714/1349/4700/4694/4717/27089/818/1351/1329/7384/29796/4137/6622/4695/84617/5566/1327/7417/6263/4716/10975/7326/7385/111/2770/3708/842/816/5602/25828/4731/4129/9927/4541/51465/7316/468/4713/4128/4724/7280/374291/1346/1843/801/4780/291/65018",103
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","71/2089","127/6339",6.55186646890976e-08,4.61251399411247e-06,3.76559904423656e-06,"775/2778/5522/10000/55012/1390/147/785/5501/6546/64091/146/6548/6324/1432/207/781/815/3776/5518/55844/208/5526/2776/5527/5525/64208/4635/10488/115/493/817/64764/51806/70/5567/783/9254/6262/5516/108/818/6547/5566/4634/491/7169/185/11149/111/596/5521/2770/10411/816/9252/6330/7168/482/5350/5523/148/468/55799/6332/5502/477/5595/801/5500/154",71
"Organismal Systems","Sensory system","hsa04740","Olfactory transduction","25/2089","32/6339",1.94188769400864e-07,1.13924078048507e-05,9.30062000814666e-06,"2782/5593/6546/57101/815/5592/123041/817/51806/5567/2774/818/5136/83988/6547/5153/5566/1261/408/816/5137/5138/5997/801/2788",25
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","73/2089","137/6339",5.66110762584963e-07,2.84672840614153e-05,2.32403365692774e-05,"5970/4720/9451/4514/10000/4725/5565/7381/1571/3952/4709/7386/51094/5571/4711/5465/9167/1432/207/9021/6945/4708/208/4712/4702/4696/4705/4698/6390/1347/79602/6392/4723/54539/998/6391/4707/4722/1340/126328/4719/4697/4714/1349/4700/4694/4717/27089/1351/1329/3953/7384/29796/4695/7132/1327/2353/5563/4716/10975/51422/7385/5602/4731/3570/3725/9370/468/6256/4713/4724/374291/1346",73
"Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","28/2089","39/6339",7.385031046692e-07,3.04014963772207e-05,2.48194034419295e-05,"1892/501/124/127/23305/126/2180/128/113612/2639/51/1376/35/223/217/37/36/224/38/3030/33/30/125/34/8310/3033/3032/131",28
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","116/2089","243/6339",7.77310986917574e-07,3.04014963772207e-05,2.48194034419295e-05,"7433/2922/89832/7067/79957/8698/2566/133/2837/3351/6751/6753/5029/2561/3357/1137/2562/147/2925/3952/2900/5729/727/1143/6915/1395/59350/5732/6866/2740/4922/146/2894/5731/9127/2834/624/1901/1141/1910/79627/6343/1131/57152/2897/2743/7068/5179/554/1908/116/2557/706/2890/5734/885/1128/6863/2898/5443/4886/4295/1129/1268/10316/3953/1907/2895/1132/2901/6865/5733/5028/23566/6344/2891/9340/66004/7432/114131/2903/2862/5023/185/2587/10800/2641/2908/4852/7434/3274/5368/886/623/2892/6750/6869/2558/1511/155/148/3360/2695/1902/5745/51738/2893/3363/2899/887/117/2690/10424/9934/22953/154",116
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","103/2089","212/6339",1.1684810247578e-06,4.11305320714746e-05,3.3578454711461e-05,"89832/775/2778/2252/57192/4803/5336/56034/5979/6261/89869/814/3357/147/4915/51196/2925/4914/6546/6915/146/93129/5731/2185/80271/9127/219931/624/815/5156/4776/7942/1910/5533/1131/2260/2776/844/8913/2066/3270/2668/115/493/817/7423/51806/57118/1128/5567/8912/2774/2255/5532/80310/8536/6262/108/5579/1129/818/5136/5257/6547/6865/5733/5153/4916/5566/2247/4638/3707/491/7417/2903/6263/5023/185/2767/10800/3708/3274/816/886/623/6869/155/5350/148/3360/4842/5137/84812/845/3363/887/6786/401152/5333/801/22953/291/154",103
