"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","89/1779","146/6339",4.99807437645995e-17,1.74432795738452e-14,1.65725624061567e-14,"699/1871/701/27085/983/9319/10403/7272/10926/113130/9088/8317/1111/23594/8318/1869/5347/4085/9133/990/9212/995/545/4998/5933/891/991/890/5591/4173/80174/81620/11200/994/26271/4172/993/5111/1017/6502/9232/55869/4176/4171/64682/4175/4999/5885/9184/898/9134/9126/9700/114799/8243/1021/7027/1875/996/1870/5001/4174/7532/3066/7529/23244/1029/4193/51433/23595/2932/8379/5925/27127/595/85417/3065/10735/7042/7534/25836/23047/5000/29945/8697/546/1019/8881/10459",89
"Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","57/1779","88/6339",6.00103567823524e-13,1.04718072585205e-10,9.9490854665479e-11,"7514/3838/57122/57510/1434/23279/55705/22916/57187/9631/348995/11260/5411/23636/81929/64328/8480/7175/9984/25909/55161/79023/23214/55746/65109/4686/4928/3837/55110/55916/129401/9972/5905/5901/9688/26019/91181/10921/79228/9775/10762/3843/64901/10527/10250/5903/3839/2733/4116/51194/8021/23039/3842/9883/29107/56000/23534",57
"Genetic Information Processing","Translation","hsa03008","Ribosome biogenesis in eukaryotes","42/1779","62/6339",8.11302494827042e-11,9.43815235648792e-09,8.96702757440414e-09,"1736/7514/23560/55127/10940/84128/55341/51602/9790/55131/55226/55813/6949/84135/51096/22803/54913/65083/29889/10813/10885/54552/134430/4931/26354/10799/29102/23195/10199/83732/55916/1457/54433/5901/10436/54464/51367/92856/10171/29107/2091/56000",42
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","25/1779","33/6339",1.64272155228353e-08,1.43327455436738e-06,1.36172970781398e-06,"5558/5983/5984/5427/4173/2237/3978/4172/5111/5422/4176/4171/4175/5426/10714/5424/5985/5557/23649/4174/54107/5982/6119/79621/246243",25
"Genetic Information Processing","Transcription","hsa03040","Spliceosome","59/1779","120/6339",6.24860775303915e-07,4.36152821162133e-05,4.14381356254175e-05,"10772/6426/22916/57187/55660/9343/6632/10915/3192/6627/23450/9984/2521/9129/9128/51645/1665/10465/23658/51340/4686/6636/23451/55110/58517/4670/6100/6628/6431/6629/23020/10262/84991/9879/10285/10946/10713/55119/79228/6625/988/9775/51729/6631/9716/51634/1659/6626/9416/4116/24148/3178/6432/27339/9410/10523/51690/57461/7307",59
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","27/1779","42/6339",1.02155045430537e-06,5.94201847587624e-05,5.64541040537179e-05,"146956/675/55215/2177/641/83990/2187/29089/2175/5888/545/672/79728/2188/2176/55120/57697/2189/7398/80010/5395/7156/84464/6119/5429/84126/9894",27
"Genetic Information Processing","Replication and repair","hsa03410","Base excision repair","24/1779","40/6339",2.28381812865844e-05,0.00113864646700257,0.00108180858725926,"5983/55247/5984/5427/11232/2237/3978/5111/5426/10714/5424/55775/142/5985/6996/3980/54107/5982/4595/5423/252969/54840/7374/10038",24
"Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","20/1779","32/6339",4.85087371377671e-05,0.00211619365763509,0.00201055949978903,"146956/675/7516/25788/641/83990/5888/8438/11073/672/79728/580/10714/5424/4683/5932/7517/7156/6119/79184",20
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","22/1779","39/6339",0.000180559627656577,0.00700170111690505,0.00665219680840021,"5683/5717/10213/23198/5718/5707/3458/10197/5682/51371/5685/5709/5684/5690/5688/5686/5719/5691/5704/11047/5698/5708",22
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","69/1779","171/6339",0.000301817436371343,0.0105334285293599,0.0100076307849445,"1871/1869/890/637/7186/1017/6502/841/6772/5717/4067/10213/898/9134/7188/3627/4794/4940/5718/5707/1021/9641/29110/3654/5291/5610/6773/1870/6891/4791/317/7097/3066/3718/4193/9636/7297/3661/3383/4939/10379/7187/5709/5971/6892/1147/5925/9612/6890/6885/581/595/3065/3516/5719/10018/5704/3665/11047/5599/864/1019/6300/3455/7128/5603/7874/3134/5708",69
"Genetic Information Processing","Translation","hsa03015","mRNA surveillance pathway","35/1779","75/6339",0.000430796383541146,0.0136679943505327,0.0129857283076996,"22916/5411/11052/23435/1479/124540/2521/51692/9887/1477/65109/4686/55110/55916/29894/1478/23381/26019/5042/10914/53981/10921/8731/9775/26528/8189/10898/10250/64895/2733/4116/11051/29107/2935/56000",35
"Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","14/1779","22/6339",0.000526477684794684,0.0153117259994454,0.0145474097114321,"9156/5983/4436/5984/3978/5111/27030/10714/5424/5985/2956/5395/5982/6119",14
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","33/1779","72/6339",0.000923679731849228,0.0246520769179246,0.02342151780771,"983/51512/1111/9133/6241/545/8795/891/92344/637/11200/1017/27113/841/5054/898/8797/9134/5366/1021/3486/50484/317/598/1029/5268/4193/4194/581/595/7161/10848/1019",33
"Genetic Information Processing","Chromosome","hsa03083","Polycomb repressive complex","34/1779","75/6339",0.000988908529658866,0.0246520769179246,0.02342151780771,"2146/9212/11335/84733/23512/51460/54554/6322/1876/171023/22823/8726/57332/10238/54881/8473/6045/7027/8535/7321/85015/3054/3066/84458/648/3065/55252/84678/5928/7703/3607/84108/7874/84456",34
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","37/1779","84/6339",0.00116813786866999,0.027178674411055,0.0258219949916523,"225689/55540/3320/7186/6426/2919/3326/6354/1437/4322/4318/841/4312/4314/7188/3627/6372/2921/3458/7184/9641/29110/9618/6364/1994/51433/7187/2932/27189/6374/1147/6885/5599/6300/7128/5603/6278",37
"Genetic Information Processing","Folding, sorting and degradation","hsa03018","RNA degradation","29/1779","62/6339",0.00124820909193542,0.0272265608178414,0.0258674910499775,"87178/3329/22803/219988/167227/23404/23658/255967/22894/25904/170506/5393/3313/11340/5073/5042/4848/57472/56915/29883/5394/2023/51010/54464/10200/84186/51690/10950/54512",29
"Genetic Information Processing","Translation","hsa00970","Aminoacyl-tRNA biosynthesis","13/1779","22/6339",0.00221911763996725,0.04555717978521,0.0432830994792374,"55157/92935/124454/79731/283459/55699/51067/23395/57505/10056/2193/55278/25973",13
