"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",1.91103793239983e-55,9.55518966199916e-54,1.94135174270352,0.744594640603037,3.75085771895505,183,"HELLS;MKI67;BUB1B;ATAD2;CDK1;BRCA2;TOP2A;RAD51AP1;KIF4A;DLGAP5;HMMR;TRIP13;MELK;CENPE;MYBL2;DSCC1;GINS1;PRIM2;RFC3;SPAG5"
"HALLMARK_G2M_CHECKPOINT",8.88312909356909e-49,2.22078227339227e-47,1.82023946954892,0.725163556098817,3.64201986011162,179,"STIL;CENPF;KIF23;TPX2;MKI67;BUB1;E2F3;EXO1;NEK2;CDK1;BRCA2;TOP2A;TROAP;KIF4A;HMMR;KIF11;NDC80;POLQ;CENPE;MYBL2"
"HALLMARK_MYC_TARGETS_V1",1.208007482385e-17,2.013345803975e-16,1.0864405425825,0.532511006474478,2.66932797119489,175,"CDC45;XPO1;MAD2L1;CAD;DDX21;KPNA2;CBX3;RFC4;CDC20;HSPD1;CCNA2;MCM4;DDX18;ABCE1;SRSF1;NCBP2;PSMA2;PCNA;HNRNPA2B1;HSP90AB1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",1.23336362540783e-15,1.54170453175979e-14,1.01754479730988,-0.510425578926048,-2.54224204832841,169,"ALDH6A1;HADHB;SLC25A4;ETFDH;ACADM;ACO2;BDH2;PDK4;ACAA1;NDUFS7;HADHA;ACAT1;NDUFS4;ACADSB;ACADVL;NDUFB7;CYB5A;MFN2;MAOB;ISCU"
"HALLMARK_FATTY_ACID_METABOLISM",2.44605075370788e-14,2.0383756280899e-13,0.97599468306432,-0.529277657934824,-2.57936970512312,142,"ADH7;HADHB;CBR1;ETFDH;CIDEA;HPGD;ALAD;HADH;EPHX1;ACADM;ACO2;GLUL;LTC4S;ACAA1;ACADL;CD36;TP53INP2;MAOA;ALDH3A2;UROD"
"HALLMARK_ADIPOGENESIS",2.06777806052039e-14,2.0383756280899e-13,0.97599468306432,-0.491786748290185,-2.48543403633874,178,"GPX3;RNF11;CIDEA;HSPB8;HADH;DHRS7;ACADM;ACO2;LTC4S;ACADL;CD36;FABP4;CYP4B1;NDUFB7;UBC;SNCG;ME1;ADIPOQ;COQ9;SORBS1"
"HALLMARK_MYC_TARGETS_V2",1.18867250190106e-12,7.42920313688163e-12,0.910119734774459,0.681022437056622,2.78324062137374,54,"PLK4;PLK1;UTP20;PUS1;CBX3;HSPD1;RRP12;MCM4;DDX18;TCOF1;BYSL;SLC29A2;NOLC1;PPRC1;PRMT3;HSPE1;MRTO4;TBRG4;GNL3;TFB2M"
"HALLMARK_MITOTIC_SPINDLE",1.17270172927699e-12,7.42920313688163e-12,0.910119734774459,0.468276511865218,2.37119789662689,189,"ECT2;CENPF;KIF23;TPX2;BUB1;ANLN;NEK2;CDK1;BRCA2;TOP2A;KIF4A;DLGAP5;KIF11;NDC80;CENPE;KNTC1;KIF15;TTK;KIF2C;KIF20B"
"HALLMARK_MYOGENESIS",6.45288399431719e-12,3.58493555239844e-11,0.887074988399873,-0.467224169326263,-2.32418743557824,166,"GPX3;CKMT2;CFD;GSN;NCAM1;FHL1;HSPB8;PYGM;PPP1R3C;CKB;EFS;COX7A1;SGCA;CD36;CASQ2;GADD45B;CDKN1A;LDB3;SIRT2;SGCG"
"HALLMARK_HEME_METABOLISM",1.80566214081593e-08,9.02831070407965e-08,0.73376198835648,-0.419338230487832,-2.08464705642823,165,"KAT2B;ALDH6A1;ELL2;BTG2;YPEL5;ALAD;SIDT2;HBB;NCOA4;HAGH;MXI1;GYPC;UROD;ADD1;BLVRB;HEBP1;DCAF11;CAST;LRP10;SELENBP1"
"HALLMARK_BILE_ACID_METABOLISM",8.11864746159267e-08,3.69029430072394e-07,0.704975715167238,-0.473071203042057,-2.20829750946416,103,"RXRG;ABCA8;RXRA;MLYCD;BCAR3;PEX19;BMP6;GNMT;PXMP2;NR3C2;HSD17B6;SCP2;CAT;AR;ALDH9A1;EPHX2;PRDX5;RETSAT;PAOX;PEX11G"
"HALLMARK_XENOBIOTIC_METABOLISM",5.89462970206612e-07,2.45609570919422e-06,0.659444398037935,-0.385352967525573,-1.94020430611879,176,"ADH7;PINK1;CBR1;ETFDH;PMM1;PTGR1;NDRG2;AKR1C2;ABHD6;ACOX3;EPHX1;DHRS7;ACO2;ATOH8;PDK4;CD36;SERTAD1;DHRS1;MAOA;ACOX2"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",3.76466028345136e-06,1.44794626286591e-05,0.627256739718528,0.364156236607535,1.85040937870956,191,"INHBA;CTHRC1;COL11A1;ADAM12;COL1A1;BGN;FAP;MEST;SERPINH1;COL4A1;COL5A2;BMP1;PLOD3;SPP1;OXTR;CXCL1;LOXL2;THY1;COL3A1;PMEPA1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",2.36405554714271e-05,8.44305552550967e-05,0.575610261071129,0.44158241215279,2.00629239603012,88,"RIPK2;PNPT1;PARP14;IFI30;LAMP3;CASP8;ADAR;CXCL11;RNF31;CXCL10;EPSTI1;NMI;LY6E;BATF2;PARP9;EIF2AK2;STAT2;PLSCR1;CD47;IFITM3"
"HALLMARK_MTORC1_SIGNALING",6.3533423634324e-05,0.00021177807878108,0.538434096309916,0.346308740253426,1.7453109166893,184,"BUB1;SERPINH1;PLK1;CCNF;AURKA;RRM2;MTHFD2;HSPD1;PNO1;MCM4;IFI30;CCT6A;CDC25A;GMPS;MCM2;SLC6A6;P4HA1;PSMD14;ATP2A2;NUFIP1"
"HALLMARK_HYPOXIA",8.65739680302097e-05,0.000270543650094405,0.538434096309916,-0.3417173718154,-1.72050450403716,176,"CITED2;PYGM;PPP1R3C;PIM1;ALDOC;DUSP1;ZFP36;MXI1;CDKN1A;PNRC1;SRPX;ILVBL;JUN;DCN;TIPARP;FOSL2;HK1;UGP2;SELENBP1;GCNT2"
"HALLMARK_ALLOGRAFT_REJECTION",9.62670627411603e-05,0.000283138419826942,0.538434096309916,0.332397743172369,1.66878014109655,180,"INHBA;LIF;RIPK2;F2R;BRCA1;IL11;TRAF2;ABCE1;THY1;CD80;TIMP1;CCL7;MMP9;LY75;C2;STAT1;NME1;CXCL9;LYN;PRKCG"
"HALLMARK_PEROXISOME",0.000110258650282401,0.000306274028562226,0.538434096309916,-0.393238955599642,-1.8052854198957,96,"RXRG;SLC25A4;ACAA1;MLYCD;SCP2;CAT;ALDH9A1;FIS1;HMGCL;EPHX2;PRDX5;RETSAT;ABCC8;ACOX1;CRAT;CNBP;HSD17B4;ABCC5;ECH1;DHRS3"
"HALLMARK_KRAS_SIGNALING_DN",0.000519004089324584,0.00136580023506469,0.477270815362862,-0.337723149655357,-1.6623834826972,155,"BTG2;ATP4A;ZBTB16;KCNE2;SOX10;CPEB3;KCNMB1;PDK2;CNTFR;CPB1;NOS1;SLC25A23;GAMT;NGB;SLC5A5;CKM;SGK1;CPA2;ARHGDIG;KLHDC8A"
