"genus","effect_clr_paired","p","q"
"Serinicoccus",-2.73175443801257,8.59075226067598e-11,5.24035887901235e-09
"Bacteroides",-0.725648670167594,7.19819360105772e-10,2.1954490483226e-08
"Dietzia",-1.93015508001974,1.10160363069504e-08,2.23992738241325e-07
"Faecalibacterium",-0.479575297389297,1.871789092637e-06,2.35091790268113e-05
"Pseudomonas",-0.409362622326245,1.92698188744355e-06,2.35091790268113e-05
"Helicobacter",-1.45477622538599,3.17213353253606e-06,3.22500242474499e-05
"Microbacterium",-0.297953505918326,9.8794192578832e-05,0.000860920821044107
"Blautia",-0.369203862804144,0.000144835496552143,0.00110437066121009
"Gemella",0.43111658440009,0.000222223654901792,0.00150618254988992
"Sphingomonas",0.302988587286597,0.000447049792093284,0.00272700373176903
"Fusobacterium",0.520076703247338,0.000513699467806137,0.00284869704874313
"Streptococcus",0.491419002999891,0.00332187167445641,0.0168861810118201
"Leptotrichia",0.225133865526266,0.00521160664753615,0.0235443239319698
"Prevotella_7",0.292389571670427,0.0054036153286488,0.0235443239319698
"Brachybacterium",-0.319653945007225,0.00807092843868239,0.0328217756506417
"Bergeyella",-0.167902539095464,0.0135356303684556,0.0458707473597662
"Bifidobacterium",-0.259156374849644,0.0123296021611549,0.0458707473597662
"Methylobacterium-Methylorubrum",-0.168545004501321,0.01346190346541,0.0458707473597662
"Peptostreptococcus",0.131184043651086,0.0182771713104432,0.0586793394703702
"Prevotella",0.147181997038012,0.0271380039238776,0.0827709119678265
"Actinobacillus",0.136433551849738,0.0317923514571681,0.0923492113755836
"Porphyromonas",0.136433551849738,0.0460831935712235,0.127776127629302
"Dialister",-0.138753297177482,0.0482574293362443,0.127987095196126
"Veillonella",0.19001814579178,0.0560527246861035,0.142467341910513
"Kingella",-0.145459520825862,0.0609984055489296,0.148836109539388
"Haemophilus",0.122669382732428,0.0831227839568082,0.195018839283281
"Neisseria",0.262167934859589,0.094853673404511,0.214299039913895
"Candidatus Saccharimonas",-0.0855688819421639,0.099983165004564,0.217820466617086
"Parvimonas",-0.0855688819421639,0.131507719577894,0.276619686008673
"Solobacterium",-0.147982601968613,0.16482879139957,0.335151875845793
"Abiotrophia",-0.0855688819421639,0.190563070002921,0.374978944199296
"Actinomyces",0.112027044204163,0.205536026649832,0.382522602739365
"Lactobacillus",0.126078653755657,0.206938457219656,0.382522602739365
"Granulicatella",0.122669382732428,0.22431186446242,0.402441874476695
"Rothia",0.133024280826509,0.231850293331363,0.40408193980609
"Corynebacterium",0.268761392466098,0.263796859861355,0.446989123653963
"Filifactor",0.0646982337550356,0.40417434623664,0.632170131293205
"Lachnoanaerobaculum",0.125933190835563,0.394340818520349,0.632170131293205
"Treponema",-0.000422764756257854,0.400880314947828,0.632170131293205
"Serratia",0.00833480379778173,0.454321051773731,0.69283960395494
"Alloprevotella",-0.0299524331923707,0.481870224535273,0.71692887065004
"[Eubacterium] nodatum group",0.0114972999681774,0.575012581072139,0.747866806483984
"Aggregatibacter",0.0611366627557344,0.595155126222427,0.747866806483984
"Atopobium",-0.138753297177482,0.583030875497279,0.747866806483984
"Campylobacter",0.0151359325812356,0.614240267185784,0.747866806483984
"Catonella",-0.0113081441892282,0.593802317906241,0.747866806483984
"Escherichia-Shigella",-0.0855688819421639,0.560449327701313,0.747866806483984
"Johnsonella",0.0141020092248237,0.551275794486554,0.747866806483984
"Ligilactobacillus",0.00098451618125589,0.538300155393254,0.747866806483984
"Oribacterium",0.0151359325812356,0.610127929238864,0.747866806483984
"Selenomonas",0.0617852025640322,0.625265690666937,0.747866806483984
"Limosilactobacillus",0.0886933782125338,0.690235583479091,0.794422086645746
"Micrococcus",0.0371040139364122,0.688796394412369,0.794422086645746
"Cutibacterium",0.168397150540826,0.817683553948254,0.923679570200805
"Stomatobaculum",0.00098451618125589,0.838998330552823,0.930525421158585
"Capnocytophaga",0.0243088007827085,0.905140758326682,0.953446755761641
"Megasphaera",0.0177406418378819,0.881968730818248,0.953446755761641
"Pelomonas",0.000611920535207089,0.922186206392407,0.953446755761641
"TM7x",0.00358922543790224,0.909785519710917,0.953446755761641
"Lawsonella",0.0269135100393548,0.984413480316357,0.996882505703871
"Staphylococcus",-0.0339758222809806,0.996882505703871,0.996882505703871
