"genus","MeanDecreaseGini"
"Dietzia",34.2202048365691
"Serinicoccus",28.7430734852509
"Methylobacterium-Methylorubrum",18.9996745040342
"Microbacterium",16.2331612828939
"Sphingomonas",12.4966325776656
"Serratia",12.1274962544494
"Helicobacter",11.474486014237
"Limosilactobacillus",9.59767745937105
"Cutibacterium",8.74538405597013
"Lactobacillus",8.07294104113768
"Staphylococcus",6.01086043786858
"Rothia",5.7503160508061
"Haemophilus",5.46362471467802
"Actinobacillus",4.95055942842182
"Ligilactobacillus",4.89510790419222
"Corynebacterium",4.81121052180013
"Leptotrichia",4.66718301935997
"Aggregatibacter",4.59881620485957
"Porphyromonas",4.50227310359594
"Gemella",4.47261077060505
"Stomatobaculum",4.39965912876768
"Streptococcus",4.1972850708277
"Fusobacterium",4.07639277351569
"Lawsonella",3.93518931906906
"Neisseria",3.90465839835538
"Prevotella_7",3.7594935898947
"Lachnoanaerobaculum",3.73864804382198
"Filifactor",3.7319375339064
"Brachybacterium",3.65019302511072
"Escherichia-Shigella",3.6013110471747
"Selenomonas",3.54163637421802
"Prevotella",3.46012228009445
"Pelomonas",3.40348874843908
"Peptostreptococcus",3.38412494127335
"Kingella",3.34394334307405
"Veillonella",3.33245954091096
"Alloprevotella",3.32469536482613
"Megasphaera",3.30655706139289
"Actinomyces",3.24604266881232
"Atopobium",3.19901091046515
"Granulicatella",3.17072022830301
"Micrococcus",3.02253173771002
"Oribacterium",2.99271130437896
"[Eubacterium] nodatum group",2.94947701312448
"Pseudomonas",2.90120613580458
"Solobacterium",2.79736412248001
"Bacteroides",2.75386766630596
"Treponema",2.7189779047151
"TM7x",2.69788198970692
"Campylobacter",2.69084872339133
"Bergeyella",2.67639695165839
"Catonella",2.5594091745575
"Faecalibacterium",2.52767106824446
"Blautia",2.47552940398705
"Capnocytophaga",2.45935097998802
"Bifidobacterium",2.41125787456153
"Candidatus Saccharimonas",2.38860120723459
"Johnsonella",2.38629754482804
"Abiotrophia",2.36982085108004
"Dialister",2.22088582011515
"Parvimonas",2.13089362195234
