"Genus","DESeq2_baseMean","DESeq2_log2FC_TvsN","DESeq2_p","DESeq2_padj","CLR_mean_Normal","CLR_mean_Tumor","CLR_diff_TvsN","Wilcox_p","Wilcox_padj","DESeq2_dir","CLR_dir","sig_DESeq2","sig_CLR","both_sig_sameDir"
"Methylobacterium",299.475166684653,-10.7398385307648,0,0,2.47962900567547,-3.86658545860436,-6.34621446427982,1.78790891030908e-140,2.99474742476771e-139,"depleted_Tumor","depleted_Tumor",TRUE,TRUE,TRUE
"Parvimonas",16.0158282944037,8.00572836561043,0,0,-3.61363039609099,1.95601088893675,5.56964128502774,1.68846065521711e-140,2.99474742476771e-139,"enriched_Tumor","enriched_Tumor",TRUE,TRUE,TRUE
"Sphingomonas",362.47851046042,12.5905787279903,0,0,-3.66691484511926,5.09171546566804,8.7586303107873,1.68846065521711e-140,2.99474742476771e-139,"enriched_Tumor","enriched_Tumor",TRUE,TRUE,TRUE
"Treponema",32.7419574900602,9.05760970155254,0,0,-3.6266646796307,2.68191611582898,6.30858079545968,1.68846065521711e-140,2.99474742476771e-139,"enriched_Tumor","enriched_Tumor",TRUE,TRUE,TRUE
"Micrococcus",21.723567656466,-6.97431036557162,0,0,1.36157666212752,-3.87386381388255,-5.23544047601007,2.68549268056319e-140,3.59856019195467e-139,"depleted_Tumor","depleted_Tumor",TRUE,TRUE,TRUE
"Helcobacillus",23.9615107702436,-7.14462026980222,0,0,1.4253861636978,-3.89182348354444,-5.31720964724225,5.00432085635499e-140,5.5881582895964e-139,"depleted_Tumor","depleted_Tumor",TRUE,TRUE,TRUE
"Leptotrichia",163.329465820292,1.28922137758552,1.21779119033929e-59,2.91400034831186e-59,2.35158748833339,3.71495626831464,1.36336877998126,9.99306709200155e-140,9.56479278805862e-139,"enriched_Tumor","enriched_Tumor",TRUE,TRUE,TRUE
"Bergeyella",7.45109399270513,6.933182190683,0,0,-3.6401560019653,1.15971288362843,4.79986888559373,1.73458893790428e-139,1.45271823549483e-138,"enriched_Tumor","enriched_Tumor",TRUE,TRUE,TRUE
"Peptococcus",10.8983848808155,2.02722960945955,0,0,-0.31595935624954,1.21071324857348,1.52667260482302,2.0451741405198e-139,1.52251852683141e-138,"enriched_Tumor","enriched_Tumor",TRUE,TRUE,TRUE
"Clostridium",7.23514799463679,6.84457962346023,0,0,-3.61286947439444,1.14293531377459,4.75580478816903,2.58521272760358e-139,1.7320925274944e-138,"enriched_Tumor","enriched_Tumor",TRUE,TRUE,TRUE
"Selenomonas",148.440394351802,1.50287701226329,9.70228570484068e-81,2.70855475926802e-80,2.16997159057327,3.67995074028433,1.50997914971106,6.38932237337021e-139,3.89167817287095e-138,"enriched_Tumor","enriched_Tumor",TRUE,TRUE,TRUE
