"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","axis","mean_F","n_instruments","lo_ci","up_ci","or","or_lci95","or_uci95"
"ebi-a-GCST90006910","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","H. pylori IgG seropositivity","MR Egger",11,-0.050633401550722,0.432924042458434,0.909462669851102,"H. pylori",21.5709854277382,11,-0.899164524769253,0.797897721667809,0.950627105083307,0.406909480557056,2.22086713654821
"ebi-a-GCST90006910","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","H. pylori IgG seropositivity","Weighted median",11,0.07787371408895,0.179511969360352,0.664427929662931,"H. pylori",21.5709854277382,11,-0.27396974585734,0.42971717403524,1.08098613673076,0.76035507880393,1.53682280868332
"ebi-a-GCST90006910","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","H. pylori IgG seropositivity","Inverse variance weighted",11,-0.0149670611727133,0.174327449048083,0.931580872308615,"H. pylori",21.5709854277382,11,-0.356648861306957,0.32671473896153,0.985144388569512,0.700018258080351,1.3864059331701
"ebi-a-GCST90006910","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","H. pylori IgG seropositivity","Simple mode",11,0.0910843863943342,0.278412692733928,0.750295214939452,"H. pylori",21.5709854277382,11,-0.454604491364164,0.636773264152833,1.09536143496049,0.634698947227505,1.89037129877048
"ebi-a-GCST90006910","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","H. pylori IgG seropositivity","Weighted mode",11,0.0794065560506767,0.766797950857348,0.919569067081838,"H. pylori",21.5709854277382,11,-1.42351742762973,1.58233053973108,1.08264438823524,0.240865298862692,4.86628367353754
"ebi-a-GCST90017070","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","Streptococcus (genus)","MR Egger",10,0.0128046442085197,0.36120926123245,0.972589977539429,"oral-origin",22.4977197421406,10,-0.695165507807083,0.720774796224122,1.01288697469408,0.498991854102834,2.05602559454506
"ebi-a-GCST90017070","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","Streptococcus (genus)","Weighted median",10,0.0211319978226965,0.117781684956381,0.857610542189953,"oral-origin",22.4977197421406,10,-0.20972010469181,0.251984100337203,1.02135685962182,0.810811156451635,1.28657558100432
"ebi-a-GCST90017070","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","Streptococcus (genus)","Inverse variance weighted",10,0.085948343357279,0.0898277123892395,0.33866153490103,"oral-origin",22.4977197421406,10,-0.0901139729256304,0.262010659640188,1.08975003402299,0.913827027795897,1.29954039498857
"ebi-a-GCST90017070","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","Streptococcus (genus)","Simple mode",10,-0.0216499344602655,0.357086932091118,0.952979428415331,"oral-origin",22.4977197421406,10,-0.721540321358858,0.678240452438327,0.978582743193734,0.486003078199022,1.97040765425856
"ebi-a-GCST90017070","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","Streptococcus (genus)","Weighted mode",10,-0.00571872560070197,0.393003369896208,0.988707587118261,"oral-origin",22.4977197421406,10,-0.77600533059727,0.764567879395866,0.994297595184362,0.460240854127913,2.14806595051781
"ebi-a-GCST90032406","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","Fusobacterium","MR Egger",10,-0.398799881895234,0.361136704742344,0.301571207807956,"oral-origin",22.7979751281608,10,-1.10662782319023,0.30902805939976,0.671124992177481,0.330672168071679,1.36210058969218
