"gene","selection_frequency","times_selected","n_models"
"SERPINE1",0.96875,93,96
"SRMS",0.895833333333333,86,96
"EGF",0.864583333333333,83,96
"NETO2",0.864583333333333,83,96
"GPC3",0.854166666666667,82,96
"RASAL1",0.84375,81,96
"SP6",0.833333333333333,80,96
"NT5E",0.78125,75,96
"POU1F1",0.708333333333333,68,96
"RNF43",0.697916666666667,67,96
"APOD",0.6875,66,96
"PRSS21",0.677083333333333,65,96
"SLC5A1",0.65625,63,96
"AADAC",0.552083333333333,53,96
"CIDEC",0.541666666666667,52,96
"AATK",0.510416666666667,49,96
"MATN3",0.5,48,96
"PROC",0.4375,42,96
"BATF2",0.4375,42,96
"ENTPD2",0.416666666666667,40,96
"GAMT",0.395833333333333,38,96
"PEX5",0.375,36,96
"CDA",0.354166666666667,34,96
"POSTN",0.34375,33,96
"HBB",0.302083333333333,29,96
"GNAI1",0.270833333333333,26,96
"F5",0.270833333333333,26,96
"SLC7A2",0.260416666666667,25,96
"LTK",0.25,24,96
"RAMP1",0.25,24,96
"CTHRC1",0.239583333333333,23,96
"RGS1",0.229166666666667,22,96
"LGR6",0.229166666666667,22,96
"SLCO2A1",0.229166666666667,22,96
"TRIM31",0.1875,18,96
"MMRN1",0.166666666666667,16,96
"EPHB3",0.145833333333333,14,96
"HTRA3",0.135416666666667,13,96
"MMP11",0.125,12,96
"CST2",0.125,12,96
"PDIA2",0.125,12,96
"EPDR1",0.114583333333333,11,96
"FZD7",0.114583333333333,11,96
"CYP4X1",0.114583333333333,11,96
"LIPG",0.104166666666667,10,96
"DKK1",0.104166666666667,10,96
"TRIM54",0.104166666666667,10,96
"PDCD1",0.104166666666667,10,96
"ID1",0.09375,9,96
"RPS4Y1",0.09375,9,96
"MUC13",0.09375,9,96
"SLC38A5",0.0833333333333333,8,96
"ONECUT2",0.0833333333333333,8,96
"FKBP10",0.0833333333333333,8,96
"PLA1A",0.0833333333333333,8,96
"HABP2",0.0833333333333333,8,96
"ASCL2",0.0833333333333333,8,96
"MSLN",0.0729166666666667,7,96
"QPRT",0.0729166666666667,7,96
"OLFML2B",0.0729166666666667,7,96
"CXCL3",0.0729166666666667,7,96
"PCDH7",0.0729166666666667,7,96
"WNT11",0.0625,6,96
"CA9",0.0625,6,96
"FUT6",0.0625,6,96
"EIF1AY",0.0625,6,96
"CNFN",0.0520833333333333,5,96
"CPVL",0.0520833333333333,5,96
"PRKCG",0.0520833333333333,5,96
"RBP4",0.0520833333333333,5,96
"RHBDL2",0.0520833333333333,5,96
"PDE9A",0.0520833333333333,5,96
"GABRB3",0.0520833333333333,5,96
"SP5",0.0520833333333333,5,96
"PRSS2",0.0520833333333333,5,96
"CETP",0.0416666666666667,4,96
"EEF1A2",0.0416666666666667,4,96
"DUSP1",0.0416666666666667,4,96
"TFF2",0.0416666666666667,4,96
"CLDN1",0.0416666666666667,4,96
"PACSIN3",0.0416666666666667,4,96
"APOBEC3B",0.0416666666666667,4,96
"PROM1",0.03125,3,96
"COL9A2",0.03125,3,96
"KCNQ1",0.03125,3,96
"CLDN18",0.03125,3,96
"SEMA6A",0.03125,3,96
"REG1A",0.03125,3,96
"SLC7A11",0.03125,3,96
"APCDD1",0.03125,3,96
"SPINK1",0.03125,3,96
"MANEAL",0.03125,3,96
"SERPINA5",0.03125,3,96
"MAOA",0.03125,3,96
"BIRC3",0.0208333333333333,2,96
"OTC",0.0208333333333333,2,96
"COL11A1",0.0208333333333333,2,96
"SYT1",0.0208333333333333,2,96
"TCF3",0.0208333333333333,2,96
"TNNC2",0.0208333333333333,2,96
"PCSK1N",0.0208333333333333,2,96
"SMPD3",0.0208333333333333,2,96
"ASPN",0.0208333333333333,2,96
"STEAP4",0.0208333333333333,2,96
"GALNT5",0.0208333333333333,2,96
"TRIM29",0.0208333333333333,2,96
"CTF1",0.0208333333333333,2,96
"SLC34A2",0.0208333333333333,2,96
"FOLR2",0.0208333333333333,2,96
"KLK11",0.0208333333333333,2,96
"CYP4F11",0.0208333333333333,2,96
"CES3",0.0208333333333333,2,96
"UGT2B15",0.0208333333333333,2,96
"CARD11",0.0208333333333333,2,96
"PEG10",0.0208333333333333,2,96
"GSTA1",0.0208333333333333,2,96
"MMP12",0.0208333333333333,2,96
"KCNH2",0.0104166666666667,1,96
"PFN2",0.0104166666666667,1,96
"CYP2W1",0.0104166666666667,1,96
"PTGS2",0.0104166666666667,1,96
"MLH1",0.0104166666666667,1,96
"TESC",0.0104166666666667,1,96
"SLC22A17",0.0104166666666667,1,96
"TPSD1",0.0104166666666667,1,96
"OSM",0.0104166666666667,1,96
"CCL24",0.0104166666666667,1,96
"CLDN15",0.0104166666666667,1,96
"CD5",0.0104166666666667,1,96
"CD69",0.0104166666666667,1,96
"MFAP2",0.0104166666666667,1,96
"SOCS2",0.0104166666666667,1,96
"CRISPLD1",0.0104166666666667,1,96
"COL10A1",0.0104166666666667,1,96
"G0S2",0.0104166666666667,1,96
"LYPD3",0.0104166666666667,1,96
"TNFRSF19",0.0104166666666667,1,96
"SGCE",0.0104166666666667,1,96
"APOC1",0.0104166666666667,1,96
"DDC",0.0104166666666667,1,96
"ALDH3B2",0.0104166666666667,1,96
"TM4SF5",0.0104166666666667,1,96
"RGS5",0.0104166666666667,1,96
"EGFR",0.0104166666666667,1,96
"AKR1C2",0.0104166666666667,1,96
"PROM2",0.0104166666666667,1,96
"CXCL1",0.0104166666666667,1,96
"PRSS12",0.0104166666666667,1,96
"FNDC1",0.0104166666666667,1,96
"TNFRSF11B",0.0104166666666667,1,96
"MAMDC2",0.0104166666666667,1,96
"LDHD",0.0104166666666667,1,96
"NPNT",0.0104166666666667,1,96
"FABP4",0.0104166666666667,1,96
"FOS",0.0104166666666667,1,96
"LRG1",0.0104166666666667,1,96
"SNCG",0.0104166666666667,1,96
"ASPHD1",0.0104166666666667,1,96
"ABO",0.0104166666666667,1,96
"CLRN3",0.0104166666666667,1,96
"ADRA2C",0.0104166666666667,1,96
"IFIT1",0.0104166666666667,1,96
"COL4A5",0.0104166666666667,1,96
"MME",0.0104166666666667,1,96
"MT1H",0.0104166666666667,1,96
"FCGBP",0.0104166666666667,1,96
