"model","term","HR","lo","hi","p","n","ev"
"sig ~ score (all OS)","sig_score",2.60574728546836,2.13592002674212,3.17892001138371,3.68936624358586e-21,383,156
"sig ~ score (purity subset)","sig_score",2.93269358992935,2.24861591962825,3.82488250542787,2.03091937509483e-15,250,92
"sig ~ score + ABSOLUTE.purity","sig_score",2.96500545160825,2.27641971790861,3.86187892281277,7.58534808493756e-16,250,92
"  (purity coef in above)","purity",1.00404636788291,0.995567143286704,1.01259780985816,0.350695782343866,250,92
"sig ~ score + xCell.Stroma","sig_score",2.75728110584153,2.23468452487653,3.40209054656195,3.09179769685832e-21,383,156
"sig ~ score + purity+stage+age","sig_score",3.58043817767,2.58398292832734,4.96115411738234,1.79084792843222e-14,209,68
"  (purity in full model)","purity",1.00936702564876,0.999170814944729,1.01966728534137,0.0718876982360749,209,68
"caf ~ score (all OS)","caf_score",1.30469534890997,1.11218350279124,1.53052976347448,0.00109338443286051,383,156
"caf ~ score (purity subset)","caf_score",1.33269015985035,1.05834567893542,1.67815024666466,0.0145994819596276,250,92
"caf ~ score + ABSOLUTE.purity","caf_score",1.34197776714278,1.05211287793265,1.71170257990207,0.0178302136012462,250,92
"caf ~ score + xCell.Stroma","caf_score",1.26726609553407,1.041800460437,1.5415268257959,0.0178051340144236,383,156
"caf ~ score + purity+stage+age","caf_score",1.53234544614186,1.12790921708923,2.08180102683385,0.00633673960787977,209,68
"ref: ABSOLUTE.purity alone","purity",0.996866490851425,0.988102511459602,1.00570820239542,0.486056695641821,250,92
"ref: xCell.Stroma alone","stroma_x",6.01481995099189,1.4387139508197,25.1461098450027,0.0139575294702684,383,156
