"cluster","cell_type","n_cells","Epithelial","Fibroblast","Tcell","Bcell","Plasma","Myeloid","Endothelial","Mast"
"0","Epithelial",7294,0.8,-0.255,-0.283,-0.282,-0.085,-0.107,-0.174,-0.217
"1","Epithelial",4642,0.611,-0.269,-0.302,-0.292,-0.195,0.008,-0.193,-0.214
"2","Epithelial",3877,0.286,-0.245,-0.227,-0.343,-0.363,0.052,-0.236,-0.217
"3","Plasma",2571,-0.98,-0.262,-0.252,1.877,4.553,-0.466,-0.187,-0.176
"4","Epithelial",2548,0.405,-0.285,-0.236,-0.306,-0.238,-0.049,-0.222,-0.207
"5","Tcell",2534,-1.28,-0.25,4.156,-0.133,-0.06,-0.534,-0.182,-0.191
"6","Epithelial",2532,0.717,-0.315,-0.34,-0.334,-0.352,0.023,-0.253,-0.239
"7","Epithelial",2397,0.723,-0.337,-0.343,-0.342,-0.421,0.051,-0.256,-0.26
"8","Myeloid",2347,0.071,-0.294,-0.303,-0.294,-0.177,0.177,-0.203,-0.202
"9","Epithelial",1998,0.551,-0.299,-0.345,-0.335,-0.388,0.08,-0.254,-0.25
"10","Fibroblast",1523,-1.125,2.854,-0.178,-0.273,-0.201,-0.309,-0.198,-0.208
"11","Endothelial",1410,-0.257,-0.288,-0.284,-0.307,-0.199,-0.295,-0.161,-0.174
"12","Epithelial",1269,0.933,-0.32,-0.344,-0.333,-0.212,-0.222,-0.241,-0.228
"13","Epithelial",1173,0.921,-0.29,-0.332,-0.326,-0.318,-0.149,-0.246,-0.233
"14","Endothelial",1109,-1.082,0.043,-0.186,0.211,-0.084,-0.222,4.574,-0.203
"15","Epithelial",1016,0.398,0.322,-0.318,-0.332,-0.354,-0.319,-0.248,-0.255
"16","Epithelial",996,0.723,-0.31,-0.342,-0.306,-0.161,-0.086,-0.257,-0.221
"17","Endothelial",838,-0.029,-0.228,-0.239,-0.266,-0.014,-0.367,0,-0.168
"18","Myeloid",462,-1.263,-0.253,-0.01,-0.314,-0.177,3.509,-0.228,-0.069
"19","Epithelial",453,0.757,-0.292,-0.34,-0.338,-0.17,-0.261,-0.26,-0.207
"20","Mast",425,-1.121,-0.27,-0.278,0.048,-0.314,-0.098,-0.255,4.583
"21","Fibroblast",305,-0.819,2.116,-0.318,-0.16,-0.099,-0.233,-0.137,-0.199
"22","Bcell",273,0.059,-0.274,1.644,3.479,0.03,-0.182,-0.184,-0.244
