"gene","dominant_cell_type","frac_in_dominant","panel"
"ANTXR1","Fibroblast",0.863,"stromal_hub"
"COL3A1","Fibroblast",0.969,"stromal_hub"
"COL6A3","Fibroblast",0.977,"stromal_hub"
"SPARC","Fibroblast",0.653,"stromal_hub"
"COL1A2","Fibroblast",0.978,"stromal_hub"
"LUM","Fibroblast",0.974,"stromal_hub"
"DCN","Fibroblast",0.977,"stromal_hub"
"POSTN","Fibroblast",0.973,"stromal_hub"
"COL1A1","Fibroblast",0.972,"stromal_hub"
"MXRA8","Fibroblast",0.98,"stromal_hub"
"FN1","Fibroblast",0.914,"stromal_hub"
"COL8A1","Fibroblast",0.998,"stromal_hub"
"VCAN","Fibroblast",0.972,"stromal_hub"
"GFPT2","Fibroblast",0.527,"stromal_hub"
"THBS2","Fibroblast",0.82,"stromal_hub"
"AEBP1","Fibroblast",0.924,"stromal_hub"
"BGN","Fibroblast",0.972,"stromal_hub"
"SULF1","Fibroblast",0.773,"stromal_hub"
"COL5A1","Fibroblast",0.937,"stromal_hub"
"BICC1","Fibroblast",0.97,"stromal_hub"
"FBN1","Fibroblast",0.932,"stromal_hub"
"ISLR","Fibroblast",0.902,"stromal_hub"
"CDH11","Fibroblast",0.96,"stromal_hub"
"FAP","Endothelial",0.707,"stromal_hub"
"SFRP4","Fibroblast",0.987,"stromal_hub"
"SCARF2","Fibroblast",0.736,"stromal_hub"
"PRRX1","Fibroblast",0.979,"stromal_hub"
"FNDC1","Fibroblast",0.983,"stromal_hub"
"ITGA11","Fibroblast",0.984,"stromal_hub"
"MATN3","Fibroblast",0.914,"signature"
"PROC","Endothelial",0.387,"signature"
"CIDEC","Epithelial",0.665,"signature"
"SLCO2A1","Endothelial",0.799,"signature"
"AADAC","Epithelial",0.56,"signature"
"TRIM31","Epithelial",0.429,"signature"
"NT5E","Myeloid",0.267,"signature"
"SERPINE1","Endothelial",0.503,"signature"
"HBB","Endothelial",0.324,"signature"
"PEX5","Endothelial",0.282,"signature"
"RASAL1","Bcell",0.322,"signature"
"POSTN","Fibroblast",0.973,"signature"
"PRSS21","Plasma",0.355,"signature"
"NETO2","Endothelial",0.377,"signature"
"RNF43","Epithelial",0.303,"signature"
"SLC5A1","Epithelial",0.332,"signature"
"APOD","Fibroblast",0.968,"signature"
"GPC3","Fibroblast",0.56,"signature"
"AATK","Endothelial",0.335,"signature"
"BATF2","Fibroblast",0.52,"signature"
"SP6","Epithelial",0.65,"signature"
"CDA","Endothelial",0.436,"signature"
"SRMS","Plasma",0.367,"signature"
"EGF","Epithelial",1,"signature"
