"gene","selection_freq","in_signature"
"NETO2",0.765,TRUE
"EGF",0.75,TRUE
"SRMS",0.725,TRUE
"SERPINE1",0.7,TRUE
"PRSS21",0.69,TRUE
"NT5E",0.655,TRUE
"POU1F1",0.62,TRUE
"RASAL1",0.605,TRUE
"GPC3",0.58,TRUE
"SP6",0.565,TRUE
"AATK",0.56,TRUE
"RNF43",0.53,TRUE
"PEX5",0.505,TRUE
"AADAC",0.435,TRUE
"SLC5A1",0.425,TRUE
"APOD",0.39,TRUE
"ENTPD2",0.385,FALSE
"POSTN",0.375,TRUE
"CDA",0.37,TRUE
"EPDR1",0.335,FALSE
"GAMT",0.335,FALSE
"TRIM31",0.315,TRUE
"RGS1",0.31,FALSE
"CIDEC",0.31,TRUE
"APCDD1",0.305,FALSE
"HBB",0.305,TRUE
"LTK",0.29,FALSE
"PROC",0.29,TRUE
"PRKCG",0.285,FALSE
"BATF2",0.28,TRUE
"SLCO2A1",0.275,TRUE
"ID1",0.27,FALSE
"GNAI1",0.265,FALSE
"HTRA3",0.26,FALSE
"CETP",0.25,FALSE
"EPHB3",0.25,FALSE
"MMP11",0.24,FALSE
"RPS4Y1",0.235,FALSE
"PLA1A",0.235,FALSE
"CA9",0.23,FALSE
"GABRB3",0.23,FALSE
"CYP4F11",0.23,FALSE
"ADRA2C",0.23,FALSE
"CNFN",0.225,FALSE
"MMRN1",0.225,FALSE
"PRSS2",0.225,FALSE
"MATN3",0.22,TRUE
"F5",0.22,FALSE
"PDIA2",0.215,FALSE
"EEF1A2",0.21,FALSE
"LIPG",0.21,FALSE
"TRIM54",0.21,FALSE
"FZD7",0.2,FALSE
"LGR6",0.195,FALSE
"SERPINE2",0.19,FALSE
"RAMP1",0.18,FALSE
"PACSIN3",0.18,FALSE
"WDR72",0.18,FALSE
"CST2",0.18,FALSE
"DKK1",0.175,FALSE
"SLC7A11",0.175,FALSE
"APOBEC3B",0.175,FALSE
"PDCD1",0.175,FALSE
"CTHRC1",0.17,FALSE
"EIF1AY",0.17,FALSE
"CD24",0.17,FALSE
"QPRT",0.165,FALSE
"CXCL3",0.165,FALSE
"ASPHD1",0.165,FALSE
"COL9A2",0.16,FALSE
"PCSK1N",0.16,FALSE
