"gene","coefficient","in_candidate_pool","selection_freq"
"NETO2",0.1379,TRUE,0.765
"EGF",0.1118,TRUE,0.75
"SRMS",-0.0946,TRUE,0.725
"SERPINE1",0.1274,TRUE,0.7
"PRSS21",0.1278,TRUE,0.69
"NT5E",0.0826,TRUE,0.655
"POU1F1",0.069,TRUE,0.62
"RASAL1",-0.1262,TRUE,0.605
"GPC3",0.0687,TRUE,0.58
"SP6",-0.1056,TRUE,0.565
"AATK",-0.0659,TRUE,0.56
"RNF43",-0.064,TRUE,0.53
"PEX5",-0.0139,TRUE,0.505
"AADAC",0.0898,TRUE,0.435
"SLC5A1",-0.0356,TRUE,0.425
"APOD",0.0754,TRUE,0.39
"POSTN",0.0394,TRUE,0.375
"CDA",0.0384,TRUE,0.37
"TRIM31",-0.0054,TRUE,0.315
"CIDEC",0.0219,TRUE,0.31
"HBB",0.0273,TRUE,0.305
"PROC",0.0408,TRUE,0.29
"BATF2",-0.0409,TRUE,0.28
"SLCO2A1",0.0019,TRUE,0.275
"MATN3",0.0407,TRUE,0.22
