"gene","logFC","AveExpr","t","P.Value","adj.P.Val","sig"
"CKAP2",1.6867703258833,-0.0235475696779916,8.33044607774995,8.06262250697086e-17,1.03999767717417e-12,"Up"
"NDC80",1.6432029340593,-0.0234836588859768,8.11527996842919,4.85143281677616e-16,3.12893159517979e-12,"Up"
"KIF23",1.62811440588377,-0.023413988591035,8.04076231274711,8.93660470834007e-16,3.84244213776262e-12,"Up"
"PBK",1.59407701206983,-0.0235665827202064,7.87266196770125,3.47477022735024e-15,1.12052652906477e-11,"Up"
"PRR11",1.58604922658222,-0.0235284524370117,7.83301517459486,4.767146531669e-15,1.22982846223997e-11,"Up"
"CST1",1.58125171603537,-0.0233591579888577,7.80932172783171,5.754520983722e-15,1.23712610281717e-11,"Up"
"CHEK1",1.5731059618275,-0.023542953625548,7.7690923230633,7.91160768380793e-15,1.45788325019198e-11,"Up"
"NUF2",1.56509591147193,-0.023474665763875,7.72953311838486,1.08029438312741e-14,1.71768142383635e-11,"Up"
"ECT2",1.56024658167246,-0.0234251149680641,7.70558375207945,1.303510736201e-14,1.71768142383635e-11,"Up"
"CST2",1.55969445658547,-0.0236262514220812,7.70285697405,1.33163921531619e-14,1.71768142383635e-11,"Up"
"WDHD1",1.55427526470596,-0.0235622050686337,7.67609323209622,1.64143461122176e-14,1.92480591364996e-11,"Up"
"CENPF",1.53307413441494,-0.023439350766555,7.57138729201262,3.69535971420732e-14,3.97220374613002e-11,"Up"
"DLGAP5",1.52095764909187,-0.0235100556886231,7.51154765285911,5.84748189727317e-14,4.11260187922906e-11,"Up"
"TOP2A",1.52041391070779,-0.0235021718835709,7.50886229420687,5.96866675039393e-14,4.11260187922906e-11,"Up"
"PRC1",1.52040886477885,-0.0236119021488519,7.50883737389717,5.96980283745544e-14,4.11260187922906e-11,"Up"
"KIF4A",1.52038463854051,-0.023510122771407,7.50871772786766,5.97526031791914e-14,4.11260187922906e-11,"Up"
"TYMS",1.520323604262,-0.0236529427564356,7.5084162981127,5.98903135416124e-14,4.11260187922906e-11,"Up"
"HELLS",1.52004127777359,-0.0234558122882383,7.50702197337748,6.05313915304588e-14,4.11260187922906e-11,"Up"
"TRIP13",1.52002090942048,-0.0235113405476488,7.50692138027083,6.05779019345314e-14,4.11260187922906e-11,"Up"
"KIF20A",1.51585670141368,-0.023497470189397,7.48635562231029,7.0863101246255e-14,4.57031571487722e-11,"Up"
"SKA3",1.5139301291477,-0.0235154861052139,7.47684086731938,7.61847855629394e-14,4.67955975703026e-11,"Up"
"BUB1B",1.5096826655265,-0.0234868321305398,7.45586393517835,8.93438011178894e-14,4.98553788926947e-11,"Up"
"CCNB1",1.50917553300027,-0.0235977966837055,7.45335936173454,9.10570653753377e-14,4.98553788926947e-11,"Up"
"CCNB2",1.50868026955957,-0.023578624159565,7.45091340609746,9.27613840937027e-14,4.98553788926947e-11,"Up"
"CEP55",1.50754314492666,-0.0234675298739657,7.44529749307551,9.67940239846264e-14,4.99418446151079e-11,"Up"
"TPX2",1.50313020246191,-0.0234642068172352,7.4235033112105,1.14141379297177e-13,5.62475974258942e-11,"Up"
"LACTB2",1.50229862652702,-0.0236623655851352,7.41939641036048,1.17736656368644e-13,5.62475974258942e-11,"Up"
"ANLN",1.49866644045629,-0.0234848626890533,7.40145814707574,1.34789415057507e-13,6.20945951723853e-11,"Up"
"CDC6",1.49204158058707,-0.0235838150704044,7.36873997728918,1.72364217469294e-13,7.56876003889703e-11,"Up"
"CLDN1",1.49147307844239,-0.0235484169028915,7.36593231794831,1.76031321162037e-13,7.56876003889703e-11,"Up"
"NCAPG",1.48939168584657,-0.0235541343817371,7.3556529523939,1.90123088419159e-13,7.91096037909268e-11,"Up"
"ATAD2",1.48715592019411,-0.0234986294859865,7.34461118522236,2.06495246973127e-13,8.32369434595738e-11,"Up"
"STIL",1.48599340532548,-0.0234495717612234,7.33886987754154,2.15547632310004e-13,8.4252997247477e-11,"Up"
"SHCBP1",1.48127655622435,-0.0235543319913869,7.31557479314808,2.56449691107068e-13,9.72924872232372e-11,"Up"
"FEN1",1.48000294441399,-0.0236302640463241,7.30928481143135,2.68743128051133e-13,9.90433602494732e-11,"Up"
"COL1A1",1.47840208725876,-0.0235452148820214,7.30137866439684,2.85018846498735e-13,1.02123836138533e-10,"Up"
"CDKN3",1.47509028266238,-0.0236209727373601,7.28502266785906,3.21823248291201e-13,1.12194542694816e-10,"Up"
"FANCI",1.47064827972547,-0.0235321485715881,7.26308496515273,3.7860078312947e-13,1.28515039515448e-10,"Up"
"RFC3",1.46822763889764,-0.0235602782564316,7.25113015566836,4.13569484441028e-13,1.36785455892431e-10,"Up"
"THY1",1.46167853463843,-0.0236359520219538,7.21878611981963,5.2486251966823e-13,1.69255041030013e-10,"Up"
"KIF11",1.45734467417022,-0.0235259257586715,7.19738249990475,6.1417077227061e-13,1.90816031381856e-10,"Up"
"DSCC1",1.45702545033071,-0.0235374848359058,7.19580595036449,6.2130966106194e-13,1.90816031381856e-10,"Up"
"RAD51AP1",1.45605590579772,-0.0235237912443831,7.19101766453321,6.43494978350762e-13,1.93033528505732e-10,"Up"
"PRKDC",1.45397377594865,-0.0236211724061673,7.18073465790902,6.93799837807947e-13,2.03393729724652e-10,"Up"
"MFAP2",1.45096540708027,-0.0236543360351714,7.16587723822627,7.73366426704986e-13,2.21681189734836e-10,"Up"
"CDCA2",1.44812372441303,-0.0235308682258652,7.15184303103979,8.56717061500774e-13,2.3796965932085e-10,"Up"
"BUB1",1.44778929019345,-0.0234863414369022,7.15019136205436,8.67088455545386e-13,2.3796965932085e-10,"Up"
"PLK1",1.4447219634319,-0.023587181004039,7.13504276725291,9.68144670758332e-13,2.5598919841314e-10,"Up"
"RTKN2",1.44459873285621,-0.0236046573933015,7.13443416888588,9.72437454240165e-13,2.5598919841314e-10,"Up"
"FAP",1.44130589685821,-0.0235672325943201,7.11817185249147,1.09432232233464e-12,2.82313272715891e-10,"Up"
"DTL",1.43868306844155,-0.0235083681552715,7.10521849994491,1.20202426902277e-12,3.04017863649505e-10,"Up"
"GJB2",1.4358949870833,-0.0236073812808016,7.09144901333561,1.32791830024166e-12,3.294003491311e-10,"Up"
"BRIP1",1.42646726156428,-0.0235626525198672,7.04488834181625,1.85715028899112e-12,4.471549878742e-10,"Up"
"MKI67",1.42624334092877,-0.0234896162292544,7.0437824658406,1.87195669006952e-12,4.471549878742e-10,"Up"
"PDSS1",1.4245818816559,-0.0236575815550885,7.03557702336239,1.98549462356973e-12,4.65652639080471e-10,"Up"
"SLC43A3",1.42258047283524,-0.0236537636734818,7.02569267336866,2.13125769606438e-12,4.90912375384542e-10,"Up"
"GINS1",1.42011065315858,-0.0235576292352482,7.013494984494,2.3256619028957e-12,5.26293208516695e-10,"Up"
"MYB",1.41875258240833,-0.0236408339217355,7.00678788573778,2.43986232504954e-12,5.42616967772654e-10,"Up"
"KIF14",1.41545302355824,-0.0234065111403583,6.9904923672198,2.7407314701739e-12,5.98800620054813e-10,"Up"
"DEPDC1",1.4149943677723,-0.023574780372656,6.98822720566553,2.78533508049374e-12,5.98800620054813e-10,"Up"
"COL1A2",1.41161554404438,-0.023649035676656,6.97154022200229,3.136594492621e-12,6.63261186234725e-10,"Up"
"CDK1",1.40810476255754,-0.0235246647601116,6.954201539066,3.54754592823439e-12,7.3245636027054e-10,"Up"
"SULF1",1.40786557239104,-0.0236332547351064,6.95302025151679,3.57738977417195e-12,7.3245636027054e-10,"Up"
"ARHGAP11A",1.4067253377387,-0.0235016904551073,6.94738897905393,3.7230749552095e-12,7.5037412261324e-10,"Up"
"DEPDC1B",1.40094664955899,-0.0235590466136318,6.9188497941142,4.55564696359305e-12,8.99978188053036e-10,"Up"
"SGPL1",1.40063812314033,-0.0236624024309785,6.9173260758849,4.60489653550666e-12,8.99978188053036e-10,"Up"
"GGH",1.39941234480587,-0.0236624416023992,6.91127232917037,4.80577377191836e-12,9.12234429124095e-10,"Up"
"ASPM",1.39939276951686,-0.0234754049082482,6.91117565276632,4.80905040549178e-12,9.12234429124095e-10,"Up"
"BRCA2",1.39864759172057,-0.0235268044010874,6.90749544606886,4.93542454394742e-12,9.20768569184762e-10,"Up"
"MMP14",1.39829237318859,-0.0236614218612097,6.90574112968028,4.99680594177326e-12,9.20768569184762e-10,"Up"
"DKC1",1.39724680079032,-0.0235783331586582,6.9005773653251,5.18185529246605e-12,9.35096222850287e-10,"Up"
"NME1",1.39674751821813,-0.0236579265036122,6.89811156041893,5.27257373602297e-12,9.35096222850287e-10,"Up"
"PLAU",1.39664148040994,-0.0236376818957369,6.89758787190618,5.29204002388332e-12,9.35096222850287e-10,"Up"
"THBS2",1.39513368095173,-0.0236578734939662,6.89014130855965,5.57658225115037e-12,9.64717763746456e-10,"Up"
"EXO1",1.39496537681335,-0.0235127090367091,6.88931010556308,5.60925903410994e-12,9.64717763746456e-10,"Up"
"LDHA",1.39438799572811,-0.0235822948902669,6.88645859583285,5.72279200238781e-12,9.71293342615795e-10,"Up"
"CLDN7",1.39320630117778,-0.0236250473452113,6.88062256553234,5.96222037834349e-12,9.98788060522762e-10,"Up"
"CDC45",1.39247727107162,-0.0235866469354398,6.87702210736964,6.11480045714519e-12,1.01121552688097e-09,"Up"
"LAPTM4B",1.39066545473791,-0.0236432180530213,6.86807409705715,6.51076582751894e-12,1.05343550991696e-09,"Up"
"PLA2G7",1.39056500148682,-0.023573100760532,6.86757798897491,6.53343986304027e-12,1.05343550991696e-09,"Up"
"KIF2C",1.38942440662368,-0.0235776403609615,6.86194493754041,6.79638230938064e-12,1.0700135175414e-09,"Up"
"MYO1B",1.389399817273,-0.0236333573856942,6.86182349820939,6.8021636125587e-12,1.0700135175414e-09,"Up"
"KNTC1",1.38729813328437,-0.0235538538569813,6.85144391963186,7.31452464132364e-12,1.13674763070402e-09,"Up"
"CHRNA5",1.38221623754569,-0.0236615780083823,6.82634598082289,8.71481547502075e-12,1.31888329130913e-09,"Up"
"ITGA2",1.38216163459934,-0.0236617657747725,6.82607631346317,8.73120335378146e-12,1.31888329130913e-09,"Up"
"POLD3",1.38195584980688,-0.0236603723157612,6.82506000490538,8.7932369216672e-12,1.31888329130913e-09,"Up"
"SFRP4",1.37982927778753,-0.0236604665126341,6.8145575119069,9.46011784475214e-12,1.40259839171791e-09,"Up"
"ZWILCH",1.37925739480582,-0.0235385655060814,6.81173315563929,9.64775396160315e-12,1.40556417189396e-09,"Up"
"PON2",1.37910593777251,-0.0236565679912452,6.81098515537528,9.69805498864736e-12,1.40556417189396e-09,"Up"
"CTSC",1.37824771259611,-0.0236585333815999,6.80674664201939,9.98797399669001e-12,1.43149862870338e-09,"Up"
"FOXM1",1.37533897700206,-0.0235683955008316,6.79238128080283,1.10351514018649e-11,1.56420239486434e-09,"Up"
"CKS2",1.37426950465725,-0.0236211356477152,6.78709948187421,1.14466103444937e-11,1.59891375388962e-09,"Up"
"AQP4",-1.37380982238697,-0.0201045742649629,-6.78482925082576,1.16280478681845e-11,1.59891375388962e-09,"Down"
"SF3B3",1.37374990812361,-0.0236589534554993,6.78453335248526,1.16519026952186e-11,1.59891375388962e-09,"Up"
"CTSB",1.37309073249654,-0.0236508236560713,6.78127788436797,1.19175387337772e-11,1.60684578212311e-09,"Up"
"MCM4",1.37298951587508,-0.0236315216160211,6.78077800623146,1.195884914209e-11,1.60684578212311e-09,"Up"
"PMEPA1",1.37243820473627,-0.0236467416057801,6.77805524804476,1.21863351901863e-11,1.62053131565169e-09,"Up"
"TTK",1.36976138202902,-0.023563882188737,6.76483523410431,1.33525231009079e-11,1.75437031013649e-09,"Up"
"UBE2T",1.36951583536362,-0.0235853290514148,6.76362255373858,1.34648159317399e-11,1.75437031013649e-09,"Up"
"BRCA1",1.3691702325921,-0.0236221491234121,6.76191572666897,1.3624434721059e-11,1.7574158346694e-09,"Up"
"BGN",1.36770573419243,-0.0235791980200897,6.75468301409264,1.43216367343315e-11,1.81200056397601e-09,"Up"
"COL3A1",1.36769155063068,-0.0236461212514387,6.75461296579114,1.43285570606677e-11,1.81200056397601e-09,"Up"
"ENO1",1.36589823636774,-0.0236228355729298,6.74575633158393,1.52304382288042e-11,1.89137572245385e-09,"Up"
"COL5A2",1.3658615003208,-0.0236161774118621,6.74557490341115,1.52494825285061e-11,1.89137572245385e-09,"Up"
"SPC25",1.36522554923964,-0.02359784918694,6.74243413426888,1.55828857429322e-11,1.91432041141031e-09,"Up"
"ADNP",1.3636734538899,-0.0236581693760642,6.73476880697437,1.64268453986972e-11,1.99896112073392e-09,"Up"
"SMC2",1.36309322045065,-0.0236355798365483,6.73190321033442,1.67537103587171e-11,2.01968327025319e-09,"Up"
"CSTF3",1.36220813066722,-0.0236572660467804,6.72753202084784,1.72646145870601e-11,2.06200244035638e-09,"Up"
