"gene","logFC","AveExpr","t","P.Value","adj.P.Val","sig"
"ESM1",2.31580259502432,-0.0789302595612504,13.4418117420276,3.44170398732842e-41,4.43945397325493e-37,"Up"
"MTHFD1L",2.15274853669249,-0.0772915086374003,12.4953830781254,7.91587303378207e-36,5.10534231313775e-32,"Up"
"KIF14",2.11240313680003,-0.0785813448087326,12.2612028111301,1.46388075842986e-34,6.29419930099558e-31,"Up"
"CST1",2.10199370812005,-0.0804403404693391,12.2007824709167,3.08008619305016e-34,8.2383201763663e-31,"Up"
"INHBA",2.10148686272623,-0.0772994393111892,12.1978405447004,3.19339490517338e-34,8.2383201763663e-31,"Up"
"ACAN",2.08787601565757,-0.0647897388062431,12.1188379369913,8.3982624852471e-34,1.80548646328671e-30,"Up"
"HOXC9",2.07503588573176,-0.0652976790713406,12.0443088689365,2.07911678665915e-33,3.83121820444519e-30,"Up"
"CLSPN",2.05945172830597,-0.0729262172507586,11.9538524065742,6.20131049985353e-33,9.99883801720134e-30,"Up"
"COL10A1",1.99146073501031,-0.0739015125911695,11.5592064492731,6.63461452511473e-31,8.5579892759455e-28,"Up"
"NFE2L3",1.98040126093171,-0.0610742230726582,11.4950129947663,1.39816344192423e-30,1.63953729430733e-27,"Up"
"DLEU7",1.97660106974229,-0.0658469553274295,11.4729552189172,1.80463849865758e-30,1.93983599951534e-27,"Up"
"ECT2",1.97110832965011,-0.0778005398594481,11.441073236219,2.60744315618552e-30,2.58718532858747e-27,"Up"
"STIL",1.96240634917414,-0.0767223793093686,11.3905635841475,4.66147227539157e-30,4.00855539201839e-27,"Up"
"CENPF",1.9555477808226,-0.0771806216907613,11.3507538072696,7.35542606499255e-30,5.87976487137533e-27,"Up"
"ASPM",1.9547622009521,-0.0755090658891139,11.3461939986096,7.74912805747582e-30,5.87976487137533e-27,"Up"
"KIF23",1.95084022755987,-0.0782713028346859,11.3234293518695,1.00501598827475e-29,7.20205624042003e-27,"Up"
"GABRD",1.92597589045521,-0.0593613173858759,11.1791071461818,5.16251940076292e-29,3.50480725002321e-26,"Up"
"HELLS",1.92360728627988,-0.0764368016806947,11.1653588536959,6.02690547285805e-29,3.8870526847198e-26,"Up"
"TPX2",1.91364030596699,-0.0760453049778958,11.10750665451,1.15375596826464e-28,7.08185999668431e-26,"Up"
