"Genus","log2FC","p_value","p_adjusted","sig"
"1-68",-1.07437548980946,2.54296583955055e-30,4.60483003378072e-30,"Enriched_Normal"
"Acidisphaera",-1.73802440633275,1.70160534923587e-47,3.67766317415494e-47,"Enriched_Normal"
"Acinetobacter",-3.1101588662189,3.61577416385924e-18,5.38348597730153e-18,"Enriched_Normal"
"Actinobacillus",-1.07068242359037,2.61789465370038e-28,4.49740876404937e-28,"Enriched_Normal"
"Actinomyces",-1.15077156479019,8.8263829519513e-28,1.47841914445184e-27,"Enriched_Normal"
"Albidovulum",-3.16895648843296,3.91541186954254e-84,1.74888396839567e-83,"Enriched_Normal"
"Alloiococcus",-1.32339081767449,3.90943585259665e-30,6.89295268747304e-30,"Enriched_Normal"
"Anaerosinus",-0.765223617825739,3.17629961001205e-14,4.17278576217269e-14,"Enriched_Normal"
"Atopobium",-0.348052207009682,6.46361177164296e-06,7.09937686393572e-06,"Enriched_Normal"
"Atopostipes",-4.49762818317617,4.3459701293097e-74,1.61766665924306e-73,"Enriched_Normal"
"Bacillus",-0.781644553326439,3.52391878331873e-14,4.54043381696836e-14,"Enriched_Normal"
"Bacteroides",-1.87282480675544,2.67902765191993e-56,7.80412402950588e-56,"Enriched_Normal"
"Bergeyella",4.09745022632578,8.36453284615718e-181,2.47295122320405e-179,"Enriched_Tumor"
"Bordetella",-1.8586522674334,5.47436576845242e-16,7.64130221846483e-16,"Enriched_Normal"
"Brevundimonas",-5.17385535598799,2.81620299313591e-94,1.57238000450088e-93,"Enriched_Normal"
"Bulleidia",-0.883500548057901,1.76227427088754e-22,2.74586921277826e-22,"Enriched_Normal"
"Campylobacter",-0.165915552329934,0.324461379994758,0.32937746150983,"NS"
"Capnocytophaga",-3.92183986293881,2.15576790496011e-79,9.02727810202047e-79,"Enriched_Normal"
"Catenibacterium",-1.09352466439644,1.58787750899409e-08,1.86645251057201e-08,"Enriched_Normal"
"Catonella",-0.367414571792444,0.560392937325512,0.560392937325512,"NS"
"Clostridium",4.0358005630638,4.8277737367648e-180,8.08652100908104e-179,"Enriched_Tumor"
"Collinsella",-1.91026128866917,1.09527033841103e-52,2.71789306198292e-52,"Enriched_Normal"
"Coprococcus",0.275761670008094,4.3434715218224e-15,5.93903248902247e-15,"Enriched_Tumor"
"Dietzia",-3.43213597794271,2.42557040278549e-76,9.55960099921342e-76,"Enriched_Normal"
"Faecalibacterium",-1.74517712565658,4.74391063516348e-52,1.09600693984811e-51,"Enriched_Normal"
"Fibrobacter",-0.133112576958847,2.84447187213543e-05,3.07386476504958e-05,"Enriched_Normal"
"Filifactor",-0.513954698825551,7.35704379866496e-12,9.30041385868966e-12,"Enriched_Normal"
