"ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Bergeyella",7.41930141564867,6.92350766563783,0.0843407608872039,82.0896988930089,0,0,"Bacteria","unclassified","unclassified","unclassified","unclassified","Bergeyella","Bergeyella_sp"
"Campylobacter",83.6956536028857,0.705180178095683,0.0102511374674468,68.790432313978,0,0,"Bacteria","unclassified","unclassified","unclassified","unclassified","Campylobacter","Campylobacter_sp"
"Clostridium",7.20403986318767,6.83488175118386,0.0843222982463825,81.0566349984072,0,0,"Bacteria","unclassified","unclassified","unclassified","unclassified","Clostridium","Clostridium_sp"
"Helcobacillus",23.7935039397652,-7.14206564806792,0.143703780359289,-49.6999148540928,0,0,"Bacteria","unclassified","unclassified","unclassified","unclassified","Helcobacillus","Helcobacillus_sp"
"Lachnoanaerobaculum",77.3634151086776,1.73627472317539,0.021535367615774,80.6243364010943,0,0,"Bacteria","unclassified","unclassified","unclassified","unclassified","Lachnoanaerobaculum","Lachnoanaerobaculum_sp"
"Methylobacterium",297.092748584108,-10.7346735646016,0.222845669255413,-48.1708870559118,0,0,"Bacteria","unclassified","unclassified","unclassified","unclassified","Methylobacterium","Methylobacterium_sp"
"Micrococcus",21.584298258195,-6.9728071810168,0.139200763411985,-50.0917308935999,0,0,"Bacteria","unclassified","unclassified","unclassified","unclassified","Micrococcus","Micrococcus_sp"
"Parvimonas",15.944937598954,7.9959560268315,0.08268190363764,96.7074495753558,0,0,"Bacteria","unclassified","unclassified","unclassified","unclassified","Parvimonas","Parvimonas_sp"
"Peptococcus",10.8435112752352,2.02670194001782,0.0357780567567553,56.6465069301216,0,0,"Bacteria","unclassified","unclassified","unclassified","unclassified","Peptococcus","Peptococcus_sp"
"Slackia",1.80354800044378,4.83950951794572,0.0940956640892608,51.4318015052732,0,0,"Bacteria","unclassified","unclassified","unclassified","unclassified","Slackia","Slackia_sp"
"Sphingomonas",360.879214273068,12.5811440613707,0.0815686759676621,154.239895549592,0,0,"Bacteria","unclassified","unclassified","unclassified","unclassified","Sphingomonas","Sphingomonas_sp"
"TG5",3.31022075854323,5.74180860038554,0.0884581807009073,64.909865372425,0,0,"Bacteria","unclassified","unclassified","unclassified","unclassified","TG5","TG5_sp"
"Treponema",32.60062896619,9.04785734538519,0.0818503683018856,110.541437174898,0,0,"Bacteria","unclassified","unclassified","unclassified","unclassified","Treponema","Treponema_sp"
"Brevundimonas",23.4543528651575,-6.34570898591481,0.170010769686681,-37.3253353161659,6.37220110857028e-305,2.9130062210607e-304,"Bacteria","unclassified","unclassified","unclassified","unclassified","Brevundimonas","Brevundimonas_sp"
"Ornithinimicrobium",36.3958067333321,-2.79232259764637,0.0796593535462884,-35.053292216636,3.4738702390483e-269,1.48218463532727e-268,"Bacteria","unclassified","unclassified","unclassified","unclassified","Ornithinimicrobium","Ornithinimicrobium_sp"
"Nitrobacter",5.96716201959671,-5.08133146547015,0.170773468053333,-29.7548063138428,1.50283045257609e-194,6.01132181030436e-194,"Bacteria","unclassified","unclassified","unclassified","unclassified","Nitrobacter","Nitrobacter_sp"
"Atopostipes",8.70214754509524,-5.63278341861521,0.19543675101978,-28.821515857297,1.15313578129882e-182,4.34121705900732e-182,"Bacteria","unclassified","unclassified","unclassified","unclassified","Atopostipes","Atopostipes_sp"
"Roseburia",45.472194817078,-2.43422381675216,0.0861952705883787,-28.2408048624463,1.84605775909699e-175,6.56376092123373e-175,"Bacteria","unclassified","unclassified","unclassified","unclassified","Roseburia","Roseburia_sp"
"Leifsonia",26.5249015573346,-2.64229668927079,0.098368014813678,-26.8613399820627,6.21755267547118e-159,2.09433353279029e-158,"Bacteria","unclassified","unclassified","unclassified","unclassified","Leifsonia","Leifsonia_sp"
"Capnocytophaga",4.74368670641498,-4.79918494127319,0.181017390622028,-26.512286608385,6.99504147828383e-155,2.23841327305082e-154,"Bacteria","unclassified","unclassified","unclassified","unclassified","Capnocytophaga","Capnocytophaga_sp"
"Albidovulum",2.7406980567166,-4.06362364322642,0.155688147915332,-26.1010468532027,3.54738689542694e-150,1.08110838717773e-149,"Bacteria","unclassified","unclassified","unclassified","unclassified","Albidovulum","Albidovulum_sp"
"Dietzia",3.39392886749196,-4.29309794523646,0.171377497081216,-25.0505347455387,1.72258063474542e-138,5.01114366471394e-138,"Bacteria","unclassified","unclassified","unclassified","unclassified","Dietzia","Dietzia_sp"
"Rickettsia",0.559873448353375,3.12726979285875,0.131549351288416,23.7725976010506,6.41636424749894e-125,1.78542309495623e-124,"Bacteria","unclassified","unclassified","unclassified","unclassified","Rickettsia","Rickettsia_sp"
"Selenomonas",147.679078457466,1.50494097278832,0.0780958680851916,19.2704301736763,9.5141963187285e-83,2.5371190183276e-82,"Bacteria","unclassified","unclassified","unclassified","unclassified","Selenomonas","Selenomonas_sp"
"Ruminococcus",34.6939981034058,-1.54079026145452,0.0860973186189881,-17.8959146018598,1.2689625277789e-71,3.24854407111398e-71,"Bacteria","unclassified","unclassified","unclassified","unclassified","Ruminococcus","Ruminococcus_sp"
"Paraprevotella",3.04087258721949,-3.56913459748789,0.200829282086148,-17.7719830515396,1.16498671707923e-70,2.86765961127196e-70,"Bacteria","unclassified","unclassified","unclassified","unclassified","Paraprevotella","Paraprevotella_sp"
"Novosphingobium",2.92041291634925,-4.06121820567002,0.244593718050649,-16.6039350398568,6.52682335799759e-62,1.54709887004387e-61,"Bacteria","unclassified","unclassified","unclassified","unclassified","Novosphingobium","Novosphingobium_sp"
"Leptotrichia",162.418879300091,1.29258329279133,0.0781860287230862,16.5321517654939,2.15317888575847e-61,4.9215517388765e-61,"Bacteria","unclassified","unclassified","unclassified","unclassified","Leptotrichia","Leptotrichia_sp"
"Collinsella",11.8290964366188,-1.33748125329674,0.0852207145921168,-15.6943210309628,1.65402883484173e-55,3.6502705320645e-55,"Bacteria","unclassified","unclassified","unclassified","unclassified","Collinsella","Collinsella_sp"
"Mitsuokella",1.70554009309837,-3.27437797107194,0.233851475203172,-14.0019555926562,1.51639888607845e-44,3.23498429030069e-44,"Bacteria","unclassified","unclassified","unclassified","unclassified","Mitsuokella","Mitsuokella_sp"
"Acidisphaera",0.777175771158358,-2.34262906760245,0.170373277535844,-13.7499794655861,5.09439834946708e-43,1.05174675601901e-42,"Bacteria","unclassified","unclassified","unclassified","unclassified","Acidisphaera","Acidisphaera_sp"
"Serpens",2.30939654261175,-3.71776177747691,0.29255267100203,-12.7080083211789,5.33766250287316e-37,1.06753250057463e-36,"Bacteria","unclassified","unclassified","unclassified","unclassified","Serpens","Serpens_sp"
"Catonella",20.5943360406917,0.758794358299079,0.0615100972409866,12.3360942728841,5.78969664045482e-35,1.12285025754275e-34,"Bacteria","unclassified","unclassified","unclassified","unclassified","Catonella","Catonella_sp"
"Neisseria",491.492940796215,-0.361837237976848,0.030890081834912,-11.7137027966012,1.08438259164269e-31,2.04119076073918e-31,"Bacteria","unclassified","unclassified","unclassified","unclassified","Neisseria","Neisseria_sp"
"Bacteroides",95.7404427947373,-1.00288977387191,0.0856673629117828,-11.7067893744395,1.17650799098122e-31,2.15132889779424e-31,"Bacteria","unclassified","unclassified","unclassified","unclassified","Bacteroides","Bacteroides_sp"
"Lactobacillus",859.473086292586,1.10104002903651,0.09439245706567,11.6644916687624,1.93555666675725e-31,3.44098962979066e-31,"Bacteria","unclassified","unclassified","unclassified","unclassified","Lactobacillus","Lactobacillus_sp"
"Faecalibacterium",47.1386932483218,-0.78398909418914,0.0674660363580667,-11.6205002770316,3.24232054822927e-31,5.60833824558577e-31,"Bacteria","unclassified","unclassified","unclassified","unclassified","Faecalibacterium","Faecalibacterium_sp"
"Bordetella",7.53166420138959,-0.934415153122346,0.0836976282229531,-11.1641772050369,6.10538728080539e-29,1.0282757525567e-28,"Bacteria","unclassified","unclassified","unclassified","unclassified","Bordetella","Bordetella_sp"
"Odoribacter",0.520866819262725,-1.78793601288575,0.163534569836768,-10.9330768085939,8.00860381170737e-28,1.31423242038275e-27,"Bacteria","unclassified","unclassified","unclassified","unclassified","Odoribacter","Odoribacter_sp"
"Acinetobacter",10.0509201142126,-5.88050954971945,0.545912917595299,-10.7718820350004,4.67348797120249e-27,7.47758075392398e-27,"Bacteria","unclassified","unclassified","unclassified","unclassified","Acinetobacter","Acinetobacter_sp"
"Atopobium",57.8747018995306,0.650321254643105,0.0614876373310818,10.5764554123528,3.83181295046698e-26,5.9813665568265e-26,"Bacteria","unclassified","unclassified","unclassified","unclassified","Atopobium","Atopobium_sp"
"Peptostreptococcus",156.500073351452,0.780775392341924,0.0786303793749676,9.92969127897261,3.0921139419545e-23,4.71179267345448e-23,"Bacteria","unclassified","unclassified","unclassified","unclassified","Peptostreptococcus","Peptostreptococcus_sp"
"Alloiococcus",0.924527657981495,-2.34558933824625,0.264856708797478,-8.85606918886772,8.28854453974761e-19,1.23364383847406e-18,"Bacteria","unclassified","unclassified","unclassified","unclassified","Alloiococcus","Alloiococcus_sp"
"Filifactor",9.81244927776594,0.322195738001282,0.0439383237511335,7.33290918939461,2.25209548112566e-13,3.27577524527369e-13,"Bacteria","unclassified","unclassified","unclassified","unclassified","Filifactor","Filifactor_sp"
"Catenibacterium",2.03561911423868,-1.13677407706391,0.15676469050985,-7.25146761918614,4.12279598256969e-13,5.86353206409912e-13,"Bacteria","unclassified","unclassified","unclassified","unclassified","Catenibacterium","Catenibacterium_sp"
"1-68",0.632175483601182,-1.8669553327153,0.260287342161083,-7.17267046954558,7.3548743753263e-13,1.02328686961062e-12,"Bacteria","unclassified","unclassified","unclassified","unclassified","1-68","1-68_sp"
"Oribacterium",38.5091015005784,-0.281220900893275,0.0396856016985579,-7.08621990991494,1.37824741505907e-12,1.87676243752725e-12,"Bacteria","unclassified","unclassified","unclassified","unclassified","Oribacterium","Oribacterium_sp"
"Rothia",410.488480347838,-0.597737044175228,0.0975163782805576,-6.12960668468963,8.80965855311682e-10,1.17462114041558e-09,"Bacteria","unclassified","unclassified","unclassified","unclassified","Rothia","Rothia_sp"
"Prevotella",1374.42328896875,0.546408784235604,0.106868498899845,5.11290782466859,3.17237118275227e-07,4.14350521828868e-07,"Bacteria","unclassified","unclassified","unclassified","unclassified","Prevotella","Prevotella_sp"
"Vestibaculum",15.3478899911019,0.294711334416761,0.0594699079780906,4.95563797619017,7.20933408339886e-07,9.22794762675054e-07,"Bacteria","unclassified","unclassified","unclassified","unclassified","Vestibaculum","Vestibaculum_sp"
"Actinobacillus",147.985680332274,-0.111375693002784,0.0233343778393835,-4.77303032330285,1.81474454813113e-06,2.2773264917724e-06,"Bacteria","unclassified","unclassified","unclassified","unclassified","Actinobacillus","Actinobacillus_sp"
"Streptococcus",2355.75801178232,0.527875844126228,0.112004037654624,4.71300727348766,2.44087480950157e-06,3.00415361169424e-06,"Bacteria","unclassified","unclassified","unclassified","unclassified","Streptococcus","Streptococcus_sp"
"Coprococcus",0.169488597980115,1.35308294278831,0.295091622242773,4.58529772043181,4.53339987080569e-06,5.47429418361442e-06,"Bacteria","unclassified","unclassified","unclassified","unclassified","Coprococcus","Coprococcus_sp"
"Anaerosinus",488.896748374315,0.319961799902396,0.0960516131694749,3.33114446852496,0.000864897032285036,0.00102506314937486,"Bacteria","unclassified","unclassified","unclassified","unclassified","Anaerosinus","Anaerosinus_sp"
"Bacillus",342.936221947559,0.30678153270392,0.0923005164041865,3.32372498719851,0.000888237420188647,0.00103358536167406,"Bacteria","unclassified","unclassified","unclassified","unclassified","Bacillus","Bacillus_sp"
"Moryella",27.7972006584242,-0.217393719699184,0.0714694349910789,-3.04177190887714,0.00235190037877251,0.00268788614716859,"Bacteria","unclassified","unclassified","unclassified","unclassified","Moryella","Moryella_sp"
