Genus,Mean_Normal,Mean_Tumor,Fold_Change,log2FC,Cohens_d,p_value,p_adjusted
Clostridium,0.0853462157809984,16.80185758513932,16.402008249809374,4.035800563063798,2.8736239477607586,2.0694369455870142e-140,3.466306883858249e-139
Parvimonas,0.0821256038647343,37.39318885448916,35.47942005749668,5.148910522592527,2.978724999253521,1.6831006102916164e-140,3.466306883858249e-139
Sphingomonas,0.05314009661835749,852.5882352941177,810.5172692930383,9.662699114639079,3.1432571768782727,1.6831006102916164e-140,3.466306883858249e-139
Treponema,0.07729468599033816,76.81733746130031,72.23403073761958,6.174606771467825,3.0962490296793623,1.6831006102916164e-140,3.466306883858249e-139
Bergeyella,0.06924315619967794,17.30340557275542,17.118094669700476,4.097450226325783,2.9147116291042243,1.5873428093906155e-139,2.127039364583425e-138
TG5,0.07890499194847021,7.804953560371517,8.161009195508527,3.028747567800837,2.3860297630575475,4.158057223870683e-135,4.643163899988929e-134
Slackia,0.08051529790660225,4.195046439628483,4.807934186302963,2.2654171477661964,2.0479093349796558,3.286830211053271e-122,3.145966059150988e-121
Leifsonia,31.81803542673108,4.777089783281734,0.17603399192433547,-2.5060740566748607,-1.5088567068400918,1.732702760798125e-120,1.4511385621684296e-119
Helcobacillus,64.57648953301127,0.009287925696594427,0.015391002673122933,-6.021768968217631,-1.6039963628214724,5.359265310588174e-101,3.9896752867711964e-100
Methylobacterium,927.0128824476651,0.021671826625386997,0.0011009241853741226,-9.827069162854087,-1.1719287338677946,6.808478259172972e-101,4.5616804336458917e-100
Micrococcus,52.96779388083736,0.018575851393188854,0.018873772265774608,-5.727473389240945,-1.9333379760133425,6.944354069851665e-100,4.2297429334551046e-99
Brevundimonas,44.82125603864734,0.2693498452012384,0.027702205372341207,-5.173855355987992,-1.2033005418032894,1.2160212644993706e-89,6.789452060121486e-89
Nitrobacter,17.982286634460547,0.03715170278637771,0.0546378696496726,-4.193954956252309,-1.2063624548245744,1.216832781795273e-81,6.271368952329484e-81
Albidovulum,8.161030595813205,0.018575851393188854,0.11118572749431714,-3.168956488432963,-1.2136185596481304,1.4652990266089702e-72,7.012502484485786e-72
Capnocytophaga,14.484702093397745,0.021671826625386997,0.0659794305672177,-3.921839862938813,-1.1932231046675452,1.5396333787659334e-67,6.877029091821169e-67
Dietzia,10.194847020933977,0.03715170278637771,0.09264545561426073,-3.4321359779427087,-1.1951629496632268,7.0942405189138e-65,2.970713217295154e-64
Helicobacter,2609.6296296296296,2254.7925696594425,0.8640798924738597,-0.2107633853374966,-0.0763652451650458,2.9101887395637493e-64,1.1469567385339483e-63
Ornithinimicrobium,87.87600644122384,6.046439628482972,0.07928393624597632,-3.6568275993293047,-1.651403482394414,1.6377466520481664e-63,6.09605698262373e-63
Atopostipes,22.14975845410628,0.02476780185758514,0.04426688960444911,-4.497628183176167,-1.2871342187316643,7.151280727261764e-62,2.5217674143502007e-61
Roseburia,93.36876006441224,9.430340557275542,0.11052747275852963,-3.1775230837660526,-1.7277164892698014,9.042268470565443e-62,3.0291599376394234e-61
Ruminococcus,62.570048309178745,12.393188854489164,0.21068394960705653,-2.246847684407101,-1.3831920113332083,1.3877404176211358e-58,4.4275527609817195e-58
Rickettsia,0.0644122383252818,1.2476780185758514,2.111661194456284,1.0783783800146156,1.3129455954923954,1.538776863112771e-57,4.686274992207075e-57
Bacteroides,171.9307568438003,46.21671826625387,0.2730382907472172,-1.8728248067554378,-1.425510635165867,3.1127940037757076e-56,9.067704271868366e-56
Peptococcus,8.351046698872786,18.102167182662537,2.0427838505998683,1.0305365588606472,1.1848625820790737,4.476438694423808e-55,1.2496724688599798e-54
Lachnoanaerobaculum,61.17230273752013,115.3498452012384,1.8714096161508726,0.9041253717859641,1.1871139652170644,1.89138830840944e-54,5.0689206665372994e-54
Collinsella,20.77294685990338,4.792569659442725,0.26604435755594497,-1.9102612886691746,-1.257861598041673,1.507877518380288e-52,3.885684374287666e-52
Faecalibacterium,89.23349436392914,25.91640866873065,0.2982973103110865,-1.7451771256565813,-1.3572685384838838,5.3827752406293245e-52,1.3357257078598694e-51
Paraprevotella,5.296296296296297,0.19814241486068113,0.19029320706610817,-2.3937040325237477,-0.8969279563816871,3.329857445284497e-45,7.967873172645046e-45
Rothia,800.8727858293075,248.6749226006192,0.31136475387726503,-1.6833224526040609,-1.1913009957618137,5.824308478863253e-43,1.3456160968408205e-42
Lactobacillus,589.4524959742351,1069.0402476780187,1.812237656667829,0.8577721626763198,0.8676815794599035,3.0765106162605326e-42,6.870873709648523e-42
Neisseria,772.4267310789049,333.7863777089783,0.43286114153562066,-1.2080238009901538,-1.065147206664099,2.997968813082791e-39,6.47948098311442e-39
Novosphingobium,4.8019323671497585,0.018575851393188854,0.17555803600199008,-2.5099800591649926,-0.9016911101073628,3.737312827143841e-39,7.824998731832417e-39
Mitsuokella,2.9549114331723025,0.021671826625386997,0.2583298877582921,-1.9527135275978071,-0.8859658773868558,3.714839894945669e-35,7.542250695798783e-35
Acidisphaera,2.397745571658615,0.018575851393188854,0.29977990697401435,-1.7380244063327495,-1.0510381239392301,1.3139597734381753e-33,2.589273671186993e-33
Odoribacter,1.5603864734299517,0.02476780185758514,0.4002394999707927,-1.3210645398379435,-0.9549219332909231,1.2842545063141513e-31,2.458430054944233e-31
Actinobacillus,240.89371980676327,114.16408668730651,0.47609374389424125,-1.070682423590368,-0.987851504492556,2.6166138025932224e-28,4.869809021492942e-28
Actinomyces,191.23349436392914,85.57894736842105,0.4503842977775407,-1.1507715647901904,-0.949658249960345,9.457488422550601e-28,1.712572227867271e-27
[Prevotella],510.54911433172305,266.7647058823529,0.5234389003530093,-0.9339069499035131,-0.8724110701626001,1.5575870230360608e-27,2.746271856405686e-27
Selenomonas,137.7246376811594,208.40557275541795,1.5095052779067948,0.5940758011686281,0.7386470224538684,3.0177079691210128e-24,5.1842675366950726e-24
Bulleidia,47.77133655394525,25.436532507739937,0.5420506054513984,-0.883500548057901,-0.811772479966777,1.8838060643279227e-22,3.1553751577492705e-22
Serpens,3.9597423510466987,0.021671826625386997,0.20599292348518355,-2.2793333178098916,-0.8372257170733152,1.741692804592022e-21,2.8461809245772065e-21
Oribacterium,66.512077294686,27.57894736842105,0.42331607193296295,-1.2401928307578136,-0.9212166892657673,2.1722183510389123e-18,3.465205464752551e-18
Alloiococcus,1.5877616747181964,0.034055727554179564,0.3995946526516151,-1.323390817674485,-0.75736934520174,2.4200500880356776e-18,3.7707757185672185e-18
1-68,1.144927536231884,0.018575851393188854,0.4748765793657435,-1.074375489809464,-0.7189646479741355,1.293250320611499e-17,1.969267533658419e-17
