"gene_id","log2FoldChange","AveExpr","t","pvalue","padj","B","gene_id_clean","sig","hgnc_symbol","gene_biotype"
"ENSG00000180440.4",-4.91985736261742,-4.81159886979486,-21.3475324762581,0.000000000000000000000000000000000000000000000000000000000000000000000235014282708931,0.00000000000000000000000000000000000000000000000000000000000000000504011630697574,147.493024992417,"ENSG00000180440","Down","SERTM1","serine rich and transmembrane domain containing 1"
"ENSG00000172005.11",-6.01031179612532,0.49077682776323,-20.9612365670283,0.000000000000000000000000000000000000000000000000000000000000000000014272862050737,0.000000000000000000000000000000000000000000000000000000000000000153047899770052,145.432076495384,"ENSG00000172005","Down","MAL","mal, T cell differentiation protein"
"ENSG00000034971.17",-6.93973355606597,-1.68385480833045,-20.7515233712084,0.00000000000000000000000000000000000000000000000000000000000000000013262664310612,0.000000000000000000000000000000000000000000000000000000000000000948103662684617,143.041943832922,"ENSG00000034971","Down","MYOC","myocilin"
"ENSG00000163815.6",-3.7039057960284,0.507543527743196,-18.9831868252527,0.000000000000000000000000000000000000000000000000000000000018566773037572,0.0000000000000000000000000000000000000000000000000000000995457536409422,124.489116635627,"ENSG00000163815","Down","CLEC3B","C-type lectin domain family 3 member B"
"ENSG00000171885.18",-5.39155278380392,-3.60071664665625,-18.7487257985367,0.00000000000000000000000000000000000000000000000000000000022099865366679,0.000000000000000000000000000000000000000000000000000000947907425307594,121.407039705669,"ENSG00000171885","Down","AQP4","aquaporin 4"
"ENSG00000167916.5",-5.33250676594595,-4.58935280474658,-18.642661144963,0.000000000000000000000000000000000000000000000000000000000676834476062187,0.00000000000000000000000000000000000000000000000000000241923202893828,119.833867456955,"ENSG00000167916","Down","KRT24","keratin 24"
"ENSG00000168447.11",-4.86847895735913,-0.00324424231613867,-18.5145371579077,0.00000000000000000000000000000000000000000000000000000000261347529575689,0.00000000000000000000000000000000000000000000000000000800694159897176,119.634297878173,"ENSG00000168447","Down","SCNN1B","sodium channel epithelial 1 subunit beta"
"ENSG00000196344.11",-6.7450507536591,-3.56712311284826,-18.421290259636,0.00000000000000000000000000000000000000000000000000000000698084475122722,0.0000000000000000000000000000000000000000000000000000187138995668524,118.243574424091,"ENSG00000196344","Down","ADH7","alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"
"ENSG00000143196.5",-4.65199662204575,0.229722451527088,-18.1423617625087,0.000000000000000000000000000000000000000000000000000000131365043985528,0.000000000000000000000000000000000000000000000000000313028303701516,115.74522329516,"ENSG00000143196","Down","DPT","dermatopontin"
"ENSG00000109182.12",-5.88451057166414,-3.99941498491273,-17.6611542359825,0.0000000000000000000000000000000000000000000000000000204321950619882,0.0000000000000000000000000000000000000000000000000438188855299398,110.162479667374,"ENSG00000109182","Down","CWH43","cell wall biogenesis 43 C-terminal homolog"
