"gene","module_membership","gene_significance","hub_score"
"HAT1",0.740981734627519,NA,NA
"UCHL5",0.738334474858457,NA,NA
"ORC4",0.71602723698751,NA,NA
"NAE1",0.705494665957309,NA,NA
"RFC5",0.699378522571984,NA,NA
"RRM1",0.699145832634324,NA,NA
"MRPL19",0.696836291287321,NA,NA
"SNW1",0.694916303816068,NA,NA
"SAAL1",0.694188773693676,NA,NA
"ABHD10",0.687714973988264,NA,NA
"DLAT",0.684095921761373,NA,NA
"TMX1",0.678565937577746,NA,NA
"MRPL30",0.673743872210129,NA,NA
"ACP1",0.671605569818744,NA,NA
"PAPOLA",0.667481242805994,NA,NA
"CCT8",0.666932956516328,NA,NA
"NUDT21",0.664746874446707,NA,NA
"TRMT5",0.660324180970473,NA,NA
"TIMM17A",0.65874869833162,NA,NA
"ATG5",0.652930103132881,NA,NA
"PRDX3",0.652299985583857,NA,NA
"GRPEL1",0.64993667052907,NA,NA
"UBQLN1",0.646651143527409,NA,NA
"UBE2N",0.643860553024487,NA,NA
"TMED5",0.642294409267846,NA,NA
"CHUK",0.64142527033646,NA,NA
"MRPL39",0.641047784520783,NA,NA
"PPID",0.640419847628653,NA,NA
"C1QBP",0.639728706169751,NA,NA
"OXSM",0.637153683313916,NA,NA
"NAA35",0.635336035610713,NA,NA
"PPA2",0.634750179838461,NA,NA
"ARMC1",0.633330213819786,NA,NA
"GFM2",0.631493561864914,NA,NA
"GUF1",0.63110349338488,NA,NA
"RMND1",0.630898510364575,NA,NA
"VBP1",0.63030824693174,NA,NA
"FH",0.629324444547206,NA,NA
"DDX1",0.62889447775014,NA,NA
"AMD1",0.62814483257544,NA,NA
"MRPS22",0.627736597071707,NA,NA
"G3BP2",0.627270868846809,NA,NA
"PPP1R8",0.626329698500853,NA,NA
"ZFAND1",0.625351683335285,NA,NA
"BRCC3",0.622975509998239,NA,NA
"GSTCD",0.622099573532848,NA,NA
"MRPS30",0.621647736512336,NA,NA
"TOMM22",0.621589494693576,NA,NA
"PSMD10",0.620650036526867,NA,NA
"COPS3",0.620636620478515,NA,NA
"KRR1",0.616445412616133,NA,NA
"YWHAZ",0.616303022475483,NA,NA
"RPF1",0.615930347973744,NA,NA
"TRA2B",0.615629339137636,NA,NA
"NIF3L1",0.615399591941376,NA,NA
"YTHDF3",0.615265092835301,NA,NA
"THUMPD3",0.614916454732126,NA,NA
"MIPEP",0.613291104808906,NA,NA
"TNPO1",0.611179794037515,NA,NA
"PRPF4B",0.610860080300064,NA,NA
"NUP54",0.610030707743803,NA,NA
"APTX",0.609635710027913,NA,NA
"PGK1",0.609009900275639,NA,NA
"PCMT1",0.607449757930311,NA,NA
"ATF1",0.606887393873362,NA,NA
