"module","HR_perSD","HR_lo","HR_hi","z","p"
"MEred",1.307,1.116,1.532,3.311,0.0009299
"MEturquoise",1.285,1.103,1.498,3.218,0.001291
"MEgrey",1.23,1.042,1.45,2.454,0.01414
"MEblue",1.176,1.013,1.365,2.125,0.03355
"MEmagenta",1.092,0.9381,1.27,1.134,0.2567
"MEblack",1.094,0.9167,1.304,0.9935,0.3205
"MEpink",1.078,0.9252,1.257,0.965,0.3346
"MEyellow",1.062,0.9084,1.241,0.7523,0.4519
"MEgreen",0.9544,0.7975,1.142,-0.5092,0.6106
"MEpurple",0.9969,0.8532,1.165,-0.03964,0.9684
"MEbrown",0.997,0.8342,1.191,-0.03351,0.9733
