"gene","module","MM","GS","GS_trait","hubScore","cox_HR","cox_p"
"CDH11","red",0.925,0.419,"Leukocyte_pct",0.388,1.226,0.00231
"COL8A1","red",0.914,0.361,"Leukocyte_pct",0.33,1.128,0.0101
"COL1A2","red",0.913,0.323,"Leukocyte_pct",0.295,1.164,0.0099
"FNDC1","red",0.912,0.331,"Leukocyte_pct",0.302,1.128,0.00192
"ANTXR1","red",0.909,0.256,"Leukocyte_pct",0.233,1.178,0.00928
"COL3A1","red",0.907,0.359,"Leukocyte_pct",0.326,1.172,0.00554
"AEBP1","red",0.901,0.336,"Leukocyte_pct",0.303,1.156,0.0135
"SPARC","red",0.896,0.322,"Leukocyte_pct",0.289,1.272,0.000758
"LUM","red",0.891,0.37,"Leukocyte_pct",0.329,1.205,0.00278
"COL6A3","red",0.89,0.458,"Leukocyte_pct",0.407,1.161,0.0208
"BGN","red",0.886,0.337,"Leukocyte_pct",0.298,1.195,0.00425
"FBN1","red",0.884,0.456,"Leukocyte_pct",0.403,1.224,0.00105
"ISLR","red",0.883,0.307,"Leukocyte_pct",0.271,1.137,0.00827
"PRRX1","red",0.881,0.46,"Leukocyte_pct",0.405,1.128,0.0209
"FAP","red",0.881,0.311,"Leukocyte_pct",0.274,1.15,0.00948
"COL5A1","red",0.88,0.281,"Leukocyte_pct",0.247,1.152,0.026
"SULF1","red",0.88,0.269,"Leukocyte_pct",0.236,1.107,0.0452
"SCARF2","red",0.879,0.298,"Leukocyte_pct",0.262,1.133,0.0408
"SFRP4","red",0.871,0.264,"Leukocyte_pct",0.23,1.084,0.0089
"VCAN","red",0.87,0.306,"Leukocyte_pct",0.266,1.247,0.000572
"THBS2","red",0.869,0.253,"Leukocyte_pct",0.22,1.101,0.0227
"ITGA11","red",0.865,0.256,"Leukocyte_pct",0.221,1.12,0.0468
"BICC1","red",0.861,0.435,"Leukocyte_pct",0.375,1.188,0.00472
"GFPT2","red",0.852,0.438,"Leukocyte_pct",0.373,1.155,0.00633
"MXRA8","red",0.846,0.294,"Leukocyte_pct",0.249,1.181,0.00457
"COL5A2","red",0.844,0.276,"Leukocyte_pct",0.233,1.205,0.0076
"P4HA3","red",0.839,0.3,"Leukocyte_pct",0.251,1.204,0.00686
"GLT8D2","red",0.838,0.415,"Leukocyte_pct",0.348,1.242,0.00166
"NTM","red",0.838,0.178,"Leukocyte_pct",0.15,1.146,0.0133
"SPOCK1","red",0.836,0.236,"Leukocyte_pct",0.197,1.112,0.00618
"NOX4","red",0.835,0.299,"Leukocyte_pct",0.25,1.256,0.00137
"COL1A1","red",0.828,0.284,"Leukocyte_pct",0.235,1.136,0.0183
"MMP2","red",0.827,0.364,"Leukocyte_pct",0.301,1.123,0.0446
"LOX","red",0.827,0.321,"Leukocyte_pct",0.265,1.248,0.000514
"OLFML2B","red",0.823,0.377,"Leukocyte_pct",0.31,1.2,0.00238
"CERCAM","red",0.821,0.275,"Leukocyte_pct",0.226,1.176,0.0114
"ASPN","red",0.82,0.347,"Leukocyte_pct",0.285,1.151,0.00246
"ADAMTS2","red",0.818,0.363,"Leukocyte_pct",0.297,1.126,0.0378
"COL6A2","red",0.817,0.431,"Leukocyte_pct",0.352,1.17,0.0177
"VGLL3","red",0.815,0.44,"Leukocyte_pct",0.359,1.211,0.000518
"SYNDIG1","red",0.815,0.338,"Leukocyte_pct",0.276,1.115,0.0467
"HTRA3","red",0.815,0.302,"Leukocyte_pct",0.246,1.197,0.00297
"SFRP2","red",0.814,0.348,"Leukocyte_pct",0.284,1.086,0.00449
"FN1","red",0.813,0.244,"Leukocyte_pct",0.198,1.154,0.00474
"FBLN2","red",0.809,0.398,"Leukocyte_pct",0.322,1.113,0.0265
"SERPINF1","red",0.805,0.442,"Leukocyte_pct",0.356,1.188,0.0026
"CCN4","red",0.805,0.44,"Leukocyte_pct",0.354,1.132,0.0416
"GXYLT2","red",0.803,0.271,"Leukocyte_pct",0.218,1.182,0.00145
"ST6GALNAC5","red",0.802,0.307,"Leukocyte_pct",0.246,1.148,0.0092
"ANGPTL2","red",0.801,0.466,"Leukocyte_pct",0.373,1.166,0.0119
"ITGBL1","red",0.801,0.286,"Leukocyte_pct",0.229,1.112,0.0056
"PLXDC2","red",0.793,0.426,"Leukocyte_pct",0.338,1.201,0.00368
"CTHRC1","red",0.792,0.19,"Leukocyte_pct",0.151,1.197,0.00128
"DOK5","red",0.791,0.422,"Leukocyte_pct",0.334,1.199,0.00553
"TGFB3","red",0.79,0.434,"Leukocyte_pct",0.343,1.167,0.012
"COL12A1","red",0.786,0.217,"Leukocyte_pct",0.171,1.124,0.0589
"COL10A1","red",0.785,0.104,"Leukocyte_pct",0.082,1.085,0.0136
"THBS1","red",0.783,0.439,"Leukocyte_pct",0.344,1.207,0.00124
"COL8A2","red",0.783,0.331,"Leukocyte_pct",0.259,1.138,0.0231
"MEDAG","red",0.781,0.408,"Leukocyte_pct",0.319,1.145,0.00732
"INHBA","red",0.78,0.22,"Leukocyte_pct",0.172,1.156,0.0136
"EDNRA","red",0.779,0.385,"Leukocyte_pct",0.3,1.251,0.00106
"CALHM5","red",0.778,0.423,"Leukocyte_pct",0.329,1.204,0.00521
"DACT1","red",0.775,0.281,"Leukocyte_pct",0.218,1.164,0.0101
"GAS1","red",0.774,0.39,"Leukocyte_pct",0.302,1.108,0.0105
"TIMP3","red",0.772,0.367,"Leukocyte_pct",0.283,1.151,0.0181
"HMCN1","red",0.769,0.339,"Leukocyte_pct",0.26,1.142,0.00804
"CCDC8","red",0.766,0.334,"Leukocyte_pct",0.256,1.15,0.00413
"ADAMTS12","red",0.766,0.208,"Leukocyte_pct",0.16,1.172,0.00724
"FIBIN","red",0.761,0.431,"Leukocyte_pct",0.328,1.194,0.00282
"LTBP2","red",0.761,0.326,"Leukocyte_pct",0.248,1.172,0.0139
"GPC6","red",0.759,0.379,"Leukocyte_pct",0.288,1.163,0.0133
"SRPX2","red",0.758,0.326,"Leukocyte_pct",0.247,1.252,0.00179
"TENM3","red",0.758,0.292,"Leukocyte_pct",0.221,1.123,0.00407
"GUCY1A1","red",0.755,0.493,"Leukocyte_pct",0.372,1.132,0.0171
"KCND2","red",0.754,0.304,"Leukocyte_pct",0.229,1.222,0.000394
"ANOS1","red",0.753,0.22,"Leukocyte_pct",0.165,1.174,0.00727
"TAFA5","red",0.753,0.163,"Leukocyte_pct",0.122,1.126,0.0396
"EMILIN1","red",0.752,0.422,"Leukocyte_pct",0.318,1.116,0.0756
"FAM180A","red",0.752,0.305,"Leukocyte_pct",0.229,1.131,0.00962
"SERPING1","red",0.75,0.519,"Leukocyte_pct",0.39,1.123,0.0697
"NNMT","red",0.749,0.464,"Leukocyte_pct",0.348,1.209,0.0016
"MAGEL2","red",0.748,0.213,"Leukocyte_pct",0.159,1.222,0.000179
"ECM2","red",0.745,0.439,"Leukocyte_pct",0.327,1.285,0.000613
"PRKD1","red",0.745,0.365,"Leukocyte_pct",0.272,1.238,0.000708
"HTR2A","red",0.742,0.43,"Leukocyte_pct",0.319,1.156,0.00346
"MFAP2","red",0.741,0.089,"Leukocyte_pct",0.066,1.187,0.00163
"MAP3K4-AS1","red",0.74,0.314,"Leukocyte_pct",0.232,1.203,0.00363
"MFAP5","red",0.739,0.375,"Leukocyte_pct",0.277,1.12,0.00615
"TWIST2","red",0.736,0.444,"Leukocyte_pct",0.326,1.126,0.0202
"CPXM1","red",0.735,0.424,"Leukocyte_pct",0.312,1.112,0.0572
"ARSI","red",0.731,0.202,"Leukocyte_pct",0.148,1.097,0.0648
"TMEM119","red",0.729,0.487,"Leukocyte_pct",0.355,1.132,0.0293
"PLPPR4","red",0.729,0.406,"Leukocyte_pct",0.296,1.207,0.000674
"TENM4","red",0.727,0.35,"Leukocyte_pct",0.255,1.15,0.00855
"PLPP4","red",0.725,0.002,"Leukocyte_pct",0.002,1.068,0.121
"SHANK1","red",0.713,0.322,"Leukocyte_pct",0.23,1.098,0.117
"PODNL1","red",0.712,0.174,"Leukocyte_pct",0.124,1.095,0.134
"DCN","red",0.707,0.422,"Leukocyte_pct",0.299,1.169,0.00585
"EVC","red",0.705,0.378,"Leukocyte_pct",0.266,1.149,0.0186
"GLI1","red",0.705,0.377,"Leukocyte_pct",0.266,1.164,0.00658
"ADAM12","red",0.699,0.341,"Leukocyte_pct",0.238,1.118,0.0217
"OMD","red",0.698,0.365,"Leukocyte_pct",0.255,1.116,0.00273
"POSTN","red",0.697,0.222,"Leukocyte_pct",0.154,1.185,0.00395
"LINC02544","red",0.697,0.162,"Leukocyte_pct",0.113,1.149,0.0246
"CLMP","red",0.696,0.509,"Leukocyte_pct",0.354,1.127,0.0103
"LOC107984270","red",0.695,0.271,"Leukocyte_pct",0.189,1.196,0.00923
"LZTS1","red",0.687,0.4,"Leukocyte_pct",0.275,1.209,0.00724
"ZNF469","red",0.686,0.252,"Leukocyte_pct",0.173,1.089,0.139
"TNFSF4","red",0.684,0.305,"Leukocyte_pct",0.209,1.132,0.0757
"TWIST1","red",0.683,0.261,"Leukocyte_pct",0.178,1.084,0.118
"ADAMTS16","red",0.681,0.192,"Leukocyte_pct",0.131,1.139,0.00555
"EFEMP1","red",0.676,0.439,"Leukocyte_pct",0.297,1.206,0.000116
"COL11A1","red",0.676,-0.013,"Leukocyte_pct",0.008,1.062,0.0569
"TNFAIP6","red",0.672,0.278,"Leukocyte_pct",0.187,1.087,0.132
"LINC01614","red",0.67,0.118,"Leukocyte_pct",0.079,1.178,0.000951
"COMP","red",0.669,0.083,"Leukocyte_pct",0.056,1.068,0.0261
