"gene","module","MM","GS","GS_trait","hubScore"
"PDZD4","turquoise",0.927,-0.359,"status_Tumor",0.333
"RNF150","turquoise",0.917,-0.255,"status_Tumor",0.234
"FHL1","turquoise",0.912,-0.407,"status_Tumor",0.371
"MAPK10","turquoise",0.912,-0.311,"status_Tumor",0.283
"ANK2","turquoise",0.91,-0.277,"status_Tumor",0.253
"CLIP3","turquoise",0.91,-0.271,"status_Tumor",0.247
"BHMT2","turquoise",0.909,-0.336,"status_Tumor",0.305
"C14orf132","turquoise",0.909,-0.304,"status_Tumor",0.276
"GNAO1","turquoise",0.908,-0.286,"status_Tumor",0.26
"ADAM33","turquoise",0.906,-0.284,"status_Tumor",0.257
"GPRASP1","turquoise",0.906,-0.248,"status_Tumor",0.225
"DACT3","turquoise",0.905,-0.311,"status_Tumor",0.281
"METTL24","turquoise",0.904,-0.337,"status_Tumor",0.305
"ANGPTL1","turquoise",0.903,-0.356,"status_Tumor",0.321
"MAP6","turquoise",0.903,-0.326,"status_Tumor",0.294
"JAM2","turquoise",0.902,-0.366,"status_Tumor",0.33
"ADAMTS9-AS2","turquoise",0.899,-0.34,"status_Tumor",0.306
"HSPB6","turquoise",0.899,-0.325,"status_Tumor",0.292
"AOC3","turquoise",0.898,-0.298,"status_Tumor",0.268
"TNS1","turquoise",0.898,-0.257,"status_Tumor",0.231
"STON1","turquoise",0.897,-0.243,"status_Tumor",0.218
"PGR","turquoise",0.896,-0.301,"status_Tumor",0.27
"SCN7A","turquoise",0.895,-0.356,"status_Tumor",0.319
"SPARCL1","turquoise",0.895,-0.259,"status_Tumor",0.232
"ZNF135","turquoise",0.894,-0.283,"status_Tumor",0.253
"PGM5","turquoise",0.893,-0.382,"status_Tumor",0.341
"LMOD1","turquoise",0.893,-0.348,"status_Tumor",0.311
"C8orf88","turquoise",0.893,-0.336,"status_Tumor",0.3
"IRAG1","turquoise",0.893,-0.25,"status_Tumor",0.224
"ATP1A2","turquoise",0.892,-0.394,"status_Tumor",0.351
"TMEM35A","turquoise",0.892,-0.39,"status_Tumor",0.348
"NEGR1","turquoise",0.892,-0.347,"status_Tumor",0.31
"RERG","turquoise",0.891,-0.247,"status_Tumor",0.22
"ZCCHC24","turquoise",0.891,-0.227,"status_Tumor",0.202
"PYGM","turquoise",0.89,-0.397,"status_Tumor",0.354
"ATP1B2","turquoise",0.89,-0.326,"status_Tumor",0.29
"MSRB3","turquoise",0.89,-0.262,"status_Tumor",0.233
"MPDZ","turquoise",0.89,-0.167,"status_Tumor",0.148
"RBMS3","turquoise",0.89,-0.152,"status_Tumor",0.135
"MYLK","turquoise",0.889,-0.263,"status_Tumor",0.234
"PKNOX2","turquoise",0.888,-0.376,"status_Tumor",0.334
"ARHGEF25","turquoise",0.888,-0.332,"status_Tumor",0.295
"PRICKLE2","turquoise",0.888,-0.256,"status_Tumor",0.227
"GHR","turquoise",0.887,-0.401,"status_Tumor",0.356
"LIMS2","turquoise",0.887,-0.333,"status_Tumor",0.296
"MIR100HG","turquoise",0.886,-0.203,"status_Tumor",0.18
"RGMA","turquoise",0.884,-0.284,"status_Tumor",0.251
"BOC","turquoise",0.882,-0.235,"status_Tumor",0.208
"SYNPO2","turquoise",0.881,-0.3,"status_Tumor",0.264
"JAM3","turquoise",0.881,-0.249,"status_Tumor",0.219
"NAP1L3","turquoise",0.881,-0.166,"status_Tumor",0.146
"HSPB8","turquoise",0.88,-0.405,"status_Tumor",0.356
"RTL5","turquoise",0.88,-0.305,"status_Tumor",0.268
"EML1","turquoise",0.88,-0.257,"status_Tumor",0.227
"ADAMTSL3","turquoise",0.879,-0.284,"status_Tumor",0.249
"DZIP1","turquoise",0.879,-0.225,"status_Tumor",0.198
"KCNB1","turquoise",0.878,-0.344,"status_Tumor",0.302
"SETBP1","turquoise",0.878,-0.28,"status_Tumor",0.246
"CASQ2","turquoise",0.877,-0.375,"status_Tumor",0.329
"LDB3","turquoise",0.877,-0.35,"status_Tumor",0.306
"SCN2B","turquoise",0.877,-0.305,"status_Tumor",0.267
"ADCY5","turquoise",0.877,-0.283,"status_Tumor",0.248
"MAGI2-AS3","turquoise",0.877,-0.202,"status_Tumor",0.177
"NACAD","turquoise",0.876,-0.294,"status_Tumor",0.258
"RNF180","turquoise",0.876,-0.287,"status_Tumor",0.251
"RBPMS2","turquoise",0.875,-0.361,"status_Tumor",0.315
"ECRG4","turquoise",0.874,-0.414,"status_Tumor",0.361
"APBB1","turquoise",0.874,-0.288,"status_Tumor",0.251
"NDN","turquoise",0.873,-0.334,"status_Tumor",0.292
"PLN","turquoise",0.873,-0.329,"status_Tumor",0.287
"CAND2","turquoise",0.873,-0.262,"status_Tumor",0.229
"ADGRB3","turquoise",0.872,-0.291,"status_Tumor",0.254
"MYL9","turquoise",0.871,-0.335,"status_Tumor",0.292
"AR","turquoise",0.871,-0.292,"status_Tumor",0.254
"MRGPRF","turquoise",0.871,-0.266,"status_Tumor",0.231
"GRIK5","turquoise",0.871,-0.258,"status_Tumor",0.225
"MAMDC2","turquoise",0.87,-0.463,"status_Tumor",0.403
"PDLIM3","turquoise",0.87,-0.261,"status_Tumor",0.227
"MYH11","turquoise",0.869,-0.332,"status_Tumor",0.289
"SALL2","turquoise",0.869,-0.262,"status_Tumor",0.227
"SFRP1","turquoise",0.868,-0.389,"status_Tumor",0.338
"ACTA2","turquoise",0.868,-0.281,"status_Tumor",0.244
"CPED1","turquoise",0.868,-0.276,"status_Tumor",0.239
"FGF2","turquoise",0.868,-0.262,"status_Tumor",0.227
"SLC22A17","turquoise",0.866,-0.366,"status_Tumor",0.316
"HSPB7","turquoise",0.865,-0.285,"status_Tumor",0.247
"BEND5","turquoise",0.864,-0.359,"status_Tumor",0.31
"FXYD6","turquoise",0.864,-0.326,"status_Tumor",0.282
"NOVA1","turquoise",0.864,-0.297,"status_Tumor",0.257
"TAGLN","turquoise",0.864,-0.296,"status_Tumor",0.256
"DAAM2","turquoise",0.863,-0.322,"status_Tumor",0.277
"TMEM47","turquoise",0.863,-0.234,"status_Tumor",0.202
"ZFPM2","turquoise",0.862,-0.219,"status_Tumor",0.189
"FRRS1L","turquoise",0.861,-0.282,"status_Tumor",0.243
"ADCYAP1R1","turquoise",0.86,-0.403,"status_Tumor",0.347
"NFASC","turquoise",0.86,-0.226,"status_Tumor",0.194
"MAP1B","turquoise",0.86,-0.184,"status_Tumor",0.158
"CPEB1","turquoise",0.859,-0.318,"status_Tumor",0.273
"TCEAL7","turquoise",0.859,-0.289,"status_Tumor",0.248
"ZNF667-AS1","turquoise",0.859,-0.285,"status_Tumor",0.244
"SETBP1-DT","turquoise",0.859,-0.256,"status_Tumor",0.22
"SLIT2","turquoise",0.859,-0.21,"status_Tumor",0.18
"NAP1L2","turquoise",0.858,-0.387,"status_Tumor",0.332
"NEXMIF","turquoise",0.858,-0.363,"status_Tumor",0.311
"MYOCD","turquoise",0.858,-0.317,"status_Tumor",0.272
"CDO1","turquoise",0.858,-0.279,"status_Tumor",0.24
"ZDHHC15","turquoise",0.858,-0.279,"status_Tumor",0.239
"PDE1A","turquoise",0.858,-0.246,"status_Tumor",0.211
"ABCC9","turquoise",0.858,-0.123,"status_Tumor",0.106
"ZNF471","turquoise",0.857,-0.326,"status_Tumor",0.279
"NECAB1","turquoise",0.857,-0.289,"status_Tumor",0.248
"JPH2","turquoise",0.857,-0.285,"status_Tumor",0.244
"FOXP2","turquoise",0.857,-0.269,"status_Tumor",0.231
"INMT","turquoise",0.857,-0.181,"status_Tumor",0.155
"PLP1","turquoise",0.856,-0.47,"status_Tumor",0.402
"ABI3BP","turquoise",0.856,-0.317,"status_Tumor",0.271
"KCNMB1","turquoise",0.855,-0.352,"status_Tumor",0.301
"CAVIN2","turquoise",0.855,-0.325,"status_Tumor",0.278
"VIPR2","turquoise",0.855,-0.305,"status_Tumor",0.261
"OGN","turquoise",0.855,-0.23,"status_Tumor",0.196
"GSTM5","turquoise",0.854,-0.462,"status_Tumor",0.395
"BVES","turquoise",0.854,-0.282,"status_Tumor",0.241
"DDR2","turquoise",0.854,-0.186,"status_Tumor",0.159
"LINC01354","turquoise",0.853,-0.353,"status_Tumor",0.301
"CNN1","turquoise",0.853,-0.318,"status_Tumor",0.272
"NUDT10","turquoise",0.853,-0.3,"status_Tumor",0.256
"KCNMA1","turquoise",0.853,-0.256,"status_Tumor",0.219
"PDZRN4","turquoise",0.852,-0.347,"status_Tumor",0.296
"PEG3","turquoise",0.852,-0.276,"status_Tumor",0.235
"CNKSR2","turquoise",0.851,-0.23,"status_Tumor",0.196
"CPXM2","turquoise",0.851,-0.173,"status_Tumor",0.147
"PGM5-AS1","turquoise",0.85,-0.448,"status_Tumor",0.381
"NR2F1-AS1","turquoise",0.85,-0.239,"status_Tumor",0.204
"SORCS1","turquoise",0.849,-0.391,"status_Tumor",0.332
"SGCA","turquoise",0.849,-0.374,"status_Tumor",0.318
"PDE2A","turquoise",0.849,-0.37,"status_Tumor",0.314
"TMOD1","turquoise",0.849,-0.36,"status_Tumor",0.306
"TCEAL2","turquoise",0.849,-0.323,"status_Tumor",0.274
"C1QTNF7","turquoise",0.849,-0.316,"status_Tumor",0.268
"STUM","turquoise",0.849,-0.292,"status_Tumor",0.248
"DTNA","turquoise",0.847,-0.254,"status_Tumor",0.215
"RCAN2","turquoise",0.846,-0.373,"status_Tumor",0.315
"MFAP4","turquoise",0.846,-0.333,"status_Tumor",0.282
"TUB","turquoise",0.846,-0.26,"status_Tumor",0.22
"INSYN1","turquoise",0.845,-0.366,"status_Tumor",0.309
"CHRDL1","turquoise",0.845,-0.318,"status_Tumor",0.268
"ARHGAP20","turquoise",0.845,-0.294,"status_Tumor",0.248
"FILIP1","turquoise",0.845,-0.225,"status_Tumor",0.19
"ARMCX1","turquoise",0.844,-0.322,"status_Tumor",0.271
"TMEM59L","turquoise",0.844,-0.296,"status_Tumor",0.25
"FGF10","turquoise",0.844,-0.232,"status_Tumor",0.196
"SYNC","turquoise",0.844,-0.232,"status_Tumor",0.195
"PRELP","turquoise",0.844,-0.228,"status_Tumor",0.193
"PCDH9","turquoise",0.844,-0.223,"status_Tumor",0.189
"ANGPTL7","turquoise",0.843,-0.329,"status_Tumor",0.277
"SYNE1","turquoise",0.843,-0.195,"status_Tumor",0.164
"CADM3","turquoise",0.842,-0.456,"status_Tumor",0.384
"CRYAB","turquoise",0.842,-0.393,"status_Tumor",0.331
"FAM13C","turquoise",0.842,-0.283,"status_Tumor",0.239
"NHSL2","turquoise",0.841,-0.117,"status_Tumor",0.099
"HAND2-AS1","turquoise",0.84,-0.211,"status_Tumor",0.177
"DCLK2","turquoise",0.84,-0.188,"status_Tumor",0.158
"TMEM100","turquoise",0.839,-0.441,"status_Tumor",0.37
"SORBS1","turquoise",0.839,-0.309,"status_Tumor",0.26
"SPEG","turquoise",0.839,-0.247,"status_Tumor",0.207
"DPYSL3","turquoise",0.839,-0.082,"status_Tumor",0.069
"LGI4","turquoise",0.838,-0.398,"status_Tumor",0.333
"GAS1RR","turquoise",0.837,-0.348,"status_Tumor",0.292
"NLGN1","turquoise",0.837,-0.315,"status_Tumor",0.264
"ANKS1B","turquoise",0.837,-0.291,"status_Tumor",0.244
"NXPH3","turquoise",0.837,-0.274,"status_Tumor",0.23
"PDE7B","turquoise",0.837,-0.252,"status_Tumor",0.211
"ABCA9","turquoise",0.837,-0.235,"status_Tumor",0.197
"ZNF835","turquoise",0.837,-0.219,"status_Tumor",0.183
