"","status_Tumor","age_years","stage","grade","Diffuse_vs_Intest","MSI_high","EBV_pos","TMB","Leukocyte_pct","CD8_MCP","ImmuneScore"
"MEbrown",0.08,0.067,-0.005,-0.225,-0.198,-0.101,-0.332,-0.073,-0.193,-0.054,-0.141
"MEgreen",-0.177,0.013,-0.005,-0.132,-0.183,-0.011,-0.135,-0.051,-0.088,-0.02,0.018
"MEblue",0.254,0.014,0.018,-0.135,-0.306,-0.264,-0.241,-0.147,-0.257,-0.033,-0.207
"MEpurple",0.086,-0.05,0.046,-0.029,0.065,-0.109,-0.064,-0.105,0.014,-0.078,0
"MEmagenta",0.153,0.124,0.021,-0.057,-0.103,0.16,-0.1,0.069,0.332,-0.05,0.066
"MEpink",-0.128,-0.083,0.136,0.239,0.445,-0.223,-0.02,-0.208,0.585,0.416,0.72
"MEblack",-0.22,0.048,0.102,0.181,0.125,-0.014,0.167,-0.063,0.5,0.453,0.493
"MEyellow",0.024,-0.026,0.152,0.334,0.312,0.045,0.28,-0.028,0.727,0.611,0.727
"MEred",0.222,-0.052,0.167,0.181,0.366,-0.081,-0.193,-0.108,0.385,0.078,0.037
"MEturquoise",-0.338,-0.134,0.092,0.191,0.527,-0.362,-0.196,-0.327,0.363,0.126,0.112
"MEgrey",-0.248,-0.089,0.036,-0.074,0.025,-0.566,-0.278,-0.409,-0.104,0.115,-0.034
