"","status_Tumor","age_years","stage","grade","Diffuse_vs_Intest","MSI_high","EBV_pos","TMB","Leukocyte_pct","CD8_MCP","ImmuneScore"
"MEbrown",0.0914,0.166,0.926,1.08e-05,0.00186,0.0949,1.87e-08,0.231,0.00135,0.253,0.00274
"MEgreen",0.000165,0.786,0.929,0.0102,0.00411,0.858,0.025,0.402,0.149,0.667,0.697
"MEblue",5.08e-08,0.777,0.728,0.00849,1.13e-06,9.83e-06,5.36e-05,0.0157,1.81e-05,0.488,1.02e-05
"MEpurple",0.0685,0.304,0.385,0.569,0.315,0.0719,0.294,0.0864,0.817,0.0973,0.992
"MEmagenta",0.00119,0.0101,0.686,0.273,0.11,0.0079,0.0982,0.256,2.09e-08,0.293,0.165
"MEpink",0.00655,0.0836,0.00948,2.57e-06,2.75e-13,2e-04,0.742,0.000574,2.13e-26,3.35e-20,9.06e-73
"MEblack",2.62e-06,0.321,0.0525,0.000418,0.0518,0.821,0.00548,0.3,1.41e-18,4.24e-24,9.19e-29
"MEyellow",0.619,0.588,0.00366,2.88e-11,6.77e-07,0.462,2.6e-06,0.646,5.5e-46,3.76e-47,6.58e-75
"MEred",2.03e-06,0.279,0.00139,0.000399,3.86e-09,0.182,0.00129,0.0755,4.65e-11,0.0993,0.43
"MEturquoise",1.83e-13,0.00523,0.0792,0.00019,7.87e-19,6.59e-10,0.0011,3.62e-08,7.05e-10,0.00741,0.0173
"MEgrey",1.06e-07,0.0652,0.497,0.152,0.697,1.3e-24,3.03e-06,2.59e-12,0.0884,0.0148,0.467
