"power","SFT_R2","slope","mean_k","median_k"
1,0,0.01,613,560.1
2,0.782,-1.004,204.4,136.3
3,0.877,-1.179,90.1,43.5
4,0.883,-1.226,46.8,15.9
5,0.881,-1.224,27.1,6.5
6,0.878,-1.238,16.9,2.8
7,0.886,-1.251,11.1,1.3
8,0.881,-1.277,7.6,0.6
9,0.879,-1.297,5.4,0.3
10,0.877,-1.305,3.9,0.2
11,0.865,-1.316,2.9,0.1
12,0.873,-1.32,2.2,0.1
13,0.848,-1.375,1.7,0
14,0.854,-1.384,1.3,0
15,0.856,-1.402,1,0
16,0.85,-1.433,0.8,0
17,0.841,-1.466,0.7,0
18,0.844,-1.473,0.5,0
19,0.856,-1.483,0.4,0
20,0.854,-1.508,0.4,0
